<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATA,D,20100625,000000,4.9756,4.9756,4.0709,4.9666,46368,0
ATA,D,20100628,000000,4.5233,5.4279,4.1614,5.4279,6622,0
ATA,D,20100629,000000,5.1565,5.7355,5.1565,5.7355,2233,0
ATA,D,20100630,000000,5.1656,5.1656,5.1565,5.1565,822,0
ATA,D,20100701,000000,5.247,5.247,5.247,5.247,111,0
ATA,D,20100705,000000,5.238,5.3374,4.5685,5.3374,16753,0
ATA,D,20100706,000000,4.8218,5.3374,4.8218,5.2922,2032,0
ATA,D,20100707,000000,5.2922,5.4279,5.2922,5.4279,2054,0
ATA,D,20100708,000000,5.4279,5.4279,5.247,5.247,2036,0
ATA,D,20100712,000000,4.9756,5.4098,4.9756,4.9756,1837,0
ATA,D,20100715,000000,5.1022,5.835,4.9756,4.9756,1055,0
ATA,D,20100719,000000,5.5184,5.7898,5.0298,5.0298,739,0
ATA,D,20100720,000000,5.0661,5.0661,5.0661,5.0661,11,0
ATA,D,20100721,000000,5.5637,5.5637,5.5637,5.5637,221,0
ATA,D,20100726,000000,5.1565,5.1565,5.1565,5.1565,1106,0
ATA,D,20100728,000000,5.0661,5.0661,4.9756,4.9756,1106,0
ATA,D,20100730,000000,5.4279,5.4279,4.8852,4.8852,763,0
ATA,D,20100802,000000,5.0661,5.0661,5.0661,5.0661,553,0
ATA,D,20100806,000000,4.84,4.84,4.84,4.84,401,0
ATA,D,20100816,000000,4.8489,4.8489,4.8489,4.8489,204,0
ATA,D,20100819,000000,5.247,5.8713,5.247,5.8713,943,0
ATA,D,20100823,000000,5.8713,5.8713,5.8713,5.8713,99,0
ATA,D,20100824,000000,5.8713,6.2331,5.6089,6.2331,1277,0
ATA,D,20100826,000000,6.1969,6.1969,6.1969,6.1969,111,0
ATA,D,20100830,000000,5.5184,5.5184,5.5184,5.5184,553,0
ATA,D,20100913,000000,5.6089,5.6089,5.6089,5.6089,111,0
ATA,D,20100914,000000,5.6089,5.6089,5.6089,5.6089,332,0
