<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTC,D,20110414,000000,2.4,2.86,2.2,2.35,544005,0
BTC,D,20110415,000000,2.4,2.41,2.13,2.28,152725,0
BTC,D,20110418,000000,2.28,2.34,2.14,2.18,52127,0
BTC,D,20110419,000000,2.14,2.2,2.12,2.19,38431,0
BTC,D,20110420,000000,2.18,2.18,1.9,2.07,57565,0
BTC,D,20110421,000000,2.03,2.1,1.9,2.05,22727,0
BTC,D,20110426,000000,1.95,2,1.93,1.93,13058,0
BTC,D,20110427,000000,1.9,2.6,1.9,2.5,271349,0
BTC,D,20110428,000000,2.56,2.59,2.12,2.23,119019,0
BTC,D,20110429,000000,2.24,2.24,2,2.15,72938,0
BTC,D,20110502,000000,2.12,2.42,2.05,2.22,53933,0
BTC,D,20110504,000000,2.15,2.25,2.08,2.14,41913,0
BTC,D,20110505,000000,2.1,2.1,1.96,2.05,54898,0
BTC,D,20110506,000000,1.99,2.18,1.95,2.08,27517,0
BTC,D,20110509,000000,2.11,2.16,2.04,2.04,12152,0
BTC,D,20110510,000000,2,2.02,1.96,2.02,9951,0
BTC,D,20110511,000000,1.96,1.96,1.71,1.95,12170,0
BTC,D,20110512,000000,1.9,1.94,1.85,1.94,4066,0
BTC,D,20110513,000000,1.85,1.85,1.77,1.84,10983,0
BTC,D,20110516,000000,1.8,1.8,1.8,1.8,5082,0
BTC,D,20110517,000000,1.75,1.8,1.75,1.75,2672,0
BTC,D,20110518,000000,1.7,1.7,1.45,1.59,23131,0
BTC,D,20110519,000000,1.61,1.66,1.61,1.66,7765,0
BTC,D,20110523,000000,1.6,1.6,1.42,1.54,6404,0
BTC,D,20110524,000000,1.45,1.74,1.45,1.72,11726,0
BTC,D,20110525,000000,1.53,1.82,1.53,1.82,20158,0
BTC,D,20110526,000000,1.75,1.75,1.59,1.7,10515,0
BTC,D,20110527,000000,1.7,1.77,1.65,1.76,14986,0
BTC,D,20110530,000000,1.7,1.74,1.52,1.74,10541,0
BTC,D,20110531,000000,1.61,1.62,1.6,1.6,2500,0
BTC,D,20110601,000000,1.63,1.84,1.62,1.72,8974,0
BTC,D,20110602,000000,1.7,1.7,1.55,1.62,8689,0
BTC,D,20110603,000000,1.63,1.63,1.55,1.61,7242,0
BTC,D,20110606,000000,1.54,1.63,1.54,1.63,1315,0
BTC,D,20110607,000000,1.47,1.63,1.47,1.63,5599,0
BTC,D,20110608,000000,1.56,1.65,1.56,1.65,1015,0
BTC,D,20110609,000000,1.56,1.59,1.55,1.59,4011,0
BTC,D,20110610,000000,1.56,1.56,1.5,1.55,6074,0
BTC,D,20110613,000000,1.5,1.5,1.5,1.5,1618,0
BTC,D,20110615,000000,1.51,1.63,1.51,1.6,10986,0
BTC,D,20110616,000000,1.55,1.55,1.5,1.55,2721,0
BTC,D,20110617,000000,1.57,1.64,1.55,1.64,1801,0
BTC,D,20110620,000000,1.65,1.65,1.62,1.62,2900,0
BTC,D,20110622,000000,1.62,1.94,1.62,1.94,35943,0
BTC,D,20110624,000000,1.85,1.85,1.64,1.66,9512,0
BTC,D,20110629,000000,1.66,1.66,1.53,1.53,7803,0
BTC,D,20110630,000000,1.52,1.82,1.52,1.82,5180,0
BTC,D,20110701,000000,1.65,1.65,1.65,1.65,1415,0
BTC,D,20110704,000000,1.57,1.57,1.52,1.52,2600,0
BTC,D,20110706,000000,1.5,1.5,1.5,1.5,613,0
BTC,D,20110707,000000,1.5,1.64,1.21,1.64,57834,0
BTC,D,20110711,000000,1.38,1.55,1.38,1.55,4500,0
BTC,D,20110712,000000,1.47,1.47,1.47,1.47,355,0
BTC,D,20110713,000000,1.47,1.53,1.43,1.53,2476,0
BTC,D,20110714,000000,1.52,1.53,1.44,1.51,6486,0
BTC,D,20110719,000000,1.52,1.52,1.52,1.52,529,0
BTC,D,20110721,000000,1.54,1.54,1.38,1.48,9864,0
BTC,D,20110722,000000,1.48,1.55,1.48,1.55,2276,0
BTC,D,20110725,000000,1.5,1.5,1.5,1.5,1000,0
BTC,D,20110726,000000,1.42,1.42,1.38,1.42,5099,0
BTC,D,20110727,000000,1.39,1.39,1.39,1.39,1506,0
BTC,D,20110728,000000,1.4,1.42,1.4,1.42,2120,0
BTC,D,20110729,000000,1.39,1.5,1.39,1.45,6200,0
BTC,D,20110801,000000,1.42,1.49,1.41,1.41,3968,0
BTC,D,20110802,000000,1.41,1.41,1.41,1.41,200,0
BTC,D,20110803,000000,1.46,1.5,1.45,1.45,14500,0
BTC,D,20110804,000000,1.4,1.4,1.35,1.4,10000,0
BTC,D,20110805,000000,1.35,1.4,1.13,1.34,20924,0
BTC,D,20110808,000000,1.27,1.32,1.27,1.32,2120,0
BTC,D,20110809,000000,1.22,1.22,1.2,1.2,2300,0
BTC,D,20110810,000000,1.18,1.32,1.18,1.3,2310,0
BTC,D,20110811,000000,1.24,1.24,1.24,1.24,1000,0
BTC,D,20110812,000000,1.15,1.26,1.15,1.26,3451,0
BTC,D,20110817,000000,1.27,1.34,1.27,1.34,4000,0
BTC,D,20110818,000000,1.26,1.27,1.26,1.27,2300,0
BTC,D,20110819,000000,1.26,1.26,1.26,1.26,1000,0
BTC,D,20110823,000000,1.22,1.29,1.2,1.2,5601,0
BTC,D,20110826,000000,1.15,1.23,1.13,1.23,4400,0
BTC,D,20110829,000000,1.15,1.25,1.15,1.25,3900,0
BTC,D,20110830,000000,1.12,1.34,1,1.34,33667,0
BTC,D,20110831,000000,1.1,1.18,1.1,1.18,2580,0
BTC,D,20110901,000000,1.16,1.16,1.1,1.1,1500,0
BTC,D,20110902,000000,1.18,1.29,0.92,1.14,6160,0
BTC,D,20110905,000000,1.04,1.04,1.01,1.01,4854,0
BTC,D,20110906,000000,1,1.21,1,1.07,15697,0
BTC,D,20110907,000000,1,1.11,1,1.11,9510,0
BTC,D,20110908,000000,1.03,1.26,1.02,1.26,8100,0
BTC,D,20110909,000000,1.04,1.11,1.03,1.11,2960,0
BTC,D,20110912,000000,1.03,1.03,1,1,7200,0
BTC,D,20110913,000000,1.02,1.19,1.02,1.05,8776,0
BTC,D,20110914,000000,1.02,1.02,1.02,1.02,1300,0
BTC,D,20110916,000000,1.02,1.09,1,1.05,8313,0
BTC,D,20110919,000000,1.08,1.08,1,1,2401,0
BTC,D,20110921,000000,1.1,1.24,1.01,1.06,11039,0
BTC,D,20110923,000000,0.98,0.98,0.94,0.94,4136,0
BTC,D,20110926,000000,0.93,0.93,0.93,0.93,999,0
BTC,D,20110927,000000,0.99,1.16,0.96,1.01,27925,0
BTC,D,20110928,000000,0.98,1.2,0.96,1.19,13625,0
BTC,D,20110929,000000,1.07,1.15,0.99,0.99,12850,0
BTC,D,20111004,000000,1,1,0.98,1,4806,0
BTC,D,20111010,000000,0.99,0.99,0.99,0.99,1175,0
BTC,D,20111011,000000,1.01,1.01,1.01,1.01,1702,0
BTC,D,20111012,000000,1.04,1.04,0.95,0.99,7990,0
BTC,D,20111013,000000,0.99,1.15,0.99,0.99,35964,0
BTC,D,20111014,000000,1.04,1.04,1.04,1.04,3594,0
BTC,D,20111017,000000,1.09,1.09,1.02,1.02,556,0
BTC,D,20111018,000000,1.04,1.22,1.04,1.2,34141,0
BTC,D,20111019,000000,1.12,1.35,1.1,1.35,8518,0
