<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTX,D,20130404,000000,2.0089,2.0089,1.8602,2.0089,129697,0
BTX,D,20130405,000000,2.0238,2.0238,1.7486,2.0089,47157,0
BTX,D,20130408,000000,1.9718,1.9718,1.7857,1.8973,9405,0
BTX,D,20130409,000000,1.9345,1.9345,1.8229,1.8973,10146,0
BTX,D,20130410,000000,1.9345,1.9345,1.7486,1.9345,24366,0
BTX,D,20130411,000000,1.927,1.9345,1.8229,1.9345,6088,0
BTX,D,20130412,000000,1.927,1.927,1.927,1.927,671,0
BTX,D,20130415,000000,1.9345,1.9345,1.5996,1.927,1108,0
BTX,D,20130417,000000,1.5476,1.8304,1.5476,1.7039,13058,0
BTX,D,20130418,000000,1.4137,1.6295,1.4137,1.6221,13730,0
BTX,D,20130419,000000,1.3765,1.6221,1.3765,1.6221,3145,0
BTX,D,20130422,000000,1.3765,1.3765,1.1904,1.1904,9160,0
BTX,D,20130423,000000,1.1161,1.1904,0.8929,0.9896,31893,0
BTX,D,20130424,000000,0.9077,1.2648,0.9077,1.2648,15156,0
BTX,D,20130426,000000,1.0342,1.0789,1.0342,1.0789,3116,0
BTX,D,20130429,000000,1.0789,1.0789,1.0789,1.0789,1207,0
BTX,D,20130430,000000,1.1161,1.3394,1.1161,1.3394,4104,0
BTX,D,20130502,000000,1.1904,1.1904,1.1904,1.1904,3777,0
BTX,D,20130507,000000,1.2648,1.3244,1.2648,1.3244,1344,0
BTX,D,20130508,000000,1.3244,1.3394,1.3244,1.3394,403,0
BTX,D,20130509,000000,1.2277,1.3394,1.2277,1.3394,2990,0
BTX,D,20130513,000000,1.1904,1.1904,1.1904,1.1904,561,0
BTX,D,20130514,000000,1.1904,1.1904,1.1904,1.1904,1074,0
BTX,D,20130515,000000,1.1904,1.1904,1.1904,1.1904,857,0
BTX,D,20130516,000000,1.2277,1.3394,1.2277,1.3394,5887,0
BTX,D,20130517,000000,1.2053,1.2277,1.2053,1.2277,2771,0
BTX,D,20130520,000000,1.2724,1.2724,1.2724,1.2724,511,0
BTX,D,20130522,000000,1.3467,1.5625,1.3467,1.5625,5723,0
BTX,D,20130523,000000,1.3839,1.3839,1.3765,1.3765,5450,0
BTX,D,20130527,000000,1.4881,1.5996,1.4881,1.5996,12258,0
BTX,D,20130528,000000,1.5996,1.6369,1.5996,1.6369,11305,0
BTX,D,20130529,000000,1.4881,1.7113,1.4881,1.7113,309,0
BTX,D,20130531,000000,1.7113,1.7857,1.7113,1.7783,3023,0
BTX,D,20130604,000000,1.6369,1.6369,1.6369,1.6369,4150,0
BTX,D,20130606,000000,1.5996,1.5996,1.5996,1.5996,4126,0
BTX,D,20130607,000000,1.7708,1.7708,1.5996,1.5996,1234,0
BTX,D,20130610,000000,1.5996,1.5996,1.5996,1.5996,1052,0
BTX,D,20130611,000000,1.5996,1.7783,1.5996,1.7783,2018,0
BTX,D,20130612,000000,1.5996,1.6072,1.5996,1.6072,2016,0
BTX,D,20130614,000000,1.7113,1.7113,1.7113,1.7113,2359,0
BTX,D,20130617,000000,1.6072,1.7261,1.6072,1.7261,4621,0
BTX,D,20130618,000000,1.5625,1.5625,1.5625,1.5625,2688,0
BTX,D,20130619,000000,1.5775,1.5775,1.5775,1.5775,28,0
BTX,D,20130620,000000,1.5775,1.6518,1.5775,1.6518,2725,0
BTX,D,20130624,000000,1.5923,1.6221,1.5848,1.6221,9492,0
BTX,D,20130625,000000,1.674,1.7337,1.674,1.7337,6722,0
BTX,D,20130626,000000,1.6221,1.6221,1.5625,1.5699,19962,0
BTX,D,20130628,000000,1.5996,1.7113,1.5996,1.7113,2954,0
BTX,D,20130701,000000,1.5625,1.7039,1.5625,1.7039,1347,0
BTX,D,20130702,000000,1.503,1.6369,1.4881,1.6369,3130,0
BTX,D,20130710,000000,1.555,1.555,1.555,1.555,67,0
BTX,D,20130711,000000,1.503,1.6369,1.503,1.6369,1441,0
BTX,D,20130712,000000,1.6369,1.6369,1.6369,1.6369,3178,0
BTX,D,20130716,000000,1.4881,1.6369,1.4881,1.6369,4350,0
BTX,D,20130718,000000,1.4881,1.6369,1.4137,1.6369,4349,0
BTX,D,20130719,000000,1.4137,1.6295,1.4137,1.6295,19516,0
BTX,D,20130722,000000,1.4137,1.4137,1.4137,1.4137,644,0
BTX,D,20130723,000000,1.4137,1.4137,1.4137,1.4137,66,0
BTX,D,20130725,000000,1.4211,1.4211,1.4137,1.4137,11424,0
BTX,D,20130726,000000,1.4211,1.4211,1.4211,1.4211,1344,0
BTX,D,20130729,000000,1.3467,1.4137,1.3467,1.4137,1634,0
