<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDA,D,20190508,000000,7.8347,11.752,5.5303,11.752,25738,0
CDA,D,20190509,000000,14.103,16.775,12.905,15.946,34333,0
CDA,D,20190510,000000,14.01,14.748,11.982,11.982,11733,0
CDA,D,20190513,000000,11.338,11.384,7.8347,9.1712,22449,0
CDA,D,20190514,000000,9.1252,12.443,8.2956,10.139,24695,0
CDA,D,20190515,000000,11.881,14.01,11.522,13.817,18818,0
CDA,D,20190516,000000,14.84,17.421,12.176,13.089,45081,0
CDA,D,20190517,000000,14.471,15.578,13.918,14.656,13715,0
CDA,D,20190520,000000,14.748,15.024,13.641,14.471,4084,0
CDA,D,20190521,000000,13.273,13.503,12.185,13.171,3244,0
CDA,D,20190522,000000,13.282,13.282,10.876,10.876,6815,0
CDA,D,20190523,000000,11.476,13.089,10.876,12.435,3543,0
CDA,D,20190524,000000,12.72,12.72,11.199,12.047,2391,0
CDA,D,20190527,000000,12.157,12.259,11.522,12.259,1078,0
CDA,D,20190528,000000,11.623,12.886,10.139,11.199,8724,0
CDA,D,20190529,000000,11.927,11.927,10.416,11.06,992,0
CDA,D,20190530,000000,10.876,11.06,10.738,10.738,1584,0
CDA,D,20190531,000000,10.185,11.43,10.139,10.342,1147,0
CDA,D,20190603,000000,10.416,11.06,10.15,10.6,1710,0
CDA,D,20190604,000000,10.139,10.6,9.771,9.955,4188,0
CDA,D,20190605,000000,10.231,10.323,9.4474,9.863,2579,0
CDA,D,20190606,000000,9.863,9.863,8.7564,9.2173,2093,0
CDA,D,20190607,000000,8.8486,9.679,8.3878,9.679,4009,0
CDA,D,20190610,000000,9.586,9.679,8.5076,8.7564,5838,0
CDA,D,20190611,000000,8.7656,9.669,8.7564,9.586,4434,0
CDA,D,20190612,000000,9.4014,9.539,8.3878,8.5721,1787,0
CDA,D,20190613,000000,8.5997,9.116,8.5997,9.116,416,0
CDA,D,20190614,000000,9.033,9.2173,8.8486,9.2173,320,0
CDA,D,20190617,000000,9.2173,9.2173,8.4818,8.6643,694,0
CDA,D,20190618,000000,8.5076,8.6643,7.6688,7.9085,4921,0
CDA,D,20190619,000000,7.8992,8.2219,7.7057,7.7057,2932,0
CDA,D,20190621,000000,7.7794,8.2035,7.7794,8.2035,468,0
CDA,D,20190624,000000,8.019,8.019,7.6688,7.6964,851,0
CDA,D,20190625,000000,7.8347,8.2956,7.8347,7.8347,853,0
CDA,D,20190626,000000,8.2035,8.2035,7.5582,7.7241,1513,0
CDA,D,20190627,000000,7.5398,7.5398,6.8208,7.1895,3712,0
CDA,D,20190628,000000,7.1895,8.1112,7.0421,8.102,4688,0
CDA,D,20190701,000000,7.9269,8.6735,7.9269,8.2956,3090,0
CDA,D,20190702,000000,8.1297,8.1297,7.3739,7.4661,3176,0
CDA,D,20190703,000000,7.385,7.9177,7.3739,7.7794,2981,0
CDA,D,20190704,000000,7.7887,7.9269,7.4661,7.9269,2035,0
CDA,D,20190705,000000,7.5213,7.8255,7.4015,7.8255,915,0
CDA,D,20190708,000000,7.8255,7.8347,7.3932,7.8255,505,0
CDA,D,20190709,000000,8.2271,8.2271,7.0518,7.4925,4245,0
CDA,D,20190710,000000,7.4915,7.6786,7.3652,7.5415,1771,0
CDA,D,20190711,000000,7.5415,7.5415,7.4435,7.4435,48,0
CDA,D,20190712,000000,7.3456,7.5806,7.0518,7.5806,1809,0
CDA,D,20190715,000000,7.1507,7.2457,7.0537,7.2476,1316,0
CDA,D,20190716,000000,7.3848,7.3848,7.0537,7.3456,675,0
CDA,D,20190717,000000,7.3299,7.3299,7.0518,7.3162,1681,0
CDA,D,20190718,000000,7.0714,7.2868,7.0714,7.2476,143,0
CDA,D,20190719,000000,7.1105,7.1987,7.1007,7.1497,1540,0
CDA,D,20190722,000000,6.8755,7.1497,6.4641,6.4739,4962,0
CDA,D,20190723,000000,6.5033,6.5131,5.6806,6.4641,15584,0
CDA,D,20190724,000000,6.4602,7.0518,6.3662,6.66,4908,0
CDA,D,20190725,000000,6.6404,6.6404,6.0919,6.3662,7182,0
CDA,D,20190726,000000,6.3662,6.4641,6.0919,6.0919,824,0
CDA,D,20190729,000000,6.0919,6.3172,6.0919,6.3172,598,0
CDA,D,20190730,000000,6.4151,6.4151,6.0959,6.4151,362,0
CDA,D,20190731,000000,6.3466,6.3466,6.1703,6.326,1861,0
CDA,D,20190801,000000,6.326,6.326,6.326,6.326,64,0
CDA,D,20190802,000000,6.2584,6.2584,5.9744,5.9744,840,0
CDA,D,20190805,000000,6.2486,6.3662,5.9862,6.0724,945,0
CDA,D,20190806,000000,6.0724,6.4151,5.9754,6.4151,1038,0
CDA,D,20190807,000000,6.3662,8.6188,6.3662,8.0312,14956,0
CDA,D,20190808,000000,8.0312,9.4513,8.0312,8.6678,3751,0
CDA,D,20190809,000000,8.7168,11.653,8.7168,10.607,21293,0
CDA,D,20190812,000000,9.912,11.763,9.912,11.067,8082,0
CDA,D,20190813,000000,11.361,12.732,10.088,10.774,10478,0
CDA,D,20190814,000000,11.44,11.44,9.3632,9.775,4857,0
CDA,D,20190816,000000,9.706,9.775,7.7667,9.3044,2666,0
CDA,D,20190819,000000,9.0106,9.598,8.1516,8.6276,5357,0
CDA,D,20190820,000000,9.3034,9.3034,8.1977,8.7755,1396,0
CDA,D,20190821,000000,8.991,8.991,8.1095,8.2026,680,0
CDA,D,20190822,000000,8.7148,9.1085,8.2026,8.4131,750,0
CDA,D,20190826,000000,7.8353,8.3152,7.7374,8.1291,2979,0
CDA,D,20190827,000000,7.7374,8.1281,7.3554,7.5415,813,0
CDA,D,20190828,000000,7.3652,8.8245,7.3652,8.8245,4487,0
CDA,D,20190829,000000,8.9224,10.578,8.9224,10.578,13044,0
CDA,D,20190830,000000,10.284,10.48,9.5,10.088,5956,0
CDA,D,20190902,000000,10.284,10.284,9.2065,9.4024,2645,0
CDA,D,20190903,000000,10.284,10.284,9.0596,9.2554,2790,0
CDA,D,20190904,000000,9.2554,9.4611,8.4425,8.7168,2193,0
CDA,D,20190905,000000,9.0057,9.0498,8.5111,9.0498,731,0
CDA,D,20190906,000000,9.1281,9.794,9.1281,9.598,2280,0
CDA,D,20190909,000000,9.598,10.108,9.4513,10.039,1329,0
CDA,D,20190910,000000,9.657,10.068,9.5,9.892,1104,0
CDA,D,20190911,000000,9.941,11.753,9.941,10.774,10504,0
CDA,D,20190912,000000,10.685,12.145,10.137,11.459,10715,0
CDA,D,20190913,000000,11.459,11.459,10.284,10.284,3561,0
CDA,D,20190916,000000,11.214,11.263,10.482,11.263,2003,0
CDA,D,20190917,000000,11.459,11.655,10.186,10.186,2792,0
CDA,D,20190918,000000,10.343,11.018,10.039,10.039,1649,0
CDA,D,20190919,000000,10.043,10.774,9.4024,10.774,1820,0
CDA,D,20190920,000000,10.774,10.774,10.284,10.284,387,0
CDA,D,20190923,000000,10.725,10.725,9.4513,10.108,1027,0
CDA,D,20190924,000000,9.696,10.186,9.598,10.186,2648,0
CDA,D,20190925,000000,10.205,10.529,10.137,10.529,408,0
CDA,D,20190926,000000,10.529,10.674,10.01,10.587,149,0
CDA,D,20190927,000000,9.99,10.774,9.99,10.529,694,0
CDA,D,20190930,000000,10.205,10.205,10.088,10.088,882,0
CDA,D,20191001,000000,10.48,10.48,10.088,10.088,163,0
CDA,D,20191002,000000,10.127,10.127,10.127,10.127,1,0
CDA,D,20191003,000000,10.088,10.088,9.696,9.696,439,0
CDA,D,20191004,000000,9.706,9.706,9.696,9.696,306,0
CDA,D,20191007,000000,10,10.284,9.99,10.284,397,0
CDA,D,20191008,000000,9.735,9.99,9.735,9.99,56,0
