<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECK,D,20100701,000000,10.235,10.235,6.8889,7.1841,19843,0
ECK,D,20100702,000000,7.1841,7.1841,6.8889,7.0857,1698,0
ECK,D,20100705,000000,7.0857,7.0857,6.3968,6.4952,7319,0
ECK,D,20100706,000000,6.4952,6.4952,5.7079,6.4952,3230,0
ECK,D,20100707,000000,6.4952,6.5937,6.1016,6.5937,2015,0
ECK,D,20100708,000000,6.2984,6.4952,6.2,6.4952,391,0
ECK,D,20100709,000000,6.4952,6.8889,6.0032,6.0032,1093,0
ECK,D,20100712,000000,5.9048,5.9048,5.4127,5.9048,2101,0
ECK,D,20100713,000000,6.3968,6.4952,5.9048,5.9048,1887,0
ECK,D,20100714,000000,6.2984,6.2984,6.2984,6.2984,0,0
ECK,D,20100715,000000,6.3968,6.3968,5.8063,6.3968,366,0
ECK,D,20100716,000000,6.3968,6.6921,6.3968,6.6921,762,0
ECK,D,20100719,000000,6.5937,6.5937,6.5937,6.5937,0,0
ECK,D,20100720,000000,6.4952,6.4952,5.8063,6.2984,1539,0
ECK,D,20100721,000000,6.0032,6.2984,6.0032,6.2984,208,0
ECK,D,20100722,000000,5.9048,6.0032,5.9048,6.0032,2583,0
ECK,D,20100723,000000,6.0032,6.3968,5.9048,6.3968,859,0
ECK,D,20100726,000000,6.3968,7.1841,6.3968,6.8889,2475,0
ECK,D,20100727,000000,6.8889,6.8889,6.8889,6.8889,1841,0
ECK,D,20100728,000000,6.8889,7.4794,6.2,7.0857,11231,0
ECK,D,20100729,000000,7.4794,8.1683,6.8889,7.381,16460,0
ECK,D,20100730,000000,7.0857,7.2825,6.8889,7.2825,1615,0
ECK,D,20100802,000000,7.381,7.381,7.381,7.381,0,0
ECK,D,20100803,000000,7.381,7.381,7.381,7.381,0,0
ECK,D,20100804,000000,7.381,7.381,6.5937,6.6921,945,0
ECK,D,20100805,000000,6.4952,6.7905,6.4952,6.7905,965,0
ECK,D,20100806,000000,7.0857,7.0857,6.3968,6.8889,1421,0
ECK,D,20100809,000000,6.8889,6.8889,6.3968,6.3968,807,0
ECK,D,20100810,000000,6.7905,6.7905,6.7905,6.7905,0,0
ECK,D,20100811,000000,6.7905,6.7905,6.0032,6.6921,868,0
ECK,D,20100812,000000,6.1016,6.5937,5.9048,6.2,4322,0
ECK,D,20100813,000000,6.4952,6.4952,6.1016,6.4952,52,0
ECK,D,20100816,000000,6.4952,6.4952,6.4952,6.4952,0,0
ECK,D,20100817,000000,6.4952,6.4952,6.4952,6.4952,0,0
ECK,D,20100818,000000,6.4952,6.4952,6.4952,6.4952,709,0
ECK,D,20100819,000000,6.4952,6.4952,6.1016,6.4952,204,0
ECK,D,20100820,000000,6.4952,6.9873,6.4952,6.9873,4392,0
ECK,D,20100823,000000,6.8889,6.8889,6.8889,6.8889,102,0
ECK,D,20100824,000000,7.0857,7.0857,6.5937,6.5937,421,0
ECK,D,20100825,000000,6.5937,6.5937,6.5937,6.5937,428,0
ECK,D,20100826,000000,6.8889,6.8889,6.5937,6.5937,418,0
ECK,D,20100827,000000,6.7905,6.7905,6.7905,6.7905,0,0
ECK,D,20100830,000000,6.8889,6.8889,6.8889,6.8889,76,0
ECK,D,20100831,000000,6.5937,6.5937,6.0032,6.4952,1128,0
ECK,D,20100901,000000,6.4952,6.4952,6.4952,6.4952,153,0
ECK,D,20100902,000000,6.3968,6.3968,6.3968,6.3968,0,0
ECK,D,20100903,000000,6.3968,6.3968,6.3968,6.3968,254,0
ECK,D,20100906,000000,6.4952,6.5937,6.3968,6.3968,508,0
ECK,D,20100907,000000,6.5937,6.5937,6.2984,6.2984,1321,0
ECK,D,20100908,000000,6.2984,6.2984,6.2984,6.2984,0,0
ECK,D,20100909,000000,6.6921,6.6921,6.6921,6.6921,0,0
ECK,D,20100910,000000,6.5937,6.5937,6.0032,6.2984,523,0
ECK,D,20100913,000000,6.5937,6.5937,6.2,6.2,1707,0
ECK,D,20100914,000000,6.1016,6.5937,5.7079,6.5937,916,0
ECK,D,20100915,000000,6.5937,6.5937,6.5937,6.5937,0,0
ECK,D,20100916,000000,6.5937,6.5937,6.5937,6.5937,0,0
ECK,D,20100917,000000,6.5937,6.5937,6.5937,6.5937,0,0
ECK,D,20100920,000000,5.9048,6.2984,5.9048,6.2984,1829,0
ECK,D,20100921,000000,6.5937,6.5937,5.9048,6.0032,1558,0
ECK,D,20100922,000000,6.4952,6.7905,6.3968,6.3968,1524,0
ECK,D,20100923,000000,6.7905,6.7905,6.6921,6.6921,102,0
ECK,D,20100924,000000,6.6921,6.8889,6.5937,6.8889,1439,0
ECK,D,20100927,000000,6.8889,7.2825,6.4952,7.2825,1755,0
ECK,D,20100928,000000,6.3968,6.4952,5.9048,6.4952,3499,0
ECK,D,20100929,000000,6.2,6.5937,5.9048,6.0032,2359,0
ECK,D,20100930,000000,6.2984,6.2984,6.1016,6.1016,1078,0
ECK,D,20101001,000000,6.2,6.2,6.2,6.2,1326,0
ECK,D,20101004,000000,6.2984,6.6921,6.2,6.5937,2315,0
ECK,D,20101005,000000,6.5937,6.5937,6.2984,6.5937,408,0
ECK,D,20101006,000000,6.5937,6.7905,6.2,6.7905,4925,0
ECK,D,20101007,000000,6.7905,6.7905,6.0032,6.6921,628,0
ECK,D,20101008,000000,6.7905,6.9873,6.5937,6.7905,3799,0
ECK,D,20101011,000000,6.5937,6.8889,6.5937,6.8889,559,0
ECK,D,20101012,000000,7.1841,7.1841,6.8889,7.0857,468,0
ECK,D,20101013,000000,7.0857,7.0857,6.7905,6.9873,1463,0
ECK,D,20101014,000000,6.9873,6.9873,6.4952,6.8889,831,0
ECK,D,20101015,000000,6.9873,6.9873,6.9873,6.9873,0,0
ECK,D,20101018,000000,7.1841,7.6762,6.8889,7.6762,1944,0
ECK,D,20101019,000000,7.7746,7.7746,7.1841,7.1841,630,0
ECK,D,20101020,000000,6.8889,7.381,6.8889,7.381,637,0
ECK,D,20101021,000000,7.4794,7.4794,6.9873,7.2825,1258,0
ECK,D,20101022,000000,7.4794,7.7746,6.9873,7.7746,1269,0
ECK,D,20101025,000000,7.873,7.873,6.6921,6.8889,7353,0
ECK,D,20101026,000000,6.9873,7.0857,6.4952,7.0857,1067,0
