<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLG,D,20100622,000000,49.716,58.288,47.145,49.288,8894,0
FLG,D,20100623,000000,49.288,50.145,43.716,48.43,1000,0
FLG,D,20100624,000000,48.86,48.86,48.43,48.43,91,0
FLG,D,20100625,000000,49.288,49.716,47.145,49.288,116,0
FLG,D,20100628,000000,47.145,47.145,43.716,47.145,308,0
FLG,D,20100629,000000,37.716,47.145,37.716,43.288,945,0
FLG,D,20100630,000000,42.859,42.859,41.145,42.859,153,0
FLG,D,20100701,000000,45.43,45.43,44.573,44.573,0,0
FLG,D,20100702,000000,44.145,45.86,44.145,44.573,286,0
FLG,D,20100705,000000,45.002,45.002,39.002,44.145,50,0
FLG,D,20100706,000000,45.002,45.002,39.859,44.145,473,0
FLG,D,20100707,000000,41.573,45.002,41.573,45.002,22,0
FLG,D,20100708,000000,44.573,45.002,44.573,45.002,219,0
FLG,D,20100709,000000,46.288,46.716,43.716,46.288,1055,0
FLG,D,20100712,000000,45.86,45.86,42.859,45.86,216,0
FLG,D,20100713,000000,43.716,44.573,43.716,44.573,0,0
FLG,D,20100714,000000,48.002,48.002,48.002,48.002,21,0
FLG,D,20100716,000000,47.573,47.573,47.573,47.573,468,0
FLG,D,20100720,000000,47.573,48.002,47.573,48.002,59,0
FLG,D,20100721,000000,48.002,48.002,38.145,38.573,4098,0
FLG,D,20100722,000000,38.573,40.716,38.573,40.716,672,0
FLG,D,20100723,000000,38.573,39.43,38.573,39.002,592,0
FLG,D,20100726,000000,39.002,39.002,38.573,38.573,6,0
FLG,D,20100727,000000,38.145,38.145,33.002,36.43,990,0
FLG,D,20100728,000000,34.287,35.573,33.002,33.002,36,0
FLG,D,20100729,000000,34.287,36.43,31.716,34.287,842,0
FLG,D,20100730,000000,35.144,35.144,32.144,34.287,170,0
FLG,D,20100802,000000,31.716,33.859,30.859,33.43,165,0
FLG,D,20100803,000000,33.859,33.859,30.859,33.43,139,0
FLG,D,20100804,000000,33.859,34.287,32.144,32.572,88,0
FLG,D,20100805,000000,33.859,33.859,30.43,33.43,112,0
FLG,D,20100806,000000,30.859,38.573,30.859,38.573,1496,0
FLG,D,20100809,000000,38.145,38.145,34.716,37.287,542,0
FLG,D,20100810,000000,34.716,35.144,34.716,35.144,66,0
FLG,D,20100811,000000,34.287,34.716,34.287,34.716,23,0
FLG,D,20100812,000000,34.287,34.287,34.287,34.287,117,0
FLG,D,20100813,000000,33.859,34.287,33.43,34.287,68,0
FLG,D,20100816,000000,31.716,35.144,31.716,34.287,30,0
FLG,D,20100817,000000,35.144,35.144,34.716,34.716,53,0
FLG,D,20100818,000000,35.144,35.144,31.716,31.716,42,0
FLG,D,20100819,000000,34.716,34.716,34.287,34.287,2,0
FLG,D,20100820,000000,34.716,34.716,34.716,34.716,0,0
FLG,D,20100823,000000,30.859,34.716,30.859,34.716,16,0
FLG,D,20100824,000000,34.287,34.287,34.287,34.287,0,0
FLG,D,20100826,000000,34.287,34.287,30.43,33.859,183,0
FLG,D,20100827,000000,34.287,34.287,34.287,34.287,0,0
FLG,D,20100830,000000,33.43,33.859,33.43,33.859,468,0
FLG,D,20100831,000000,33.43,33.43,33.43,33.43,0,0
FLG,D,20100901,000000,33.859,33.859,33.859,33.859,0,0
FLG,D,20100902,000000,33.43,37.287,33.43,37.287,2104,0
