<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GWR,D,20100216,000000,2.8044,2.8088,2.2427,2.6964,25956,0
GWR,D,20100217,000000,2.6921,2.6921,2.4198,2.4198,5462,0
GWR,D,20100218,000000,2.584,2.6835,2.584,2.6835,693,0
GWR,D,20100219,000000,2.6359,2.7743,2.4674,2.4716,2355,0
GWR,D,20100222,000000,2.6273,2.6273,2.5063,2.5063,1212,0
GWR,D,20100223,000000,2.5063,2.5798,2.4113,2.5798,4693,0
GWR,D,20100224,000000,2.5754,2.5754,2.5149,2.5149,207,0
GWR,D,20100225,000000,2.5149,2.5149,2.4113,2.4156,1124,0
GWR,D,20100226,000000,2.5149,2.5149,2.4113,2.4113,1264,0
GWR,D,20100301,000000,2.4977,2.4977,2.4502,2.4502,606,0
GWR,D,20100302,000000,2.5496,2.5496,2.3983,2.3983,1307,0
GWR,D,20100303,000000,2.4716,2.4716,2.4716,2.4716,199,0
GWR,D,20100304,000000,2.4716,2.4716,2.4716,2.4716,199,0
GWR,D,20100305,000000,2.5236,2.5236,2.4631,2.4631,207,0
GWR,D,20100308,000000,2.5236,2.5236,2.4631,2.4631,212,0
GWR,D,20100309,000000,2.5236,2.6056,2.5236,2.6056,1197,0
GWR,D,20100310,000000,2.7656,3.0033,2.6402,3.0033,2859,0
GWR,D,20100311,000000,2.8044,2.8044,2.7353,2.7353,681,0
GWR,D,20100312,000000,2.8044,2.8044,2.4977,2.6056,6111,0
GWR,D,20100315,000000,2.6446,2.6663,2.5667,2.5667,6683,0
GWR,D,20100316,000000,2.6791,2.6791,2.4025,2.5236,10013,0
GWR,D,20100317,000000,2.5798,2.5798,2.3636,2.3636,2096,0
GWR,D,20100318,000000,2.4156,2.4156,2.3033,2.3033,1671,0
GWR,D,20100319,000000,2.476,2.476,2.4156,2.4156,452,0
GWR,D,20100322,000000,2.476,2.476,2.4458,2.4458,255,0
GWR,D,20100323,000000,2.4458,2.4458,2.4458,2.4458,12,0
GWR,D,20100324,000000,2.4371,2.4371,2.4371,2.4371,12,0
GWR,D,20100325,000000,2.4371,2.4371,2.2082,2.2082,72,0
GWR,D,20100326,000000,2.4371,2.4371,2.4371,2.4371,12,0
GWR,D,20100329,000000,2.4371,2.476,2.4371,2.476,843,0
GWR,D,20100330,000000,2.2297,2.4502,2.044,2.3248,4107,0
GWR,D,20100331,000000,2.4025,2.4025,2.4025,2.4025,2,0
GWR,D,20100401,000000,2.4025,2.4025,2.1217,2.4025,2633,0
GWR,D,20100406,000000,2.4025,2.4025,2.4025,2.4025,12,0
GWR,D,20100407,000000,2.4025,2.4025,2.2039,2.2039,7491,0
GWR,D,20100408,000000,2.3983,2.4674,2.2686,2.4025,5904,0
GWR,D,20100409,000000,2.4025,2.4025,2.3033,2.3033,1179,0
GWR,D,20100412,000000,2.3983,2.3983,2.3939,2.3939,217,0
GWR,D,20100413,000000,2.3983,2.3983,2.2859,2.3033,15223,0
GWR,D,20100414,000000,2.2859,2.2859,2.2859,2.2859,5128,0
GWR,D,20100415,000000,2.3897,2.3897,2.0829,2.2039,17997,0
GWR,D,20100416,000000,2.2039,2.2039,2.2039,2.2039,6486,0
GWR,D,20100419,000000,2.2039,2.2039,2.2039,2.2039,403,0
GWR,D,20100420,000000,2.2039,2.2039,2.2039,2.2039,5272,0
GWR,D,20100421,000000,2.4631,2.4631,2.3033,2.3766,3980,0
GWR,D,20100422,000000,2.4415,2.4415,2.2946,2.2989,8390,0
GWR,D,20100423,000000,2.4415,2.4415,2.3377,2.3377,3618,0
GWR,D,20100426,000000,2.3335,2.3335,2.2039,2.2039,14065,0
GWR,D,20100427,000000,2.234,2.234,2.234,2.234,13983,0
GWR,D,20100428,000000,2.2729,2.2729,2.2039,2.2039,1485,0
GWR,D,20100429,000000,2.2039,2.2039,2.2039,2.2039,2,0
GWR,D,20100430,000000,2.2039,2.2039,2.1519,2.1519,224,0
GWR,D,20100504,000000,2.2039,2.2039,2.2039,2.2039,2,0
GWR,D,20100505,000000,2.2039,2.2039,2.0872,2.0872,1456,0
GWR,D,20100506,000000,2.1519,2.1519,2.1519,2.1519,232,0
GWR,D,20100507,000000,2.1519,2.1519,2.1519,2.1519,232,0
GWR,D,20100510,000000,2.2039,2.2039,2.1519,2.1519,236,0
GWR,D,20100511,000000,2.1995,2.1995,2.1477,2.1477,236,0
GWR,D,20100512,000000,2.1995,2.1995,2.1477,2.1477,239,0
GWR,D,20100513,000000,2.1995,2.1995,2.1088,2.1088,635,0
GWR,D,20100514,000000,2.1995,2.2039,2.1995,2.2039,950,0
GWR,D,20100517,000000,2.2039,2.2039,2.1519,2.1519,236,0
GWR,D,20100518,000000,2.1606,2.1606,2.1088,2.1088,257,0
GWR,D,20100519,000000,2.1606,2.1606,2.1606,2.1606,2,0
GWR,D,20100520,000000,2.2039,2.2039,2.1173,2.1173,711,0
GWR,D,20100521,000000,2.1606,2.1606,2.1606,2.1606,579,0
GWR,D,20100524,000000,2.1823,2.1823,2.0742,2.0742,698,0
GWR,D,20100525,000000,2.1606,2.1606,2.0482,2.0482,1879,0
GWR,D,20100526,000000,2.1304,2.1304,2.0527,2.0527,2926,0
GWR,D,20100527,000000,2.1173,2.1173,2.0656,2.0656,248,0
GWR,D,20100528,000000,2.1173,2.1173,2.1173,2.1173,2,0
GWR,D,20100531,000000,2.1519,2.1519,2.0959,2.0959,1447,0
GWR,D,20100601,000000,2.2039,2.2039,2.1131,2.1131,1444,0
GWR,D,20100602,000000,2.1173,2.1173,2.0742,2.0742,194,0
GWR,D,20100604,000000,2.1173,2.1173,2.0527,2.0527,540,0
GWR,D,20100607,000000,2.1173,2.1173,2.1173,2.1173,26,0
GWR,D,20100608,000000,2.1173,2.1173,2.1173,2.1173,22,0
GWR,D,20100609,000000,2.1173,2.1173,2.1173,2.1173,920,0
