<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HMP,D,20120904,000000,0.47786,0.5348,0.38458,0.41655,129283,0
HMP,D,20120905,000000,0.39831,0.45288,0.38694,0.45288,8841,0
HMP,D,20120906,000000,0.45288,0.45288,0.36413,0.43242,30757,0
HMP,D,20120907,000000,0.45058,0.45058,0.36183,0.40968,78434,0
HMP,D,20120910,000000,0.45513,0.45513,0.45513,0.45513,17,0
HMP,D,20120911,000000,0.45513,0.45513,0.39831,0.43242,3885,0
HMP,D,20120912,000000,0.45513,0.45513,0.40968,0.45513,3798,0
HMP,D,20120913,000000,0.45513,0.45513,0.40281,0.45513,3534,0
HMP,D,20120914,000000,0.45513,0.45513,0.45513,0.45513,17,0
HMP,D,20120917,000000,0.45513,0.45513,0.38916,0.45513,9536,0
HMP,D,20120918,000000,0.45513,0.45513,0.45513,0.45513,17,0
HMP,D,20120919,000000,0.45513,0.45513,0.38694,0.38694,68119,0
HMP,D,20120920,000000,0.45513,0.45513,0.37558,0.45513,12670,0
HMP,D,20120921,000000,0.45513,0.45513,0.39152,0.45513,4410,0
HMP,D,20120924,000000,0.46433,0.46433,0.38006,0.40968,11939,0
HMP,D,20120925,000000,0.45058,0.45058,0.37558,0.38694,8362,0
HMP,D,20120926,000000,0.45058,0.45058,0.45058,0.45058,2,0
HMP,D,20120927,000000,0.45058,0.45058,0.36874,0.38237,6864,0
HMP,D,20120928,000000,0.45058,0.45058,0.45058,0.45058,2,0
HMP,D,20121001,000000,0.45058,0.45058,0.44616,0.44616,14,0
HMP,D,20121002,000000,0.4415,0.4415,0.38694,0.4415,13855,0
HMP,D,20121003,000000,0.45058,0.45058,0.36637,0.44837,1117,0
HMP,D,20121004,000000,0.45058,0.45058,0.36874,0.45058,5895,0
HMP,D,20121005,000000,0.45058,0.45058,0.45058,0.45058,17,0
HMP,D,20121008,000000,0.45058,0.45058,0.45058,0.45058,17,0
HMP,D,20121009,000000,0.45058,0.45058,0.36874,0.45058,3089,0
HMP,D,20121010,000000,0.45058,0.45058,0.36637,0.45058,3048,0
HMP,D,20121011,000000,0.45058,0.45058,0.45058,0.45058,14,0
HMP,D,20121012,000000,0.45058,0.45058,0.36874,0.45058,3309,0
HMP,D,20121015,000000,0.45058,0.45058,0.45058,0.45058,17,0
HMP,D,20121016,000000,0.45058,0.45058,0.36874,0.45058,6413,0
HMP,D,20121017,000000,0.45058,0.45058,0.3596,0.39831,19826,0
HMP,D,20121018,000000,0.39831,0.39831,0.32774,0.33001,4842,0
HMP,D,20121019,000000,0.34141,0.34141,0.34141,0.34141,882,0
HMP,D,20121022,000000,0.34141,0.35275,0.31864,0.35275,25223,0
HMP,D,20121023,000000,0.35275,0.35275,0.35275,0.35275,17,0
HMP,D,20121024,000000,0.35275,0.35275,0.35275,0.35275,7,0
