<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IOD,D,20101230,000000,8.561,8.561,8.561,8.561,13904,0
IOD,D,20101231,000000,9.4215,10.984,9.4215,10.984,3029,0
IOD,D,20110103,000000,13.566,16.279,13.566,16.174,15924,0
IOD,D,20110104,000000,16.174,19.317,15.805,19.317,9542,0
IOD,D,20110105,000000,19.668,21.073,15.366,15.366,8731,0
IOD,D,20110107,000000,15.361,16.679,9.878,16.679,9134,0
IOD,D,20110110,000000,14.488,17.385,14.488,16.244,4576,0
IOD,D,20110111,000000,16.134,16.244,14.488,16.244,907,0
IOD,D,20110112,000000,16.244,16.463,16.244,16.441,216,0
IOD,D,20110113,000000,16.463,23.672,15.607,21.951,1979,0
IOD,D,20110114,000000,21.951,26.341,21.951,25.288,2802,0
IOD,D,20110117,000000,25.815,29.151,20.652,26.341,5779,0
IOD,D,20110118,000000,28.098,29.415,23.049,24.585,1970,0
IOD,D,20110119,000000,24.146,34.2,22.61,34.2,4581,0
IOD,D,20110120,000000,32.922,38.195,25.029,25.029,10651,0
IOD,D,20110121,000000,25.029,25.029,20.024,20.024,12223,0
IOD,D,20110124,000000,16.02,17.561,12.82,12.82,25195,0
IOD,D,20110125,000000,12.679,13.39,10.383,10.409,11009,0
IOD,D,20110126,000000,11.151,12.135,9.878,10.317,11961,0
IOD,D,20110127,000000,10.317,10.537,9.2195,9.3117,12974,0
IOD,D,20110128,000000,9.4785,9.4785,8.1,8.5171,18521,0
IOD,D,20110131,000000,8.4688,10.098,7.9024,9.2634,12983,0
IOD,D,20110201,000000,9,9.834,7.9024,9.812,19742,0
IOD,D,20110202,000000,9.2195,9.2195,8.6927,8.6927,8535,0
IOD,D,20110203,000000,8.7805,8.9122,7.4678,8.561,10778,0
IOD,D,20110204,000000,8.7805,9.2854,7.9024,9.2854,10826,0
IOD,D,20110207,000000,9.659,9.659,8.7146,9.2195,1027,0
IOD,D,20110208,000000,8.7805,9.2195,8.3415,8.7366,1567,0
