<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IST,D,20150416,000000,10.3,11.4,7.25,7.27,32041,0
IST,D,20150417,000000,7.3,7.84,7.25,7.48,10065,0
IST,D,20150420,000000,7.48,7.48,6.8,7.25,4080,0
IST,D,20150421,000000,7.15,7.15,6.78,6.8,490,0
IST,D,20150422,000000,6.76,7.08,6.76,7.08,1683,0
IST,D,20150423,000000,7.1,7.1,6.8,7.08,337,0
IST,D,20150424,000000,6.56,7,6.56,7,445,0
IST,D,20150427,000000,7.05,7.25,6.57,6.8,1166,0
IST,D,20150428,000000,6.57,6.57,6.4,6.4,920,0
IST,D,20150429,000000,6.4,6.4,6.35,6.35,119,0
IST,D,20150430,000000,6.35,6.35,5.55,6.15,1038,0
IST,D,20150504,000000,5.72,5.72,5,5.25,1131,0
IST,D,20150505,000000,5.84,5.84,4.99,5.5,953,0
IST,D,20150506,000000,5.7,6.83,5.7,6.83,1068,0
IST,D,20150507,000000,7,7,5.65,5.93,1184,0
IST,D,20150508,000000,6.15,6.25,5.83,6.25,108,0
IST,D,20150511,000000,5.83,6.4,5.83,6.31,182,0
IST,D,20150512,000000,6.6,6.75,6.6,6.75,30,0
IST,D,20150513,000000,6.75,6.75,6.75,6.75,2,0
IST,D,20150514,000000,6.78,6.78,5.7,6.6,103,0
IST,D,20150515,000000,6,6,5.7,5.7,100,0
IST,D,20150518,000000,5.7,6.05,5.7,6.05,212,0
IST,D,20150520,000000,6.1,6.1,5.95,5.95,114,0
IST,D,20150527,000000,5.95,5.95,5.7,5.7,360,0
IST,D,20150528,000000,5.7,6.37,5.7,6.12,363,0
IST,D,20150602,000000,6.25,6.37,6.24,6.24,333,0
IST,D,20150603,000000,6.5,6.5,6.2,6.2,180,0
IST,D,20150605,000000,6,6,5.9,5.9,150,0
IST,D,20150609,000000,5.9,5.9,5,5.27,1178,0
IST,D,20150610,000000,5.27,5.27,5.1,5.1,226,0
IST,D,20150612,000000,5,5,5,5,10,0
IST,D,20150615,000000,5,5,5,5,33,0
IST,D,20150616,000000,5,5,5,5,43,0
IST,D,20150617,000000,5,5,5,5,3,0
IST,D,20150618,000000,5,5,5,5,5,0
IST,D,20150619,000000,5,5,4,4,2391,0
IST,D,20150622,000000,3.69,4.21,3.69,3.96,763,0
IST,D,20150623,000000,3.75,3.75,3.59,3.59,216,0
IST,D,20150624,000000,3.6,3.6,3.59,3.59,493,0
IST,D,20150625,000000,3.59,3.59,3.59,3.59,10,0
IST,D,20150626,000000,3.59,3.59,3.59,3.59,10,0
IST,D,20150629,000000,3.59,3.59,3.59,3.59,20,0
IST,D,20150630,000000,3.59,3.59,3.59,3.59,4,0
IST,D,20150701,000000,3.59,3.59,3.59,3.59,3,0
IST,D,20150702,000000,3.59,3.59,3.59,3.59,3,0
IST,D,20150703,000000,3.59,3.59,3.59,3.59,105,0
IST,D,20150706,000000,3.59,3.59,3.59,3.59,10,0
IST,D,20150707,000000,3.59,3.59,3.59,3.59,10,0
IST,D,20150708,000000,3.59,3.59,3.59,3.59,10,0
IST,D,20150709,000000,3.58,3.58,3.58,3.58,10,0
IST,D,20150710,000000,3.58,3.59,3.58,3.59,480,0
IST,D,20150713,000000,3.59,3.59,3.59,3.59,3,0
IST,D,20150714,000000,3.59,3.59,3.59,3.59,3,0
IST,D,20150715,000000,3.59,3.59,3.59,3.59,3,0
IST,D,20150716,000000,3.59,3.59,3.59,3.59,4,0
IST,D,20150717,000000,3.59,3.59,3.59,3.59,3,0
IST,D,20150720,000000,3.5,3.5,3.5,3.5,10,0
IST,D,20150721,000000,3.59,3.59,3.59,3.59,4,0
IST,D,20150722,000000,3.59,3.59,3.59,3.59,110,0
IST,D,20150723,000000,3.59,3.59,3.59,3.59,260,0
IST,D,20150724,000000,3.59,3.59,3.59,3.59,5,0
