<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LKS,D,20150528,000000,7,7.3,6.55,6.55,10316,0
LKS,D,20150529,000000,6.85,6.85,6.5,6.83,63,0
LKS,D,20150601,000000,6.79,6.79,6,6,909,0
LKS,D,20150602,000000,6,6.27,5.8,6,140,0
LKS,D,20150603,000000,6,6.25,5.85,6.25,101,0
LKS,D,20150605,000000,6.25,6.81,6.25,6.81,667,0
LKS,D,20150608,000000,6.81,6.81,6.81,6.81,2,0
LKS,D,20150609,000000,6.81,6.81,6.81,6.81,129,0
LKS,D,20150610,000000,6.82,6.82,6.82,6.82,2,0
LKS,D,20150611,000000,6.81,6.81,6.15,6.15,378,0
LKS,D,20150612,000000,6.4,6.44,6.4,6.44,101,0
LKS,D,20150615,000000,6.44,6.44,6.44,6.44,5,0
LKS,D,20150616,000000,6.44,6.44,6.44,6.44,5,0
LKS,D,20150617,000000,6.44,6.44,6.44,6.44,5,0
LKS,D,20150618,000000,6.44,6.44,6.44,6.44,10,0
LKS,D,20150619,000000,6.43,6.43,6.35,6.35,560,0
LKS,D,20150622,000000,6.43,6.43,6.43,6.43,10,0
LKS,D,20150623,000000,6.3,6.3,6,6.1,662,0
LKS,D,20150630,000000,6.05,6.05,5.75,5.75,200,0
LKS,D,20150701,000000,5.77,5.8,5.77,5.8,280,0
LKS,D,20150706,000000,5.87,5.9,5.87,5.9,252,0
LKS,D,20150707,000000,5.9,5.9,5.9,5.9,2,0
LKS,D,20150708,000000,5.9,5.9,5.9,5.9,2,0
LKS,D,20150709,000000,5.9,5.9,5.9,5.9,2,0
LKS,D,20150710,000000,5.9,5.9,5.9,5.9,2,0
LKS,D,20150713,000000,5.9,5.9,5.9,5.9,2,0
LKS,D,20150714,000000,5.9,5.9,5.9,5.9,3,0
LKS,D,20150715,000000,5.9,5.9,5.9,5.9,2,0
LKS,D,20150716,000000,5.9,5.9,5.9,5.9,2,0
LKS,D,20150717,000000,5.9,5.9,5.9,5.9,2,0
LKS,D,20150720,000000,5.9,5.9,5.9,5.9,2,0
LKS,D,20150721,000000,5.9,5.9,5.9,5.9,2,0
LKS,D,20150722,000000,5.9,5.9,5.9,5.9,2,0
LKS,D,20150723,000000,5.9,5.9,5.9,5.9,2,0
LKS,D,20150724,000000,5.9,5.9,5.9,5.9,5,0
LKS,D,20150727,000000,5.89,5.9,5.89,5.9,152,0
LKS,D,20150728,000000,5.91,6.2,5.91,6.2,1044,0
LKS,D,20150729,000000,6.18,6.8,6.18,6.8,682,0
LKS,D,20150730,000000,6.5,6.5,6.1,6.1,183,0
LKS,D,20150803,000000,6.1,6.1,6.1,6.1,133,0
LKS,D,20150804,000000,6.34,6.34,6,6,452,0
LKS,D,20150805,000000,5.95,5.95,5.95,5.95,175,0
LKS,D,20150807,000000,5.97,5.97,5.97,5.97,1,0
LKS,D,20150810,000000,5.96,5.96,5.55,5.55,191,0
LKS,D,20150811,000000,5.78,5.78,5.78,5.78,180,0
LKS,D,20150812,000000,5.78,5.78,5.78,5.78,200,0
