<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LUX,D,20110804,000000,0.552,0.744,0.54,0.672,237863,0
LUX,D,20110805,000000,0.624,0.78,0.624,0.78,103462,0
LUX,D,20110808,000000,0.72,0.78,0.636,0.708,113957,0
LUX,D,20110809,000000,0.708,0.708,0.66,0.708,25500,0
LUX,D,20110810,000000,0.66,0.708,0.66,0.66,14043,0
LUX,D,20110811,000000,0.684,0.684,0.6,0.672,21952,0
LUX,D,20110812,000000,0.684,0.696,0.636,0.69,42558,0
LUX,D,20110816,000000,0.684,0.69,0.636,0.69,19167,0
LUX,D,20110817,000000,0.642,0.72,0.636,0.72,36100,0
LUX,D,20110818,000000,0.66,0.66,0.642,0.648,10783,0
LUX,D,20110819,000000,0.6,0.6,0.528,0.546,44183,0
LUX,D,20110823,000000,0.522,0.636,0.504,0.636,29500,0
LUX,D,20110824,000000,0.558,0.558,0.558,0.558,6833,0
LUX,D,20110825,000000,0.546,0.57,0.546,0.57,10000,0
LUX,D,20110826,000000,0.54,0.546,0.54,0.546,6867,0
LUX,D,20110829,000000,0.522,0.6,0.498,0.546,443250,0
LUX,D,20110830,000000,0.552,0.582,0.54,0.558,39333,0
LUX,D,20110831,000000,0.54,0.54,0.54,0.54,16792,0
LUX,D,20110901,000000,0.516,0.534,0.516,0.534,30667,0
LUX,D,20110902,000000,0.51,0.52,0.46,0.46,39213,0
LUX,D,20110905,000000,0.462,0.504,0.456,0.48,34940,0
LUX,D,20110906,000000,0.474,0.498,0.444,0.444,25225,0
LUX,D,20110908,000000,0.42,0.42,0.42,0.42,7333,0
LUX,D,20110909,000000,0.426,0.48,0.414,0.48,49122,0
LUX,D,20110912,000000,0.444,0.468,0.42,0.468,21205,0
LUX,D,20110913,000000,0.444,0.45,0.444,0.45,7167,0
LUX,D,20110914,000000,0.42,0.42,0.42,0.42,6000,0
LUX,D,20110915,000000,0.42,0.468,0.414,0.468,24167,0
LUX,D,20110916,000000,0.468,0.528,0.462,0.462,47757,0
LUX,D,20110919,000000,0.438,0.462,0.438,0.462,6667,0
LUX,D,20110920,000000,0.414,0.414,0.414,0.414,6167,0
LUX,D,20110921,000000,0.39,0.414,0.39,0.414,6502,0
LUX,D,20110922,000000,0.366,0.474,0.366,0.414,18900,0
LUX,D,20110923,000000,0.39,0.42,0.384,0.384,22667,0
LUX,D,20110926,000000,0.36,0.378,0.36,0.378,13000,0
LUX,D,20110927,000000,0.372,0.372,0.372,0.372,50167,0
LUX,D,20110928,000000,0.378,0.396,0.378,0.396,6833,0
LUX,D,20110929,000000,0.39,0.414,0.39,0.414,14577,0
LUX,D,20110930,000000,0.41,0.45,0.41,0.43,46560,0
LUX,D,20111003,000000,0.402,0.402,0.366,0.366,14787,0
LUX,D,20111006,000000,0.342,0.354,0.318,0.354,46083,0
LUX,D,20111007,000000,0.354,0.366,0.354,0.366,27500,0
LUX,D,20111010,000000,0.372,0.372,0.354,0.354,32167,0
LUX,D,20111012,000000,0.33,0.354,0.33,0.354,20000,0
LUX,D,20111014,000000,0.324,0.324,0.324,0.324,10833,0
LUX,D,20111018,000000,0.33,0.33,0.33,0.33,52790,0
LUX,D,20111019,000000,0.324,0.324,0.306,0.306,50000,0
LUX,D,20111020,000000,0.294,0.342,0.294,0.312,46500,0
LUX,D,20111021,000000,0.294,0.3,0.288,0.3,25167,0
LUX,D,20111024,000000,0.306,0.306,0.306,0.306,3333,0
LUX,D,20111025,000000,0.29,0.31,0.29,0.31,17027,0
LUX,D,20111027,000000,0.282,0.312,0.276,0.312,23833,0
LUX,D,20111031,000000,0.28,0.28,0.25,0.26,62810,0
LUX,D,20111102,000000,0.258,0.258,0.21,0.24,19917,0
LUX,D,20111103,000000,0.25,0.25,0.22,0.22,12960,0
LUX,D,20111104,000000,0.23,0.25,0.23,0.25,87035,0
LUX,D,20111108,000000,0.222,0.222,0.222,0.222,20000,0
LUX,D,20111109,000000,0.22,0.23,0.22,0.22,69343,0
LUX,D,20111110,000000,0.22,0.22,0.2,0.2,15335,0
LUX,D,20111114,000000,0.198,0.198,0.192,0.192,16667,0
LUX,D,20111115,000000,0.18,0.18,0.168,0.168,22167,0
LUX,D,20111117,000000,0.168,0.168,0.162,0.162,26667,0
LUX,D,20111118,000000,0.17,0.19,0.17,0.19,18833,0
LUX,D,20111121,000000,0.18,0.18,0.162,0.168,16470,0
LUX,D,20111122,000000,0.18,0.24,0.18,0.24,51500,0
LUX,D,20111123,000000,0.246,0.294,0.246,0.264,146778,0
LUX,D,20111124,000000,0.24,0.246,0.24,0.246,14338,0
LUX,D,20111125,000000,0.24,0.25,0.24,0.25,4782,0
LUX,D,20111128,000000,0.25,0.26,0.25,0.26,10102,0
LUX,D,20111129,000000,0.26,0.26,0.22,0.23,86460,0
LUX,D,20111201,000000,0.23,0.27,0.21,0.27,29077,0
LUX,D,20111202,000000,0.29,0.35,0.27,0.3,30595,0
LUX,D,20111205,000000,0.36,0.37,0.31,0.33,77362,0
LUX,D,20111206,000000,0.32,0.33,0.31,0.31,8300,0
LUX,D,20111207,000000,0.31,0.31,0.3,0.3,12025,0
LUX,D,20111212,000000,0.26,0.26,0.26,0.26,2133,0
LUX,D,20111213,000000,0.26,0.26,0.25,0.25,13867,0
LUX,D,20111219,000000,0.2,0.24,0.2,0.24,4000,0
LUX,D,20111220,000000,0.2,0.2,0.16,0.18,59690,0
LUX,D,20111222,000000,0.19,0.19,0.19,0.19,12366,0
LUX,D,20111227,000000,0.18,0.21,0.18,0.21,15376,0
LUX,D,20111228,000000,0.25,0.28,0.23,0.23,27443,0
LUX,D,20111229,000000,0.2,0.2,0.2,0.2,12500,0
LUX,D,20120105,000000,0.21,0.23,0.21,0.23,13500,0
LUX,D,20120109,000000,0.22,0.23,0.22,0.23,8400,0
LUX,D,20120111,000000,0.2,0.24,0.2,0.22,38125,0
LUX,D,20120117,000000,0.2,0.22,0.2,0.22,8000,0
LUX,D,20120119,000000,0.21,0.21,0.21,0.21,10400,0
LUX,D,20120120,000000,0.21,0.21,0.2,0.2,14700,0
LUX,D,20120123,000000,0.21,0.21,0.2,0.21,28504,0
LUX,D,20120124,000000,0.21,0.22,0.21,0.22,40300,0
LUX,D,20120125,000000,0.21,0.21,0.21,0.21,10000,0
LUX,D,20120126,000000,0.21,0.22,0.21,0.22,10900,0
LUX,D,20120127,000000,0.2,0.22,0.18,0.22,10801,0
LUX,D,20120130,000000,0.23,0.23,0.19,0.2,138219,0
LUX,D,20120201,000000,0.2,0.2,0.19,0.19,38999,0
LUX,D,20120202,000000,0.18,0.18,0.17,0.18,25599,0
LUX,D,20120203,000000,0.18,0.19,0.17,0.19,24000,0
LUX,D,20120206,000000,0.19,0.19,0.19,0.19,500,0
LUX,D,20120207,000000,0.19,0.27,0.19,0.21,277100,0
LUX,D,20120208,000000,0.24,0.24,0.18,0.2,161927,0
LUX,D,20120209,000000,0.2,0.22,0.19,0.22,81827,0
LUX,D,20120210,000000,0.22,0.24,0.22,0.23,100906,0
LUX,D,20120214,000000,0.22,0.25,0.22,0.24,124500,0
LUX,D,20120215,000000,0.24,0.24,0.21,0.21,69900,0
LUX,D,20120216,000000,0.2,0.21,0.2,0.21,26808,0
LUX,D,20120217,000000,0.22,0.22,0.2,0.2,31550,0
LUX,D,20120220,000000,0.21,0.23,0.2,0.2,69575,0
LUX,D,20120221,000000,0.21,0.21,0.21,0.21,10000,0
LUX,D,20120222,000000,0.2,0.21,0.19,0.21,19922,0
