<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NGG,D,20100618,000000,0.49,0.49,0.32,0.33,772332,0
NGG,D,20100621,000000,0.27,0.33,0.27,0.33,94445,0
NGG,D,20100622,000000,0.32,0.33,0.29,0.32,22680,0
NGG,D,20100623,000000,0.3,0.31,0.26,0.27,204221,0
NGG,D,20100624,000000,0.27,0.27,0.23,0.23,76718,0
NGG,D,20100625,000000,0.23,0.23,0.2,0.23,114481,0
NGG,D,20100628,000000,0.23,0.23,0.2,0.23,9195,0
NGG,D,20100629,000000,0.23,0.23,0.2,0.22,36803,0
NGG,D,20100630,000000,0.21,0.22,0.21,0.22,13653,0
NGG,D,20100701,000000,0.22,0.22,0.22,0.22,10,0
NGG,D,20100702,000000,0.22,0.22,0.19,0.22,15400,0
NGG,D,20100705,000000,0.2,0.22,0.18,0.22,12258,0
NGG,D,20100706,000000,0.21,0.21,0.21,0.21,100,0
NGG,D,20100707,000000,0.21,0.21,0.21,0.21,1000,0
NGG,D,20100708,000000,0.19,0.21,0.18,0.21,22819,0
NGG,D,20100709,000000,0.21,0.22,0.21,0.22,14030,0
NGG,D,20100712,000000,0.21,0.21,0.21,0.21,51,0
NGG,D,20100714,000000,0.22,0.23,0.2,0.2,13500,0
NGG,D,20100715,000000,0.19,0.24,0.19,0.23,74223,0
NGG,D,20100716,000000,0.24,0.24,0.23,0.24,4500,0
NGG,D,20100720,000000,0.22,0.24,0.22,0.24,3500,0
NGG,D,20100721,000000,0.22,0.23,0.21,0.23,3715,0
NGG,D,20100723,000000,0.24,0.28,0.24,0.28,77500,0
NGG,D,20100726,000000,0.3,0.33,0.26,0.29,276675,0
NGG,D,20100727,000000,0.27,0.28,0.26,0.28,27973,0
NGG,D,20100728,000000,0.28,0.29,0.25,0.27,40589,0
NGG,D,20100729,000000,0.25,0.29,0.24,0.29,161621,0
NGG,D,20100730,000000,0.28,0.29,0.27,0.29,17260,0
NGG,D,20100802,000000,0.29,0.29,0.24,0.24,229687,0
NGG,D,20100803,000000,0.24,0.24,0.22,0.23,102961,0
NGG,D,20100804,000000,0.23,0.24,0.23,0.24,1001,0
NGG,D,20100805,000000,0.23,0.23,0.23,0.23,3500,0
NGG,D,20100806,000000,0.23,0.23,0.22,0.23,5500,0
NGG,D,20100809,000000,0.23,0.23,0.23,0.23,9953,0
NGG,D,20100810,000000,0.22,0.23,0.22,0.23,7500,0
NGG,D,20100811,000000,0.23,0.25,0.23,0.25,15704,0
NGG,D,20100812,000000,0.25,0.25,0.23,0.24,11812,0
NGG,D,20100813,000000,0.24,0.24,0.21,0.22,76901,0
NGG,D,20100816,000000,0.21,0.22,0.21,0.22,38956,0
NGG,D,20100817,000000,0.23,0.24,0.23,0.23,49956,0
NGG,D,20100818,000000,0.23,0.23,0.23,0.23,10000,0
NGG,D,20100819,000000,0.23,0.27,0.23,0.26,122133,0
NGG,D,20100820,000000,0.26,0.26,0.21,0.25,107000,0
NGG,D,20100823,000000,0.25,0.25,0.23,0.23,42200,0
NGG,D,20100824,000000,0.23,0.23,0.23,0.23,38350,0
NGG,D,20100825,000000,0.23,0.27,0.23,0.26,189060,0
NGG,D,20100826,000000,0.26,0.26,0.23,0.23,175804,0
NGG,D,20100827,000000,0.23,0.23,0.22,0.23,45378,0
NGG,D,20100830,000000,0.23,0.24,0.22,0.23,115135,0
NGG,D,20100831,000000,0.23,0.23,0.22,0.23,38162,0
NGG,D,20100901,000000,0.23,0.24,0.22,0.24,49235,0
NGG,D,20100902,000000,0.24,0.25,0.24,0.24,62760,0
NGG,D,20100903,000000,0.24,0.24,0.2,0.23,472379,0
NGG,D,20100906,000000,0.23,0.23,0.21,0.23,54704,0
NGG,D,20100907,000000,0.23,0.23,0.21,0.23,18450,0
NGG,D,20100908,000000,0.23,0.23,0.23,0.23,600,0
NGG,D,20100909,000000,0.23,0.23,0.22,0.22,11600,0
