<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBS,D,20110601,000000,6.8102,8.1723,6.7227,7.2967,35329,0
RBS,D,20110602,000000,7.0534,7.7345,6.0806,6.314,9569,0
RBS,D,20110603,000000,6.3239,6.7616,5.9444,6.3239,5903,0
RBS,D,20110606,000000,6.3239,6.5087,5.6427,6.5087,1789,0
RBS,D,20110607,000000,6.5087,7.287,5.9833,6.4211,3771,0
RBS,D,20110608,000000,6.4211,6.4697,6.4211,6.4697,103,0
RBS,D,20110609,000000,6.5087,6.5087,5.7401,6.3239,1244,0
RBS,D,20110610,000000,6.032,6.0513,6.032,6.032,514,0
RBS,D,20110613,000000,6.032,6.5671,5.5454,6.5671,2685,0
RBS,D,20110614,000000,6.6157,6.6157,6.2265,6.4211,75,0
RBS,D,20110615,000000,6.4211,7.2967,6.4211,7.1994,13296,0
RBS,D,20110616,000000,7.2285,7.2285,5.8471,6.5671,1474,0
RBS,D,20110617,000000,6.46,6.4697,6.0806,6.4697,582,0
RBS,D,20110620,000000,6.4697,6.4989,6.4697,6.4989,72,0
RBS,D,20110621,000000,6.5865,7.2383,6.5865,6.8102,1577,0
RBS,D,20110622,000000,6.9076,6.9076,6.1292,6.8102,1572,0
RBS,D,20110624,000000,6.8102,6.8102,5.9833,6.7907,463,0
RBS,D,20110627,000000,6.7907,6.7907,5.8374,6.5087,810,0
RBS,D,20110628,000000,6.0806,6.5671,5.8374,6.5671,482,0
RBS,D,20110629,000000,6.6157,6.6157,6.6157,6.6157,20,0
RBS,D,20110630,000000,6.6157,6.8589,6.2752,6.8589,1895,0
RBS,D,20110701,000000,6.8589,6.8589,6.7129,6.7129,41,0
RBS,D,20110704,000000,6.8589,6.8589,6.7129,6.8589,115,0
RBS,D,20110705,000000,6.8589,7.0048,6.7129,6.9562,689,0
RBS,D,20110706,000000,6.9562,6.9562,6.8102,6.8102,46,0
RBS,D,20110707,000000,6.8102,6.8102,6.8102,6.8102,15,0
RBS,D,20110708,000000,6.8102,6.8102,6.8102,6.8102,15,0
RBS,D,20110711,000000,6.6157,6.8102,6.4211,6.4211,390,0
RBS,D,20110712,000000,6.5184,6.8102,6.3239,6.7129,241,0
RBS,D,20110713,000000,6.8102,6.8102,6.3239,6.7129,499,0
RBS,D,20110714,000000,6.7616,6.7616,6.7616,6.7616,329,0
RBS,D,20110715,000000,6.8102,7.2967,6.5671,7.2967,2270,0
RBS,D,20110718,000000,7.1994,7.1994,7.1994,7.1994,15,0
RBS,D,20110719,000000,7.1994,7.394,7.1508,7.394,83,0
RBS,D,20110720,000000,7.2967,7.2967,7.1994,7.1994,51,0
RBS,D,20110721,000000,7.1508,7.4913,7.1508,7.4913,278,0
