<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SKN,D,20080508,000000,10.05,12.36,9.41,12.2,115275,0
SKN,D,20080509,000000,12.35,12.73,10.5,10.5,22696,0
SKN,D,20080512,000000,10.3,10.48,8.6,8.6,18294,0
SKN,D,20080513,000000,8,9.38,8,8.55,1898,0
SKN,D,20080514,000000,8.97,9,8.97,8.98,1006,0
SKN,D,20080515,000000,8.3,9,8,9,1658,0
SKN,D,20080516,000000,9.39,9.5,9.39,9.5,2744,0
SKN,D,20080519,000000,8.9,9.5,8.8,9.5,268,0
SKN,D,20080520,000000,8.6,9.5,8.6,9.5,1177,0
SKN,D,20080521,000000,8.31,9.5,8.3,9.5,220,0
SKN,D,20080523,000000,9.5,9.5,9.5,9.5,10,0
SKN,D,20080526,000000,7.5,9.5,7.5,9.5,1493,0
SKN,D,20080527,000000,9.5,9.5,9.5,9.5,50,0
SKN,D,20080528,000000,7.6,9.15,7.6,9.15,710,0
SKN,D,20080529,000000,7.5,8.9,7.5,8.9,773,0
SKN,D,20080530,000000,7.56,8.83,7.56,8.83,200,0
SKN,D,20080603,000000,7.5,8.9,7.5,8.9,1050,0
SKN,D,20080604,000000,7.61,8.6,7.6,8.6,350,0
SKN,D,20080605,000000,7.66,8.55,7.66,8.5,331,0
SKN,D,20080606,000000,7.62,8.6,7.62,8.49,464,0
SKN,D,20080609,000000,7.52,8.1,7.5,8.05,310,0
SKN,D,20080611,000000,6.5,8.03,6.5,8.03,240,0
SKN,D,20080612,000000,7.99,7.99,7.99,7.99,150,0
SKN,D,20080613,000000,7.99,7.99,7.99,7.99,100,0
SKN,D,20080616,000000,6.42,7.95,6.39,6.39,823,0
SKN,D,20080623,000000,5.12,6.39,5.12,6.39,101,0
SKN,D,20080624,000000,5.15,5.98,5.15,5.98,51,0
SKN,D,20080627,000000,4.79,5.9,4.79,5.9,261,0
SKN,D,20080630,000000,5.95,5.95,5.95,5.95,500,0
SKN,D,20080710,000000,5.49,6.2,5.49,6.19,2050,0
SKN,D,20080714,000000,5.06,6.2,5.05,6.2,320,0
SKN,D,20080716,000000,5.09,6.18,5.01,6.1,936,0
SKN,D,20080717,000000,5.11,6.04,5.11,6.04,409,0
SKN,D,20080721,000000,5.05,5.8,5.05,5.8,200,0
SKN,D,20080722,000000,6,6.9,6,6.9,920,0
SKN,D,20080723,000000,6.41,6.95,6.41,6.9,611,0
SKN,D,20080724,000000,6.95,7.9,6.95,7.9,913,0
SKN,D,20080725,000000,7.9,7.9,7.9,7.9,200,0
SKN,D,20080728,000000,7.99,7.99,7.99,7.99,100,0
SKN,D,20080730,000000,7.99,8.4,7.99,8.4,1466,0
SKN,D,20080731,000000,8.41,8.6,8.41,8.6,4387,0
SKN,D,20080801,000000,8.6,8.8,8.5,8.8,9882,0
SKN,D,20080804,000000,8.8,8.8,8.8,8.8,200,0
SKN,D,20080805,000000,8.8,9.45,8.8,9.45,2580,0
SKN,D,20080806,000000,9.45,9.5,9.45,9.5,487,0
SKN,D,20080808,000000,9.5,10.01,9.5,9.5,3230,0
