<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1AT_PB,D,20150723,000000,1.5292,1.5292,1.5292,1.5292,0,0
1AT_PB,D,20150724,000000,1.4915,1.5443,1.4915,1.5443,0,0
1AT_PB,D,20150727,000000,1.5366,1.5366,1.5292,1.5292,0,0
1AT_PB,D,20150728,000000,1.5292,1.5292,1.5292,1.5292,0,0
1AT_PB,D,20150729,000000,1.5217,1.5217,1.5217,1.5217,0,0
1AT_PB,D,20150730,000000,1.499,1.5217,1.499,1.5217,0,0
1AT_PB,D,20150731,000000,1.5217,1.5217,1.5217,1.5217,0,0
1AT_PB,D,20150803,000000,1.499,1.499,1.4463,1.4841,0,0
1AT_PB,D,20150804,000000,1.4764,1.4764,1.4764,1.4764,0,0
1AT_PB,D,20150805,000000,1.4841,1.5141,1.4841,1.5141,0,0
1AT_PB,D,20150806,000000,1.5141,1.5141,1.5141,1.5141,0,0
1AT_PB,D,20150807,000000,1.5066,1.5141,1.5066,1.5141,0,0
1AT_PB,D,20150810,000000,1.5141,1.5141,1.5141,1.5141,0,0
1AT_PB,D,20150811,000000,1.5066,1.5141,1.5066,1.5141,0,0
1AT_PB,D,20150812,000000,1.5141,1.5141,1.4689,1.5141,0,0
1AT_PB,D,20150813,000000,1.5141,1.5141,1.4915,1.4915,0,0
1AT_PB,D,20150814,000000,1.4915,1.5141,1.4915,1.5141,0,0
1AT_PB,D,20150817,000000,1.5141,1.5141,1.5141,1.5141,0,0
1AT_PB,D,20150818,000000,1.5141,1.5141,1.4237,1.5066,0,0
1AT_PB,D,20150819,000000,1.4388,1.5066,1.4388,1.5066,0,0
1AT_PB,D,20150820,000000,1.5066,1.5066,1.4915,1.4915,0,0
1AT_PB,D,20150821,000000,1.5066,1.5066,1.5066,1.5066,0,0
1AT_PB,D,20150824,000000,1.5066,1.5066,1.4237,1.5066,0,0
1AT_PB,D,20150825,000000,1.4841,1.499,1.4841,1.499,0,0
1AT_PB,D,20150827,000000,1.4764,1.4915,1.4539,1.4915,0,0
1AT_PB,D,20150828,000000,1.4764,1.4915,1.4539,1.4915,0,0
1AT_PB,D,20150831,000000,1.4162,1.499,1.4162,1.499,0,0
1AT_PB,D,20150901,000000,1.499,1.499,1.4237,1.499,0,0
1AT_PB,D,20150902,000000,1.499,1.5066,1.0696,1.0696,0,0
1AT_PB,D,20150903,000000,1.0696,1.0772,1.0395,1.0772,0,0
1AT_PB,D,20150907,000000,1.0772,1.0772,1.0772,1.0772,0,0
1AT_PB,D,20150908,000000,1.0546,1.0696,1.0546,1.0696,0,0
1AT_PB,D,20150909,000000,1.0696,1.0696,1.0696,1.0696,0,0
1AT_PB,D,20150910,000000,1.0546,1.0772,1.0546,1.0772,0,0
1AT_PB,D,20150911,000000,1.0772,1.0772,1.0772,1.0772,0,0
1AT_PB,D,20150914,000000,1.0696,1.0696,1.0696,1.0696,0,0
1AT_PB,D,20150915,000000,1.0696,1.0696,1.0094,1.0169,0,0
1AT_PB,D,20150916,000000,1.0395,1.0395,1.0245,1.0245,0,0
1AT_PB,D,20150917,000000,1.032,1.032,1.032,1.032,0,0
1AT_PB,D,20150918,000000,1.0395,1.0395,1.032,1.032,0,0
1AT_PB,D,20150921,000000,1.032,1.0395,1.032,1.0395,0,0
1AT_PB,D,20150922,000000,1.0395,1.0546,1.0395,1.0546,0,0
1AT_PB,D,20150923,000000,1.0546,1.0546,1.0546,1.0546,0,0
1AT_PB,D,20150924,000000,1.0546,1.0546,1.0546,1.0546,0,0
1AT_PB,D,20150928,000000,1.0094,1.047,1.0094,1.0395,0,0
1AT_PB,D,20150929,000000,1.0395,1.0395,1.0395,1.0395,0,0
1AT_PB,D,20150930,000000,1.0019,1.0696,1.0019,1.0696,0,0
1AT_PB,D,20151001,000000,1.0696,1.0696,1.0696,1.0696,0,0
1AT_PB,D,20151002,000000,1.0546,1.0546,1.0546,1.0546,0,0
1AT_PB,D,20151005,000000,1.0546,1.0546,1.032,1.0546,0,0
1AT_PB,D,20151006,000000,1.0696,1.0696,1.0696,1.0696,0,0
1AT_PB,D,20151007,000000,1.0696,1.0696,1.032,1.0696,0,0
1AT_PB,D,20151008,000000,1.0696,1.0696,1.032,1.047,0,0
1AT_PB,D,20151009,000000,1.0696,1.0696,1.0546,1.0546,0,0
1AT_PB,D,20151012,000000,1.0546,1.0546,1.032,1.0546,0,0
1AT_PB,D,20151013,000000,1.0621,1.0621,1.0621,1.0621,0,0
1AT_PB,D,20151014,000000,1.032,1.0621,1.032,1.0621,0,0
