<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABS_MV,D,20071119,000000,125.56,125.56,125.56,125.56,0,0
ABS_MV,D,20071120,000000,125.66,127.55,124.2,127.55,0,0
ABS_MV,D,20071121,000000,128.65,128.65,126.54,127.55,0,0
ABS_MV,D,20071122,000000,127.55,127.55,121.99,121.99,0,0
ABS_MV,D,20071123,000000,121.99,128.65,121.99,128.65,0,0
ABS_MV,D,20071126,000000,128.65,133.09,128.65,130.86,0,0
ABS_MV,D,20071127,000000,130.86,130.86,130.86,130.86,0,0
ABS_MV,D,20071128,000000,130.86,133.09,130.86,133.09,0,0
ABS_MV,D,20071129,000000,133.09,134.2,133.09,134.2,0,0
ABS_MV,D,20071203,000000,125.66,133.09,123.22,133.09,0,0
ABS_MV,D,20071205,000000,143.07,143.07,143.07,143.07,0,0
ABS_MV,D,20071206,000000,134.2,134.2,134.2,134.2,0,0
ABS_MV,D,20071207,000000,135.3,135.3,131.97,131.97,0,0
ABS_MV,D,20071210,000000,133.09,134.2,133.09,134.2,0,0
ABS_MV,D,20071211,000000,129.42,134.2,129.42,134.2,0,0
ABS_MV,D,20071212,000000,132.99,169.61,131.97,169.61,0,0
ABS_MV,D,20071213,000000,170.29,170.29,170.29,170.29,0,0
ABS_MV,D,20071214,000000,170.29,170.29,170.29,170.29,0,0
ABS_MV,D,20071217,000000,172.37,172.37,168.23,170.99,0,0
ABS_MV,D,20071219,000000,172.37,172.37,168.23,172.37,0,0
ABS_MV,D,20071220,000000,165.47,172.37,165.47,165.47,0,0
ABS_MV,D,20071221,000000,171.66,171.66,165.47,171.66,0,0
ABS_MV,D,20071227,000000,167.13,167.13,166.85,166.85,0,0
ABS_MV,D,20071228,000000,159.95,175.13,159.95,172.37,0,0
ABS_MV,D,20080102,000000,172.37,172.37,172.37,172.37,0,0
ABS_MV,D,20080103,000000,172.37,172.37,166.99,166.99,0,0
