<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACG_MV,D,20110811,000000,96.132,96.132,96.132,96.132,0,0
ACG_MV,D,20110812,000000,96.074,96.132,92.499,96.132,0,0
ACG_MV,D,20110816,000000,93.762,96.132,93.762,96.132,0,0
ACG_MV,D,20110817,000000,93.469,96.132,93.469,95.634,0,0
ACG_MV,D,20110818,000000,93.762,95.49,93.469,95.49,0,0
ACG_MV,D,20110819,000000,93.504,95.49,93.504,95.158,0,0
ACG_MV,D,20110822,000000,94.189,94.189,94.189,94.189,0,0
ACG_MV,D,20110823,000000,94.189,94.189,93.949,94.136,0,0
ACG_MV,D,20110824,000000,93.949,94.722,93.949,94.722,0,0
ACG_MV,D,20110825,000000,94.189,95.105,94.189,94.722,0,0
ACG_MV,D,20110826,000000,94.047,94.909,94.047,94.909,0,0
ACG_MV,D,20110829,000000,95.202,99.021,95.202,99.021,0,0
ACG_MV,D,20110830,000000,96.132,99.021,96.132,99.021,0,0
ACG_MV,D,20110831,000000,96.849,102.41,96.849,102.41,0,0
ACG_MV,D,20110901,000000,95.404,104.8,95.404,104.8,0,0
ACG_MV,D,20110902,000000,104.8,104.8,104.8,104.8,0,0
ACG_MV,D,20110905,000000,104.8,104.8,104.32,104.32,0,0
ACG_MV,D,20110906,000000,97.567,104.8,96.6,104.8,0,0
ACG_MV,D,20110909,000000,101.42,104.32,98.571,104.32,0,0
ACG_MV,D,20110912,000000,101.42,104.78,97.863,104.78,0,0
ACG_MV,D,20110913,000000,101.42,104.09,98.571,104.09,0,0
ACG_MV,D,20110914,000000,98.571,104.09,98.571,104.09,0,0
ACG_MV,D,20110915,000000,98.686,104.09,98.686,104.09,0,0
ACG_MV,D,20110919,000000,101.42,104.09,101.42,104.09,0,0
ACG_MV,D,20110920,000000,104.09,105.78,104.09,105.78,0,0
ACG_MV,D,20110921,000000,101.49,104.8,101.49,104.8,0,0
ACG_MV,D,20110922,000000,100.51,100.51,100.22,100.22,0,0
ACG_MV,D,20110923,000000,99.021,100.22,97.328,97.375,0,0
ACG_MV,D,20110926,000000,96.658,100.43,96.6,98.055,0,0
ACG_MV,D,20110927,000000,96.6,98.055,96.6,96.6,0,0
ACG_MV,D,20110928,000000,100.94,100.94,96.6,100.22,0,0
ACG_MV,D,20110929,000000,96.658,100.22,96.658,99.021,0,0
ACG_MV,D,20110930,000000,96.6,99.021,96.371,96.371,0,0
ACG_MV,D,20111003,000000,96.562,96.562,96.132,96.132,0,0
ACG_MV,D,20111004,000000,96.16,96.16,96.16,96.16,0,0
ACG_MV,D,20111005,000000,96.514,96.562,96.514,96.562,0,0
ACG_MV,D,20111006,000000,96.562,96.562,96.562,96.562,0,0
ACG_MV,D,20111007,000000,101.42,101.42,96.208,101.42,0,0
ACG_MV,D,20111011,000000,99.51,101.39,99.51,101.39,0,0
ACG_MV,D,20111012,000000,96.753,101.18,96.753,101.18,0,0
ACG_MV,D,20111013,000000,100.22,100.22,100.22,100.22,0,0
ACG_MV,D,20111014,000000,97.567,100.47,97.567,100.47,0,0
ACG_MV,D,20111017,000000,97.567,100.71,97.567,100.71,0,0
ACG_MV,D,20111018,000000,100.71,100.71,100.71,100.71,0,0
ACG_MV,D,20111019,000000,100.94,100.94,100.94,100.94,0,0
ACG_MV,D,20111020,000000,97.567,100.94,97.567,99.51,0,0
ACG_MV,D,20111021,000000,97.662,101.42,97.662,101.42,0,0
ACG_MV,D,20111024,000000,100.43,100.43,100.43,100.43,0,0
ACG_MV,D,20111025,000000,98.543,101.42,98.543,101.42,0,0
ACG_MV,D,20111026,000000,100.43,101.42,100.43,101.42,0,0
ACG_MV,D,20111027,000000,100.43,104.78,100.43,104.78,0,0
ACG_MV,D,20111028,000000,101.49,103.85,101.42,103.8,0,0
ACG_MV,D,20111031,000000,103.75,106.03,103.75,106.03,0,0
ACG_MV,D,20111102,000000,101.42,102.41,100.94,100.94,0,0
ACG_MV,D,20111103,000000,105.78,105.78,101.49,101.72,0,0
ACG_MV,D,20111104,000000,102.45,103.6,101.92,103.6,0,0
ACG_MV,D,20111107,000000,104.32,105.3,101.54,105.3,0,0
ACG_MV,D,20111108,000000,105.3,105.3,105.3,105.3,0,0
ACG_MV,D,20111109,000000,101.72,103.8,101.67,103.8,0,0
ACG_MV,D,20111114,000000,102.16,103.75,102.16,103.75,0,0
ACG_MV,D,20111115,000000,102.41,103.85,102.41,103.85,0,0
ACG_MV,D,20111116,000000,101.67,103.71,101.67,103.71,0,0
ACG_MV,D,20111118,000000,101.49,103.85,101.42,103.85,0,0
ACG_MV,D,20111121,000000,103.8,103.85,103.8,103.85,0,0
ACG_MV,D,20111122,000000,101.42,104.53,101.42,104.53,0,0
ACG_MV,D,20111125,000000,104.29,104.29,104.29,104.29,0,0
ACG_MV,D,20111130,000000,103.32,106.27,101.96,105.3,0,0
ACG_MV,D,20111201,000000,105.78,105.78,105.78,105.78,0,0
ACG_MV,D,20111205,000000,101.96,105.25,101.96,105.25,0,0
ACG_MV,D,20111208,000000,103.85,103.85,101.92,101.92,0,0
ACG_MV,D,20111209,000000,101.92,103.52,101.42,103.52,0,0
ACG_MV,D,20111214,000000,104.32,104.32,104.32,104.32,0,0
ACG_MV,D,20111215,000000,104.32,106.27,101.42,103.75,0,0
ACG_MV,D,20111216,000000,101.49,103.75,100.51,103.75,0,0
ACG_MV,D,20111219,000000,100.51,100.51,98.772,100.47,0,0
ACG_MV,D,20111220,000000,98.543,99.021,98.543,99.021,0,0
ACG_MV,D,20111221,000000,98.964,98.964,98.485,98.543,0,0
ACG_MV,D,20111222,000000,98.543,98.543,98.543,98.543,0,0
ACG_MV,D,20111223,000000,100.18,107.24,98.543,107.24,0,0
ACG_MV,D,20111227,000000,107.18,107.24,98.543,98.543,0,0
ACG_MV,D,20111228,000000,98.543,98.543,95.634,97.567,0,0
ACG_MV,D,20111229,000000,95.634,96.6,95.634,96.6,0,0
ACG_MV,D,20111230,000000,98.064,98.064,96.6,96.6,0,0
ACG_MV,D,20120102,000000,106.27,106.27,103.8,106.27,0,0
ACG_MV,D,20120103,000000,101.42,101.42,101.42,101.42,0,0
ACG_MV,D,20120104,000000,99.021,103.66,99.021,103.66,0,0
ACG_MV,D,20120113,000000,99.059,103.66,97.624,103.66,0,0
ACG_MV,D,20120116,000000,97.806,103.66,97.806,103.66,0,0
ACG_MV,D,20120117,000000,103.37,106.27,103.37,106.27,0,0
ACG_MV,D,20120118,000000,101.49,104.29,101.49,104.14,0,0
ACG_MV,D,20120119,000000,104.18,105.3,104.18,105.3,0,0
ACG_MV,D,20120120,000000,106.27,106.27,106.27,106.27,0,0
ACG_MV,D,20120126,000000,103.6,103.6,103.6,103.6,0,0
ACG_MV,D,20120127,000000,103.6,103.75,103.6,103.75,0,0
ACG_MV,D,20120130,000000,103.85,103.85,103.6,103.85,0,0
ACG_MV,D,20120131,000000,103.84,103.84,101.42,103.6,0,0
ACG_MV,D,20120202,000000,101.42,103.85,101.42,103.85,0,0
ACG_MV,D,20120203,000000,103.85,103.85,101.42,103.85,0,0
ACG_MV,D,20120207,000000,106.27,106.27,101.42,101.49,0,0
ACG_MV,D,20120208,000000,101.42,101.42,101.42,101.42,0,0
ACG_MV,D,20120210,000000,101.42,103.31,101.42,103.31,0,0
ACG_MV,D,20120213,000000,101.18,103.37,101.18,103.37,0,0
ACG_MV,D,20120214,000000,101.42,102.79,100.47,102.79,0,0
ACG_MV,D,20120215,000000,101.42,102.79,101.42,101.42,0,0
