<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APN_MV,D,20090624,000000,62.492,62.492,62.492,62.492,0,0
APN_MV,D,20090625,000000,62.695,62.695,60.964,60.964,0,0
APN_MV,D,20090626,000000,62.185,62.185,60.964,60.964,0,0
APN_MV,D,20090629,000000,61.68,61.68,61.68,61.68,0,0
APN_MV,D,20090630,000000,61.168,61.168,61.168,61.168,0,0
APN_MV,D,20090701,000000,60.256,61.573,59.134,60.964,0,0
APN_MV,D,20090702,000000,61.573,61.98,59.948,59.948,0,0
APN_MV,D,20090703,000000,60.761,60.761,59.948,60.761,0,0
APN_MV,D,20090706,000000,60.964,60.964,60.964,60.964,0,0
APN_MV,D,20090707,000000,60.462,60.964,60.462,60.964,0,0
APN_MV,D,20090709,000000,59.743,60.867,58.933,58.933,0,0
APN_MV,D,20090710,000000,58.933,60.867,58.933,60.867,0,0
APN_MV,D,20090713,000000,60.867,60.867,60.867,60.867,0,0
APN_MV,D,20090715,000000,60.867,60.867,58.12,59.948,0,0
APN_MV,D,20090716,000000,60.354,60.354,59.444,60.354,0,0
APN_MV,D,20090717,000000,59.541,60.867,59.541,60.867,0,0
APN_MV,D,20090720,000000,59.038,59.038,59.038,59.038,0,0
APN_MV,D,20090721,000000,59.743,60.867,59.743,59.851,0,0
APN_MV,D,20090722,000000,59.851,61.883,59.851,61.883,0,0
APN_MV,D,20090723,000000,61.476,61.68,61.476,61.476,0,0
APN_MV,D,20090724,000000,61.883,62.59,61.476,61.476,0,0
APN_MV,D,20090727,000000,61.883,61.883,60.557,60.557,0,0
APN_MV,D,20090728,000000,60.557,61.07,60.557,61.07,0,0
APN_MV,D,20090729,000000,60.557,60.964,60.557,60.557,0,0
APN_MV,D,20090730,000000,61.371,61.776,60.557,60.664,0,0
APN_MV,D,20090731,000000,61.476,61.476,60.761,60.964,0,0
APN_MV,D,20090803,000000,60.964,61.476,60.761,61.371,0,0
APN_MV,D,20090804,000000,61.07,61.371,60.964,61.07,0,0
APN_MV,D,20090805,000000,61.07,61.476,60.964,61.272,0,0
APN_MV,D,20090806,000000,61.272,61.272,60.054,60.964,0,0
APN_MV,D,20090807,000000,61.573,61.573,58.933,61.07,0,0
APN_MV,D,20090810,000000,60.867,61.07,59.444,59.444,0,0
APN_MV,D,20090811,000000,59.649,59.649,59.444,59.444,0,0
APN_MV,D,20090812,000000,59.038,64.525,58.933,64.119,0,0
APN_MV,D,20090813,000000,64.728,66.45,64.525,65.743,0,0
APN_MV,D,20090814,000000,65.743,66.964,65.136,66.76,0,0
APN_MV,D,20090817,000000,65.54,66.964,62.59,66.76,0,0
APN_MV,D,20090818,000000,66.964,69.906,66.76,69.606,0,0
APN_MV,D,20090819,000000,69.703,73.158,69.606,73.158,0,0
APN_MV,D,20090820,000000,71.229,78.643,71.229,78.643,0,0
APN_MV,D,20090821,000000,75.594,80.472,75.594,80.472,0,0
APN_MV,D,20090824,000000,81.189,88.395,81.189,87.381,0,0
APN_MV,D,20090825,000000,86.77,88.297,82.815,86.364,0,0
APN_MV,D,20090826,000000,85.864,85.864,78.75,85.348,0,0
APN_MV,D,20090827,000000,85.052,85.864,82.505,85.348,0,0
APN_MV,D,20090828,000000,85.348,88.395,85.348,86.364,0,0
APN_MV,D,20090831,000000,80.27,82.204,77.734,81.286,0,0
APN_MV,D,20090901,000000,77.832,81.286,75.594,80.879,0,0
APN_MV,D,20090902,000000,75.702,80.879,73.359,73.359,0,0
APN_MV,D,20090903,000000,72.654,76.108,67.572,67.572,0,0
APN_MV,D,20090904,000000,67.671,74.685,67.671,74.579,0,0
APN_MV,D,20090907,000000,75.19,75.19,71.328,75.19,0,0
APN_MV,D,20090908,000000,74.174,74.174,69.093,72.141,0,0
APN_MV,D,20090909,000000,69.808,72.954,68.077,72.856,0,0
APN_MV,D,20090910,000000,70.62,70.62,67.776,70.62,0,0
APN_MV,D,20090914,000000,72.45,72.45,72.45,72.45,0,0
APN_MV,D,20090915,000000,67.671,73.06,67.671,73.06,0,0
APN_MV,D,20090916,000000,69.093,72.45,68.28,71.027,0,0
APN_MV,D,20090917,000000,71.126,71.126,71.027,71.126,0,0
APN_MV,D,20090918,000000,68.588,68.588,68.588,68.588,0,0
APN_MV,D,20090921,000000,68.588,68.588,68.588,68.588,0,0
APN_MV,D,20090922,000000,68.077,70.012,66.044,66.044,0,0
APN_MV,D,20090923,000000,66.556,68.483,66.044,68.483,0,0
APN_MV,D,20090924,000000,68.588,68.588,65.54,68.077,0,0
APN_MV,D,20090928,000000,66.044,66.044,65.948,65.948,0,0
APN_MV,D,20090929,000000,66.044,66.044,66.044,66.044,0,0
APN_MV,D,20090930,000000,66.044,66.044,63.509,65.841,0,0
APN_MV,D,20091001,000000,61.68,65.029,61.68,65.029,0,0
APN_MV,D,20091002,000000,61.776,61.776,61.776,61.776,0,0
APN_MV,D,20091005,000000,61.07,61.776,60.964,60.964,0,0
APN_MV,D,20091006,000000,61.476,63.916,61.07,63.916,0,0
APN_MV,D,20091007,000000,61.168,63.809,61.168,63.809,0,0
APN_MV,D,20091008,000000,61.776,61.883,61.07,61.07,0,0
APN_MV,D,20091009,000000,61.272,61.272,61.07,61.07,0,0
APN_MV,D,20091012,000000,61.07,61.07,61.07,61.07,0,0
APN_MV,D,20091013,000000,61.168,61.168,60.964,61.07,0,0
APN_MV,D,20091014,000000,61.168,61.168,61.07,61.07,0,0
APN_MV,D,20091015,000000,60.964,61.07,56.9,60.964,0,0
APN_MV,D,20091016,000000,60.964,63.809,60.964,63.102,0,0
APN_MV,D,20091019,000000,63.102,64.216,62.997,63.711,0,0
APN_MV,D,20091020,000000,62.492,63.711,62.492,63.711,0,0
APN_MV,D,20091021,000000,62.59,62.59,61.98,61.98,0,0
APN_MV,D,20091022,000000,61.98,62.387,61.98,62.387,0,0
APN_MV,D,20091023,000000,62.59,62.59,62.492,62.492,0,0
APN_MV,D,20091026,000000,61.98,61.98,61.98,61.98,0,0
