<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATC_MV,D,20091023,000000,591.99,591.99,591.99,591.99,0,0
ATC_MV,D,20091026,000000,595.46,595.46,586.61,588.16,0,0
ATC_MV,D,20091027,000000,588.16,598.92,580.46,598.92,0,0
ATC_MV,D,20091028,000000,595.46,595.46,580.46,580.85,0,0
ATC_MV,D,20091029,000000,581.24,581.24,561.24,569.31,0,0
ATC_MV,D,20091030,000000,562.78,568.94,562.78,565.09,0,0
ATC_MV,D,20091102,000000,568.94,568.94,563.18,565.09,0,0
ATC_MV,D,20091103,000000,565.09,576.24,557.4,570.86,0,0
ATC_MV,D,20091104,000000,574.7,574.7,565.09,565.09,0,0
ATC_MV,D,20091105,000000,559.33,576.24,559.33,560.09,0,0
ATC_MV,D,20091106,000000,561.24,571.24,555.48,571.24,0,0
ATC_MV,D,20091109,000000,559.71,593.93,559.71,581.24,0,0
ATC_MV,D,20091110,000000,590.08,590.08,577.39,584.31,0,0
ATC_MV,D,20091112,000000,582.39,584.31,575.86,575.86,0,0
ATC_MV,D,20091113,000000,578.55,580.46,578.55,580.46,0,0
ATC_MV,D,20091116,000000,588.16,588.16,577.01,581.62,0,0
ATC_MV,D,20091117,000000,577.39,579.7,576.62,576.62,0,0
ATC_MV,D,20091118,000000,576.62,576.62,568.94,568.94,0,0
ATC_MV,D,20091119,000000,567.01,570.47,562.4,563.18,0,0
ATC_MV,D,20091120,000000,567.01,571.24,561.63,571.24,0,0
ATC_MV,D,20091123,000000,561.24,563.55,561.24,563.55,0,0
ATC_MV,D,20091124,000000,563.55,565.86,561.63,563.18,0,0
ATC_MV,D,20091125,000000,563.18,564.71,557.79,557.79,0,0
ATC_MV,D,20091126,000000,560.86,560.86,549.71,553.56,0,0
ATC_MV,D,20091127,000000,538.19,652.94,538.19,652.94,0,0
ATC_MV,D,20091130,000000,639.3,654.31,634.31,652.49,0,0
ATC_MV,D,20091201,000000,645.68,647.49,637.49,645.22,0,0
ATC_MV,D,20091202,000000,645.22,645.68,636.57,645.22,0,0
ATC_MV,D,20091203,000000,637.03,675.22,637.03,675.22,0,0
ATC_MV,D,20091204,000000,674.31,681.14,659.76,680.69,0,0
