<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AUG_PE,D,20110711,000000,7.5,7.5,7.3,7.4,0,0
AUG_PE,D,20110712,000000,7.4,7.4,7,7.2,0,0
AUG_PE,D,20110713,000000,7.2,7.2,7.1,7.1,0,0
AUG_PE,D,20110714,000000,7.2,7.2,7.1,7.2,0,0
AUG_PE,D,20110715,000000,7.2,7.2,7.1,7.2,0,0
AUG_PE,D,20110718,000000,7.3,8.3,7.1,8.3,0,0
AUG_PE,D,20110719,000000,8.2,8.2,8.1,8.2,0,0
AUG_PE,D,20110720,000000,8.3,8.4,7.2,7.2,0,0
AUG_PE,D,20110721,000000,7,7.2,7,7.2,0,0
AUG_PE,D,20110722,000000,7.2,7.2,6.5,6.6,0,0
AUG_PE,D,20110725,000000,7.1,7.1,6.8,7.1,0,0
AUG_PE,D,20110726,000000,7.1,7.1,7,7.1,0,0
AUG_PE,D,20110727,000000,7.1,7.2,7.1,7.1,0,0
AUG_PE,D,20110728,000000,6.8,7.1,6.8,7.1,0,0
AUG_PE,D,20110729,000000,7.2,7.2,7.1,7.1,0,0
AUG_PE,D,20110801,000000,7.1,7.1,7,7.1,0,0
AUG_PE,D,20110802,000000,7.1,7.1,6.8,7.1,0,0
AUG_PE,D,20110803,000000,7.1,7.1,6.7,7,0,0
AUG_PE,D,20110804,000000,7.1,7.1,7.1,7.1,0,0
AUG_PE,D,20110805,000000,7.1,7.1,6.5,6.8,0,0
AUG_PE,D,20110808,000000,7,7,6.2,6.2,0,0
AUG_PE,D,20110809,000000,6.2,6.5,5.6,5.6,0,0
AUG_PE,D,20110810,000000,5.6,5.6,5.6,5.6,0,0
AUG_PE,D,20110811,000000,5.8,5.8,5.8,5.8,0,0
AUG_PE,D,20110812,000000,6.2,6.2,5.8,6.1,0,0
AUG_PE,D,20110816,000000,5.9,6.1,5.9,6.1,0,0
AUG_PE,D,20110817,000000,6.2,6.2,6.1,6.2,0,0
AUG_PE,D,20110818,000000,6.2,6.6,6.1,6.5,0,0
AUG_PE,D,20110819,000000,6.1,6.5,6.1,6.1,0,0
AUG_PE,D,20110822,000000,6.8,6.8,6.8,6.8,0,0
AUG_PE,D,20110823,000000,6.7,6.7,6.3,6.3,0,0
AUG_PE,D,20110824,000000,6.5,6.5,6.3,6.4,0,0
AUG_PE,D,20110825,000000,6.5,6.5,6,6.4,0,0
AUG_PE,D,20110826,000000,6.4,6.4,6.4,6.4,0,0
AUG_PE,D,20110829,000000,6.4,6.4,5.8,6.3,0,0
AUG_PE,D,20110830,000000,6.3,6.3,6,6.1,0,0
AUG_PE,D,20110831,000000,6.4,6.4,6.2,6.2,0,0
AUG_PE,D,20110901,000000,6.2,7.3,6.1,7.1,0,0
AUG_PE,D,20110902,000000,6.7,7.3,6.7,7.1,0,0
AUG_PE,D,20110905,000000,7.2,7.2,6.2,6.7,0,0
AUG_PE,D,20110906,000000,6.7,7.4,6.3,7.2,0,0
AUG_PE,D,20110907,000000,7.3,7.8,6.7,7,0,0
AUG_PE,D,20110908,000000,7.1,7.4,6.6,7,0,0
AUG_PE,D,20110909,000000,7.6,7.6,6.9,7.4,0,0
AUG_PE,D,20110912,000000,7.5,7.5,6.3,6.6,0,0
AUG_PE,D,20110913,000000,6.7,7,6.2,6.2,0,0
AUG_PE,D,20110914,000000,6.2,6.5,6.2,6.5,0,0
AUG_PE,D,20110915,000000,6,6.7,6,6.4,0,0
AUG_PE,D,20110916,000000,6.5,6.5,6,6.2,0,0
AUG_PE,D,20110919,000000,6.5,6.5,6.1,6.1,0,0
AUG_PE,D,20110920,000000,6.4,6.4,6,6.1,0,0
AUG_PE,D,20110921,000000,5.6,6.2,5,5.3,0,0
AUG_PE,D,20110922,000000,5.6,5.6,5.3,5.3,0,0
AUG_PE,D,20110923,000000,5.8,5.8,5,5.1,0,0
AUG_PE,D,20110926,000000,5.9,5.9,5.7,5.8,0,0
AUG_PE,D,20110927,000000,5.7,6.1,5.3,5.8,0,0
AUG_PE,D,20110928,000000,5.7,5.7,5.3,5.4,0,0
AUG_PE,D,20110929,000000,5.7,5.7,5.4,5.7,0,0
AUG_PE,D,20110930,000000,5.8,5.8,5.4,5.4,0,0
