<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAR_PB,D,20070813,000000,12.953,12.953,12.953,12.953,0,0
CAR_PB,D,20070814,000000,12.698,12.698,12.698,12.698,0,0
CAR_PB,D,20070816,000000,11.066,11.066,11.066,11.066,0,0
CAR_PB,D,20070817,000000,11.349,11.349,11.349,11.349,0,0
CAR_PB,D,20070820,000000,11.614,11.614,11.614,11.614,0,0
CAR_PB,D,20070821,000000,11.614,11.614,11.614,11.614,0,0
CAR_PB,D,20070822,000000,12.006,12.006,12.006,12.006,0,0
CAR_PB,D,20070823,000000,10.507,10.507,10.507,10.507,0,0
CAR_PB,D,20070824,000000,10.781,10.781,10.781,10.781,0,0
CAR_PB,D,20070827,000000,10.987,10.987,10.987,10.987,0,0
CAR_PB,D,20070828,000000,11.525,11.525,11.525,11.525,0,0
CAR_PB,D,20070829,000000,11.624,11.624,11.624,11.624,0,0
CAR_PB,D,20070830,000000,12.025,12.025,12.025,12.025,0,0
CAR_PB,D,20070831,000000,11.748,11.748,11.748,11.748,0,0
CAR_PB,D,20070903,000000,11.748,11.748,11.748,11.748,0,0
CAR_PB,D,20070904,000000,11.748,11.748,11.748,11.748,0,0
CAR_PB,D,20070905,000000,11.681,11.681,11.681,11.681,0,0
CAR_PB,D,20070906,000000,11.828,11.828,11.828,11.828,0,0
CAR_PB,D,20070907,000000,11.681,11.681,11.681,11.681,0,0
CAR_PB,D,20070910,000000,11.475,11.475,11.475,11.475,0,0
CAR_PB,D,20070911,000000,11.485,11.485,11.485,11.485,0,0
CAR_PB,D,20070912,000000,11.27,11.27,11.27,11.27,0,0
CAR_PB,D,20070913,000000,11.242,11.242,11.242,11.242,0,0
CAR_PB,D,20070914,000000,11.358,11.358,11.358,11.358,0,0
CAR_PB,D,20070917,000000,11.193,11.193,11.193,11.193,0,0
CAR_PB,D,20070918,000000,11.076,11.076,11.076,11.076,0,0
CAR_PB,D,20070919,000000,11.27,11.27,11.27,11.27,0,0
CAR_PB,D,20070920,000000,11.193,11.193,11.193,11.193,0,0
CAR_PB,D,20070921,000000,11.193,11.193,11.193,11.193,0,0
CAR_PB,D,20070924,000000,10.947,10.947,10.947,10.947,0,0
CAR_PB,D,20070925,000000,10.645,10.645,10.645,10.645,0,0
CAR_PB,D,20070926,000000,11.279,11.279,11.279,11.279,0,0
CAR_PB,D,20070927,000000,11.193,11.193,11.193,11.193,0,0
CAR_PB,D,20070928,000000,11.193,11.193,11.193,11.193,0,0
CAR_PB,D,20071001,000000,11.037,11.037,11.037,11.037,0,0
CAR_PB,D,20071002,000000,11.037,11.037,11.037,11.037,0,0
CAR_PB,D,20071003,000000,10.947,10.947,10.947,10.947,0,0
CAR_PB,D,20071004,000000,10.83,10.83,10.83,10.83,0,0
CAR_PB,D,20071005,000000,10.878,10.878,10.878,10.878,0,0
CAR_PB,D,20071008,000000,10.84,10.84,10.84,10.84,0,0
CAR_PB,D,20071009,000000,10.898,10.898,10.898,10.898,0,0
CAR_PB,D,20071010,000000,10.645,10.645,10.645,10.645,0,0
CAR_PB,D,20071011,000000,10.878,10.878,10.878,10.878,0,0
CAR_PB,D,20071012,000000,11.007,11.007,11.007,11.007,0,0
CAR_PB,D,20071015,000000,11.515,11.515,11.515,11.515,0,0
CAR_PB,D,20071016,000000,11.037,11.037,11.037,11.037,0,0
CAR_PB,D,20071017,000000,11.123,11.123,11.123,11.123,0,0
CAR_PB,D,20071018,000000,10.83,10.83,10.83,10.83,0,0
CAR_PB,D,20071019,000000,10.967,10.967,10.967,10.967,0,0
CAR_PB,D,20071022,000000,11.037,11.037,11.037,11.037,0,0
CAR_PB,D,20071023,000000,11.279,11.279,11.279,11.279,0,0
CAR_PB,D,20071024,000000,11.27,11.27,11.27,11.27,0,0
CAR_PB,D,20071025,000000,10.821,10.821,10.821,10.821,0,0
CAR_PB,D,20071026,000000,10.977,10.977,10.977,10.977,0,0
CAR_PB,D,20071029,000000,11.123,11.123,11.123,11.123,0,0
CAR_PB,D,20071030,000000,11.057,11.057,11.057,11.057,0,0
CAR_PB,D,20071031,000000,11.076,11.076,11.076,11.076,0,0
CAR_PB,D,20071102,000000,10.811,10.811,10.811,10.811,0,0
CAR_PB,D,20071105,000000,10.811,10.811,10.811,10.811,0,0
CAR_PB,D,20071106,000000,10.507,10.507,10.507,10.507,0,0
CAR_PB,D,20071107,000000,10.477,10.477,10.477,10.477,0,0
CAR_PB,D,20071108,000000,10.252,10.252,10.252,10.252,0,0
CAR_PB,D,20071109,000000,10.252,10.252,9.803,9.92,0,0
CAR_PB,D,20071112,000000,9.92,9.92,9.755,9.841,0,0
CAR_PB,D,20071113,000000,10.116,10.116,9.676,9.676,0,0
CAR_PB,D,20071114,000000,9.676,9.676,9.509,9.509,0,0
CAR_PB,D,20071115,000000,9.676,9.676,8.0908,8.0908,0,0
CAR_PB,D,20071116,000000,7.7288,8.0908,7.2397,7.5235,0,0
CAR_PB,D,20071119,000000,7.4256,7.7288,7.4256,7.6507,0,0
CAR_PB,D,20071120,000000,7.4354,7.5723,7.4256,7.4941,0,0
CAR_PB,D,20071121,000000,7.4256,7.4256,7.4256,7.4256,0,0
CAR_PB,D,20071122,000000,7.4256,8.0126,7.0637,7.9442,0,0
CAR_PB,D,20071123,000000,7.9442,8.0126,7.5821,7.9343,0,0
CAR_PB,D,20071126,000000,7.9343,8.0908,7.8365,8.0516,0,0
CAR_PB,D,20071127,000000,8.0516,8.0516,7.6116,7.7973,0,0
CAR_PB,D,20071128,000000,7.7973,7.7973,7.4745,7.7973,0,0
CAR_PB,D,20071129,000000,7.8365,7.9442,7.8365,7.9442,0,0
CAR_PB,D,20071130,000000,7.9442,7.9734,7.7485,7.9051,0,0
CAR_PB,D,20071203,000000,7.9832,8.2475,7.9832,8.0126,0,0
CAR_PB,D,20071204,000000,8.0908,8.2573,8.0224,8.0516,0,0
CAR_PB,D,20071205,000000,8.1301,8.306,8.0516,8.306,0,0
CAR_PB,D,20071206,000000,8.3159,8.678,8.3159,8.4724,0,0
CAR_PB,D,20071207,000000,8.6876,8.8638,8.6876,8.8638,0,0
CAR_PB,D,20071210,000000,8.8638,9.577,8.8638,9.2746,0,0
CAR_PB,D,20071211,000000,9.577,9.577,8.9127,9.2161,0,0
CAR_PB,D,20071212,000000,9.2061,9.2061,8.8735,9.1377,0,0
CAR_PB,D,20071213,000000,9.1279,9.1279,8.9127,9.0596,0,0
CAR_PB,D,20071214,000000,9.0596,9.4893,9.0596,9.4893,0,0
CAR_PB,D,20071217,000000,9.1475,9.646,8.9323,9.646,0,0
CAR_PB,D,20071218,000000,9.1768,9.4614,9.1377,9.4614,0,0
CAR_PB,D,20071219,000000,9.1768,9.4314,8.9127,9.4314,0,0
CAR_PB,D,20071220,000000,9.2454,9.4024,9.2061,9.4024,0,0
CAR_PB,D,20071221,000000,9.3924,9.3924,9.3531,9.3531,0,0
CAR_PB,D,20071227,000000,9.2845,9.4225,9.1377,9.4225,0,0
CAR_PB,D,20071228,000000,9.1964,9.4225,9.0105,9.1964,0,0
CAR_PB,D,20080102,000000,8.991,8.991,8.8245,8.9127,0,0
CAR_PB,D,20080103,000000,8.9127,8.9127,8.3452,8.7562,0,0
CAR_PB,D,20080104,000000,8.6095,8.6095,8.492,8.492,0,0
CAR_PB,D,20080107,000000,8.4431,8.6876,7.8757,8.6876,0,0
CAR_PB,D,20080108,000000,8.2475,8.6876,8.2475,8.5018,0,0
CAR_PB,D,20080109,000000,8.2475,8.3159,8.0126,8.0908,0,0
CAR_PB,D,20080110,000000,8.0908,8.1692,7.7288,7.7288,0,0
CAR_PB,D,20080111,000000,7.9442,7.9442,7.3181,7.7973,0,0
CAR_PB,D,20080114,000000,7.5429,7.5429,7.5429,7.5429,0,0
CAR_PB,D,20080115,000000,7.2006,7.3473,7.2006,7.3181,0,0
CAR_PB,D,20080116,000000,6.9852,7.0637,6.7408,6.8287,0,0
CAR_PB,D,20080117,000000,6.9169,7.3376,6.4571,6.9463,0,0
CAR_PB,D,20080118,000000,6.7995,7.2397,6.7897,7.2397,0,0
CAR_PB,D,20080121,000000,7.3473,7.4256,6.6037,6.6037,0,0
CAR_PB,D,20080122,000000,6.4571,6.868,6.4571,6.6821,0,0
CAR_PB,D,20080123,000000,6.6722,7.2788,6.5743,6.9071,0,0
CAR_PB,D,20080124,000000,7.0637,7.1614,6.9071,7.1614,0,0
CAR_PB,D,20080125,000000,7.2301,7.2788,7.1222,7.1222,0,0
CAR_PB,D,20080128,000000,7.0637,7.1222,7.0637,7.1222,0,0
CAR_PB,D,20080129,000000,6.7799,7.3473,6.7799,7.3376,0,0
CAR_PB,D,20080130,000000,7.4256,7.5723,7.2788,7.5723,0,0
CAR_PB,D,20080131,000000,8.0811,8.0811,7.4256,7.4256,0,0
CAR_PB,D,20080201,000000,7.5723,7.9149,7.5723,7.866,0,0
CAR_PB,D,20080204,000000,8.0126,8.2475,8.0126,8.0908,0,0
CAR_PB,D,20080205,000000,7.7973,8.3159,7.7973,8.2475,0,0
CAR_PB,D,20080206,000000,7.6701,7.9442,7.6701,7.9442,0,0
CAR_PB,D,20080207,000000,7.9343,8.1594,7.866,8.0516,0,0
CAR_PB,D,20080208,000000,8.1301,8.1301,7.9051,8.1202,0,0
CAR_PB,D,20080211,000000,7.866,8.1008,7.866,8.0811,0,0
CAR_PB,D,20080212,000000,8.0908,8.3159,8.0908,8.1692,0,0
CAR_PB,D,20080213,000000,8.1104,8.3159,8.1104,8.3159,0,0
CAR_PB,D,20080214,000000,8.3649,8.3649,8.1692,8.2475,0,0
CAR_PB,D,20080215,000000,8.1692,8.3159,8.0908,8.3159,0,0
CAR_PB,D,20080219,000000,8.0908,8.3159,8.0908,8.3159,0,0
CAR_PB,D,20080221,000000,8.3844,8.4724,8.3159,8.3159,0,0
CAR_PB,D,20080222,000000,8.1301,8.3159,8.0908,8.3159,0,0
CAR_PB,D,20080225,000000,8.5018,8.5995,8.3649,8.3941,0,0
CAR_PB,D,20080226,000000,8.6095,8.6191,8.5409,8.5995,0,0
