<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMR_MV,D,20070813,000000,1451.03,1451.03,1451.03,1451.03,0,0
CMR_MV,D,20070814,000000,1433.58,1433.58,1433.58,1433.58,0,0
CMR_MV,D,20070816,000000,1273.47,1273.47,1273.47,1273.47,0,0
CMR_MV,D,20070817,000000,1317.15,1317.15,1317.15,1317.15,0,0
CMR_MV,D,20070820,000000,1266.92,1266.92,1266.92,1266.92,0,0
CMR_MV,D,20070821,000000,1295.3,1295.3,1295.3,1295.3,0,0
CMR_MV,D,20070822,000000,1360.81,1360.81,1360.81,1360.81,0,0
CMR_MV,D,20070823,000000,1426.31,1426.31,1426.31,1426.31,0,0
CMR_MV,D,20070824,000000,1448.13,1448.13,1448.13,1448.13,0,0
CMR_MV,D,20070827,000000,1437.22,1437.22,1437.22,1437.22,0,0
CMR_MV,D,20070828,000000,1419.01,1419.01,1419.01,1419.01,0,0
CMR_MV,D,20070829,000000,1449.57,1449.57,1449.57,1449.57,0,0
CMR_MV,D,20070830,000000,1442.31,1442.31,1442.31,1442.31,0,0
CMR_MV,D,20070831,000000,1451.77,1451.77,1451.77,1451.77,0,0
CMR_MV,D,20070903,000000,1469.23,1469.23,1469.23,1469.23,0,0
CMR_MV,D,20070904,000000,1474.33,1474.33,1474.33,1474.33,0,0
CMR_MV,D,20070905,000000,1471.42,1471.42,1471.42,1471.42,0,0
CMR_MV,D,20070906,000000,1469.23,1469.23,1469.23,1469.23,0,0
CMR_MV,D,20070907,000000,1462.68,1462.68,1462.68,1462.68,0,0
CMR_MV,D,20070910,000000,1397.19,1397.19,1397.19,1397.19,0,0
CMR_MV,D,20070911,000000,1454.68,1454.68,1454.68,1454.68,0,0
CMR_MV,D,20070912,000000,1453.95,1453.95,1453.95,1453.95,0,0
CMR_MV,D,20070913,000000,1454.68,1454.68,1454.68,1454.68,0,0
CMR_MV,D,20070914,000000,1453.95,1453.95,1453.95,1453.95,0,0
CMR_MV,D,20070917,000000,1436.47,1436.47,1436.47,1436.47,0,0
CMR_MV,D,20070918,000000,1432.12,1432.12,1432.12,1432.12,0,0
CMR_MV,D,20070919,000000,1440.85,1440.85,1440.85,1440.85,0,0
CMR_MV,D,20070920,000000,1422.65,1422.65,1422.65,1422.65,0,0
CMR_MV,D,20070921,000000,1415.39,1415.39,1415.39,1415.39,0,0
CMR_MV,D,20070924,000000,1415.39,1415.39,1415.39,1415.39,0,0
CMR_MV,D,20070925,000000,1440.11,1440.11,1440.11,1440.11,0,0
CMR_MV,D,20070926,000000,1451.77,1451.77,1451.77,1451.77,0,0
CMR_MV,D,20070927,000000,1462.68,1462.68,1462.68,1462.68,0,0
CMR_MV,D,20070928,000000,1461.22,1461.22,1461.22,1461.22,0,0
CMR_MV,D,20071001,000000,1362.25,1362.25,1362.25,1362.25,0,0
CMR_MV,D,20071002,000000,1397.19,1397.19,1397.19,1397.19,0,0
CMR_MV,D,20071003,000000,1368.08,1368.08,1368.08,1368.08,0,0
CMR_MV,D,20071004,000000,1360.81,1360.81,1360.81,1360.81,0,0
CMR_MV,D,20071005,000000,1360.81,1360.81,1360.81,1360.81,0,0
CMR_MV,D,20071008,000000,1339.71,1339.71,1339.71,1339.71,0,0
CMR_MV,D,20071009,000000,1366.63,1366.63,1366.63,1366.63,0,0
CMR_MV,D,20071010,000000,1368.08,1368.08,1368.08,1368.08,0,0
CMR_MV,D,20071011,000000,1419.01,1419.01,1419.01,1419.01,0,0
CMR_MV,D,20071012,000000,1411.74,1411.74,1411.74,1411.74,0,0
CMR_MV,D,20071015,000000,1411.74,1411.74,1411.74,1411.74,0,0
CMR_MV,D,20071016,000000,1421.93,1421.93,1421.93,1421.93,0,0
CMR_MV,D,20071017,000000,1433.58,1433.58,1433.58,1433.58,0,0
CMR_MV,D,20071018,000000,1419.01,1419.01,1419.01,1419.01,0,0
CMR_MV,D,20071019,000000,1432.12,1432.12,1432.12,1432.12,0,0
CMR_MV,D,20071022,000000,1346.25,1346.25,1346.25,1346.25,0,0
CMR_MV,D,20071023,000000,1328.06,1328.06,1328.06,1328.06,0,0
CMR_MV,D,20071024,000000,1317.15,1317.15,1317.15,1317.15,0,0
CMR_MV,D,20071025,000000,1312.05,1312.05,1312.05,1312.05,0,0
CMR_MV,D,20071026,000000,1289.49,1289.49,1289.49,1289.49,0,0
CMR_MV,D,20071029,000000,1266.2,1266.2,1266.2,1266.2,0,0
CMR_MV,D,20071030,000000,1255.29,1255.29,1255.29,1255.29,0,0
CMR_MV,D,20071031,000000,1236.37,1236.37,1236.37,1236.37,0,0
CMR_MV,D,20071102,000000,1235.65,1235.65,1235.65,1235.65,0,0
CMR_MV,D,20071105,000000,1197.06,1197.06,1197.06,1197.06,0,0
CMR_MV,D,20071106,000000,1162.86,1162.86,1162.86,1162.86,0,0
CMR_MV,D,20071107,000000,1113.38,1113.38,1113.38,1113.38,0,0
CMR_MV,D,20071108,000000,1111.95,1111.95,1111.95,1111.95,0,0
CMR_MV,D,20071109,000000,1117.02,1135.21,1102.47,1102.47,0,0
CMR_MV,D,20071112,000000,1098.83,1102.47,1063.9,1098.09,0,0
CMR_MV,D,20071113,000000,1098.83,1105.39,1057.36,1101.74,0,0
CMR_MV,D,20071114,000000,1157.05,1164.32,1077.01,1095.92,0,0
CMR_MV,D,20071115,000000,1095.92,1095.92,1033.33,1033.33,0,0
CMR_MV,D,20071116,000000,1018.78,1033.33,967.84,1018.78,0,0
CMR_MV,D,20071119,000000,1018.78,1055.16,972.94,1055.16,0,0
CMR_MV,D,20071120,000000,1004.23,1019.5,982.39,1019.5,0,0
CMR_MV,D,20071121,000000,946.01,946.01,946.01,946.01,0,0
CMR_MV,D,20071122,000000,946.01,1040.61,946.01,1003.5,0,0
CMR_MV,D,20071123,000000,999.86,1055.16,999.86,1000.59,0,0
CMR_MV,D,20071126,000000,997.68,1002.03,993.31,1002.03,0,0
CMR_MV,D,20071127,000000,1002.03,1002.03,988.93,999.14,0,0
CMR_MV,D,20071128,000000,1004.23,1004.23,995.49,1002.79,0,0
CMR_MV,D,20071129,000000,1004.96,1018.78,1004.23,1007.88,0,0
CMR_MV,D,20071130,000000,1032.62,1083.55,1032.62,1055.16,0,0
CMR_MV,D,20071203,000000,1058.81,1073.36,1040.61,1066.09,0,0
CMR_MV,D,20071204,000000,1090.83,1125.04,1090.83,1106.09,0,0
CMR_MV,D,20071205,000000,1134.48,1207.98,1127.93,1207.98,0,0
CMR_MV,D,20071206,000000,1207.98,1251.65,1200.71,1236.37,0,0
CMR_MV,D,20071207,000000,1255.29,1309.86,1207.98,1309.86,0,0
CMR_MV,D,20071210,000000,1295.3,1369.53,1281.49,1360.08,0,0
CMR_MV,D,20071211,000000,1360.08,1419.01,1353.52,1382.63,0,0
CMR_MV,D,20071212,000000,1311.32,1364.44,1311.32,1346.25,0,0
CMR_MV,D,20071213,000000,1337.51,1344.06,1320.05,1338.97,0,0
CMR_MV,D,20071214,000000,1324.43,1324.43,1299.68,1324.43,0,0
CMR_MV,D,20071217,000000,1273.47,1302.6,1260.39,1302.6,0,0
CMR_MV,D,20071218,000000,1267.66,1288.03,1266.92,1287.31,0,0
CMR_MV,D,20071219,000000,1284.39,1309.86,1266.2,1309.86,0,0
CMR_MV,D,20071220,000000,1324.43,1329.51,1304.78,1329.51,0,0
CMR_MV,D,20071221,000000,1330.25,1341.88,1312.05,1338.97,0,0
CMR_MV,D,20071227,000000,1338.97,1346.25,1309.86,1346.25,0,0
CMR_MV,D,20071228,000000,1314.22,1324.43,1296.04,1324.43,0,0
CMR_MV,D,20080102,000000,1288.76,1324.43,1288.76,1288.76,0,0
CMR_MV,D,20080103,000000,1266.2,1266.2,1233.45,1251.65,0,0
CMR_MV,D,20080104,000000,1186.88,1220.35,1178.87,1186.16,0,0
CMR_MV,D,20080107,000000,1189.8,1189.8,1131.59,1175.23,0,0
CMR_MV,D,20080108,000000,1164.32,1164.32,1091.54,1106.09,0,0
CMR_MV,D,20080109,000000,1091.54,1091.54,1039.89,1040.61,0,0
CMR_MV,D,20080110,000000,1025.33,1025.33,967.84,968.58,0,0
CMR_MV,D,20080111,000000,983.13,983.13,946.01,960.56,0,0
CMR_MV,D,20080114,000000,902.35,902.35,902.35,902.35,0,0
CMR_MV,D,20080115,000000,905.98,905.98,868.16,873.24,0,0
CMR_MV,D,20080116,000000,844.87,873.24,800.47,833.22,0,0
CMR_MV,D,20080117,000000,876.87,888.52,829.6,833.94,0,0
CMR_MV,D,20080118,000000,823.75,859.43,823.75,854.31,0,0
CMR_MV,D,20080121,000000,845.58,858.68,840.5,841.22,0,0
CMR_MV,D,20080122,000000,813.57,872.52,812.84,872.52,0,0
CMR_MV,D,20080123,000000,895.07,924.18,895.07,909.62,0,0
CMR_MV,D,20080124,000000,989.67,989.67,924.18,924.18,0,0
CMR_MV,D,20080125,000000,944.56,944.56,909.62,909.62,0,0
CMR_MV,D,20080128,000000,884.17,916.18,884.17,916.18,0,0
CMR_MV,D,20080129,000000,909.62,924.9,909.62,924.9,0,0
CMR_MV,D,20080130,000000,924.18,924.18,918.35,920.55,0,0
CMR_MV,D,20080131,000000,920.55,920.55,905.98,905.98,0,0
CMR_MV,D,20080201,000000,933.64,933.64,909.62,920.55,0,0
