<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNG_MV,D,20070813,000000,187.41,187.41,187.41,187.41,0,0
CNG_MV,D,20070814,000000,184.5,184.5,184.5,184.5,0,0
CNG_MV,D,20070816,000000,184.79,184.79,184.79,184.79,0,0
CNG_MV,D,20070817,000000,183.45,183.45,183.45,183.45,0,0
CNG_MV,D,20070820,000000,186.88,186.88,186.88,186.88,0,0
CNG_MV,D,20070821,000000,184.79,184.79,184.79,184.79,0,0
CNG_MV,D,20070822,000000,275.98,275.98,275.98,275.98,0,0
CNG_MV,D,20070823,000000,277.96,277.96,277.96,277.96,0,0
CNG_MV,D,20070824,000000,274.39,274.39,274.39,274.39,0,0
CNG_MV,D,20070827,000000,275.19,275.19,275.19,275.19,0,0
CNG_MV,D,20070828,000000,281.92,281.92,281.92,281.92,0,0
CNG_MV,D,20070829,000000,289.04,289.04,289.04,289.04,0,0
CNG_MV,D,20070830,000000,289.04,289.04,289.04,289.04,0,0
CNG_MV,D,20070831,000000,291.42,291.42,291.42,291.42,0,0
CNG_MV,D,20070903,000000,293,293,293,293,0,0
CNG_MV,D,20070904,000000,293,293,293,293,0,0
CNG_MV,D,20070905,000000,292.22,292.22,292.22,292.22,0,0
CNG_MV,D,20070906,000000,292.22,292.22,292.22,292.22,0,0
CNG_MV,D,20070907,000000,286.28,286.28,286.28,286.28,0,0
CNG_MV,D,20070910,000000,279.94,279.94,279.94,279.94,0,0
CNG_MV,D,20070911,000000,279.94,279.94,279.94,279.94,0,0
CNG_MV,D,20070912,000000,279.94,279.94,279.94,279.94,0,0
CNG_MV,D,20070913,000000,279.14,279.14,279.14,279.14,0,0
CNG_MV,D,20070914,000000,283.5,283.5,283.5,283.5,0,0
CNG_MV,D,20070917,000000,277.17,277.17,277.17,277.17,0,0
CNG_MV,D,20070918,000000,277.17,277.17,277.17,277.17,0,0
CNG_MV,D,20070919,000000,279.14,279.14,279.14,279.14,0,0
CNG_MV,D,20070920,000000,277.17,277.17,277.17,277.17,0,0
CNG_MV,D,20070921,000000,277.17,277.17,277.17,277.17,0,0
CNG_MV,D,20070924,000000,273.2,273.2,273.2,273.2,0,0
CNG_MV,D,20070925,000000,269.25,269.25,269.25,269.25,0,0
CNG_MV,D,20070926,000000,271.22,271.22,271.22,271.22,0,0
CNG_MV,D,20070927,000000,264.1,264.1,264.1,264.1,0,0
CNG_MV,D,20070928,000000,268.06,268.06,268.06,268.06,0,0
CNG_MV,D,20071001,000000,259.34,259.34,259.34,259.34,0,0
CNG_MV,D,20071002,000000,261.32,261.32,261.32,261.32,0,0
CNG_MV,D,20071003,000000,257.36,257.36,257.36,257.36,0,0
CNG_MV,D,20071004,000000,253.41,253.41,253.41,253.41,0,0
CNG_MV,D,20071005,000000,261.32,261.32,261.32,261.32,0,0
CNG_MV,D,20071008,000000,260.54,260.54,260.54,260.54,0,0
CNG_MV,D,20071009,000000,261.32,261.32,261.32,261.32,0,0
CNG_MV,D,20071010,000000,260.13,260.13,260.13,260.13,0,0
CNG_MV,D,20071011,000000,273.2,273.2,273.2,273.2,0,0
CNG_MV,D,20071012,000000,272.81,272.81,272.81,272.81,0,0
CNG_MV,D,20071015,000000,275.19,275.19,275.19,275.19,0,0
CNG_MV,D,20071016,000000,271.62,271.62,271.62,271.62,0,0
CNG_MV,D,20071017,000000,271.62,271.62,271.62,271.62,0,0
CNG_MV,D,20071018,000000,267.26,267.26,267.26,267.26,0,0
CNG_MV,D,20071019,000000,267.26,267.26,267.26,267.26,0,0
CNG_MV,D,20071022,000000,265.29,265.29,265.29,265.29,0,0
CNG_MV,D,20071023,000000,264.49,264.49,264.49,264.49,0,0
CNG_MV,D,20071024,000000,257.36,257.36,257.36,257.36,0,0
CNG_MV,D,20071025,000000,245.49,245.49,245.49,245.49,0,0
CNG_MV,D,20071026,000000,245.49,245.49,245.49,245.49,0,0
CNG_MV,D,20071029,000000,237.57,237.57,237.57,237.57,0,0
CNG_MV,D,20071030,000000,237.57,237.57,237.57,237.57,0,0
CNG_MV,D,20071031,000000,249.46,249.46,249.46,249.46,0,0
CNG_MV,D,20071102,000000,245.49,245.49,245.49,245.49,0,0
CNG_MV,D,20071105,000000,233.61,233.61,233.61,233.61,0,0
CNG_MV,D,20071106,000000,233.61,233.61,233.61,233.61,0,0
CNG_MV,D,20071107,000000,225.7,225.7,225.7,225.7,0,0
CNG_MV,D,20071108,000000,229.64,229.64,229.64,229.64,0,0
CNG_MV,D,20071109,000000,221.34,233.61,221.34,233.61,0,0
CNG_MV,D,20071112,000000,237.57,237.57,227.67,231.63,0,0
CNG_MV,D,20071113,000000,231.63,240.32,226.88,240.32,0,0
CNG_MV,D,20071114,000000,241.93,245.49,235.59,240.32,0,0
CNG_MV,D,20071115,000000,240.73,240.73,216.98,219.35,0,0
CNG_MV,D,20071116,000000,217.77,219.35,205.89,209.85,0,0
CNG_MV,D,20071119,000000,206.29,209.85,204.32,209.85,0,0
CNG_MV,D,20071120,000000,203.11,203.11,203.11,203.11,0,0
CNG_MV,D,20071121,000000,197.97,199.16,186.88,199.16,0,0
CNG_MV,D,20071122,000000,194.42,216.59,192.44,216.59,0,0
CNG_MV,D,20071123,000000,216.59,222.91,210.65,217.77,0,0
CNG_MV,D,20071126,000000,222.91,222.91,216.2,216.98,0,0
CNG_MV,D,20071127,000000,209.85,221.72,207.08,221.72,0,0
CNG_MV,D,20071128,000000,220.14,227.67,217.77,227.67,0,0
CNG_MV,D,20071129,000000,231.63,237.57,227.67,233.21,0,0
CNG_MV,D,20071130,000000,233.61,241.13,228.86,240.73,0,0
CNG_MV,D,20071203,000000,241.13,241.13,230.05,237.57,0,0
CNG_MV,D,20071204,000000,240.32,240.32,226.49,237.57,0,0
CNG_MV,D,20071205,000000,239.94,240.32,237.57,239.54,0,0
CNG_MV,D,20071206,000000,239.54,239.54,234.41,239.16,0,0
CNG_MV,D,20071207,000000,239.16,241.52,235.59,241.52,0,0
CNG_MV,D,20071210,000000,237.57,237.57,234.8,237.57,0,0
CNG_MV,D,20071211,000000,237.57,239.54,230.84,232.43,0,0
CNG_MV,D,20071212,000000,225.7,239.16,223.31,239.16,0,0
CNG_MV,D,20071213,000000,227.67,237.18,227.67,237.18,0,0
CNG_MV,D,20071214,000000,233.61,237.57,227.67,237.57,0,0
CNG_MV,D,20071217,000000,230.44,237.57,228.46,237.57,0,0
CNG_MV,D,20071218,000000,232.03,237.57,232.03,237.57,0,0
