<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DOM_MV,D,20070813,000000,1824.64,1824.64,1824.64,1824.64,0,0
DOM_MV,D,20070814,000000,1818.77,1818.77,1818.77,1818.77,0,0
DOM_MV,D,20070816,000000,1670.94,1670.94,1670.94,1670.94,0,0
DOM_MV,D,20070817,000000,1713.18,1713.18,1713.18,1713.18,0,0
DOM_MV,D,20070820,000000,1724.91,1724.91,1724.91,1724.91,0,0
DOM_MV,D,20070821,000000,1701.43,1701.43,1701.43,1701.43,0,0
DOM_MV,D,20070822,000000,1795.31,1795.31,1795.31,1795.31,0,0
DOM_MV,D,20070823,000000,1760.1,1760.1,1760.1,1760.1,0,0
DOM_MV,D,20070824,000000,1771.85,1771.85,1771.85,1771.85,0,0
DOM_MV,D,20070827,000000,1783.57,1783.57,1783.57,1783.57,0,0
DOM_MV,D,20070828,000000,1762.46,1762.46,1762.46,1762.46,0,0
DOM_MV,D,20070829,000000,1760.1,1760.1,1760.1,1760.1,0,0
DOM_MV,D,20070830,000000,1771.85,1771.85,1771.85,1771.85,0,0
DOM_MV,D,20070831,000000,1807.04,1807.04,1807.04,1807.04,0,0
DOM_MV,D,20070903,000000,1789.44,1789.44,1789.44,1789.44,0,0
DOM_MV,D,20070904,000000,1781.23,1781.23,1781.23,1781.23,0,0
DOM_MV,D,20070905,000000,1797.66,1797.66,1797.66,1797.66,0,0
DOM_MV,D,20070906,000000,1777.72,1777.72,1777.72,1777.72,0,0
DOM_MV,D,20070907,000000,1777.72,1777.72,1777.72,1777.72,0,0
DOM_MV,D,20070910,000000,1748.37,1748.37,1748.37,1748.37,0,0
DOM_MV,D,20070911,000000,1795.31,1795.31,1795.31,1795.31,0,0
DOM_MV,D,20070912,000000,1761.27,1761.27,1761.27,1761.27,0,0
DOM_MV,D,20070913,000000,1757.77,1757.77,1757.77,1757.77,0,0
DOM_MV,D,20070914,000000,1778.89,1778.89,1778.89,1778.89,0,0
DOM_MV,D,20070917,000000,1777.72,1777.72,1777.72,1777.72,0,0
DOM_MV,D,20070918,000000,1818.77,1818.77,1818.77,1818.77,0,0
DOM_MV,D,20070919,000000,1816.43,1816.43,1816.43,1816.43,0,0
DOM_MV,D,20070920,000000,1818.77,1818.77,1818.77,1818.77,0,0
DOM_MV,D,20070921,000000,1853.98,1853.98,1853.98,1853.98,0,0
DOM_MV,D,20070924,000000,1773.01,1773.01,1773.01,1773.01,0,0
DOM_MV,D,20070925,000000,1775.36,1775.36,1775.36,1775.36,0,0
DOM_MV,D,20070926,000000,1742.51,1742.51,1742.51,1742.51,0,0
DOM_MV,D,20070927,000000,1746.02,1746.02,1746.02,1746.02,0,0
DOM_MV,D,20070928,000000,1748.37,1748.37,1748.37,1748.37,0,0
DOM_MV,D,20071001,000000,1715.52,1715.52,1715.52,1715.52,0,0
DOM_MV,D,20071002,000000,1704.96,1704.96,1704.96,1704.96,0,0
DOM_MV,D,20071003,000000,1666.24,1666.24,1666.24,1666.24,0,0
DOM_MV,D,20071004,000000,1676.8,1676.8,1676.8,1676.8,0,0
DOM_MV,D,20071005,000000,1676.8,1676.8,1676.8,1676.8,0,0
DOM_MV,D,20071008,000000,1695.57,1695.57,1695.57,1695.57,0,0
DOM_MV,D,20071009,000000,1722.56,1722.56,1722.56,1722.56,0,0
DOM_MV,D,20071010,000000,1724.91,1724.91,1724.91,1724.91,0,0
DOM_MV,D,20071011,000000,1676.8,1676.8,1676.8,1676.8,0,0
DOM_MV,D,20071012,000000,1672.11,1672.11,1672.11,1672.11,0,0
DOM_MV,D,20071015,000000,1666.24,1666.24,1666.24,1666.24,0,0
DOM_MV,D,20071016,000000,1631.04,1631.04,1631.04,1631.04,0,0
DOM_MV,D,20071017,000000,1629.86,1629.86,1629.86,1629.86,0,0
DOM_MV,D,20071018,000000,1688.53,1688.53,1688.53,1688.53,0,0
DOM_MV,D,20071019,000000,1760.1,1760.1,1760.1,1760.1,0,0
DOM_MV,D,20071022,000000,1701.43,1701.43,1701.43,1701.43,0,0
DOM_MV,D,20071023,000000,1701.43,1701.43,1701.43,1701.43,0,0
DOM_MV,D,20071024,000000,1688.53,1688.53,1688.53,1688.53,0,0
DOM_MV,D,20071025,000000,1683.84,1683.84,1683.84,1683.84,0,0
DOM_MV,D,20071026,000000,1661.53,1661.53,1661.53,1661.53,0,0
DOM_MV,D,20071029,000000,1636.9,1636.9,1636.9,1636.9,0,0
DOM_MV,D,20071030,000000,1568.84,1568.84,1568.84,1568.84,0,0
DOM_MV,D,20071031,000000,1558.29,1558.29,1558.29,1558.29,0,0
DOM_MV,D,20071102,000000,1571.19,1571.19,1571.19,1571.19,0,0
DOM_MV,D,20071105,000000,1584.1,1584.1,1584.1,1584.1,0,0
DOM_MV,D,20071106,000000,1595.83,1595.83,1595.83,1595.83,0,0
DOM_MV,D,20071107,000000,1584.1,1584.1,1584.1,1584.1,0,0
DOM_MV,D,20071108,000000,1520.73,1520.73,1520.73,1520.73,0,0
DOM_MV,D,20071109,000000,1525.43,1525.43,1456.19,1471.45,0,0
DOM_MV,D,20071112,000000,1378.75,1471.45,1378.75,1431.56,0,0
DOM_MV,D,20071113,000000,1419.82,1466.75,1419.82,1455.03,0,0
DOM_MV,D,20071114,000000,1514.86,1519.56,1456.19,1456.19,0,0
DOM_MV,D,20071115,000000,1478.5,1478.5,1381.11,1408.09,0,0
DOM_MV,D,20071116,000000,1374.06,1408.09,1350.59,1355.29,0,0
DOM_MV,D,20071119,000000,1356.45,1372.89,1327.13,1327.13,0,0
DOM_MV,D,20071120,000000,1320.07,1320.07,1320.07,1320.07,0,0
DOM_MV,D,20071121,000000,1314.22,1314.22,1225.04,1232.07,0,0
DOM_MV,D,20071122,000000,1202.75,1314.22,1138.21,1314.22,0,0
DOM_MV,D,20071123,000000,1314.22,1314.22,1291.93,1302.47,0,0
DOM_MV,D,20071126,000000,1325.94,1325.94,1247.33,1248.51,0,0
DOM_MV,D,20071127,000000,1249.68,1249.68,1196.87,1201.56,0,0
DOM_MV,D,20071128,000000,1215.64,1254.38,1208.61,1232.07,0,0
DOM_MV,D,20071129,000000,1255.54,1261.4,1243.8,1255.54,0,0
DOM_MV,D,20071130,000000,1267.28,1337.68,1243.8,1337.68,0,0
DOM_MV,D,20071203,000000,1314.22,1348.24,1302.47,1302.47,0,0
DOM_MV,D,20071204,000000,1290.75,1290.75,1246.17,1267.28,0,0
DOM_MV,D,20071205,000000,1261.4,1320.07,1261.4,1306,0,0
DOM_MV,D,20071206,000000,1306,1342.37,1302.47,1333,0,0
DOM_MV,D,20071207,000000,1331.81,1337.68,1320.07,1328.29,0,0
DOM_MV,D,20071210,000000,1336.51,1336.51,1303.66,1314.22,0,0
DOM_MV,D,20071211,000000,1303.66,1303.66,1270.8,1290.75,0,0
DOM_MV,D,20071212,000000,1237.94,1273.15,1237.94,1259.06,0,0
DOM_MV,D,20071213,000000,1244.98,1244.98,1222.69,1222.69,0,0
DOM_MV,D,20071214,000000,1232.07,1237.94,1220.33,1229.73,0,0
DOM_MV,D,20071217,000000,1209.79,1232.07,1179.26,1191.01,0,0
DOM_MV,D,20071218,000000,1168.72,1191.01,1166.36,1185.14,0,0
DOM_MV,D,20071219,000000,1174.57,1174.57,1138.21,1138.21,0,0
DOM_MV,D,20071220,000000,1144.07,1152.27,1139.96,1148.77,0,0
DOM_MV,D,20071221,000000,1149.34,1149.34,1132.34,1147.59,0,0
DOM_MV,D,20071227,000000,1139.38,1148.17,1139.38,1144.07,0,0
DOM_MV,D,20071228,000000,1146.42,1161.67,1131.17,1161.67,0,0
