<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DPL_MV,D,20070813,000000,315.37,315.37,315.37,315.37,0,0
DPL_MV,D,20070814,000000,292.21,292.21,292.21,292.21,0,0
DPL_MV,D,20070816,000000,241.72,241.72,241.72,241.72,0,0
DPL_MV,D,20070817,000000,257.76,257.76,257.76,257.76,0,0
DPL_MV,D,20070820,000000,267.76,267.76,267.76,267.76,0,0
DPL_MV,D,20070821,000000,256.45,256.45,256.45,256.45,0,0
DPL_MV,D,20070822,000000,270.39,270.39,270.39,270.39,0,0
DPL_MV,D,20070823,000000,272.23,272.23,272.23,272.23,0,0
DPL_MV,D,20070824,000000,280.12,280.12,280.12,280.12,0,0
DPL_MV,D,20070827,000000,288.8,288.8,288.8,288.8,0,0
DPL_MV,D,20070828,000000,273.55,273.55,273.55,273.55,0,0
DPL_MV,D,20070829,000000,281.43,281.43,281.43,281.43,0,0
DPL_MV,D,20070830,000000,284.06,284.06,284.06,284.06,0,0
DPL_MV,D,20070831,000000,294.58,294.58,294.58,294.58,0,0
DPL_MV,D,20070903,000000,298.53,298.53,298.53,298.53,0,0
DPL_MV,D,20070904,000000,312.21,312.21,312.21,312.21,0,0
DPL_MV,D,20070905,000000,302.47,302.47,302.47,302.47,0,0
DPL_MV,D,20070906,000000,290.64,290.64,290.64,290.64,0,0
DPL_MV,D,20070907,000000,275.12,275.12,275.12,275.12,0,0
DPL_MV,D,20070910,000000,266.7,266.7,266.7,266.7,0,0
DPL_MV,D,20070911,000000,272.76,272.76,272.76,272.76,0,0
DPL_MV,D,20070912,000000,269.6,269.6,269.6,269.6,0,0
DPL_MV,D,20070913,000000,274.6,274.6,274.6,274.6,0,0
DPL_MV,D,20070914,000000,271.44,271.44,271.44,271.44,0,0
DPL_MV,D,20070917,000000,267.23,267.23,267.23,267.23,0,0
DPL_MV,D,20070918,000000,273.29,273.29,273.29,273.29,0,0
DPL_MV,D,20070919,000000,288.01,288.01,288.01,288.01,0,0
