<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EHG_MV,D,20111215,000000,316.06,316.06,316.06,316.06,0,0
EHG_MV,D,20111216,000000,337.13,337.13,316.06,337.13,0,0
EHG_MV,D,20111219,000000,321.31,326.59,310.79,326.59,0,0
EHG_MV,D,20111220,000000,323.44,323.44,322.37,322.37,0,0
EHG_MV,D,20111221,000000,321.31,321.31,305.52,316.06,0,0
EHG_MV,D,20111222,000000,330.81,387.74,316.06,387.74,0,0
EHG_MV,D,20111223,000000,388.97,388.97,376.63,376.63,0,0
EHG_MV,D,20111227,000000,382.81,388.97,376.63,388.97,0,0
EHG_MV,D,20111228,000000,388.97,388.97,382.81,382.81,0,0
EHG_MV,D,20111229,000000,376.63,376.63,358.1,358.1,0,0
EHG_MV,D,20111230,000000,358.1,397.63,323.53,397.63,0,0
EHG_MV,D,20120102,000000,432.21,432.21,432.21,432.21,0,0
EHG_MV,D,20120103,000000,463.06,463.06,395.15,395.15,0,0
EHG_MV,D,20120104,000000,395.15,395.15,395.15,395.15,0,0
EHG_MV,D,20120105,000000,358.1,358.1,358.1,358.1,0,0
EHG_MV,D,20120109,000000,339.58,358.1,339.58,358.1,0,0
EHG_MV,D,20120206,000000,308.72,358.1,308.72,339.58,0,0
EHG_MV,D,20120207,000000,334.64,339.58,329.71,338.35,0,0
EHG_MV,D,20120208,000000,329.71,338.35,309.95,318.59,0,0
EHG_MV,D,20120209,000000,296.37,343.29,290.2,308.72,0,0
EHG_MV,D,20120210,000000,293.9,293.9,292.66,292.66,0,0
EHG_MV,D,20120213,000000,296.37,296.37,296.37,296.37,0,0
EHG_MV,D,20120214,000000,271.67,291.43,271.67,291.43,0,0
EHG_MV,D,20120220,000000,270.43,282.78,270.43,282.78,0,0
EHG_MV,D,20120221,000000,260.56,281.55,260.56,281.55,0,0
EHG_MV,D,20120223,000000,280.3,280.3,280.3,280.3,0,0
EHG_MV,D,20120302,000000,279.08,288.95,279.08,288.95,0,0
EHG_MV,D,20120305,000000,288.95,306.25,288.95,306.25,0,0
EHG_MV,D,20120306,000000,301.3,301.3,301.3,301.3,0,0
EHG_MV,D,20120308,000000,300.07,327.23,300.07,308.72,0,0
EHG_MV,D,20120312,000000,342.06,342.06,342.06,342.06,0,0
EHG_MV,D,20120313,000000,348.22,370.46,348.22,370.46,0,0
EHG_MV,D,20120314,000000,308.72,316.12,308.72,316.12,0,0
EHG_MV,D,20120315,000000,308.72,369.23,308.72,358.1,0,0
EHG_MV,D,20120316,000000,358.1,358.1,344.53,344.53,0,0
EHG_MV,D,20120320,000000,303.77,344.53,303.77,314.89,0,0
EHG_MV,D,20120326,000000,321.07,321.07,314.89,314.89,0,0
EHG_MV,D,20120328,000000,269.2,314.89,269.2,269.2,0,0
EHG_MV,D,20120329,000000,295.12,295.12,269.2,295.12,0,0
EHG_MV,D,20120330,000000,314.89,329.71,295.12,329.71,0,0
EHG_MV,D,20120402,000000,333.4,345.77,327.23,345.77,0,0
EHG_MV,D,20120403,000000,314.89,345.77,314.89,321.07,0,0
EHG_MV,D,20120417,000000,314.89,314.89,314.89,314.89,0,0
EHG_MV,D,20120426,000000,345.77,345.77,345.77,345.77,0,0
EHG_MV,D,20120502,000000,314.89,358.1,314.89,358.1,0,0
EHG_MV,D,20120510,000000,316.12,327.23,305.01,305.01,0,0
EHG_MV,D,20120511,000000,308.72,308.72,295.12,295.12,0,0
EHG_MV,D,20120514,000000,296.37,296.37,295.12,296.37,0,0
EHG_MV,D,20120517,000000,296.37,296.37,296.37,296.37,0,0
EHG_MV,D,20120524,000000,296.37,321.07,296.37,321.07,0,0
EHG_MV,D,20120525,000000,291.43,291.43,291.43,291.43,0,0
EHG_MV,D,20120531,000000,308.72,319.82,308.72,319.82,0,0
EHG_MV,D,20120601,000000,314.89,314.89,314.89,314.89,0,0
EHG_MV,D,20120629,000000,284.02,321.07,284.02,321.07,0,0
EHG_MV,D,20120821,000000,321.07,321.07,321.07,321.07,0,0
EHG_MV,D,20120928,000000,246.97,321.07,246.97,277.84,0,0
EHG_MV,D,20121001,000000,246.97,246.97,246.97,246.97,0,0
EHG_MV,D,20121003,000000,277.84,277.84,246.97,277.84,0,0
EHG_MV,D,20121005,000000,277.84,277.84,277.84,277.84,0,0
EHG_MV,D,20121012,000000,277.84,277.84,277.84,277.84,0,0
EHG_MV,D,20121022,000000,277.84,277.84,277.84,277.84,0,0
EHG_MV,D,20121227,000000,275.38,275.38,275.38,275.38,0,0
EHG_MV,D,20121228,000000,276.61,284.02,276.61,284.02,0,0
EHG_MV,D,20130125,000000,285.25,285.25,285.25,285.25,0,0
EHG_MV,D,20130213,000000,265.48,285.25,265.48,265.48,0,0
EHG_MV,D,20130220,000000,265.48,265.48,265.48,265.48,0,0
EHG_MV,D,20130305,000000,265.48,265.48,265.48,265.48,0,0
EHG_MV,D,20130322,000000,240.8,240.8,240.8,240.8,0,0
EHG_MV,D,20130404,000000,263.01,264.26,240.8,264.26,0,0
EHG_MV,D,20130405,000000,284.02,284.02,284.02,284.02,0,0
EHG_MV,D,20130531,000000,286.48,286.48,286.48,286.48,0,0
EHG_MV,D,20130604,000000,308.72,308.72,286.48,308.72,0,0
EHG_MV,D,20130701,000000,240.8,240.8,240.8,240.8,0,0
EHG_MV,D,20130723,000000,240.8,240.8,240.8,240.8,0,0
EHG_MV,D,20130731,000000,308.72,308.72,308.72,308.72,0,0
EHG_MV,D,20130812,000000,308.72,308.72,308.72,308.72,0,0
EHG_MV,D,20130827,000000,279.08,279.08,279.08,279.08,0,0
EHG_MV,D,20130828,000000,316.12,316.12,279.08,316.12,0,0
EHG_MV,D,20130902,000000,308.72,308.72,308.72,308.72,0,0
EHG_MV,D,20130927,000000,307.49,308.72,307.49,308.72,0,0
EHG_MV,D,20131112,000000,308.72,308.72,308.72,308.72,0,0
EHG_MV,D,20131218,000000,308.72,308.72,308.72,308.72,0,0
EHG_MV,D,20131230,000000,308.72,308.72,308.72,308.72,0,0
EHG_MV,D,20140107,000000,308.72,308.72,308.72,308.72,0,0
EHG_MV,D,20140121,000000,308.72,308.72,296.37,296.37,0,0
EHG_MV,D,20140124,000000,240.8,240.8,240.8,240.8,0,0
EHG_MV,D,20140204,000000,265.48,265.48,265.48,265.48,0,0
EHG_MV,D,20140218,000000,271.67,271.67,271.67,271.67,0,0
EHG_MV,D,20140226,000000,276.61,276.61,276.61,276.61,0,0
EHG_MV,D,20140303,000000,259.32,259.32,259.32,259.32,0,0
EHG_MV,D,20140304,000000,259.32,259.32,259.32,259.32,0,0
EHG_MV,D,20140311,000000,259.32,259.32,259.32,259.32,0,0
EHG_MV,D,20140317,000000,259.32,259.32,259.32,259.32,0,0
EHG_MV,D,20140320,000000,259.32,259.32,259.32,259.32,0,0
EHG_MV,D,20140331,000000,308.72,308.72,308.72,308.72,0,0
EHG_MV,D,20140401,000000,308.72,308.72,308.72,308.72,0,0
EHG_MV,D,20140515,000000,259.32,259.32,259.32,259.32,0,0
EHG_MV,D,20140516,000000,279.08,279.08,279.08,279.08,0,0
EHG_MV,D,20140519,000000,266.74,266.74,266.74,266.74,0,0
EHG_MV,D,20140521,000000,259.32,259.32,259.32,259.32,0,0
EHG_MV,D,20140523,000000,259.32,259.32,259.32,259.32,0,0
EHG_MV,D,20140620,000000,240.8,240.8,240.8,240.8,0,0
EHG_MV,D,20140626,000000,255.62,284.02,255.62,284.02,0,0
EHG_MV,D,20140627,000000,287.71,308.72,287.71,308.72,0,0
EHG_MV,D,20141114,000000,288.95,288.95,253.15,253.15,0,0
EHG_MV,D,20141117,000000,267.96,267.96,267.96,267.96,0,0
EHG_MV,D,20150224,000000,240.8,240.8,240.8,240.8,0,0
EHG_MV,D,20150305,000000,240.8,240.8,240.8,240.8,0,0
EHG_MV,D,20150317,000000,246.97,246.97,240.8,240.8,0,0
EHG_MV,D,20150318,000000,240.8,240.8,240.8,240.8,0,0
EHG_MV,D,20150324,000000,246.97,246.97,246.97,246.97,0,0
EHG_MV,D,20150327,000000,243.28,243.28,243.28,243.28,0,0
EHG_MV,D,20150331,000000,228.46,228.46,228.46,228.46,0,0
EHG_MV,D,20150409,000000,228.46,235.86,228.46,235.86,0,0
EHG_MV,D,20150410,000000,235.86,235.86,235.86,235.86,0,0
EHG_MV,D,20150413,000000,235.86,250.67,235.86,250.67,0,0
EHG_MV,D,20150414,000000,275.38,275.38,275.38,275.38,0,0
EHG_MV,D,20150427,000000,275.38,275.38,275.38,275.38,0,0
EHG_MV,D,20150428,000000,302.54,308.72,300.07,300.07,0,0
EHG_MV,D,20150430,000000,329.71,361.82,329.71,361.82,0,0
EHG_MV,D,20150504,000000,361.82,396.39,361.82,395.15,0,0
EHG_MV,D,20150505,000000,432.21,432.21,407.51,407.51,0,0
EHG_MV,D,20150511,000000,402.56,402.56,402.56,402.56,0,0
EHG_MV,D,20150512,000000,370.46,370.46,370.46,370.46,0,0
EHG_MV,D,20150514,000000,370.46,388.97,364.29,364.29,0,0
EHG_MV,D,20150515,000000,328.48,328.48,328.48,328.48,0,0
EHG_MV,D,20150518,000000,359.35,359.35,359.35,359.35,0,0
EHG_MV,D,20150519,000000,395.15,407.51,395.15,407.51,0,0
EHG_MV,D,20150520,000000,407.51,407.51,407.51,407.51,0,0
EHG_MV,D,20150716,000000,406.27,406.27,406.27,406.27,0,0
EHG_MV,D,20150730,000000,370.46,370.46,370.46,370.46,0,0
EHG_MV,D,20150807,000000,333.4,333.4,333.4,333.4,0,0
EHG_MV,D,20150810,000000,300.07,333.4,270.43,333.4,0,0
EHG_MV,D,20150812,000000,366.76,366.76,366.76,366.76,0,0
EHG_MV,D,20150817,000000,370.46,370.46,370.46,370.46,0,0
EHG_MV,D,20150819,000000,348.22,348.22,348.22,348.22,0,0
EHG_MV,D,20150824,000000,308.72,308.72,308.72,308.72,0,0
EHG_MV,D,20150907,000000,271.67,271.67,271.67,271.67,0,0
EHG_MV,D,20150908,000000,277.84,277.84,276.61,276.61,0,0
EHG_MV,D,20150918,000000,271.67,271.67,271.67,271.67,0,0
EHG_MV,D,20151012,000000,271.67,271.67,271.67,271.67,0,0
EHG_MV,D,20151014,000000,298.84,327.23,298.84,327.23,0,0
EHG_MV,D,20151015,000000,333.4,358.1,333.4,358.1,0,0
EHG_MV,D,20151016,000000,370.46,370.46,370.46,370.46,0,0
