<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EHG_PB,D,20111215,000000,0.5818,0.5818,0.5818,0.5818,0,0
EHG_PB,D,20111216,000000,0.6206,0.6206,0.5818,0.6206,0,0
EHG_PB,D,20111219,000000,0.5915,0.6012,0.5721,0.6012,0,0
EHG_PB,D,20111220,000000,0.6012,0.6012,0.5915,0.5915,0,0
EHG_PB,D,20111221,000000,0.5915,0.5915,0.5625,0.5818,0,0
EHG_PB,D,20111222,000000,0.6109,0.7175,0.5818,0.7175,0,0
EHG_PB,D,20111223,000000,0.7175,0.7175,0.6982,0.6982,0,0
EHG_PB,D,20111227,000000,0.7079,0.7175,0.6982,0.7175,0,0
EHG_PB,D,20111228,000000,0.7175,0.7175,0.7079,0.7079,0,0
EHG_PB,D,20111229,000000,0.6982,0.6982,0.6594,0.6594,0,0
EHG_PB,D,20111230,000000,0.6594,0.7371,0.6012,0.7371,0,0
EHG_PB,D,20120102,000000,0.7951,0.7951,0.7951,0.7951,0,0
EHG_PB,D,20120103,000000,0.8534,0.8534,0.7273,0.7273,0,0
EHG_PB,D,20120104,000000,0.7273,0.7273,0.7273,0.7273,0,0
EHG_PB,D,20120105,000000,0.6594,0.6594,0.6594,0.6594,0,0
EHG_PB,D,20120109,000000,0.6303,0.6594,0.6303,0.6594,0,0
EHG_PB,D,20120206,000000,0.5721,0.6594,0.5721,0.6303,0,0
EHG_PB,D,20120207,000000,0.6206,0.6303,0.6109,0.6303,0,0
EHG_PB,D,20120208,000000,0.6109,0.6303,0.5721,0.5915,0,0
EHG_PB,D,20120209,000000,0.5526,0.6303,0.5334,0.5721,0,0
EHG_PB,D,20120210,000000,0.5431,0.5431,0.5431,0.5431,0,0
EHG_PB,D,20120213,000000,0.5526,0.5526,0.5526,0.5526,0,0
EHG_PB,D,20120214,000000,0.5042,0.5431,0.5042,0.5431,0,0
EHG_PB,D,20120220,000000,0.5042,0.5236,0.5042,0.5236,0,0
EHG_PB,D,20120221,000000,0.48485,0.5236,0.48485,0.5236,0,0
EHG_PB,D,20120223,000000,0.5139,0.5139,0.5139,0.5139,0,0
EHG_PB,D,20120302,000000,0.5139,0.5334,0.5139,0.5334,0,0
EHG_PB,D,20120305,000000,0.5334,0.5625,0.5334,0.5625,0,0
EHG_PB,D,20120306,000000,0.5526,0.5526,0.5526,0.5526,0,0
EHG_PB,D,20120308,000000,0.5526,0.6012,0.5526,0.5721,0,0
EHG_PB,D,20120312,000000,0.6303,0.6303,0.6303,0.6303,0,0
EHG_PB,D,20120313,000000,0.64,0.6885,0.64,0.6885,0,0
EHG_PB,D,20120314,000000,0.5721,0.5818,0.5721,0.5818,0,0
EHG_PB,D,20120315,000000,0.5721,0.6788,0.5721,0.6594,0,0
EHG_PB,D,20120316,000000,0.6594,0.6594,0.64,0.64,0,0
EHG_PB,D,20120320,000000,0.5625,0.64,0.5625,0.5818,0,0
EHG_PB,D,20120326,000000,0.5915,0.5915,0.5818,0.5818,0,0
EHG_PB,D,20120328,000000,0.47515,0.5526,0.47515,0.47515,0,0
EHG_PB,D,20120329,000000,0.5139,0.5139,0.47515,0.5139,0,0
EHG_PB,D,20120330,000000,0.5526,0.5818,0.5139,0.5818,0,0
EHG_PB,D,20120402,000000,0.5818,0.6109,0.5721,0.6109,0,0
EHG_PB,D,20120403,000000,0.5526,0.6109,0.5526,0.5625,0,0
EHG_PB,D,20120417,000000,0.5526,0.5526,0.5526,0.5526,0,0
EHG_PB,D,20120426,000000,0.6109,0.6109,0.6109,0.6109,0,0
EHG_PB,D,20120502,000000,0.5526,0.6303,0.5526,0.6303,0,0
EHG_PB,D,20120510,000000,0.5526,0.5721,0.5334,0.5334,0,0
EHG_PB,D,20120511,000000,0.5431,0.5431,0.5139,0.5139,0,0
EHG_PB,D,20120514,000000,0.5236,0.5236,0.5139,0.5236,0,0
EHG_PB,D,20120517,000000,0.5236,0.5236,0.5236,0.5236,0,0
EHG_PB,D,20120524,000000,0.5042,0.5431,0.5042,0.5431,0,0
EHG_PB,D,20120525,000000,0.49457,0.49457,0.49457,0.49457,0,0
EHG_PB,D,20120531,000000,0.5236,0.5431,0.5236,0.5431,0,0
EHG_PB,D,20120601,000000,0.5334,0.5334,0.5334,0.5334,0,0
EHG_PB,D,20120629,000000,0.5431,0.6206,0.5431,0.6206,0,0
EHG_PB,D,20120821,000000,0.6206,0.6206,0.6206,0.6206,0,0
EHG_PB,D,20120928,000000,0.46545,0.6109,0.46545,0.5236,0,0
EHG_PB,D,20121001,000000,0.46545,0.46545,0.46545,0.46545,0,0
EHG_PB,D,20121003,000000,0.5236,0.5236,0.46545,0.5236,0,0
EHG_PB,D,20121005,000000,0.5236,0.5236,0.5236,0.5236,0,0
EHG_PB,D,20121012,000000,0.5236,0.5236,0.5236,0.5236,0,0
EHG_PB,D,20121022,000000,0.5236,0.5236,0.5236,0.5236,0,0
EHG_PB,D,20121227,000000,0.5334,0.5334,0.5334,0.5334,0,0
EHG_PB,D,20121228,000000,0.5334,0.5431,0.5334,0.5431,0,0
EHG_PB,D,20130125,000000,0.5526,0.5526,0.5526,0.5526,0,0
EHG_PB,D,20130213,000000,0.5139,0.5526,0.5139,0.5139,0,0
EHG_PB,D,20130220,000000,0.5139,0.5139,0.5139,0.5139,0,0
EHG_PB,D,20130305,000000,0.5139,0.5139,0.5139,0.5139,0,0
EHG_PB,D,20130322,000000,0.49457,0.49457,0.49457,0.49457,0,0
EHG_PB,D,20130404,000000,0.5431,0.5431,0.49457,0.5431,0,0
EHG_PB,D,20130405,000000,0.5818,0.5818,0.5818,0.5818,0,0
EHG_PB,D,20130531,000000,0.49457,0.49457,0.49457,0.49457,0,0
EHG_PB,D,20130604,000000,0.5334,0.5334,0.49457,0.5334,0,0
EHG_PB,D,20130701,000000,0.41696,0.41696,0.41696,0.41696,0,0
EHG_PB,D,20130723,000000,0.49457,0.49457,0.49457,0.49457,0,0
EHG_PB,D,20130731,000000,0.6303,0.6303,0.6303,0.6303,0,0
EHG_PB,D,20130812,000000,0.6303,0.6303,0.6303,0.6303,0,0
EHG_PB,D,20130827,000000,0.5721,0.5721,0.5721,0.5721,0,0
EHG_PB,D,20130828,000000,0.6497,0.6497,0.5721,0.6497,0,0
EHG_PB,D,20130902,000000,0.6303,0.6303,0.6303,0.6303,0,0
EHG_PB,D,20130927,000000,0.5818,0.5915,0.5818,0.5915,0,0
EHG_PB,D,20131112,000000,0.5915,0.5915,0.5915,0.5915,0,0
EHG_PB,D,20131218,000000,0.6109,0.6109,0.6109,0.6109,0,0
EHG_PB,D,20131230,000000,0.6109,0.6109,0.6109,0.6109,0,0
EHG_PB,D,20140107,000000,0.6109,0.6109,0.6109,0.6109,0,0
EHG_PB,D,20140121,000000,0.6109,0.6109,0.5818,0.5818,0,0
EHG_PB,D,20140124,000000,0.47515,0.47515,0.47515,0.47515,0,0
EHG_PB,D,20140204,000000,0.5236,0.5236,0.45576,0.45576,0,0
EHG_PB,D,20140218,000000,0.46545,0.46545,0.46545,0.46545,0,0
EHG_PB,D,20140226,000000,0.47515,0.47515,0.47515,0.47515,0,0
EHG_PB,D,20140303,000000,0.44606,0.5139,0.44606,0.5139,0,0
EHG_PB,D,20140304,000000,0.5139,0.5139,0.5139,0.5139,0,0
EHG_PB,D,20140311,000000,0.5139,0.5139,0.5139,0.5139,0,0
EHG_PB,D,20140317,000000,0.5139,0.5139,0.5139,0.5139,0,0
EHG_PB,D,20140320,000000,0.5139,0.5139,0.5139,0.5139,0,0
EHG_PB,D,20140331,000000,0.6109,0.6109,0.6109,0.6109,0,0
EHG_PB,D,20140401,000000,0.6109,0.6109,0.6109,0.6109,0,0
EHG_PB,D,20140515,000000,0.5139,0.5139,0.5139,0.5139,0,0
EHG_PB,D,20140516,000000,0.5526,0.5526,0.5526,0.5526,0,0
EHG_PB,D,20140519,000000,0.5334,0.5334,0.5334,0.5334,0,0
EHG_PB,D,20140521,000000,0.5139,0.5139,0.5139,0.5139,0,0
EHG_PB,D,20140523,000000,0.5139,0.5139,0.5139,0.5139,0,0
EHG_PB,D,20140620,000000,0.41696,0.41696,0.41696,0.41696,0,0
EHG_PB,D,20140626,000000,0.44606,0.49457,0.44606,0.49457,0,0
EHG_PB,D,20140627,000000,0.49457,0.5334,0.49457,0.5334,0,0
EHG_PB,D,20141114,000000,0.6982,0.6982,0.6109,0.6109,0,0
EHG_PB,D,20141117,000000,0.64,0.64,0.64,0.64,0,0
EHG_PB,D,20150224,000000,0.5915,0.5915,0.5915,0.5915,0,0
EHG_PB,D,20150305,000000,0.5915,0.5915,0.5915,0.5915,0,0
EHG_PB,D,20150317,000000,0.6109,0.6109,0.5915,0.5915,0,0
EHG_PB,D,20150318,000000,0.5915,0.5915,0.5915,0.5915,0,0
EHG_PB,D,20150324,000000,0.6109,0.6109,0.6109,0.6109,0,0
EHG_PB,D,20150327,000000,0.6012,0.6012,0.6012,0.6012,0,0
EHG_PB,D,20150331,000000,0.5721,0.5721,0.5721,0.5721,0,0
EHG_PB,D,20150409,000000,0.5721,0.6012,0.5721,0.6012,0,0
