<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENP_PB,D,20071105,000000,5.9466,5.9466,5.9466,5.9466,0,0
ENP_PB,D,20071106,000000,5.8034,5.8034,5.8034,5.8034,0,0
ENP_PB,D,20071107,000000,5.4745,5.4745,5.4745,5.4745,0,0
ENP_PB,D,20071108,000000,5.3899,5.3899,5.3899,5.3899,0,0
ENP_PB,D,20071109,000000,5.4153,5.4153,5.0189,5.0779,0,0
ENP_PB,D,20071112,000000,4.8754,5.0779,4.7912,4.8502,0,0
ENP_PB,D,20071113,000000,4.8923,5.1876,4.7658,5.1453,0,0
ENP_PB,D,20071114,000000,5.3479,5.3479,4.9768,5.1201,0,0
ENP_PB,D,20071115,000000,5.1622,5.1622,4.479,4.5381,0,0
ENP_PB,D,20071116,000000,4.5212,4.7658,4.2513,4.7658,0,0
ENP_PB,D,20071119,000000,4.7658,4.7658,4.5634,4.6055,0,0
ENP_PB,D,20071120,000000,4.3103,4.6476,4.3103,4.5212,0,0
ENP_PB,D,20071121,000000,4.3356,4.3947,4.1669,4.1922,0,0
ENP_PB,D,20071122,000000,4.1669,4.6646,3.9391,4.6646,0,0
ENP_PB,D,20071123,000000,4.479,4.9934,4.479,4.9934,0,0
ENP_PB,D,20071126,000000,4.9934,5.1876,4.8332,4.9934,0,0
ENP_PB,D,20071127,000000,4.9344,4.9344,4.7066,4.808,0,0
ENP_PB,D,20071128,000000,4.8502,5.0779,4.7912,5.0779,0,0
ENP_PB,D,20071129,000000,5.1876,5.2635,5.1876,5.1876,0,0
ENP_PB,D,20071130,000000,5.2297,5.2635,5.1876,5.2467,0,0
ENP_PB,D,20071203,000000,5.2297,5.2297,4.9344,5.1876,0,0
ENP_PB,D,20071204,000000,4.9176,5.1201,4.9176,5.1201,0,0
ENP_PB,D,20071205,000000,5.1453,5.2888,5.1453,5.2888,0,0
ENP_PB,D,20071206,000000,5.2044,5.2044,5.0779,5.0779,0,0
ENP_PB,D,20071207,000000,5.0779,5.1876,4.9176,5.0779,0,0
ENP_PB,D,20071210,000000,4.9934,5.0779,4.9934,4.9934,0,0
ENP_PB,D,20071211,000000,5.1876,5.1876,4.9598,5.1032,0,0
ENP_PB,D,20071212,000000,4.9598,5.0779,4.8923,5.0779,0,0
ENP_PB,D,20071213,000000,4.9768,5.1032,4.9768,5.1032,0,0
ENP_PB,D,20071214,000000,4.9934,5.1453,4.8923,5.1032,0,0
ENP_PB,D,20071217,000000,4.9176,4.9344,4.7658,4.8754,0,0
ENP_PB,D,20071218,000000,4.7658,4.9598,4.7321,4.9176,0,0
ENP_PB,D,20071219,000000,4.749,4.9176,4.6224,4.9176,0,0
ENP_PB,D,20071220,000000,4.7912,4.8754,4.6055,4.69,0,0
ENP_PB,D,20071221,000000,4.69,4.7066,4.2935,4.5634,0,0
ENP_PB,D,20071227,000000,4.6055,4.8754,4.5043,4.8754,0,0
ENP_PB,D,20071228,000000,4.7658,5.0189,4.7658,5.0189,0,0
ENP_PB,D,20080102,000000,5.0358,5.0358,4.8923,4.9344,0,0
ENP_PB,D,20080103,000000,4.9176,4.9176,4.7912,4.8754,0,0
ENP_PB,D,20080104,000000,4.9768,4.9768,4.7658,4.8754,0,0
ENP_PB,D,20080107,000000,4.7658,4.808,4.7658,4.808,0,0
ENP_PB,D,20080108,000000,4.808,4.808,4.7658,4.808,0,0
ENP_PB,D,20080109,000000,4.7658,4.7658,4.5043,4.7066,0,0
ENP_PB,D,20080110,000000,4.5043,4.5634,4.4368,4.5381,0,0
ENP_PB,D,20080111,000000,4.3947,4.5634,4.3947,4.5212,0,0
ENP_PB,D,20080114,000000,4.4199,4.4199,4.4199,4.4199,0,0
ENP_PB,D,20080115,000000,4.2681,4.5043,4.1499,4.2681,0,0
ENP_PB,D,20080116,000000,3.6692,4.1499,3.6692,4.1499,0,0
ENP_PB,D,20080117,000000,4.1499,4.2513,4.1499,4.2345,0,0
ENP_PB,D,20080118,000000,4.1499,4.3356,3.838,4.3356,0,0
ENP_PB,D,20080121,000000,4.1922,4.1922,3.9813,4.0826,0,0
ENP_PB,D,20080122,000000,4.0405,4.3777,3.9391,4.1499,0,0
ENP_PB,D,20080123,000000,4.3103,4.3103,3.897,4.1499,0,0
ENP_PB,D,20080124,000000,4.2345,4.4368,4.1922,4.3525,0,0
ENP_PB,D,20080125,000000,4.5212,5.0779,4.5212,5.0189,0,0
ENP_PB,D,20080128,000000,4.6476,4.7066,4.6224,4.7066,0,0
ENP_PB,D,20080129,000000,4.9344,5.0358,4.8754,4.9598,0,0
ENP_PB,D,20080130,000000,4.9598,4.9598,4.6646,4.8332,0,0
ENP_PB,D,20080131,000000,4.8754,5.0189,4.6476,4.6646,0,0
ENP_PB,D,20080201,000000,4.6646,4.8332,4.6224,4.749,0,0
ENP_PB,D,20080204,000000,4.7658,4.7658,4.6224,4.6476,0,0
ENP_PB,D,20080205,000000,4.5634,4.6224,4.2935,4.2935,0,0
ENP_PB,D,20080206,000000,4.2681,4.2935,4.1499,4.2935,0,0
ENP_PB,D,20080207,000000,4.2513,4.2935,4.1499,4.2935,0,0
ENP_PB,D,20080208,000000,4.2935,4.2935,4.2345,4.2345,0,0
ENP_PB,D,20080211,000000,4.2345,4.3777,4.2345,4.3356,0,0
ENP_PB,D,20080212,000000,4.3356,4.3777,4.2091,4.3777,0,0
ENP_PB,D,20080213,000000,4.3525,4.7321,4.3356,4.7321,0,0
ENP_PB,D,20080214,000000,4.7658,4.7658,4.5803,4.6055,0,0
ENP_PB,D,20080215,000000,4.4622,4.749,4.4199,4.479,0,0
ENP_PB,D,20080218,000000,4.3947,5.4827,4.3525,5.4827,0,0
ENP_PB,D,20080219,000000,5.3816,5.5587,5.3816,5.5587,0,0
ENP_PB,D,20080220,000000,5.3816,5.3816,5.3057,5.3816,0,0
ENP_PB,D,20080221,000000,5.5335,5.5587,5.3816,5.4575,0,0
ENP_PB,D,20080222,000000,5.3816,5.508,5.3309,5.3309,0,0
ENP_PB,D,20080225,000000,5.3816,5.4575,5.3816,5.3816,0,0
ENP_PB,D,20080226,000000,5.3561,5.3816,5.3561,5.3561,0,0
ENP_PB,D,20080227,000000,5.3561,5.4069,5.3561,5.4069,0,0
ENP_PB,D,20080228,000000,5.4827,5.4827,5.3309,5.4069,0,0
ENP_PB,D,20080229,000000,5.3309,5.3309,5.1032,5.1032,0,0
ENP_PB,D,20080303,000000,5.0779,5.1285,4.9934,5.1032,0,0
ENP_PB,D,20080304,000000,5.1285,5.1791,4.9682,5.0527,0,0
ENP_PB,D,20080305,000000,5.0779,5.1032,4.9934,5.1032,0,0
ENP_PB,D,20080306,000000,5.0189,5.255,5.0189,5.1539,0,0
ENP_PB,D,20080307,000000,5.0189,5.1539,4.9176,5.1285,0,0
ENP_PB,D,20080310,000000,5.1539,5.2297,4.9682,5.2297,0,0
ENP_PB,D,20080311,000000,5.255,5.3309,5.1285,5.3309,0,0
ENP_PB,D,20080312,000000,5.4575,5.4575,5.2044,5.3816,0,0
ENP_PB,D,20080313,000000,5.3057,5.3816,5.1285,5.1539,0,0
ENP_PB,D,20080314,000000,5.1032,5.1032,4.9176,5.1032,0,0
ENP_PB,D,20080317,000000,4.8923,5.0527,4.867,5.0527,0,0
ENP_PB,D,20080318,000000,5.0779,5.0779,4.9176,5.0527,0,0
ENP_PB,D,20080319,000000,4.943,5.0189,4.867,5.0189,0,0
ENP_PB,D,20080320,000000,4.9934,5.0189,4.8923,4.9176,0,0
ENP_PB,D,20080325,000000,4.9176,4.9176,4.7152,4.7404,0,0
ENP_PB,D,20080326,000000,4.7658,4.7658,4.5634,4.5634,0,0
ENP_PB,D,20080327,000000,4.5381,4.943,4.5381,4.7658,0,0
ENP_PB,D,20080328,000000,4.867,4.867,4.6393,4.7912,0,0
ENP_PB,D,20080331,000000,4.7912,4.7912,4.7912,4.7912,0,0
ENP_PB,D,20080401,000000,4.867,4.9176,4.867,4.9176,0,0
ENP_PB,D,20080402,000000,4.943,4.943,4.8164,4.867,0,0
ENP_PB,D,20080403,000000,4.867,4.867,4.7912,4.8417,0,0
ENP_PB,D,20080404,000000,4.7658,4.9682,4.7658,4.9682,0,0
ENP_PB,D,20080407,000000,4.8417,4.9176,4.8417,4.9176,0,0
ENP_PB,D,20080408,000000,4.8164,4.9176,4.8164,4.9176,0,0
ENP_PB,D,20080409,000000,4.8923,5.1791,4.8417,5.1791,0,0
ENP_PB,D,20080410,000000,5.3395,6.0142,5.1791,5.8792,0,0
ENP_PB,D,20080411,000000,5.8539,5.8792,5.4489,5.6093,0,0
ENP_PB,D,20080414,000000,5.5503,5.6093,5.3899,5.5839,0,0
ENP_PB,D,20080415,000000,5.4745,5.5839,5.3647,5.5839,0,0
ENP_PB,D,20080416,000000,5.3899,5.5249,5.255,5.4153,0,0
ENP_PB,D,20080417,000000,5.255,5.3141,5.1791,5.2297,0,0
ENP_PB,D,20080418,000000,5.1791,5.3395,5.1201,5.3395,0,0
ENP_PB,D,20080421,000000,5.2044,5.3647,5.0948,5.0948,0,0
ENP_PB,D,20080422,000000,4.8502,5.0441,4.7152,5.0441,0,0
ENP_PB,D,20080423,000000,5.0104,5.0441,4.7742,5.0441,0,0
ENP_PB,D,20080424,000000,4.9851,4.9851,4.8502,4.9092,0,0
ENP_PB,D,20080425,000000,4.9092,5.0104,4.9092,4.9344,0,0
ENP_PB,D,20080428,000000,4.9851,5.0694,4.9344,5.0694,0,0
ENP_PB,D,20080429,000000,5.255,5.255,5.0948,5.0948,0,0
ENP_PB,D,20080430,000000,5.1791,5.2297,5.0694,5.2297,0,0
ENP_PB,D,20080505,000000,5.0948,5.2297,5.0948,5.2297,0,0
ENP_PB,D,20080506,000000,5.1201,5.3479,5.0441,5.3479,0,0
ENP_PB,D,20080507,000000,5.2971,5.3225,5.0948,5.2044,0,0
ENP_PB,D,20080508,000000,5.1539,5.2044,5.1539,5.1791,0,0
ENP_PB,D,20080509,000000,5.1201,5.1539,5.0694,5.0948,0,0
ENP_PB,D,20080512,000000,5.0948,5.0948,4.9514,5.0948,0,0
ENP_PB,D,20080513,000000,5.0358,5.0358,4.6393,4.6984,0,0
ENP_PB,D,20080514,000000,4.7574,4.867,4.7574,4.7826,0,0
ENP_PB,D,20080515,000000,4.808,4.808,4.614,4.7574,0,0
ENP_PB,D,20080516,000000,4.6984,4.9514,4.6984,4.808,0,0
ENP_PB,D,20080519,000000,4.6984,4.6984,4.5043,4.5043,0,0
ENP_PB,D,20080520,000000,4.5043,4.5043,4.2175,4.2428,0,0
ENP_PB,D,20080521,000000,4.2428,4.2428,4.1079,4.1585,0,0
ENP_PB,D,20080523,000000,4.0741,4.1585,3.8801,3.9054,0,0
ENP_PB,D,20080526,000000,3.8801,3.8801,3.7114,3.7958,0,0
ENP_PB,D,20080527,000000,3.7958,3.7958,3.627,3.6778,0,0
ENP_PB,D,20080528,000000,3.6778,3.8463,3.6778,3.8211,0,0
ENP_PB,D,20080529,000000,3.8211,3.8801,3.7368,3.8463,0,0
ENP_PB,D,20080530,000000,3.762,3.9898,3.762,3.9646,0,0
ENP_PB,D,20080602,000000,3.9646,3.9646,3.8211,3.8801,0,0
ENP_PB,D,20080603,000000,3.8211,4.1922,3.7368,4.1079,0,0
ENP_PB,D,20080604,000000,4.0236,4.0236,3.7958,3.9308,0,0
ENP_PB,D,20080605,000000,3.8801,4.0236,3.762,3.9054,0,0
ENP_PB,D,20080606,000000,3.8463,3.9054,3.7368,3.8211,0,0
ENP_PB,D,20080609,000000,3.7114,3.8211,3.45,3.627,0,0
ENP_PB,D,20080610,000000,3.4246,3.627,3.0029,3.0283,0,0
ENP_PB,D,20080611,000000,2.9185,2.9438,2.7751,2.7751,0,0
ENP_PB,D,20080612,000000,2.716,2.8341,2.716,2.8341,0,0
ENP_PB,D,20080613,000000,2.8341,2.8595,2.8005,2.8341,0,0
ENP_PB,D,20080616,000000,2.9185,3.0283,2.9185,2.9185,0,0
ENP_PB,D,20080617,000000,2.9438,3.0873,2.9185,3.0873,0,0
ENP_PB,D,20080618,000000,3.1378,3.1715,3.0535,3.0873,0,0
ENP_PB,D,20080619,000000,3.0029,3.3403,2.9438,3.3403,0,0
ENP_PB,D,20080620,000000,3.2559,3.4246,3.2559,3.2559,0,0
ENP_PB,D,20080623,000000,3.2559,3.3403,3.1715,3.2559,0,0
ENP_PB,D,20080624,000000,3.2306,3.2306,3.0535,3.2306,0,0
ENP_PB,D,20080625,000000,3.0283,3.1715,3.0029,3.1715,0,0
ENP_PB,D,20080626,000000,3.1378,3.1968,3.0283,3.1968,0,0
ENP_PB,D,20080627,000000,3.0029,3.1378,2.9691,3.1125,0,0
ENP_PB,D,20080630,000000,3.0283,3.1125,2.9691,3.0873,0,0
ENP_PB,D,20080701,000000,3.2559,3.2559,2.8848,3.0535,0,0
ENP_PB,D,20080702,000000,2.8848,3.0535,2.8848,3.0535,0,0
ENP_PB,D,20080703,000000,3.0283,3.0283,2.8848,3.0029,0,0
ENP_PB,D,20080704,000000,2.8848,3.0283,2.8341,2.8341,0,0
ENP_PB,D,20080707,000000,2.8341,2.8595,2.8005,2.8341,0,0
ENP_PB,D,20080708,000000,2.8005,2.8848,2.8005,2.8848,0,0
ENP_PB,D,20080709,000000,2.9438,3.0283,2.8341,3.0283,0,0
ENP_PB,D,20080710,000000,3.0283,3.1125,2.9691,3.0873,0,0
ENP_PB,D,20080711,000000,3.0535,3.0535,2.8005,2.8595,0,0
ENP_PB,D,20080714,000000,2.9185,2.9691,2.8341,2.9691,0,0
ENP_PB,D,20080715,000000,3.0029,3.0029,2.7415,2.9438,0,0
ENP_PB,D,20080716,000000,2.9185,2.9438,2.8341,2.9185,0,0
ENP_PB,D,20080717,000000,2.8341,3.0029,2.8341,2.9691,0,0
ENP_PB,D,20080718,000000,2.8848,2.9691,2.8595,2.9691,0,0
ENP_PB,D,20080721,000000,2.9691,3.0873,2.9438,3.0873,0,0
ENP_PB,D,20080722,000000,3.0029,3.1378,3.0029,3.1378,0,0
ENP_PB,D,20080723,000000,3.1968,3.1968,2.9185,3.1125,0,0
ENP_PB,D,20080724,000000,2.9691,3.0873,2.9691,3.0535,0,0
ENP_PB,D,20080725,000000,2.9438,3.0873,2.9438,3.0873,0,0
ENP_PB,D,20080728,000000,2.9438,3.1125,2.9438,3.0535,0,0
ENP_PB,D,20080729,000000,3.0535,3.1715,3.0535,3.1125,0,0
ENP_PB,D,20080730,000000,3.1125,3.7114,3.1125,3.6524,0,0
ENP_PB,D,20080731,000000,3.627,4.0488,3.627,3.7114,0,0
ENP_PB,D,20080801,000000,3.6524,3.8211,3.5933,3.8211,0,0
