<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVE_PB,D,20141126,000000,1.06,1.06,1.06,1.06,0,0
EVE_PB,D,20141127,000000,1.13,1.13,1.11,1.11,0,0
EVE_PB,D,20141128,000000,1.12,1.17,1.11,1.17,0,0
EVE_PB,D,20141201,000000,1.18,1.23,1.18,1.23,0,0
EVE_PB,D,20141202,000000,1.21,1.21,1.21,1.21,0,0
EVE_PB,D,20141203,000000,1.19,1.19,1.18,1.18,0,0
EVE_PB,D,20141204,000000,1.17,1.17,1.09,1.16,0,0
EVE_PB,D,20141205,000000,1.14,1.14,1.14,1.14,0,0
EVE_PB,D,20141208,000000,1.08,1.11,1.08,1.11,0,0
EVE_PB,D,20141209,000000,1.11,1.11,1.08,1.08,0,0
EVE_PB,D,20141210,000000,1.11,1.11,1.04,1.04,0,0
EVE_PB,D,20141211,000000,1.07,1.07,1.05,1.05,0,0
EVE_PB,D,20141212,000000,1.05,1.05,0.98,1.01,0,0
EVE_PB,D,20141215,000000,1.03,1.03,1.03,1.03,0,0
EVE_PB,D,20141216,000000,1.07,1.07,1.07,1.07,0,0
EVE_PB,D,20141217,000000,1.02,1.02,1,1,0,0
EVE_PB,D,20141218,000000,1.08,1.08,1.08,1.08,0,0
EVE_PB,D,20141219,000000,1.05,1.05,1.05,1.05,0,0
EVE_PB,D,20141222,000000,1.05,1.05,1.04,1.04,0,0
EVE_PB,D,20141223,000000,1.05,1.05,1,1.05,0,0
EVE_PB,D,20141229,000000,1.05,1.05,1.05,1.05,0,0
EVE_PB,D,20141230,000000,1.05,1.05,0.96,1.05,0,0
EVE_PB,D,20150105,000000,1.03,1.03,1.03,1.03,0,0
EVE_PB,D,20150107,000000,1.08,1.19,1.08,1.19,0,0
EVE_PB,D,20150108,000000,1.1,1.19,1.1,1.19,0,0
EVE_PB,D,20150109,000000,1.2,1.31,1.2,1.2,0,0
EVE_PB,D,20150112,000000,1.25,1.31,1.21,1.31,0,0
EVE_PB,D,20150113,000000,1.3,1.33,1.23,1.33,0,0
EVE_PB,D,20150114,000000,1.33,1.33,1.33,1.33,0,0
EVE_PB,D,20150115,000000,1.33,1.33,1.3,1.3,0,0
EVE_PB,D,20150116,000000,1.33,1.33,1.33,1.33,0,0
EVE_PB,D,20150119,000000,1.45,1.45,1.33,1.4,0,0
EVE_PB,D,20150120,000000,1.52,1.52,1.4,1.4,0,0
EVE_PB,D,20150121,000000,1.5,1.5,1.4,1.42,0,0
EVE_PB,D,20150122,000000,1.5,1.5,1.45,1.5,0,0
EVE_PB,D,20150123,000000,1.5,1.5,1.4,1.45,0,0
EVE_PB,D,20150126,000000,1.5,1.5,1.5,1.5,0,0
EVE_PB,D,20150127,000000,1.5,1.5,1.46,1.46,0,0
EVE_PB,D,20150128,000000,1.4,1.4,1.4,1.4,0,0
EVE_PB,D,20150129,000000,1.4,1.4,1.33,1.4,0,0
EVE_PB,D,20150130,000000,1.5,1.64,1.41,1.64,0,0
EVE_PB,D,20150202,000000,1.64,1.64,1.56,1.56,0,0
EVE_PB,D,20150203,000000,1.66,1.66,1.4,1.41,0,0
EVE_PB,D,20150204,000000,1.38,1.41,1.38,1.41,0,0
EVE_PB,D,20150205,000000,1.37,1.4,1.37,1.4,0,0
EVE_PB,D,20150210,000000,1.35,1.36,1.32,1.35,0,0
EVE_PB,D,20150211,000000,1.3,4.1,1.3,4.1,0,0
EVE_PB,D,20150216,000000,4.01,4.2,4.01,4.2,0,0
EVE_PB,D,20150217,000000,4.11,4.11,4.11,4.11,0,0
EVE_PB,D,20150218,000000,4.2,4.2,4.2,4.2,0,0
EVE_PB,D,20150219,000000,4.2,4.2,4.2,4.2,0,0
EVE_PB,D,20150220,000000,4.2,4.2,4.2,4.2,0,0
EVE_PB,D,20150223,000000,4.2,4.2,4.2,4.2,0,0
EVE_PB,D,20150225,000000,4.2,4.2,4.2,4.2,0,0
EVE_PB,D,20150226,000000,4.2,4.2,4.2,4.2,0,0
EVE_PB,D,20150227,000000,4.2,4.2,4.2,4.2,0,0
EVE_PB,D,20150302,000000,4.2,4.2,4.2,4.2,0,0
EVE_PB,D,20150303,000000,4.2,4.2,4.2,4.2,0,0
EVE_PB,D,20150304,000000,4.2,4.2,4.2,4.2,0,0
EVE_PB,D,20150305,000000,4.2,4.38,4.2,4.38,0,0
EVE_PB,D,20150306,000000,4.2,4.2,3.93,4.2,0,0
EVE_PB,D,20150309,000000,4.2,4.2,4.2,4.2,0,0
EVE_PB,D,20150310,000000,4.2,4.2,4.2,4.2,0,0
EVE_PB,D,20150311,000000,4.2,4.2,4.2,4.2,0,0
EVE_PB,D,20150312,000000,4.2,4.2,4.2,4.2,0,0
EVE_PB,D,20150313,000000,4.2,4.2,4.2,4.2,0,0
EVE_PB,D,20150323,000000,3.77,3.77,3.77,3.77,0,0
EVE_PB,D,20150324,000000,3.77,3.77,3.77,3.77,0,0
EVE_PB,D,20150325,000000,3.77,3.77,3.77,3.77,0,0
EVE_PB,D,20150326,000000,3.77,3.77,3.4,3.4,0,0
EVE_PB,D,20150327,000000,3.4,3.4,3.4,3.4,0,0
EVE_PB,D,20150330,000000,3.4,3.4,3.4,3.4,0,0
EVE_PB,D,20150331,000000,3.4,3.4,3.06,3.06,0,0
EVE_PB,D,20150401,000000,3.06,3.06,3.06,3.06,0,0
EVE_PB,D,20150402,000000,3.06,3.06,3.06,3.06,0,0
EVE_PB,D,20150407,000000,3.05,3.05,3.05,3.05,0,0
EVE_PB,D,20150408,000000,3.05,3.35,3.05,3.35,0,0
EVE_PB,D,20150409,000000,3.35,3.35,3.15,3.26,0,0
EVE_PB,D,20150410,000000,3.53,3.6,3.53,3.6,0,0
EVE_PB,D,20150413,000000,3.77,3.77,3.77,3.77,0,0
EVE_PB,D,20150414,000000,3.77,3.77,3.77,3.77,0,0
EVE_PB,D,20150416,000000,3.54,3.54,3.18,3.18,0,0
EVE_PB,D,20150417,000000,3.48,3.48,3.27,3.27,0,0
EVE_PB,D,20150420,000000,3.54,3.54,3.27,3.28,0,0
EVE_PB,D,20150421,000000,3.48,3.48,3.48,3.48,0,0
EVE_PB,D,20150422,000000,3.48,3.48,3.48,3.48,0,0
EVE_PB,D,20150423,000000,3.48,3.48,3.48,3.48,0,0
EVE_PB,D,20150424,000000,3.48,3.48,3.48,3.48,0,0
EVE_PB,D,20150427,000000,3.48,3.48,3.48,3.48,0,0
EVE_PB,D,20150428,000000,3.48,3.48,3.18,3.18,0,0
