<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLC_MV,D,20130819,000000,63.67,63.67,63.67,63.67,0,0
GLC_MV,D,20130820,000000,63.67,63.67,63.67,63.67,0,0
GLC_MV,D,20130821,000000,63.67,63.67,63.67,63.67,0,0
GLC_MV,D,20130822,000000,63.67,63.67,60.908,63.327,0,0
GLC_MV,D,20130823,000000,63.67,63.67,63.67,63.67,0,0
GLC_MV,D,20130826,000000,63.67,63.67,63.67,63.67,0,0
GLC_MV,D,20130827,000000,63.67,63.67,63.67,63.67,0,0
GLC_MV,D,20130828,000000,63.67,63.67,62.289,62.289,0,0
GLC_MV,D,20130829,000000,63.67,63.67,62.289,62.289,0,0
GLC_MV,D,20130830,000000,62.289,62.289,62.289,62.289,0,0
GLC_MV,D,20130902,000000,62.289,62.289,62.289,62.289,0,0
GLC_MV,D,20130903,000000,62.289,62.289,60.555,60.555,0,0
GLC_MV,D,20130904,000000,62.289,63.327,62.289,63.327,0,0
GLC_MV,D,20130905,000000,62.984,62.984,62.984,62.984,0,0
GLC_MV,D,20130906,000000,62.984,62.984,59.87,61.946,0,0
GLC_MV,D,20130909,000000,61.946,61.946,61.946,61.946,0,0
GLC_MV,D,20130910,000000,60.555,64.708,60.555,64.708,0,0
GLC_MV,D,20130911,000000,65.06,65.06,64.708,65.06,0,0
GLC_MV,D,20130912,000000,65.403,65.403,62.984,62.984,0,0
GLC_MV,D,20130913,000000,62.984,62.984,62.984,62.984,0,0
GLC_MV,D,20130916,000000,62.984,67.137,62.984,67.137,0,0
GLC_MV,D,20130917,000000,67.479,76.823,67.137,74.746,0,0
GLC_MV,D,20130918,000000,74.746,74.746,69.556,73.365,0,0
GLC_MV,D,20130919,000000,73.365,73.708,71.975,73.365,0,0
GLC_MV,D,20130920,000000,73.365,77.861,73.365,77.861,0,0
GLC_MV,D,20130923,000000,80.632,80.632,76.823,76.823,0,0
GLC_MV,D,20130924,000000,80.975,80.975,75.785,76.823,0,0
GLC_MV,D,20130925,000000,77.861,77.861,74.746,77.861,0,0
GLC_MV,D,20130926,000000,77.861,77.861,74.746,77.861,0,0
GLC_MV,D,20130927,000000,77.861,77.861,72.327,73.013,0,0
GLC_MV,D,20130930,000000,73.013,73.013,70.594,73.013,0,0
GLC_MV,D,20131001,000000,73.013,73.013,71.632,73.013,0,0
GLC_MV,D,20131002,000000,73.013,73.013,69.556,73.013,0,0
GLC_MV,D,20131003,000000,73.013,73.013,73.013,73.013,0,0
GLC_MV,D,20131004,000000,73.013,73.013,73.013,73.013,0,0
GLC_MV,D,20131007,000000,70.251,70.937,70.251,70.937,0,0
GLC_MV,D,20131008,000000,70.937,70.937,70.251,70.937,0,0
GLC_MV,D,20131009,000000,70.594,70.594,68.175,70.594,0,0
GLC_MV,D,20131010,000000,70.594,70.594,70.594,70.594,0,0
GLC_MV,D,20131011,000000,69.213,69.213,68.175,69.213,0,0
GLC_MV,D,20131014,000000,70.251,70.251,68.518,70.251,0,0
GLC_MV,D,20131015,000000,70.251,70.251,70.251,70.251,0,0
GLC_MV,D,20131016,000000,70.251,74.051,69.556,72.67,0,0
GLC_MV,D,20131017,000000,74.746,78.899,74.746,77.518,0,0
GLC_MV,D,20131018,000000,76.48,78.556,75.442,75.442,0,0
GLC_MV,D,20131021,000000,76.127,76.127,72.67,74.404,0,0
GLC_MV,D,20131022,000000,74.404,74.404,72.67,73.013,0,0
GLC_MV,D,20131023,000000,73.013,73.013,71.975,73.013,0,0
GLC_MV,D,20131024,000000,73.013,73.013,72.67,72.67,0,0
GLC_MV,D,20131025,000000,72.67,72.67,69.213,69.213,0,0
GLC_MV,D,20131028,000000,71.632,75.442,71.632,75.442,0,0
GLC_MV,D,20131029,000000,76.127,83.394,76.127,82.013,0,0
GLC_MV,D,20131030,000000,81.318,82.356,79.594,79.594,0,0
GLC_MV,D,20131031,000000,79.937,82.356,79.594,79.594,0,0
GLC_MV,D,20131104,000000,81.318,89.976,81.318,86.166,0,0
GLC_MV,D,20131105,000000,86.166,88.938,82.356,86.509,0,0
GLC_MV,D,20131106,000000,85.823,85.823,83.052,84.785,0,0
GLC_MV,D,20131107,000000,85.471,85.471,82.709,84.785,0,0
GLC_MV,D,20131108,000000,84.785,85.128,84.785,85.128,0,0
GLC_MV,D,20131112,000000,85.128,87.899,84.785,87.899,0,0
GLC_MV,D,20131113,000000,88.242,93.433,87.899,89.976,0,0
GLC_MV,D,20131114,000000,92.395,94.814,90.661,94.814,0,0
GLC_MV,D,20131115,000000,94.814,94.814,91.699,94.814,0,0
GLC_MV,D,20131118,000000,93.433,94.814,92.395,94.128,0,0
GLC_MV,D,20131119,000000,93.776,94.128,88.242,91.014,0,0
GLC_MV,D,20131120,000000,91.014,94.471,89.976,93.433,0,0
GLC_MV,D,20131121,000000,93.09,94.128,91.357,93.776,0,0
GLC_MV,D,20131122,000000,93.776,94.128,93.09,93.433,0,0
GLC_MV,D,20131125,000000,94.128,94.128,90.661,90.661,0,0
GLC_MV,D,20131126,000000,90.661,93.09,89.976,92.395,0,0
GLC_MV,D,20131127,000000,92.738,92.738,87.899,91.357,0,0
GLC_MV,D,20131128,000000,91.699,91.699,88.242,88.242,0,0
GLC_MV,D,20131129,000000,88.242,88.938,83.052,88.242,0,0
GLC_MV,D,20131202,000000,88.938,88.938,84.785,88.242,0,0
GLC_MV,D,20131203,000000,88.938,88.938,84.432,86.509,0,0
GLC_MV,D,20131204,000000,86.509,88.242,86.509,88.242,0,0
GLC_MV,D,20131205,000000,87.899,88.585,80.632,85.823,0,0
GLC_MV,D,20131206,000000,83.052,86.166,83.052,86.166,0,0
GLC_MV,D,20131209,000000,88.585,88.585,86.509,86.509,0,0
GLC_MV,D,20131210,000000,86.509,87.899,84.785,87.204,0,0
GLC_MV,D,20131211,000000,88.585,88.938,84.785,88.938,0,0
GLC_MV,D,20131212,000000,88.938,88.938,85.471,85.471,0,0
GLC_MV,D,20131213,000000,85.471,85.471,82.356,82.709,0,0
GLC_MV,D,20131216,000000,84.785,91.357,82.356,86.861,0,0
GLC_MV,D,20131217,000000,86.861,86.861,82.356,82.356,0,0
GLC_MV,D,20131218,000000,82.013,89.28,82.013,89.28,0,0
GLC_MV,D,20131219,000000,89.28,89.28,83.052,83.052,0,0
GLC_MV,D,20131220,000000,84.785,86.509,80.975,86.509,0,0
GLC_MV,D,20131223,000000,86.509,86.509,86.509,86.509,0,0
GLC_MV,D,20131227,000000,86.166,86.509,86.166,86.166,0,0
GLC_MV,D,20131230,000000,90.661,90.661,88.242,88.742,0,0
GLC_MV,D,20140102,000000,88.742,91.18,86.998,88.046,0,0
GLC_MV,D,20140103,000000,88.046,88.046,86.998,88.046,0,0
GLC_MV,D,20140107,000000,88.742,88.742,86.303,88.389,0,0
GLC_MV,D,20140108,000000,89.79,89.79,86.303,88.389,0,0
GLC_MV,D,20140109,000000,89.79,89.79,83.522,84.912,0,0
GLC_MV,D,20140110,000000,83.522,85.265,82.826,84.912,0,0
GLC_MV,D,20140113,000000,83.874,88.742,83.874,88.389,0,0
GLC_MV,D,20140114,000000,87.694,87.694,84.217,85.96,0,0
GLC_MV,D,20140115,000000,84.912,85.265,84.912,85.265,0,0
GLC_MV,D,20140116,000000,84.912,85.265,84.912,85.265,0,0
GLC_MV,D,20140117,000000,84.57,84.912,84.217,84.912,0,0
GLC_MV,D,20140120,000000,84.217,85.96,84.217,84.217,0,0
GLC_MV,D,20140121,000000,89.79,89.79,84.912,86.656,0,0
GLC_MV,D,20140122,000000,86.303,86.656,83.874,85.265,0,0
GLC_MV,D,20140123,000000,85.265,86.303,82.826,86.303,0,0
GLC_MV,D,20140124,000000,86.303,86.998,85.96,86.998,0,0
GLC_MV,D,20140127,000000,85.608,89.79,85.608,86.998,0,0
GLC_MV,D,20140128,000000,85.96,89.437,84.912,87.351,0,0
GLC_MV,D,20140129,000000,88.742,88.742,85.96,87.694,0,0
GLC_MV,D,20140130,000000,87.694,87.694,83.522,83.522,0,0
GLC_MV,D,20140131,000000,83.522,86.303,83.522,85.96,0,0
GLC_MV,D,20140203,000000,85.265,85.265,82.131,83.874,0,0
GLC_MV,D,20140204,000000,83.874,84.217,83.522,83.522,0,0
GLC_MV,D,20140205,000000,84.912,84.912,83.169,83.169,0,0
GLC_MV,D,20140206,000000,83.169,84.912,82.131,84.57,0,0
GLC_MV,D,20140207,000000,85.265,85.265,81.436,83.522,0,0
GLC_MV,D,20140210,000000,83.522,84.57,81.778,83.169,0,0
GLC_MV,D,20140211,000000,82.826,83.169,80.045,81.083,0,0
GLC_MV,D,20140212,000000,81.436,81.436,78.302,80.045,0,0
GLC_MV,D,20140213,000000,80.045,80.045,78.302,79.692,0,0
GLC_MV,D,20140214,000000,80.045,81.083,79.692,80.74,0,0
GLC_MV,D,20140217,000000,80.74,81.083,80.74,80.74,0,0
GLC_MV,D,20140218,000000,82.826,82.826,80.388,82.131,0,0
GLC_MV,D,20140219,000000,81.083,82.826,81.083,82.826,0,0
GLC_MV,D,20140220,000000,82.131,82.474,82.131,82.474,0,0
GLC_MV,D,20140221,000000,82.474,82.474,80.74,82.474,0,0
GLC_MV,D,20140224,000000,82.474,82.474,79.349,80.74,0,0
GLC_MV,D,20140225,000000,80.74,82.474,78.302,82.474,0,0
GLC_MV,D,20140226,000000,82.474,82.474,76.558,76.558,0,0
