<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INK_MV,D,20070813,000000,153.47,153.47,153.47,153.47,0,0
INK_MV,D,20070814,000000,150.82,150.82,150.82,150.82,0,0
INK_MV,D,20070816,000000,132.31,132.31,132.31,132.31,0,0
INK_MV,D,20070817,000000,124.32,124.32,124.32,124.32,0,0
INK_MV,D,20070820,000000,118.53,118.53,118.53,118.53,0,0
INK_MV,D,20070821,000000,113.78,113.78,113.78,113.78,0,0
INK_MV,D,20070822,000000,121.72,121.72,121.72,121.72,0,0
INK_MV,D,20070823,000000,126.48,126.48,126.48,126.48,0,0
INK_MV,D,20070824,000000,140.24,140.24,140.24,140.24,0,0
INK_MV,D,20070827,000000,146.06,146.06,146.06,146.06,0,0
INK_MV,D,20070828,000000,139.98,139.98,139.98,139.98,0,0
INK_MV,D,20070829,000000,137.06,137.06,137.06,137.06,0,0
INK_MV,D,20070830,000000,142.36,142.36,142.36,142.36,0,0
INK_MV,D,20070831,000000,146.54,146.54,146.54,146.54,0,0
INK_MV,D,20070903,000000,140.24,140.24,140.24,140.24,0,0
INK_MV,D,20070904,000000,142.1,142.1,142.1,142.1,0,0
INK_MV,D,20070905,000000,139.71,139.71,139.71,139.71,0,0
INK_MV,D,20070906,000000,135.74,135.74,135.74,135.74,0,0
INK_MV,D,20070907,000000,134.36,134.36,134.36,134.36,0,0
INK_MV,D,20070910,000000,126.53,126.53,126.53,126.53,0,0
INK_MV,D,20070911,000000,131.13,131.13,131.13,131.13,0,0
INK_MV,D,20070912,000000,132.31,132.31,132.31,132.31,0,0
INK_MV,D,20070913,000000,132.36,132.36,132.36,132.36,0,0
INK_MV,D,20070914,000000,133.2,133.2,133.2,133.2,0,0
INK_MV,D,20070917,000000,133.89,133.89,133.89,133.89,0,0
INK_MV,D,20070918,000000,139.71,139.71,139.71,139.71,0,0
INK_MV,D,20070919,000000,142.89,142.89,142.89,142.89,0,0
INK_MV,D,20070920,000000,141.76,141.76,141.76,141.76,0,0
INK_MV,D,20070921,000000,142.3,142.3,142.3,142.3,0,0
INK_MV,D,20070924,000000,138.01,138.01,138.01,138.01,0,0
INK_MV,D,20070925,000000,137.06,137.06,137.06,137.06,0,0
INK_MV,D,20070926,000000,134.96,134.96,134.96,134.96,0,0
INK_MV,D,20070927,000000,136.75,136.75,136.75,136.75,0,0
INK_MV,D,20070928,000000,131.51,131.51,131.51,131.51,0,0
INK_MV,D,20071001,000000,127.8,127.8,127.8,127.8,0,0
INK_MV,D,20071002,000000,131.24,131.24,131.24,131.24,0,0
INK_MV,D,20071003,000000,132.84,132.84,132.84,132.84,0,0
INK_MV,D,20071004,000000,132.31,132.31,132.31,132.31,0,0
INK_MV,D,20071005,000000,129.66,129.66,129.66,129.66,0,0
INK_MV,D,20071008,000000,132.2,132.2,132.2,132.2,0,0
INK_MV,D,20071009,000000,137.33,137.33,137.33,137.33,0,0
INK_MV,D,20071010,000000,141.82,141.82,141.82,141.82,0,0
INK_MV,D,20071011,000000,140.98,140.98,140.98,140.98,0,0
INK_MV,D,20071012,000000,140.18,140.18,140.18,140.18,0,0
INK_MV,D,20071015,000000,141.76,141.76,141.76,141.76,0,0
INK_MV,D,20071016,000000,153.95,153.95,153.95,153.95,0,0
INK_MV,D,20071017,000000,155.11,155.11,155.11,155.11,0,0
INK_MV,D,20071018,000000,149.75,149.75,149.75,149.75,0,0
INK_MV,D,20071019,000000,153.41,153.41,153.41,153.41,0,0
INK_MV,D,20071022,000000,145,145,145,145,0,0
INK_MV,D,20071023,000000,148.7,148.7,148.7,148.7,0,0
INK_MV,D,20071024,000000,148.16,148.16,148.16,148.16,0,0
INK_MV,D,20071025,000000,142.41,142.41,142.41,142.41,0,0
INK_MV,D,20071026,000000,142.3,142.3,142.3,142.3,0,0
INK_MV,D,20071029,000000,140.77,140.77,140.77,140.77,0,0
INK_MV,D,20071030,000000,136.27,136.27,136.27,136.27,0,0
INK_MV,D,20071031,000000,134.96,134.96,134.96,134.96,0,0
INK_MV,D,20071102,000000,137.01,137.01,137.01,137.01,0,0
INK_MV,D,20071105,000000,132.41,132.41,132.41,132.41,0,0
INK_MV,D,20071106,000000,125,125,125,125,0,0
INK_MV,D,20071107,000000,111.18,111.18,111.18,111.18,0,0
INK_MV,D,20071108,000000,111.4,111.4,111.4,111.4,0,0
INK_MV,D,20071109,000000,108.49,114.03,103.51,109.53,0,0
INK_MV,D,20071112,000000,110.6,110.6,105.58,107.17,0,0
INK_MV,D,20071113,000000,107.06,110.18,105.85,110.18,0,0
INK_MV,D,20071114,000000,110.34,114.83,109.11,109.59,0,0
INK_MV,D,20071115,000000,109.65,109.65,102.67,105.31,0,0
INK_MV,D,20071116,000000,109.65,109.65,98.166,103.74,0,0
INK_MV,D,20071119,000000,103.74,103.74,97.37,97.9,0,0
INK_MV,D,20071120,000000,98.44,98.44,91.874,93.136,0,0
INK_MV,D,20071121,000000,91.554,91.554,91.554,91.554,0,0
INK_MV,D,20071122,000000,90.485,95.212,84.72,95.212,0,0
INK_MV,D,20071123,000000,97.9,104.72,97.9,104.72,0,0
INK_MV,D,20071126,000000,107.7,111.14,103.09,103.74,0,0
INK_MV,D,20071127,000000,97.946,102.67,97.946,100.5,0,0
INK_MV,D,20071128,000000,103.67,103.67,97.9,103.2,0,0
INK_MV,D,20071129,000000,105.85,105.85,103.74,105.85,0,0
INK_MV,D,20071130,000000,106.32,109.53,106.32,109.53,0,0
INK_MV,D,20071203,000000,109.29,109.29,104.41,105.31,0,0
INK_MV,D,20071204,000000,105.05,105.31,103.74,104.25,0,0
INK_MV,D,20071205,000000,105.85,113.67,103.2,112.66,0,0
INK_MV,D,20071206,000000,113.73,115.84,110.24,112.47,0,0
INK_MV,D,20071207,000000,112.19,116.16,112.19,115.59,0,0
INK_MV,D,20071210,000000,115.59,115.59,112.19,115.52,0,0
INK_MV,D,20071211,000000,112.19,114.32,110.13,113.67,0,0
INK_MV,D,20071212,000000,109.11,114.32,109.08,114.2,0,0
INK_MV,D,20071213,000000,113.51,114.25,111.55,111.76,0,0
INK_MV,D,20071214,000000,111.76,113.78,109.02,111.14,0,0
INK_MV,D,20071217,000000,111.14,116.43,102.14,113.25,0,0
INK_MV,D,20071218,000000,111.14,113.78,107,111.14,0,0
INK_MV,D,20071219,000000,108.49,110.07,104.79,110.07,0,0
INK_MV,D,20071220,000000,107,108.43,105.85,107.37,0,0
INK_MV,D,20071221,000000,107.43,110.07,105.85,108.43,0,0
INK_MV,D,20071227,000000,110.29,114.2,110.29,113.25,0,0
INK_MV,D,20071228,000000,111.61,113.73,109.08,113.73,0,0
INK_MV,D,20080102,000000,113.78,115.36,108.01,109.65,0,0
INK_MV,D,20080103,000000,108.49,113.19,108.49,112.19,0,0
INK_MV,D,20080104,000000,113.78,115.88,108.33,111.61,0,0
INK_MV,D,20080107,000000,110.01,110.51,107.43,107.95,0,0
INK_MV,D,20080108,000000,105.85,109.82,103.2,107.17,0,0
INK_MV,D,20080109,000000,103.2,105.85,100.56,104.25,0,0
INK_MV,D,20080110,000000,103.2,103.2,98.321,98.321,0,0
INK_MV,D,20080111,000000,100.56,100.56,93.456,95.257,0,0
INK_MV,D,20080114,000000,88.382,88.382,88.382,88.382,0,0
INK_MV,D,20080115,000000,89.964,94.197,85.565,89.64,0,0
INK_MV,D,20080116,000000,80.695,88.903,80.695,84.629,0,0
INK_MV,D,20080117,000000,88.688,92.605,82.665,92.505,0,0
INK_MV,D,20080118,000000,95.257,95.257,89.376,94.416,0,0
INK_MV,D,20080121,000000,92.505,92.569,86.319,86.319,0,0
INK_MV,D,20080122,000000,79.375,91.279,79.375,89.964,0,0
INK_MV,D,20080123,000000,87.487,93.136,86.36,86.782,0,0
INK_MV,D,20080124,000000,91.023,92.605,89.964,92.605,0,0
INK_MV,D,20080125,000000,97.37,97.37,92.925,97.37,0,0
INK_MV,D,20080128,000000,95.788,96.273,92.605,92.605,0,0
INK_MV,D,20080129,000000,96.327,100.03,95.257,98.166,0,0
INK_MV,D,20080130,000000,100.03,101.89,96.904,101.89,0,0
INK_MV,D,20080131,000000,101.81,110.87,101.81,105.79,0,0
INK_MV,D,20080201,000000,105.85,110.6,105.85,106.69,0,0
INK_MV,D,20080204,000000,110.07,110.81,101.77,102.93,0,0
INK_MV,D,20080205,000000,101.66,102.61,98.687,100.56,0,0
INK_MV,D,20080206,000000,97.9,100.56,95.257,100.56,0,0
INK_MV,D,20080207,000000,101.56,101.56,98.632,101.56,0,0
INK_MV,D,20080208,000000,100.56,101.89,100.56,101.81,0,0
INK_MV,D,20080211,000000,101.81,101.81,98.166,98.44,0,0
INK_MV,D,20080212,000000,102.67,102.67,100.56,102.14,0,0
INK_MV,D,20080213,000000,102.51,102.56,102.14,102.4,0,0
INK_MV,D,20080214,000000,102.67,102.67,100.56,102.67,0,0
INK_MV,D,20080215,000000,105.73,106.38,104.09,104.25,0,0
INK_MV,D,20080218,000000,109.02,110.6,108.01,108.49,0,0
INK_MV,D,20080219,000000,108.54,109.82,106.38,109.45,0,0
INK_MV,D,20080220,000000,108.75,109.02,106.38,109.02,0,0
INK_MV,D,20080221,000000,109.21,110.54,107.43,110.54,0,0
INK_MV,D,20080222,000000,107.48,120.11,107.48,119.02,0,0
INK_MV,D,20080225,000000,120.09,127.01,120.09,121.72,0,0
INK_MV,D,20080226,000000,123.78,124.38,117.12,121.72,0,0
INK_MV,D,20080227,000000,123.31,123.31,119.07,121.18,0,0
INK_MV,D,20080228,000000,121.18,121.18,118.01,118.23,0,0
INK_MV,D,20080229,000000,119.07,119.07,112.25,113.15,0,0
INK_MV,D,20080303,000000,111.08,118.82,107.7,117.97,0,0
INK_MV,D,20080304,000000,120.11,120.11,110.6,110.6,0,0
INK_MV,D,20080305,000000,112.99,113.05,111.14,113.05,0,0
INK_MV,D,20080306,000000,113.3,113.78,111.66,111.66,0,0
INK_MV,D,20080307,000000,110.98,111.08,107.43,111.08,0,0
INK_MV,D,20080310,000000,111.66,113.78,111.14,111.66,0,0
INK_MV,D,20080311,000000,114.25,115.59,112.19,115.43,0,0
INK_MV,D,20080312,000000,116.43,116.43,111.18,115.3,0,0
INK_MV,D,20080313,000000,115.3,115.3,108.49,111.14,0,0
INK_MV,D,20080314,000000,114.73,114.73,111.14,113.78,0,0
INK_MV,D,20080317,000000,111.4,111.4,108.75,111.08,0,0
INK_MV,D,20080318,000000,108.59,111.02,108.54,108.92,0,0
INK_MV,D,20080319,000000,110.07,110.07,106.38,110.01,0,0
INK_MV,D,20080325,000000,113.51,113.51,110.07,113.19,0,0
INK_MV,D,20080326,000000,113.15,113.15,110.07,112.47,0,0
INK_MV,D,20080327,000000,114.57,114.57,110.6,112.93,0,0
INK_MV,D,20080328,000000,112.72,112.93,110.6,110.7,0,0
INK_MV,D,20080331,000000,112.36,112.36,112.36,112.36,0,0
INK_MV,D,20080401,000000,112.66,112.72,112.66,112.72,0,0
INK_MV,D,20080402,000000,113.25,114.32,111.23,112.25,0,0
INK_MV,D,20080403,000000,111.23,114.32,110.92,113.99,0,0
INK_MV,D,20080404,000000,116.43,127.01,116.43,127.01,0,0
INK_MV,D,20080407,000000,131.24,134.42,127.59,127.59,0,0
INK_MV,D,20080408,000000,127.06,127.54,125.42,126.32,0,0
INK_MV,D,20080409,000000,126.32,126.91,123.31,124.32,0,0
INK_MV,D,20080410,000000,121.72,124.32,120.72,120.77,0,0
INK_MV,D,20080411,000000,121.18,122.2,116.96,118.82,0,0
INK_MV,D,20080414,000000,118.53,121.67,116.47,120.4,0,0
INK_MV,D,20080415,000000,120.4,120.92,120.11,120.92,0,0
INK_MV,D,20080416,000000,121.44,123.83,121.44,123.83,0,0
INK_MV,D,20080417,000000,124.42,133.89,124.42,133.89,0,0
INK_MV,D,20080418,000000,133.84,139.18,131.77,139.14,0,0
INK_MV,D,20080421,000000,138.12,143.67,135.52,142.89,0,0
INK_MV,D,20080422,000000,145.36,145.36,132.36,132.36,0,0
INK_MV,D,20080423,000000,133.09,133.09,128.13,128.6,0,0
INK_MV,D,20080424,000000,128.07,135.94,128.07,132.03,0,0
INK_MV,D,20080425,000000,135.9,135.9,130.71,132.03,0,0
INK_MV,D,20080428,000000,132.31,134.96,131.51,134.68,0,0
