<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INL_PB,D,20080121,000000,2.2146,2.2146,2.2146,2.2146,0,0
INL_PB,D,20080122,000000,2.1171,2.3277,2.1171,2.3277,0,0
INL_PB,D,20080123,000000,2.338,2.4152,2.3123,2.4152,0,0
INL_PB,D,20080124,000000,2.4305,2.4408,2.4305,2.4408,0,0
INL_PB,D,20080125,000000,2.4152,2.4459,2.3431,2.4459,0,0
INL_PB,D,20080128,000000,2.3123,2.4152,2.3123,2.4152,0,0
INL_PB,D,20080129,000000,2.3123,2.3997,2.3123,2.3997,0,0
INL_PB,D,20080130,000000,2.3997,2.4615,2.2918,2.4615,0,0
INL_PB,D,20080131,000000,2.4254,2.5127,2.4152,2.4152,0,0
INL_PB,D,20080201,000000,2.4152,2.4152,2.3431,2.4047,0,0
INL_PB,D,20080204,000000,2.338,2.338,2.2507,2.2762,0,0
INL_PB,D,20080205,000000,2.1941,2.2762,2.148,2.2662,0,0
INL_PB,D,20080206,000000,2.1889,2.2146,2.1889,2.2146,0,0
INL_PB,D,20080207,000000,2.1171,2.1171,2.1171,2.1171,0,0
INL_PB,D,20080208,000000,2.2762,2.2762,2.2044,2.2044,0,0
INL_PB,D,20080211,000000,2.1222,2.1889,2.0913,2.1889,0,0
INL_PB,D,20080212,000000,2.1837,2.1889,2.1837,2.1889,0,0
INL_PB,D,20080213,000000,2.2044,2.2762,2.1068,2.1789,0,0
INL_PB,D,20080214,000000,2.2146,2.2146,2.1684,2.2094,0,0
INL_PB,D,20080215,000000,2.2146,2.2146,2.1428,2.2146,0,0
INL_PB,D,20080218,000000,2.1992,2.1992,2.1992,2.1992,0,0
INL_PB,D,20080219,000000,2.1992,2.1992,2.1222,2.1889,0,0
INL_PB,D,20080220,000000,2.1837,2.1889,2.0709,2.1634,0,0
INL_PB,D,20080221,000000,2.0813,2.1634,2.0709,2.1377,0,0
INL_PB,D,20080222,000000,2.1377,2.1377,2.1377,2.1377,0,0
INL_PB,D,20080225,000000,2.0913,2.1428,2.0451,2.1428,0,0
INL_PB,D,20080226,000000,2.1428,2.1428,2.0451,2.1377,0,0
INL_PB,D,20080227,000000,2.0193,2.1273,2.0193,2.1222,0,0
INL_PB,D,20080228,000000,2.1222,2.1222,1.1819,1.1819,0,0
INL_PB,D,20080229,000000,1.1663,1.1716,1.1663,1.1716,0,0
INL_PB,D,20080303,000000,1.1766,1.1766,1.1766,1.1766,0,0
INL_PB,D,20080304,000000,1.1253,1.1766,1.1253,1.1716,0,0
INL_PB,D,20080305,000000,1.115,1.1509,1.0997,1.1509,0,0
INL_PB,D,20080306,000000,1.1766,1.1766,1.0997,1.1716,0,0
INL_PB,D,20080307,000000,1.11,1.1613,1.11,1.1613,0,0
INL_PB,D,20080310,000000,1.1613,1.1613,1.1509,1.1509,0,0
INL_PB,D,20080311,000000,1.0893,1.1407,1.0739,1.1253,0,0
INL_PB,D,20080312,000000,1.0791,1.1253,1.0791,1.11,0,0
INL_PB,D,20080313,000000,1.1048,1.11,1.0586,1.0997,0,0
INL_PB,D,20080314,000000,1.0842,1.0842,1.0842,1.0842,0,0
INL_PB,D,20080317,000000,1.0637,1.0997,1.0637,1.0842,0,0
INL_PB,D,20080318,000000,1.0586,1.0946,1.0482,1.0946,0,0
INL_PB,D,20080319,000000,1.0637,1.0739,1.0637,1.0739,0,0
INL_PB,D,20080320,000000,1.0893,1.0893,1.0482,1.0739,0,0
INL_PB,D,20080325,000000,1.0893,1.0893,1.0637,1.0893,0,0
INL_PB,D,20080326,000000,1.0946,1.11,1.0946,1.11,0,0
INL_PB,D,20080327,000000,1.11,1.11,1.0637,1.1048,0,0
INL_PB,D,20080328,000000,1.0997,1.0997,1.0997,1.0997,0,0
INL_PB,D,20080331,000000,1.0997,1.0997,1.0997,1.0997,0,0
INL_PB,D,20080401,000000,1.0997,1.0997,1.0893,1.0997,0,0
INL_PB,D,20080402,000000,1.0893,1.0997,1.0893,1.0997,0,0
INL_PB,D,20080403,000000,1.0997,1.0997,1.0997,1.0997,0,0
INL_PB,D,20080404,000000,1.0997,1.1048,1.0997,1.1048,0,0
INL_PB,D,20080407,000000,1.0739,1.0997,1.0277,1.0997,0,0
INL_PB,D,20080408,000000,1.0997,1.0997,1.0997,1.0997,0,0
INL_PB,D,20080409,000000,1.0997,1.0997,1.0637,1.0997,0,0
INL_PB,D,20080410,000000,1.0997,1.1048,1.0997,1.0997,0,0
INL_PB,D,20080411,000000,1.0997,1.1048,1.0946,1.0946,0,0
INL_PB,D,20080414,000000,1.0946,1.0946,1.0482,1.0739,0,0
INL_PB,D,20080415,000000,1.0739,1.0842,1.0535,1.0791,0,0
INL_PB,D,20080416,000000,1.0791,1.0842,1.0637,1.0791,0,0
INL_PB,D,20080417,000000,1.0689,1.0791,1.0586,1.0739,0,0
INL_PB,D,20080418,000000,1.0689,1.0842,1.0482,1.0842,0,0
INL_PB,D,20080421,000000,1.0791,1.0842,1.0535,1.0842,0,0
INL_PB,D,20080422,000000,1.0842,1.0842,1.0535,1.0535,0,0
INL_PB,D,20080423,000000,1.0535,1.0535,0.997,1.0535,0,0
INL_PB,D,20080424,000000,1.0689,1.0842,1.0277,1.0842,0,0
INL_PB,D,20080425,000000,1.0431,1.0946,1.0431,1.0946,0,0
INL_PB,D,20080428,000000,1.0997,1.0997,1.0946,1.0997,0,0
INL_PB,D,20080429,000000,1.0997,1.0997,1.0893,1.0997,0,0
