<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IPL_PE,D,20070813,000000,22.692,22.692,22.692,22.692,0,0
IPL_PE,D,20070814,000000,22.896,22.896,22.896,22.896,0,0
IPL_PE,D,20070816,000000,21.802,21.802,21.802,21.802,0,0
IPL_PE,D,20070817,000000,22.692,22.692,22.692,22.692,0,0
IPL_PE,D,20070820,000000,23.511,23.511,23.511,23.511,0,0
IPL_PE,D,20070821,000000,23.648,23.648,23.648,23.648,0,0
IPL_PE,D,20070822,000000,23.648,23.648,23.648,23.648,0,0
IPL_PE,D,20070823,000000,23.785,23.785,23.785,23.785,0,0
IPL_PE,D,20070824,000000,24.195,24.195,24.195,24.195,0,0
IPL_PE,D,20070827,000000,23.921,23.921,23.921,23.921,0,0
IPL_PE,D,20070828,000000,23.921,23.921,23.921,23.921,0,0
IPL_PE,D,20070829,000000,23.853,23.853,23.853,23.853,0,0
IPL_PE,D,20070830,000000,25.152,25.152,25.152,25.152,0,0
IPL_PE,D,20070831,000000,25.493,25.493,25.493,25.493,0,0
IPL_PE,D,20070903,000000,25.152,25.152,25.152,25.152,0,0
IPL_PE,D,20070904,000000,25.561,25.561,25.561,25.561,0,0
IPL_PE,D,20070905,000000,25.152,25.152,25.152,25.152,0,0
IPL_PE,D,20070906,000000,25.152,25.152,25.152,25.152,0,0
IPL_PE,D,20070907,000000,25.152,25.152,25.152,25.152,0,0
IPL_PE,D,20070910,000000,24.741,24.741,24.741,24.741,0,0
IPL_PE,D,20070911,000000,25.424,25.424,25.424,25.424,0,0
IPL_PE,D,20070912,000000,25.152,25.152,25.152,25.152,0,0
IPL_PE,D,20070913,000000,25.152,25.152,25.152,25.152,0,0
IPL_PE,D,20070914,000000,25.22,25.22,25.22,25.22,0,0
IPL_PE,D,20070917,000000,25.152,25.152,25.152,25.152,0,0
IPL_PE,D,20070918,000000,25.152,25.152,25.152,25.152,0,0
IPL_PE,D,20070919,000000,25.152,25.152,25.152,25.152,0,0
IPL_PE,D,20070920,000000,25.22,25.22,25.22,25.22,0,0
IPL_PE,D,20070921,000000,25.152,25.152,25.152,25.152,0,0
IPL_PE,D,20070924,000000,24.741,24.741,24.741,24.741,0,0
IPL_PE,D,20070925,000000,24.809,24.809,24.809,24.809,0,0
IPL_PE,D,20070926,000000,25.22,25.22,25.22,25.22,0,0
IPL_PE,D,20070927,000000,25.22,25.22,25.22,25.22,0,0
IPL_PE,D,20070928,000000,25.288,25.288,25.288,25.288,0,0
IPL_PE,D,20071001,000000,25.22,25.22,25.22,25.22,0,0
IPL_PE,D,20071002,000000,25.22,25.22,25.22,25.22,0,0
IPL_PE,D,20071003,000000,25.22,25.22,25.22,25.22,0,0
IPL_PE,D,20071004,000000,24.947,24.947,24.947,24.947,0,0
IPL_PE,D,20071005,000000,25.22,25.22,25.22,25.22,0,0
IPL_PE,D,20071008,000000,25.356,25.356,25.356,25.356,0,0
IPL_PE,D,20071009,000000,26.587,26.587,26.587,26.587,0,0
IPL_PE,D,20071010,000000,27.612,27.612,27.612,27.612,0,0
IPL_PE,D,20071011,000000,27.885,27.885,27.885,27.885,0,0
IPL_PE,D,20071012,000000,28.705,28.705,28.705,28.705,0,0
IPL_PE,D,20071015,000000,29.183,29.183,29.183,29.183,0,0
IPL_PE,D,20071016,000000,28.637,28.637,28.637,28.637,0,0
IPL_PE,D,20071017,000000,27.612,27.612,27.612,27.612,0,0
IPL_PE,D,20071018,000000,26.928,26.928,26.928,26.928,0,0
IPL_PE,D,20071019,000000,26.039,26.039,26.039,26.039,0,0
IPL_PE,D,20071022,000000,25.904,25.904,25.904,25.904,0,0
IPL_PE,D,20071023,000000,25.767,25.767,25.767,25.767,0,0
IPL_PE,D,20071024,000000,25.083,25.083,25.083,25.083,0,0
IPL_PE,D,20071025,000000,24.536,24.536,24.536,24.536,0,0
IPL_PE,D,20071026,000000,24.4,24.4,24.4,24.4,0,0
IPL_PE,D,20071029,000000,24.741,24.741,24.741,24.741,0,0
IPL_PE,D,20071030,000000,23.785,23.785,23.785,23.785,0,0
IPL_PE,D,20071031,000000,24.195,24.195,24.195,24.195,0,0
IPL_PE,D,20071102,000000,23.443,23.443,23.443,23.443,0,0
IPL_PE,D,20071105,000000,23.648,23.648,23.648,23.648,0,0
IPL_PE,D,20071106,000000,23.374,23.374,23.374,23.374,0,0
IPL_PE,D,20071107,000000,21.802,21.802,21.802,21.802,0,0
IPL_PE,D,20071108,000000,21.734,21.734,21.734,21.734,0,0
IPL_PE,D,20071109,000000,21.802,21.802,20.709,20.845,0,0
IPL_PE,D,20071112,000000,20.641,21.529,20.641,21.118,0,0
IPL_PE,D,20071113,000000,21.461,21.461,20.23,20.913,0,0
IPL_PE,D,20071114,000000,21.118,21.393,20.641,20.641,0,0
IPL_PE,D,20071115,000000,21.118,21.118,18.59,18.59,0,0
IPL_PE,D,20071116,000000,18.18,18.59,16.882,17.77,0,0
IPL_PE,D,20071119,000000,17.77,19.137,17.496,19.137,0,0
IPL_PE,D,20071120,000000,18.453,18.453,18.453,18.453,0,0
IPL_PE,D,20071121,000000,19.41,19.41,17.291,17.496,0,0
IPL_PE,D,20071122,000000,17.428,18.658,16.335,18.18,0,0
IPL_PE,D,20071123,000000,18.658,19.069,17.496,18.385,0,0
IPL_PE,D,20071126,000000,18.453,18.453,17.36,17.36,0,0
IPL_PE,D,20071127,000000,17.36,17.36,16.882,17.36,0,0
IPL_PE,D,20071128,000000,17.566,17.633,16.745,17.566,0,0
IPL_PE,D,20071129,000000,18.112,18.59,17.975,17.975,0,0
IPL_PE,D,20071130,000000,17.77,18.59,17.77,18.59,0,0
IPL_PE,D,20071203,000000,19.137,19.137,18.249,18.59,0,0
IPL_PE,D,20071204,000000,18.18,18.385,18.043,18.043,0,0
IPL_PE,D,20071205,000000,18.59,18.658,18.043,18.522,0,0
IPL_PE,D,20071206,000000,18.522,18.658,18.18,18.658,0,0
IPL_PE,D,20071207,000000,18.59,18.658,17.838,18.249,0,0
IPL_PE,D,20071210,000000,18.18,18.18,17.77,17.77,0,0
IPL_PE,D,20071211,000000,17.701,17.838,17.086,17.701,0,0
IPL_PE,D,20071212,000000,17.566,17.566,16.471,16.471,0,0
IPL_PE,D,20071213,000000,16.677,16.814,16.267,16.267,0,0
IPL_PE,D,20071214,000000,16.335,16.471,15.719,16.471,0,0
