<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JWC_MV,D,20070813,000000,2959.18,2959.18,2959.18,2959.18,0,0
JWC_MV,D,20070814,000000,2972.85,2972.85,2972.85,2972.85,0,0
JWC_MV,D,20070816,000000,2734.91,2734.91,2734.91,2734.91,0,0
JWC_MV,D,20070817,000000,2953.71,2953.71,2953.71,2953.71,0,0
JWC_MV,D,20070820,000000,3008.41,3008.41,3008.41,3008.41,0,0
JWC_MV,D,20070821,000000,2953.71,2953.71,2953.71,2953.71,0,0
JWC_MV,D,20070822,000000,3063.1,3063.1,3063.1,3063.1,0,0
JWC_MV,D,20070823,000000,3126.01,3126.01,3126.01,3126.01,0,0
JWC_MV,D,20070824,000000,3084.98,3084.98,3084.98,3084.98,0,0
JWC_MV,D,20070827,000000,3024.81,3024.81,3024.81,3024.81,0,0
JWC_MV,D,20070828,000000,2937.3,2937.3,2937.3,2937.3,0,0
JWC_MV,D,20070829,000000,2915.42,2915.42,2915.42,2915.42,0,0
JWC_MV,D,20070830,000000,2866.19,2866.19,2866.19,2866.19,0,0
JWC_MV,D,20070831,000000,2877.13,2877.13,2877.13,2877.13,0,0
JWC_MV,D,20070903,000000,2899.01,2899.01,2899.01,2899.01,0,0
JWC_MV,D,20070904,000000,2904.48,2904.48,2904.48,2904.48,0,0
JWC_MV,D,20070905,000000,2789.61,2789.61,2789.61,2789.61,0,0
JWC_MV,D,20070906,000000,2871.66,2871.66,2871.66,2871.66,0,0
JWC_MV,D,20070907,000000,2762.26,2762.26,2762.26,2762.26,0,0
JWC_MV,D,20070910,000000,2716.32,2716.32,2716.32,2716.32,0,0
JWC_MV,D,20070911,000000,2679.67,2679.67,2679.67,2679.67,0,0
JWC_MV,D,20070912,000000,2666.54,2666.54,2666.54,2666.54,0,0
JWC_MV,D,20070913,000000,2732.73,2732.73,2732.73,2732.73,0,0
JWC_MV,D,20070914,000000,2680.22,2680.22,2680.22,2680.22,0,0
JWC_MV,D,20070917,000000,2669.82,2669.82,2669.82,2669.82,0,0
JWC_MV,D,20070918,000000,2669.82,2669.82,2669.82,2669.82,0,0
JWC_MV,D,20070919,000000,2723.97,2723.97,2723.97,2723.97,0,0
JWC_MV,D,20070920,000000,2659.43,2659.43,2659.43,2659.43,0,0
JWC_MV,D,20070921,000000,2734.91,2734.91,2734.91,2734.91,0,0
JWC_MV,D,20070924,000000,2734.91,2734.91,2734.91,2734.91,0,0
JWC_MV,D,20070925,000000,2680.76,2680.76,2680.76,2680.76,0,0
JWC_MV,D,20070926,000000,2734.91,2734.91,2734.91,2734.91,0,0
JWC_MV,D,20070927,000000,2743.12,2743.12,2743.12,2743.12,0,0
JWC_MV,D,20070928,000000,2701.55,2701.55,2701.55,2701.55,0,0
JWC_MV,D,20071001,000000,2641.93,2641.93,2641.93,2641.93,0,0
JWC_MV,D,20071002,000000,2630.99,2630.99,2630.99,2630.99,0,0
JWC_MV,D,20071003,000000,2603.64,2603.64,2603.64,2603.64,0,0
JWC_MV,D,20071004,000000,2609.11,2609.11,2609.11,2609.11,0,0
JWC_MV,D,20071005,000000,2614.58,2614.58,2614.58,2614.58,0,0
JWC_MV,D,20071008,000000,2618.41,2618.41,2618.41,2618.41,0,0
JWC_MV,D,20071009,000000,2609.11,2609.11,2609.11,2609.11,0,0
JWC_MV,D,20071010,000000,2614.58,2614.58,2614.58,2614.58,0,0
JWC_MV,D,20071011,000000,2612.39,2612.39,2612.39,2612.39,0,0
JWC_MV,D,20071012,000000,2718.5,2718.5,2718.5,2718.5,0,0
JWC_MV,D,20071015,000000,2734.91,2734.91,2734.91,2734.91,0,0
JWC_MV,D,20071016,000000,2685.69,2685.69,2685.69,2685.69,0,0
JWC_MV,D,20071017,000000,2653.41,2653.41,2653.41,2653.41,0,0
JWC_MV,D,20071018,000000,2577.93,2577.93,2577.93,2577.93,0,0
JWC_MV,D,20071019,000000,2570.82,2570.82,2570.82,2570.82,0,0
JWC_MV,D,20071022,000000,2570.82,2570.82,2570.82,2570.82,0,0
JWC_MV,D,20071023,000000,2575.74,2575.74,2575.74,2575.74,0,0
JWC_MV,D,20071024,000000,2552.77,2552.77,2552.77,2552.77,0,0
JWC_MV,D,20071025,000000,2529.8,2529.8,2529.8,2529.8,0,0
JWC_MV,D,20071026,000000,2529.8,2529.8,2529.8,2529.8,0,0
JWC_MV,D,20071029,000000,2519.4,2519.4,2519.4,2519.4,0,0
JWC_MV,D,20071030,000000,2516.12,2516.12,2516.12,2516.12,0,0
JWC_MV,D,20071031,000000,2505.18,2505.18,2505.18,2505.18,0,0
JWC_MV,D,20071102,000000,2475.1,2475.1,2475.1,2475.1,0,0
JWC_MV,D,20071105,000000,2407.27,2407.27,2407.27,2407.27,0,0
JWC_MV,D,20071106,000000,2275.45,2275.45,2275.45,2275.45,0,0
JWC_MV,D,20071107,000000,2133.23,2133.23,2133.23,2133.23,0,0
JWC_MV,D,20071108,000000,2106.43,2106.43,2106.43,2106.43,0,0
JWC_MV,D,20071109,000000,2144.17,2190.67,2078.53,2082.91,0,0
JWC_MV,D,20071112,000000,2073.06,2082.91,2035.32,2056.66,0,0
JWC_MV,D,20071113,000000,2067.59,2067.59,1969.14,2045.72,0,0
JWC_MV,D,20071114,000000,2052.83,2089.47,2034.78,2038.6,0,0
JWC_MV,D,20071115,000000,2044.62,2044.62,1970.23,1990.47,0,0
JWC_MV,D,20071116,000000,1970.23,2017.82,1914.44,1995.39,0,0
JWC_MV,D,20071119,000000,2023.84,2023.84,1958.75,1974.06,0,0
JWC_MV,D,20071120,000000,1969.14,2011.26,1950.54,2011.26,0,0
JWC_MV,D,20071121,000000,2023.84,2034.23,1980.08,2029.31,0,0
JWC_MV,D,20071122,000000,2021.1,2077.44,2013.44,2076.89,0,0
JWC_MV,D,20071123,000000,2097.68,2125.03,2094.94,2109.17,0,0
JWC_MV,D,20071126,000000,2155.11,2155.11,2056.66,2081.82,0,0
JWC_MV,D,20071127,000000,2087.83,2094.4,2029.31,2059.39,0,0
JWC_MV,D,20071128,000000,2059.39,2093.3,2056.66,2093.3,0,0
JWC_MV,D,20071129,000000,2160.58,2166.05,2141.98,2144.17,0,0
JWC_MV,D,20071130,000000,2162.77,2278.73,2162.77,2231.69,0,0
JWC_MV,D,20071203,000000,2221.3,2242.63,2206.53,2242.63,0,0
JWC_MV,D,20071204,000000,2243.18,2250.29,2237.71,2241.54,0,0
