<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KGH_MV,D,20070813,000000,10325.77,10325.77,10325.77,10325.77,0,0
KGH_MV,D,20070814,000000,10103.5,10103.5,10103.5,10103.5,0,0
KGH_MV,D,20070816,000000,9538.57,9538.57,9538.57,9538.57,0,0
KGH_MV,D,20070817,000000,9909.02,9909.02,9909.02,9909.02,0,0
KGH_MV,D,20070820,000000,9797.91,9797.91,9797.91,9797.91,0,0
KGH_MV,D,20070821,000000,9455.26,9455.26,9455.26,9455.26,0,0
KGH_MV,D,20070822,000000,9964.61,9964.61,9964.61,9964.61,0,0
KGH_MV,D,20070823,000000,10233.14,10233.14,10233.14,10233.14,0,0
KGH_MV,D,20070824,000000,10464.7,10464.7,10464.7,10464.7,0,0
KGH_MV,D,20070827,000000,10510.95,10510.95,10510.95,10510.95,0,0
KGH_MV,D,20070828,000000,10353.52,10353.52,10353.52,10353.52,0,0
KGH_MV,D,20070829,000000,10381.31,10381.31,10381.31,10381.31,0,0
KGH_MV,D,20070830,000000,10307.26,10307.26,10307.26,10307.26,0,0
KGH_MV,D,20070831,000000,10723.96,10723.96,10723.96,10723.96,0,0
KGH_MV,D,20070903,000000,10705.44,10705.44,10705.44,10705.44,0,0
KGH_MV,D,20070904,000000,10603.58,10603.58,10603.58,10603.58,0,0
KGH_MV,D,20070905,000000,10325.77,10325.77,10325.77,10325.77,0,0
KGH_MV,D,20070906,000000,10196.09,10196.09,10196.09,10196.09,0,0
KGH_MV,D,20070907,000000,9955.34,9955.34,9955.34,9955.34,0,0
KGH_MV,D,20070910,000000,10001.66,10001.66,10001.66,10001.66,0,0
KGH_MV,D,20070911,000000,10140.56,10140.56,10140.56,10140.56,0,0
KGH_MV,D,20070912,000000,10464.7,10464.7,10464.7,10464.7,0,0
KGH_MV,D,20070913,000000,10649.9,10649.9,10649.9,10649.9,0,0
KGH_MV,D,20070914,000000,10594.33,10594.33,10594.33,10594.33,0,0
KGH_MV,D,20070917,000000,10788.82,10788.82,10788.82,10788.82,0,0
KGH_MV,D,20070918,000000,10974.03,10974.03,10974.03,10974.03,0,0
KGH_MV,D,20070919,000000,11724.12,11724.12,11724.12,11724.12,0,0
KGH_MV,D,20070920,000000,11483.38,11483.38,11483.38,11483.38,0,0
KGH_MV,D,20070921,000000,11575.96,11575.96,11575.96,11575.96,0,0
KGH_MV,D,20070924,000000,11659.34,11659.34,11659.34,11659.34,0,0
KGH_MV,D,20070925,000000,11464.84,11464.84,11464.84,11464.84,0,0
KGH_MV,D,20070926,000000,11557.44,11557.44,11557.44,11557.44,0,0
KGH_MV,D,20070927,000000,11492.65,11492.65,11492.65,11492.65,0,0
KGH_MV,D,20070928,000000,11437.07,11437.07,11437.07,11437.07,0,0
KGH_MV,D,20071001,000000,11613.01,11613.01,11613.01,11613.01,0,0
KGH_MV,D,20071002,000000,11937.13,11937.13,11937.13,11937.13,0,0
KGH_MV,D,20071003,000000,11770.45,11770.45,11770.45,11770.45,0,0
KGH_MV,D,20071004,000000,11918.61,11918.61,11918.61,11918.61,0,0
KGH_MV,D,20071005,000000,11946.41,11946.41,11946.41,11946.41,0,0
KGH_MV,D,20071008,000000,11798.25,11798.25,11798.25,11798.25,0,0
KGH_MV,D,20071009,000000,12038.99,12038.99,12038.99,12038.99,0,0
KGH_MV,D,20071010,000000,12038.99,12038.99,12038.99,12038.99,0,0
KGH_MV,D,20071011,000000,12789.15,12789.15,12789.15,12789.15,0,0
KGH_MV,D,20071012,000000,12770.62,12770.62,12770.62,12770.62,0,0
KGH_MV,D,20071015,000000,13242.9,13242.9,13242.9,13242.9,0,0
KGH_MV,D,20071016,000000,12946.58,12946.58,12946.58,12946.58,0,0
KGH_MV,D,20071017,000000,12872.47,12872.47,12872.47,12872.47,0,0
KGH_MV,D,20071018,000000,12289.06,12289.06,12289.06,12289.06,0,0
KGH_MV,D,20071019,000000,12502.01,12502.01,12502.01,12502.01,0,0
KGH_MV,D,20071022,000000,12298.33,12298.33,12298.33,12298.33,0,0
KGH_MV,D,20071023,000000,12566.85,12566.85,12566.85,12566.85,0,0
KGH_MV,D,20071024,000000,12455.75,12455.75,12455.75,12455.75,0,0
KGH_MV,D,20071025,000000,12687.23,12687.23,12687.23,12687.23,0,0
KGH_MV,D,20071026,000000,12863.2,12863.2,12863.2,12863.2,0,0
KGH_MV,D,20071029,000000,12918.79,12918.79,12918.79,12918.79,0,0
KGH_MV,D,20071030,000000,12668.71,12668.71,12668.71,12668.71,0,0
KGH_MV,D,20071031,000000,12520.54,12520.54,12520.54,12520.54,0,0
KGH_MV,D,20071102,000000,12038.99,12038.99,12038.99,12038.99,0,0
KGH_MV,D,20071105,000000,11668.61,11668.61,11668.61,11668.61,0,0
KGH_MV,D,20071106,000000,11770.45,11770.45,11770.45,11770.45,0,0
KGH_MV,D,20071107,000000,11594.48,11594.48,11594.48,11594.48,0,0
KGH_MV,D,20071108,000000,11585.23,11585.23,11585.23,11585.23,0,0
KGH_MV,D,20071109,000000,11668.61,11668.61,10807.34,11020.3,0,0
KGH_MV,D,20071112,000000,10853.6,11057.34,10742.49,10835.12,0,0
KGH_MV,D,20071113,000000,11390.74,11390.74,10770.28,10974.03,0,0
KGH_MV,D,20071114,000000,11112.94,11205.51,11020.3,11020.3,0,0
KGH_MV,D,20071115,000000,11112.94,11335.22,10761.01,10788.82,0,0
KGH_MV,D,20071116,000000,10742.49,11011.09,10557.26,10881.38,0,0
