<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRU_MV,D,20110510,000000,610.96,610.96,610.96,610.96,0,0
KRU_MV,D,20110511,000000,609.5,610.96,600.71,600.71,0,0
KRU_MV,D,20110512,000000,596.17,607.87,586.21,600.56,0,0
KRU_MV,D,20110513,000000,594.7,600.56,591.77,593.68,0,0
KRU_MV,D,20110516,000000,593.98,597.62,592.94,596.17,0,0
KRU_MV,D,20110517,000000,596.17,597.34,591.77,591.91,0,0
KRU_MV,D,20110518,000000,593.24,594.56,591.91,593.24,0,0
KRU_MV,D,20110519,000000,593.24,593.98,582.97,593.98,0,0
KRU_MV,D,20110520,000000,594.41,594.41,592.51,593.24,0,0
KRU_MV,D,20110523,000000,593.39,593.39,589.14,590.31,0,0
KRU_MV,D,20110524,000000,585.91,593.24,584.45,593.24,0,0
KRU_MV,D,20110525,000000,591.77,600.56,591.77,600.56,0,0
KRU_MV,D,20110526,000000,596.9,606.43,596.17,596.17,0,0
KRU_MV,D,20110527,000000,591.91,597.62,591.91,596.9,0,0
KRU_MV,D,20110530,000000,592.65,594.7,587.37,587.53,0,0
KRU_MV,D,20110531,000000,586.51,610.53,585.91,604.96,0,0
KRU_MV,D,20110601,000000,607.31,607.31,593.24,605.69,0,0
KRU_MV,D,20110602,000000,604.96,604.96,593.24,603.34,0,0
KRU_MV,D,20110603,000000,593.98,603.34,593.24,593.98,0,0
KRU_MV,D,20110606,000000,591.91,600.56,588.84,600.56,0,0
KRU_MV,D,20110607,000000,593.24,600.56,593.24,600.56,0,0
KRU_MV,D,20110608,000000,593.24,600.56,593.24,600.56,0,0
KRU_MV,D,20110609,000000,597.62,597.62,593.24,593.24,0,0
KRU_MV,D,20110610,000000,591.77,593.24,587.37,593.24,0,0
KRU_MV,D,20110613,000000,591.77,593.98,591.77,593.98,0,0
KRU_MV,D,20110614,000000,586.51,593.98,586.51,590.45,0,0
KRU_MV,D,20110615,000000,586.06,634.23,586.06,634.23,0,0
KRU_MV,D,20110616,000000,598.5,627.48,598.5,626.71,0,0
KRU_MV,D,20110617,000000,624.35,626.71,620.43,626.71,0,0
KRU_MV,D,20110620,000000,603.2,626.71,603.2,622.01,0,0
KRU_MV,D,20110621,000000,618.88,626.71,618.88,622.01,0,0
KRU_MV,D,20110622,000000,619.03,634.38,619.03,626.71,0,0
KRU_MV,D,20110624,000000,626.55,629.84,623.74,626.71,0,0
KRU_MV,D,20110627,000000,625.45,627.48,625.14,626.71,0,0
KRU_MV,D,20110628,000000,614.17,626.71,614.17,626.71,0,0
KRU_MV,D,20110629,000000,625.14,629.84,625.14,629.84,0,0
KRU_MV,D,20110630,000000,634.54,634.54,626.71,634.54,0,0
KRU_MV,D,20110701,000000,642.38,672.93,642.38,670.73,0,0
KRU_MV,D,20110704,000000,669.79,681.55,669.79,681.55,0,0
KRU_MV,D,20110705,000000,683.89,684.68,674.18,678.41,0,0
KRU_MV,D,20110706,000000,676.22,678.41,665.1,678.41,0,0
KRU_MV,D,20110707,000000,678.41,686.23,668.07,681.55,0,0
