<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KTY_PE,D,20070813,000000,10.594,10.594,10.594,10.594,0,0
KTY_PE,D,20070814,000000,10.39,10.39,10.39,10.39,0,0
KTY_PE,D,20070816,000000,10.128,10.128,10.128,10.128,0,0
KTY_PE,D,20070817,000000,9.871,9.871,9.871,9.871,0,0
KTY_PE,D,20070820,000000,9.871,9.871,9.871,9.871,0,0
KTY_PE,D,20070821,000000,9.765,9.765,9.765,9.765,0,0
KTY_PE,D,20070822,000000,10.232,10.232,10.232,10.232,0,0
KTY_PE,D,20070823,000000,10.649,10.649,10.649,10.649,0,0
KTY_PE,D,20070824,000000,10.128,10.128,10.128,10.128,0,0
KTY_PE,D,20070827,000000,10.697,10.697,10.697,10.697,0,0
KTY_PE,D,20070828,000000,10.955,10.955,10.955,10.955,0,0
KTY_PE,D,20070829,000000,11.06,11.06,11.06,11.06,0,0
KTY_PE,D,20070830,000000,10.955,10.955,10.955,10.955,0,0
KTY_PE,D,20070831,000000,11.421,11.421,11.421,11.421,0,0
KTY_PE,D,20070903,000000,12.04,12.04,12.04,12.04,0,0
KTY_PE,D,20070904,000000,12.04,12.04,12.04,12.04,0,0
KTY_PE,D,20070905,000000,11.783,11.783,11.783,11.783,0,0
KTY_PE,D,20070906,000000,11.735,11.735,11.735,11.735,0,0
KTY_PE,D,20070907,000000,11.526,11.526,11.526,11.526,0,0
KTY_PE,D,20070910,000000,11.162,11.162,11.162,11.162,0,0
KTY_PE,D,20070911,000000,11.476,11.476,11.476,11.476,0,0
KTY_PE,D,20070912,000000,11.476,11.476,11.476,11.476,0,0
KTY_PE,D,20070913,000000,11.63,11.63,11.63,11.63,0,0
KTY_PE,D,20070914,000000,11.213,11.213,11.213,11.213,0,0
KTY_PE,D,20070917,000000,11.011,11.011,11.011,11.011,0,0
KTY_PE,D,20070918,000000,11.268,11.268,11.268,11.268,0,0
KTY_PE,D,20070919,000000,11.679,11.679,11.679,11.679,0,0
KTY_PE,D,20070920,000000,12.04,12.04,12.04,12.04,0,0
KTY_PE,D,20070921,000000,11.421,11.421,11.421,11.421,0,0
KTY_PE,D,20070924,000000,11.526,11.526,11.526,11.526,0,0
KTY_PE,D,20070925,000000,10.852,10.852,10.852,10.852,0,0
KTY_PE,D,20070926,000000,10.955,10.955,10.955,10.955,0,0
KTY_PE,D,20070927,000000,10.955,10.955,10.955,10.955,0,0
KTY_PE,D,20070928,000000,10.697,10.697,10.697,10.697,0,0
KTY_PE,D,20071001,000000,10.441,10.441,10.441,10.441,0,0
KTY_PE,D,20071002,000000,10.545,10.545,10.545,10.545,0,0
KTY_PE,D,20071003,000000,10.441,10.441,10.441,10.441,0,0
KTY_PE,D,20071004,000000,10.441,10.441,10.441,10.441,0,0
KTY_PE,D,20071005,000000,10.49,10.49,10.49,10.49,0,0
KTY_PE,D,20071008,000000,10.545,10.545,10.545,10.545,0,0
KTY_PE,D,20071009,000000,10.441,10.441,10.441,10.441,0,0
KTY_PE,D,20071010,000000,10.594,10.594,10.594,10.594,0,0
KTY_PE,D,20071011,000000,10.697,10.697,10.697,10.697,0,0
KTY_PE,D,20071012,000000,10.594,10.594,10.594,10.594,0,0
KTY_PE,D,20071015,000000,10.852,10.852,10.852,10.852,0,0
KTY_PE,D,20071016,000000,10.697,10.697,10.697,10.697,0,0
KTY_PE,D,20071017,000000,10.753,10.753,10.753,10.753,0,0
KTY_PE,D,20071018,000000,10.649,10.649,10.649,10.649,0,0
KTY_PE,D,20071019,000000,10.649,10.649,10.649,10.649,0,0
KTY_PE,D,20071022,000000,10.545,10.545,10.545,10.545,0,0
KTY_PE,D,20071023,000000,10.753,10.753,10.753,10.753,0,0
KTY_PE,D,20071024,000000,10.649,10.649,10.649,10.649,0,0
KTY_PE,D,20071025,000000,10.441,10.441,10.441,10.441,0,0
KTY_PE,D,20071026,000000,10.39,10.39,10.39,10.39,0,0
KTY_PE,D,20071029,000000,10.128,10.128,10.128,10.128,0,0
KTY_PE,D,20071030,000000,10.079,10.079,10.079,10.079,0,0
KTY_PE,D,20071031,000000,10.024,10.024,10.024,10.024,0,0
KTY_PE,D,20071102,000000,9.2999,9.2999,9.2999,9.2999,0,0
KTY_PE,D,20071105,000000,9.459,9.459,9.459,9.459,0,0
KTY_PE,D,20071106,000000,9.2999,9.2999,9.2999,9.2999,0,0
KTY_PE,D,20071107,000000,9.201,9.201,9.201,9.201,0,0
KTY_PE,D,20071108,000000,9.459,9.459,9.459,9.459,0,0
KTY_PE,D,20071109,000000,9.765,9.765,8.9929,9.0965,0,0
KTY_PE,D,20071112,000000,9.1464,9.2518,9.0965,9.201,0,0
KTY_PE,D,20071113,000000,9.201,9.3563,9.0428,9.0428,0,0
KTY_PE,D,20071114,000000,9.2999,9.2999,9.0428,9.201,0,0
KTY_PE,D,20071115,000000,9.3563,9.3563,8.7343,8.7343,0,0
KTY_PE,D,20071116,000000,8.7343,8.7343,8.0616,8.5767,0,0
KTY_PE,D,20071119,000000,8.479,8.7849,8.479,8.6812,0,0
KTY_PE,D,20071120,000000,8.479,8.6812,8.3745,8.5279,0,0
KTY_PE,D,20071121,000000,8.479,8.479,7.8545,7.8545,0,0
KTY_PE,D,20071122,000000,7.6999,8.3745,7.6999,8.1664,0,0
KTY_PE,D,20071123,000000,8.1664,8.4234,8.1664,8.3197,0,0
KTY_PE,D,20071126,000000,8.5279,8.7849,8.5279,8.6315,0,0
KTY_PE,D,20071127,000000,8.6315,8.6315,8.479,8.6315,0,0
KTY_PE,D,20071128,000000,8.6315,8.7343,8.4234,8.4234,0,0
KTY_PE,D,20071129,000000,8.5767,8.9383,8.4234,8.4234,0,0
KTY_PE,D,20071130,000000,8.479,8.6812,8.479,8.5767,0,0
KTY_PE,D,20071203,000000,8.5767,8.7849,8.5279,8.5279,0,0
KTY_PE,D,20071204,000000,8.5767,8.5767,8.3745,8.4234,0,0
KTY_PE,D,20071205,000000,8.2699,8.4234,8.2699,8.3745,0,0
KTY_PE,D,20071206,000000,8.4234,8.5767,8.3197,8.3197,0,0
KTY_PE,D,20071207,000000,8.479,8.479,8.3197,8.4234,0,0
KTY_PE,D,20071210,000000,8.4234,8.7343,8.4234,8.4234,0,0
KTY_PE,D,20071211,000000,8.4234,8.479,8.4234,8.4234,0,0
KTY_PE,D,20071212,000000,8.4234,8.5767,8.3745,8.5767,0,0
KTY_PE,D,20071213,000000,8.6812,8.6812,8.5279,8.5279,0,0
KTY_PE,D,20071214,000000,8.5279,9.0428,8.3745,8.5279,0,0
KTY_PE,D,20071217,000000,8.4234,8.5767,8.3745,8.3745,0,0
KTY_PE,D,20071218,000000,8.2699,8.3745,8.2152,8.2699,0,0
KTY_PE,D,20071219,000000,8.2152,8.5279,8.1165,8.2699,0,0
KTY_PE,D,20071220,000000,8.2699,8.2699,7.8545,7.8545,0,0
KTY_PE,D,20071221,000000,7.9572,8.3745,7.9572,8.1664,0,0
KTY_PE,D,20071227,000000,7.9572,8.5279,7.9572,8.5279,0,0
KTY_PE,D,20071228,000000,8.5767,8.5767,8.1664,8.5279,0,0
KTY_PE,D,20080102,000000,8.7849,8.9383,8.6812,8.7849,0,0
KTY_PE,D,20080103,000000,8.7343,8.7343,8.5279,8.6315,0,0
KTY_PE,D,20080104,000000,8.6315,8.6812,8.5279,8.5279,0,0
KTY_PE,D,20080107,000000,8.5279,8.5279,8.3197,8.4234,0,0
KTY_PE,D,20080108,000000,8.4234,8.4234,8.1664,8.3745,0,0
KTY_PE,D,20080109,000000,8.2152,8.3745,7.8035,8.0129,0,0
KTY_PE,D,20080110,000000,7.9086,7.9572,7.6506,7.7549,0,0
KTY_PE,D,20080111,000000,8.1664,8.2152,7.4428,7.4428,0,0
KTY_PE,D,20080114,000000,7.1301,7.1301,7.1301,7.1301,0,0
KTY_PE,D,20080115,000000,7.0311,7.0811,6.7687,6.8234,0,0
KTY_PE,D,20080116,000000,6.67,6.8234,6.5105,6.5105,0,0
KTY_PE,D,20080117,000000,6.719,6.719,6.4065,6.4065,0,0
