<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LEN_MV,D,20070813,000000,131.7,131.7,131.7,131.7,0,0
LEN_MV,D,20070814,000000,123.12,123.12,123.12,123.12,0,0
LEN_MV,D,20070816,000000,118.07,118.07,118.07,118.07,0,0
LEN_MV,D,20070817,000000,126.88,126.88,126.88,126.88,0,0
LEN_MV,D,20070820,000000,126.29,126.29,126.29,126.29,0,0
LEN_MV,D,20070821,000000,122.18,122.18,122.18,122.18,0,0
LEN_MV,D,20070822,000000,126.88,126.88,126.88,126.88,0,0
LEN_MV,D,20070823,000000,128.65,128.65,128.65,128.65,0,0
LEN_MV,D,20070824,000000,128.06,128.06,128.06,128.06,0,0
LEN_MV,D,20070827,000000,128.06,128.06,128.06,128.06,0,0
LEN_MV,D,20070828,000000,127.83,127.83,127.83,127.83,0,0
LEN_MV,D,20070829,000000,129.83,129.83,129.83,129.83,0,0
LEN_MV,D,20070830,000000,129.83,129.83,129.83,129.83,0,0
LEN_MV,D,20070831,000000,134.75,134.75,134.75,134.75,0,0
LEN_MV,D,20070903,000000,132.77,132.77,132.77,132.77,0,0
LEN_MV,D,20070904,000000,129.24,129.24,129.24,129.24,0,0
LEN_MV,D,20070905,000000,127.12,127.12,127.12,127.12,0,0
LEN_MV,D,20070906,000000,129.24,129.24,129.24,129.24,0,0
LEN_MV,D,20070907,000000,124.54,124.54,124.54,124.54,0,0
LEN_MV,D,20070910,000000,124.41,124.41,124.41,124.41,0,0
LEN_MV,D,20070911,000000,128.99,128.99,128.99,128.99,0,0
LEN_MV,D,20070912,000000,129.24,129.24,129.24,129.24,0,0
LEN_MV,D,20070913,000000,128.99,128.99,128.99,128.99,0,0
LEN_MV,D,20070914,000000,128.18,128.18,128.18,128.18,0,0
LEN_MV,D,20070917,000000,127.95,127.95,127.95,127.95,0,0
LEN_MV,D,20070918,000000,128.06,128.06,128.06,128.06,0,0
LEN_MV,D,20070919,000000,123.36,123.36,123.36,123.36,0,0
LEN_MV,D,20070920,000000,123.23,123.23,123.23,123.23,0,0
LEN_MV,D,20070921,000000,120.07,120.07,120.07,120.07,0,0
LEN_MV,D,20070924,000000,122.18,122.18,122.18,122.18,0,0
LEN_MV,D,20070925,000000,122.18,122.18,122.18,122.18,0,0
LEN_MV,D,20070926,000000,122.65,122.65,122.65,122.65,0,0
LEN_MV,D,20070927,000000,122.65,122.65,122.65,122.65,0,0
LEN_MV,D,20070928,000000,123.36,123.36,123.36,123.36,0,0
LEN_MV,D,20071001,000000,118.66,118.66,118.66,118.66,0,0
LEN_MV,D,20071002,000000,119.83,119.83,119.83,119.83,0,0
LEN_MV,D,20071003,000000,117.48,117.48,117.48,117.48,0,0
LEN_MV,D,20071004,000000,114.67,114.67,114.67,114.67,0,0
LEN_MV,D,20071005,000000,116.89,116.89,116.89,116.89,0,0
LEN_MV,D,20071008,000000,116.2,116.2,116.2,116.2,0,0
LEN_MV,D,20071009,000000,119.14,119.14,119.14,119.14,0,0
LEN_MV,D,20071010,000000,119.14,119.14,119.14,119.14,0,0
LEN_MV,D,20071011,000000,117.48,117.48,117.48,117.48,0,0
LEN_MV,D,20071012,000000,115.85,115.85,115.85,115.85,0,0
LEN_MV,D,20071015,000000,122.18,122.18,122.18,122.18,0,0
LEN_MV,D,20071016,000000,117.48,117.48,117.48,117.48,0,0
LEN_MV,D,20071017,000000,117.48,117.48,117.48,117.48,0,0
LEN_MV,D,20071018,000000,118.43,118.43,118.43,118.43,0,0
LEN_MV,D,20071019,000000,118.66,118.66,118.66,118.66,0,0
LEN_MV,D,20071022,000000,118.43,118.43,118.43,118.43,0,0
LEN_MV,D,20071023,000000,117.96,117.96,117.96,117.96,0,0
LEN_MV,D,20071024,000000,117.48,117.48,117.48,117.48,0,0
LEN_MV,D,20071025,000000,117.48,117.48,117.48,117.48,0,0
LEN_MV,D,20071026,000000,117.48,117.48,117.48,117.48,0,0
LEN_MV,D,20071029,000000,117.24,117.24,117.24,117.24,0,0
LEN_MV,D,20071030,000000,117.24,117.24,117.24,117.24,0,0
LEN_MV,D,20071031,000000,113.84,113.84,113.84,113.84,0,0
LEN_MV,D,20071102,000000,111.84,111.84,111.84,111.84,0,0
LEN_MV,D,20071105,000000,117.24,117.24,117.24,117.24,0,0
LEN_MV,D,20071106,000000,116.31,116.31,116.31,116.31,0,0
LEN_MV,D,20071107,000000,114.88,114.88,114.88,114.88,0,0
LEN_MV,D,20071108,000000,111.61,111.61,111.61,111.61,0,0
LEN_MV,D,20071109,000000,107.03,112.78,102.33,102.33,0,0
LEN_MV,D,20071112,000000,103.38,103.38,102.33,103.38,0,0
LEN_MV,D,20071113,000000,104.45,105.73,101.03,102.8,0,0
