<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LKD_MV,D,20151215,000000,173.72,173.72,173.72,173.72,0,0
LKD_MV,D,20151217,000000,169.68,169.68,169.68,169.68,0,0
LKD_MV,D,20151218,000000,172.06,172.06,172.06,172.06,0,0
LKD_MV,D,20151221,000000,153.27,162.31,153.27,162.31,0,0
LKD_MV,D,20151222,000000,153.27,164.13,153.01,164.13,0,0
LKD_MV,D,20151223,000000,166.91,166.91,166.91,166.91,0,0
LKD_MV,D,20151228,000000,166.91,166.91,166.91,166.91,0,0
LKD_MV,D,20151229,000000,166.91,166.91,166.91,166.91,0,0
LKD_MV,D,20151230,000000,166.91,173.86,153.01,173.86,0,0
LKD_MV,D,20160113,000000,169.68,169.68,169.68,169.68,0,0
LKD_MV,D,20160120,000000,139.09,139.79,139.09,139.79,0,0
LKD_MV,D,20160121,000000,139.09,152.3,139.09,152.3,0,0
LKD_MV,D,20160127,000000,153.01,153.01,139.09,153.01,0,0
LKD_MV,D,20160129,000000,167.6,167.6,167.6,167.6,0,0
LKD_MV,D,20160203,000000,166.91,166.91,166.91,166.91,0,0
LKD_MV,D,20160212,000000,153.01,164.13,153.01,164.13,0,0
LKD_MV,D,20160216,000000,164.13,164.13,164.13,164.13,0,0
LKD_MV,D,20160224,000000,153.01,153.01,139.09,139.09,0,0
LKD_MV,D,20160225,000000,153.01,153.01,153.01,153.01,0,0
LKD_MV,D,20160229,000000,153.01,153.01,153.01,153.01,0,0
LKD_MV,D,20160304,000000,150.22,150.22,150.22,150.22,0,0
LKD_MV,D,20160309,000000,150.22,150.22,150.22,150.22,0,0
LKD_MV,D,20160310,000000,150.22,150.22,150.22,150.22,0,0
LKD_MV,D,20160311,000000,150.22,150.22,150.22,150.22,0,0
LKD_MV,D,20160316,000000,150.22,159.96,150.22,159.96,0,0
LKD_MV,D,20160317,000000,166.91,168.29,166.91,166.91,0,0
LKD_MV,D,20160318,000000,164.13,167.6,164.13,167.6,0,0
