<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LKD_PE,D,20151215,000000,13.677,13.677,13.677,13.677,0,0
LKD_PE,D,20151217,000000,13.368,13.368,13.368,13.368,0,0
LKD_PE,D,20151218,000000,13.523,13.6,13.523,13.6,0,0
LKD_PE,D,20151221,000000,12.131,12.827,12.131,12.827,0,0
LKD_PE,D,20151222,000000,12.131,12.981,12.054,12.981,0,0
LKD_PE,D,20151223,000000,13.214,13.214,13.136,13.136,0,0
LKD_PE,D,20151228,000000,13.136,13.136,13.136,13.136,0,0
LKD_PE,D,20151229,000000,13.136,13.136,13.136,13.136,0,0
LKD_PE,D,20151230,000000,13.136,13.677,12.054,13.677,0,0
LKD_PE,D,20160113,000000,13.368,13.368,13.368,13.368,0,0
LKD_PE,D,20160120,000000,10.973,11.05,10.973,11.05,0,0
LKD_PE,D,20160121,000000,10.973,12.054,10.973,11.977,0,0
LKD_PE,D,20160127,000000,12.054,12.054,10.973,12.054,0,0
LKD_PE,D,20160129,000000,13.214,13.214,13.214,13.214,0,0
LKD_PE,D,20160203,000000,13.136,13.136,13.136,13.136,0,0
LKD_PE,D,20160212,000000,12.054,12.981,12.054,12.981,0,0
LKD_PE,D,20160216,000000,12.981,12.981,12.981,12.981,0,0
LKD_PE,D,20160224,000000,12.131,12.131,10.973,10.973,0,0
LKD_PE,D,20160225,000000,12.054,12.054,12.054,12.054,0,0
LKD_PE,D,20160229,000000,12.054,12.054,12.054,12.054,0,0
LKD_PE,D,20160304,000000,11.823,11.823,11.823,11.823,0,0
LKD_PE,D,20160309,000000,11.823,11.823,11.823,11.823,0,0
LKD_PE,D,20160310,000000,11.823,11.823,11.823,11.823,0,0
LKD_PE,D,20160311,000000,11.823,11.823,11.823,11.823,0,0
LKD_PE,D,20160316,000000,11.823,12.596,4.6363,4.6363,0,0
LKD_PE,D,20160317,000000,4.8681,4.8681,4.8681,4.8681,0,0
LKD_PE,D,20160318,000000,4.7909,4.8681,4.7909,4.8681,0,0
LKD_PE,D,20160321,000000,4.8681,5.1772,4.8681,5.1772,0,0
LKD_PE,D,20160322,000000,5.1,5.1,5.1,5.1,0,0
LKD_PE,D,20160323,000000,5.0227,5.0227,5.0227,5.0227,0,0
LKD_PE,D,20160329,000000,5.0227,5.0227,5.0227,5.0227,0,0
