<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAK_PE,D,20070813,000000,31.382,31.382,31.382,31.382,0,0
MAK_PE,D,20070814,000000,31.459,31.459,31.459,31.459,0,0
MAK_PE,D,20070816,000000,31.078,31.078,31.078,31.078,0,0
MAK_PE,D,20070817,000000,31.078,31.078,31.078,31.078,0,0
MAK_PE,D,20070820,000000,31.23,31.23,31.23,31.23,0,0
MAK_PE,D,20070821,000000,30.62,30.62,30.62,30.62,0,0
MAK_PE,D,20070822,000000,27.041,27.041,27.041,27.041,0,0
MAK_PE,D,20070823,000000,27.496,27.496,27.496,27.496,0,0
MAK_PE,D,20070824,000000,27.194,27.194,27.194,27.194,0,0
MAK_PE,D,20070827,000000,27.041,27.041,27.041,27.041,0,0
MAK_PE,D,20070828,000000,26.355,26.355,26.355,26.355,0,0
MAK_PE,D,20070829,000000,26.507,26.507,26.507,26.507,0,0
MAK_PE,D,20070830,000000,26.203,26.203,26.203,26.203,0,0
MAK_PE,D,20070831,000000,25.898,25.898,25.898,25.898,0,0
MAK_PE,D,20070903,000000,26.355,26.355,26.355,26.355,0,0
MAK_PE,D,20070904,000000,26.355,26.355,26.355,26.355,0,0
MAK_PE,D,20070905,000000,25.898,25.898,25.898,25.898,0,0
MAK_PE,D,20070906,000000,25.288,25.288,25.288,25.288,0,0
MAK_PE,D,20070907,000000,25.288,25.288,25.288,25.288,0,0
MAK_PE,D,20070910,000000,24.07,24.07,24.07,24.07,0,0
MAK_PE,D,20070911,000000,24.299,24.299,24.299,24.299,0,0
MAK_PE,D,20070912,000000,23.385,23.385,23.385,23.385,0,0
MAK_PE,D,20070913,000000,23.385,23.385,23.385,23.385,0,0
MAK_PE,D,20070914,000000,23.156,23.156,23.156,23.156,0,0
MAK_PE,D,20070917,000000,23.308,23.308,23.308,23.308,0,0
MAK_PE,D,20070918,000000,23.308,23.308,23.308,23.308,0,0
MAK_PE,D,20070919,000000,23.385,23.385,23.385,23.385,0,0
MAK_PE,D,20070920,000000,23.08,23.08,23.08,23.08,0,0
MAK_PE,D,20070921,000000,23.385,23.385,23.385,23.385,0,0
MAK_PE,D,20070924,000000,23.156,23.156,23.156,23.156,0,0
MAK_PE,D,20070925,000000,22.623,22.623,22.623,22.623,0,0
MAK_PE,D,20070926,000000,22.623,22.623,22.623,22.623,0,0
MAK_PE,D,20070927,000000,22.85,22.85,22.85,22.85,0,0
MAK_PE,D,20070928,000000,22.547,22.547,22.547,22.547,0,0
MAK_PE,D,20071001,000000,23.917,23.917,23.917,23.917,0,0
MAK_PE,D,20071002,000000,24.07,24.07,24.07,24.07,0,0
MAK_PE,D,20071003,000000,24.07,24.07,24.07,24.07,0,0
MAK_PE,D,20071004,000000,23.917,23.917,23.917,23.917,0,0
MAK_PE,D,20071005,000000,24.756,24.756,24.756,24.756,0,0
MAK_PE,D,20071008,000000,25.517,25.517,25.517,25.517,0,0
MAK_PE,D,20071009,000000,25.213,25.213,25.213,25.213,0,0
MAK_PE,D,20071010,000000,25.213,25.213,25.213,25.213,0,0
MAK_PE,D,20071011,000000,25.288,25.288,25.288,25.288,0,0
MAK_PE,D,20071012,000000,25.213,25.213,25.213,25.213,0,0
MAK_PE,D,20071015,000000,24.756,24.756,24.756,24.756,0,0
MAK_PE,D,20071016,000000,22.775,22.775,22.775,22.775,0,0
MAK_PE,D,20071017,000000,21.251,21.251,21.251,21.251,0,0
MAK_PE,D,20071018,000000,21.404,21.404,21.404,21.404,0,0
MAK_PE,D,20071019,000000,22.318,22.318,22.318,22.318,0,0
MAK_PE,D,20071022,000000,21.861,21.861,21.861,21.861,0,0
MAK_PE,D,20071023,000000,21.784,21.784,21.784,21.784,0,0
MAK_PE,D,20071024,000000,21.861,21.861,21.861,21.861,0,0
MAK_PE,D,20071025,000000,21.099,21.099,21.099,21.099,0,0
MAK_PE,D,20071026,000000,21.099,21.099,21.099,21.099,0,0
MAK_PE,D,20071029,000000,21.024,21.024,21.024,21.024,0,0
MAK_PE,D,20071030,000000,21.251,21.251,21.251,21.251,0,0
MAK_PE,D,20071031,000000,21.404,21.404,21.404,21.404,0,0
MAK_PE,D,20071102,000000,21.251,21.251,21.251,21.251,0,0
MAK_PE,D,20071105,000000,20.184,20.184,20.184,20.184,0,0
MAK_PE,D,20071106,000000,20.261,20.261,20.261,20.261,0,0
MAK_PE,D,20071107,000000,20.184,20.184,20.184,20.184,0,0
MAK_PE,D,20071108,000000,20.033,20.033,20.033,20.033,0,0
MAK_PE,D,20071109,000000,19.729,19.729,17.901,17.977,0,0
MAK_PE,D,20071112,000000,17.367,17.977,17.062,17.062,0,0
MAK_PE,D,20071113,000000,16.605,17.901,16.605,17.672,0,0
MAK_PE,D,20071114,000000,17.977,19.042,17.747,17.747,0,0
MAK_PE,D,20071115,000000,17.977,18.204,17.367,17.901,0,0
MAK_PE,D,20071116,000000,18.128,18.128,16.757,17.519,0,0
MAK_PE,D,20071119,000000,17.519,17.672,16.757,17.062,0,0
MAK_PE,D,20071120,000000,16.91,16.91,16.073,16.073,0,0
MAK_PE,D,20071121,000000,16.377,16.377,14.777,14.853,0,0
MAK_PE,D,20071122,000000,14.853,19.119,13.482,19.119,0,0
MAK_PE,D,20071123,000000,19.423,19.423,18.509,18.814,0,0
MAK_PE,D,20071126,000000,19.194,19.575,18.891,19.349,0,0
MAK_PE,D,20071127,000000,19.349,19.423,18.891,19.27,0,0
MAK_PE,D,20071128,000000,19.423,20.566,19.27,20.566,0,0
MAK_PE,D,20071129,000000,20.87,20.87,19.804,19.955,0,0
MAK_PE,D,20071130,000000,20.414,20.414,20.261,20.261,0,0
MAK_PE,D,20071203,000000,20.566,20.566,20.261,20.261,0,0
MAK_PE,D,20071204,000000,20.184,20.414,19.955,20.261,0,0
MAK_PE,D,20071205,000000,20.49,20.49,19.729,19.804,0,0
MAK_PE,D,20071206,000000,20.184,20.184,19.881,20.033,0,0
MAK_PE,D,20071207,000000,20.337,20.337,19.804,20.184,0,0
MAK_PE,D,20071210,000000,20.261,20.49,19.881,20.261,0,0
MAK_PE,D,20071211,000000,20.261,20.261,19.653,20.184,0,0
MAK_PE,D,20071212,000000,19.653,19.729,19.042,19.042,0,0
MAK_PE,D,20071213,000000,19.27,19.27,18.434,18.662,0,0
MAK_PE,D,20071214,000000,18.662,18.738,18.28,18.28,0,0
MAK_PE,D,20071217,000000,18.204,18.204,17.672,17.901,0,0
MAK_PE,D,20071218,000000,17.977,17.977,17.519,17.519,0,0
MAK_PE,D,20071219,000000,17.901,17.901,17.138,17.367,0,0
MAK_PE,D,20071220,000000,17.062,17.29,16.681,16.757,0,0
MAK_PE,D,20071221,000000,16.681,17.519,16.528,17.519,0,0
MAK_PE,D,20071227,000000,18.434,18.434,17.519,18.28,0,0
MAK_PE,D,20071228,000000,18.052,19.804,18.052,19.5,0,0
MAK_PE,D,20080102,000000,19.5,20.261,19.5,20.033,0,0
MAK_PE,D,20080103,000000,20.184,21.175,19.804,20.87,0,0
MAK_PE,D,20080104,000000,21.48,22.547,21.404,21.784,0,0
MAK_PE,D,20080107,000000,22.926,22.926,21.024,21.404,0,0
