<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBR_PE,D,20100811,000000,24.6,27.06,24.6,26.969,0,0
MBR_PE,D,20100813,000000,23.233,26.513,23.233,24.6,0,0
MBR_PE,D,20100816,000000,24.6,24.6,24.6,24.6,0,0
MBR_PE,D,20100818,000000,25.783,25.783,25.783,25.783,0,0
MBR_PE,D,20100823,000000,25.783,26.969,25.783,26.969,0,0
MBR_PE,D,20100824,000000,26.969,26.969,26.969,26.969,0,0
MBR_PE,D,20100830,000000,26.969,26.969,26.969,26.969,0,0
MBR_PE,D,20100901,000000,26.969,26.969,26.877,26.969,0,0
MBR_PE,D,20100902,000000,26.969,27.516,26.969,27.516,0,0
MBR_PE,D,20100903,000000,27.516,27.516,27.151,27.516,0,0
MBR_PE,D,20100906,000000,27.516,27.516,27.516,27.516,0,0
MBR_PE,D,20100907,000000,27.516,27.697,27.516,27.697,0,0
MBR_PE,D,20100908,000000,27.697,27.879,27.697,27.879,0,0
MBR_PE,D,20100909,000000,27.879,28.061,27.879,28.061,0,0
MBR_PE,D,20100910,000000,28.061,28.061,28.061,28.061,0,0
MBR_PE,D,20100913,000000,28.153,28.153,28.153,28.153,0,0
MBR_PE,D,20100914,000000,28.153,29.337,28.153,29.337,0,0
MBR_PE,D,20100915,000000,30.34,30.34,30.34,30.34,0,0
MBR_PE,D,20100916,000000,30.431,30.431,30.34,30.34,0,0
MBR_PE,D,20100920,000000,30.248,30.248,30.248,30.248,0,0
MBR_PE,D,20100922,000000,30.158,30.158,29.884,29.884,0,0
MBR_PE,D,20100923,000000,29.884,29.884,29.884,29.884,0,0
MBR_PE,D,20100924,000000,29.337,29.52,29.064,29.337,0,0
MBR_PE,D,20100927,000000,30.248,30.248,30.248,30.248,0,0
MBR_PE,D,20100928,000000,29.793,30.431,29.793,30.431,0,0
MBR_PE,D,20100929,000000,30.248,30.248,29.976,30.248,0,0
MBR_PE,D,20100930,000000,30.521,30.521,30.248,30.521,0,0
MBR_PE,D,20101001,000000,30.612,30.612,30.521,30.521,0,0
MBR_PE,D,20101004,000000,30.521,30.521,30.521,30.521,0,0
MBR_PE,D,20101005,000000,30.066,30.158,30.066,30.158,0,0
MBR_PE,D,20101006,000000,30.612,30.885,30.612,30.795,0,0
MBR_PE,D,20101007,000000,30.885,30.885,30.795,30.795,0,0
MBR_PE,D,20101008,000000,29.52,30.885,29.246,30.885,0,0
MBR_PE,D,20101011,000000,31.068,31.25,30.703,31.25,0,0
MBR_PE,D,20101012,000000,31.341,31.524,31.341,31.432,0,0
MBR_PE,D,20101013,000000,31.797,32.618,31.797,32.618,0,0
MBR_PE,D,20101014,000000,32.618,32.89,31.706,32.618,0,0
MBR_PE,D,20101015,000000,32.708,32.8,32.708,32.8,0,0
MBR_PE,D,20101018,000000,31.615,32.708,31.432,31.706,0,0
MBR_PE,D,20101019,000000,31.706,31.706,31.524,31.706,0,0
MBR_PE,D,20101020,000000,31.25,31.706,30.521,31.706,0,0
MBR_PE,D,20101021,000000,31.706,32.162,31.706,32.07,0,0
MBR_PE,D,20101022,000000,31.615,31.706,31.615,31.706,0,0
MBR_PE,D,20101025,000000,32.618,32.618,32.162,32.162,0,0
MBR_PE,D,20101026,000000,32.618,32.618,32.526,32.526,0,0
MBR_PE,D,20101027,000000,32.618,32.618,31.615,31.706,0,0
MBR_PE,D,20101028,000000,32.618,32.618,32.618,32.618,0,0
MBR_PE,D,20101029,000000,32.252,32.252,31.25,32.252,0,0
MBR_PE,D,20101102,000000,31.706,32.162,31.706,32.162,0,0
