<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCR_MV,D,20070813,000000,238.96,238.96,238.96,238.96,0,0
MCR_MV,D,20070814,000000,231.24,231.24,231.24,231.24,0,0
MCR_MV,D,20070816,000000,199.54,199.54,199.54,199.54,0,0
MCR_MV,D,20070817,000000,199.54,199.54,199.54,199.54,0,0
MCR_MV,D,20070820,000000,199.54,199.54,199.54,199.54,0,0
MCR_MV,D,20070821,000000,194.57,194.57,194.57,194.57,0,0
MCR_MV,D,20070822,000000,214.52,214.52,214.52,214.52,0,0
MCR_MV,D,20070823,000000,222.99,222.99,222.99,222.99,0,0
MCR_MV,D,20070824,000000,228.98,228.98,228.98,228.98,0,0
MCR_MV,D,20070827,000000,229.48,229.48,229.48,229.48,0,0
MCR_MV,D,20070828,000000,228.49,228.49,228.49,228.49,0,0
MCR_MV,D,20070829,000000,254.88,254.88,254.88,254.88,0,0
MCR_MV,D,20070830,000000,257.16,257.16,257.16,257.16,0,0
MCR_MV,D,20070831,000000,257.21,257.21,257.21,257.21,0,0
MCR_MV,D,20070903,000000,265.14,265.14,265.14,265.14,0,0
MCR_MV,D,20070904,000000,265.14,265.14,265.14,265.14,0,0
MCR_MV,D,20070905,000000,264.57,264.57,264.57,264.57,0,0
MCR_MV,D,20070906,000000,267.42,267.42,267.42,267.42,0,0
MCR_MV,D,20070907,000000,267.99,267.99,267.99,267.99,0,0
MCR_MV,D,20070910,000000,265.14,265.14,265.14,265.14,0,0
MCR_MV,D,20070911,000000,266.85,266.85,266.85,266.85,0,0
MCR_MV,D,20070912,000000,264.51,264.51,264.51,264.51,0,0
MCR_MV,D,20070913,000000,265.02,265.02,265.02,265.02,0,0
MCR_MV,D,20070914,000000,259.43,259.43,259.43,259.43,0,0
MCR_MV,D,20070917,000000,262.24,262.24,262.24,262.24,0,0
MCR_MV,D,20070918,000000,264.57,264.57,264.57,264.57,0,0
MCR_MV,D,20070919,000000,259.43,259.43,259.43,259.43,0,0
MCR_MV,D,20070920,000000,258.58,258.58,258.58,258.58,0,0
MCR_MV,D,20070921,000000,262.29,262.29,262.29,262.29,0,0
MCR_MV,D,20070924,000000,263.43,263.43,263.43,263.43,0,0
MCR_MV,D,20070925,000000,265.09,265.09,265.09,265.09,0,0
MCR_MV,D,20070926,000000,265.14,265.14,265.14,265.14,0,0
MCR_MV,D,20070927,000000,263.43,263.43,263.43,263.43,0,0
MCR_MV,D,20070928,000000,266.28,266.28,266.28,266.28,0,0
MCR_MV,D,20071001,000000,267.99,267.99,267.99,267.99,0,0
MCR_MV,D,20071002,000000,265.71,265.71,265.71,265.71,0,0
MCR_MV,D,20071003,000000,260.01,260.01,260.01,260.01,0,0
MCR_MV,D,20071004,000000,255.62,255.62,255.62,255.62,0,0
MCR_MV,D,20071005,000000,262.29,262.29,262.29,262.29,0,0
MCR_MV,D,20071008,000000,251.75,251.75,251.75,251.75,0,0
MCR_MV,D,20071009,000000,257.73,257.73,257.73,257.73,0,0
MCR_MV,D,20071010,000000,257.67,257.67,257.67,257.67,0,0
MCR_MV,D,20071011,000000,264.51,264.51,264.51,264.51,0,0
MCR_MV,D,20071012,000000,267.94,267.94,267.94,267.94,0,0
MCR_MV,D,20071015,000000,270.84,270.84,270.84,270.84,0,0
MCR_MV,D,20071016,000000,259.43,259.43,259.43,259.43,0,0
MCR_MV,D,20071017,000000,270.1,270.1,270.1,270.1,0,0
MCR_MV,D,20071018,000000,265.14,265.14,265.14,265.14,0,0
MCR_MV,D,20071019,000000,273.24,273.24,273.24,273.24,0,0
MCR_MV,D,20071022,000000,273.07,273.07,273.07,273.07,0,0
MCR_MV,D,20071023,000000,275.69,275.69,275.69,275.69,0,0
MCR_MV,D,20071024,000000,275.12,275.12,275.12,275.12,0,0
MCR_MV,D,20071025,000000,273.69,273.69,273.69,273.69,0,0
MCR_MV,D,20071026,000000,270.22,270.22,270.22,270.22,0,0
MCR_MV,D,20071029,000000,269.13,269.13,269.13,269.13,0,0
MCR_MV,D,20071030,000000,267.99,267.99,267.99,267.99,0,0
