<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MFO_MV,D,20140109,000000,63.791,63.791,63.791,63.791,0,0
MFO_MV,D,20140110,000000,63.791,64.455,62.964,63.791,0,0
MFO_MV,D,20140113,000000,63.627,68.893,63.627,68.62,0,0
MFO_MV,D,20140114,000000,67.12,68.62,67.12,67.892,0,0
MFO_MV,D,20140115,000000,65.737,67.838,65.737,67.402,0,0
MFO_MV,D,20140116,000000,67.619,67.619,65.182,65.182,0,0
MFO_MV,D,20140117,000000,64.902,67.957,64.074,64.629,0,0
MFO_MV,D,20140120,000000,66.902,66.902,65.01,66.009,0,0
MFO_MV,D,20140121,000000,66.511,68.12,66.009,68.065,0,0
MFO_MV,D,20140122,000000,68.174,69.285,67.175,69.002,0,0
MFO_MV,D,20140123,000000,68.893,69.229,67.838,69.066,0,0
MFO_MV,D,20140124,000000,68.229,69.229,67.675,67.957,0,0
MFO_MV,D,20140127,000000,67.957,69.066,65.456,67.957,0,0
MFO_MV,D,20140128,000000,66.847,69.229,66.847,68.229,0,0
MFO_MV,D,20140129,000000,67.565,69.002,67.402,68.784,0,0
MFO_MV,D,20140130,000000,68.511,68.784,68.447,68.784,0,0
MFO_MV,D,20140131,000000,69.175,71.893,68.784,71.893,0,0
MFO_MV,D,20140203,000000,69.948,71.558,69.948,70.447,0,0
MFO_MV,D,20140204,000000,70.003,71.558,70.003,71.502,0,0
MFO_MV,D,20140205,000000,71.502,72.112,71.502,71.776,0,0
MFO_MV,D,20140206,000000,72.112,73.222,72.112,72.559,0,0
MFO_MV,D,20140207,000000,73.167,73.167,71.285,71.285,0,0
MFO_MV,D,20140210,000000,72.613,72.613,71.003,71.003,0,0
MFO_MV,D,20140211,000000,72.394,72.394,71.003,72.112,0,0
MFO_MV,D,20140212,000000,71.393,72.112,71.003,72.112,0,0
MFO_MV,D,20140213,000000,72.112,73.222,69.339,69.339,0,0
MFO_MV,D,20140214,000000,71.393,73.222,69.948,71.285,0,0
MFO_MV,D,20140217,000000,71.285,72.112,71.285,71.339,0,0
MFO_MV,D,20140218,000000,71.339,71.339,69.393,69.393,0,0
MFO_MV,D,20140219,000000,69.393,69.948,69.066,69.948,0,0
MFO_MV,D,20140220,000000,71.448,71.448,69.393,69.62,0,0
MFO_MV,D,20140221,000000,69.393,70.175,69.066,70.175,0,0
MFO_MV,D,20140224,000000,71.448,71.448,70.949,71.448,0,0
MFO_MV,D,20140225,000000,71.448,72.057,71.448,72.003,0,0
MFO_MV,D,20140226,000000,72.003,72.003,71.003,71.003,0,0
MFO_MV,D,20140227,000000,71.003,71.003,70.949,70.949,0,0
MFO_MV,D,20140228,000000,70.949,71.393,69.393,71.285,0,0
MFO_MV,D,20140303,000000,69.892,69.892,63.237,66.565,0,0
MFO_MV,D,20140304,000000,66.009,68.229,66.009,67.957,0,0
MFO_MV,D,20140305,000000,68.511,69.229,67.12,67.12,0,0
MFO_MV,D,20140306,000000,69.339,69.339,66.565,66.565,0,0
MFO_MV,D,20140307,000000,66.565,66.565,66.565,66.565,0,0
MFO_MV,D,20140310,000000,66.565,66.565,64.455,64.455,0,0
MFO_MV,D,20140311,000000,65.51,65.51,64.847,64.902,0,0
MFO_MV,D,20140312,000000,64.902,64.902,61.854,63.736,0,0
MFO_MV,D,20140313,000000,63.736,66.565,63.237,63.237,0,0
MFO_MV,D,20140314,000000,63.292,64.292,60.746,63.682,0,0
MFO_MV,D,20140317,000000,63.682,65.401,63.682,65.401,0,0
MFO_MV,D,20140318,000000,64.902,66.511,64.902,66.511,0,0
MFO_MV,D,20140319,000000,66.565,67.675,64.955,66.565,0,0
MFO_MV,D,20140320,000000,65.182,66.565,65.182,66.511,0,0
MFO_MV,D,20140321,000000,63.901,66.511,63.901,66.511,0,0
MFO_MV,D,20140324,000000,64.401,66.457,64.401,66.457,0,0
MFO_MV,D,20140325,000000,65.292,66.729,65.237,66.729,0,0
MFO_MV,D,20140326,000000,66.729,67.675,66.729,67.675,0,0
MFO_MV,D,20140327,000000,66.009,66.009,66.009,66.009,0,0
MFO_MV,D,20140328,000000,65.619,66.847,65.619,66.847,0,0
MFO_MV,D,20140331,000000,66.847,67.619,65.737,67.619,0,0
MFO_MV,D,20140401,000000,66.565,68.62,66.565,68.62,0,0
MFO_MV,D,20140402,000000,66.565,68.174,66.565,68.174,0,0
MFO_MV,D,20140403,000000,66.674,68.174,66.674,66.674,0,0
MFO_MV,D,20140404,000000,67.675,67.675,66.565,67.619,0,0
MFO_MV,D,20140407,000000,67.402,67.402,66.674,67.402,0,0
MFO_MV,D,20140408,000000,67.402,67.402,66.565,66.565,0,0
MFO_MV,D,20140409,000000,66.009,66.565,66.009,66.565,0,0
MFO_MV,D,20140410,000000,66.62,66.62,66.565,66.565,0,0
MFO_MV,D,20140411,000000,67.01,67.01,67.01,67.01,0,0
MFO_MV,D,20140414,000000,67.12,67.12,64.347,66.457,0,0
MFO_MV,D,20140415,000000,64.347,66.565,62.127,62.127,0,0
MFO_MV,D,20140416,000000,66.228,66.228,62.791,65.401,0,0
MFO_MV,D,20140417,000000,65.955,65.955,64.183,64.183,0,0
MFO_MV,D,20140422,000000,62.682,65.737,62.682,65.456,0,0
MFO_MV,D,20140423,000000,62.901,62.964,62.901,62.964,0,0
MFO_MV,D,20140424,000000,63.019,63.019,62.901,62.901,0,0
MFO_MV,D,20140425,000000,62.964,64.292,62.901,62.901,0,0
MFO_MV,D,20140428,000000,64.074,64.074,62.127,63.791,0,0
MFO_MV,D,20140429,000000,63.791,64.074,62.181,62.181,0,0
MFO_MV,D,20140502,000000,62.518,64.009,62.181,64.009,0,0
MFO_MV,D,20140505,000000,62.574,62.574,60.464,60.464,0,0
