<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MLG_PB,D,20131028,000000,0.9607,0.9607,0.9607,0.9607,0,0
MLG_PB,D,20131029,000000,0.9607,0.998,0.9234,0.9513,0,0
MLG_PB,D,20131030,000000,0.9234,0.9327,0.9234,0.9234,0,0
MLG_PB,D,20131031,000000,0.9234,0.9234,0.886,0.886,0,0
MLG_PB,D,20131104,000000,0.886,0.9047,0.886,0.9047,0,0
MLG_PB,D,20131105,000000,0.8955,0.8955,0.8767,0.8767,0,0
MLG_PB,D,20131106,000000,0.8767,0.9047,0.8767,0.9047,0,0
MLG_PB,D,20131107,000000,0.9047,0.9047,0.9047,0.9047,0,0
MLG_PB,D,20131114,000000,0.8395,0.8487,0.8395,0.8487,0,0
MLG_PB,D,20131115,000000,0.8767,0.9327,0.8767,0.9327,0,0
MLG_PB,D,20131118,000000,0.9234,1.082,0.886,1.082,0,0
MLG_PB,D,20131119,000000,1.082,1.082,1.0726,1.0726,0,0
MLG_PB,D,20131120,000000,1.0634,1.082,1.0634,1.082,0,0
MLG_PB,D,20131122,000000,1.0539,1.082,1.0539,1.0634,0,0
MLG_PB,D,20131125,000000,1.082,1.082,1.0634,1.082,0,0
MLG_PB,D,20131126,000000,1.0447,1.0447,1.0447,1.0447,0,0
MLG_PB,D,20131127,000000,1.0447,1.0447,1.0447,1.0447,0,0
MLG_PB,D,20131128,000000,1.0447,1.0447,1.026,1.026,0,0
MLG_PB,D,20131129,000000,1.0447,1.0447,1.0447,1.0447,0,0
MLG_PB,D,20131202,000000,1.0447,1.0726,1.0447,1.0726,0,0
MLG_PB,D,20131204,000000,1.026,1.0447,1.0167,1.0447,0,0
MLG_PB,D,20131205,000000,1.0634,1.0634,1.0167,1.0167,0,0
MLG_PB,D,20131206,000000,1.0447,1.0634,1.0447,1.0447,0,0
MLG_PB,D,20131209,000000,1.0447,1.0539,1.0447,1.0539,0,0
MLG_PB,D,20131216,000000,0.9887,1.0447,0.9887,1.0447,0,0
MLG_PB,D,20131220,000000,1.0353,1.0447,0.97,1.0447,0,0
MLG_PB,D,20131223,000000,1.0447,1.0447,1.0447,1.0447,0,0
MLG_PB,D,20131227,000000,1.026,1.082,1.026,1.082,0,0
MLG_PB,D,20131230,000000,1.0634,1.082,1.026,1.082,0,0
MLG_PB,D,20140103,000000,1.026,1.082,1.026,1.082,0,0
MLG_PB,D,20140107,000000,1.0073,1.082,1.0073,1.082,0,0
MLG_PB,D,20140108,000000,1.0073,1.082,1.0073,1.082,0,0
MLG_PB,D,20140113,000000,0.9887,0.9887,0.9887,0.9887,0,0
MLG_PB,D,20140114,000000,1.026,1.026,1.026,1.026,0,0
MLG_PB,D,20140116,000000,1.0447,1.0447,1.026,1.026,0,0
MLG_PB,D,20140120,000000,1.0447,1.0447,1.0447,1.0447,0,0
MLG_PB,D,20140121,000000,1.026,1.026,1.026,1.026,0,0
MLG_PB,D,20140122,000000,1.0726,1.1006,1.026,1.082,0,0
MLG_PB,D,20140123,000000,1.082,1.082,1.082,1.082,0,0
MLG_PB,D,20140124,000000,1.082,1.082,1.082,1.082,0,0
MLG_PB,D,20140128,000000,1.0726,1.082,1.0726,1.082,0,0
MLG_PB,D,20140130,000000,1.082,1.082,1.082,1.082,0,0
MLG_PB,D,20140205,000000,1.0073,1.082,1.0073,1.082,0,0
MLG_PB,D,20140212,000000,1.0447,1.0539,1.0447,1.0539,0,0
MLG_PB,D,20140213,000000,1.0073,1.0539,0.9047,1.0539,0,0
MLG_PB,D,20140214,000000,1.0539,1.0539,1.0539,1.0539,0,0
MLG_PB,D,20140217,000000,1.0539,1.0913,0.9794,1.0913,0,0
