<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MVP_PB,D,20171219,000000,314.23,314.23,314.23,314.23,0,0
MVP_PB,D,20171220,000000,320.34,320.34,288.51,299.94,0,0
MVP_PB,D,20171221,000000,299.94,304.01,285.66,287.7,0,0
MVP_PB,D,20171222,000000,299.94,299.94,280.75,293.82,0,0
MVP_PB,D,20171227,000000,290.96,290.96,279.53,282.8,0,0
MVP_PB,D,20171228,000000,282.8,288.51,279.53,288.51,0,0
MVP_PB,D,20171229,000000,288.51,288.51,277.91,281.57,0,0
MVP_PB,D,20180103,000000,282.39,282.39,279.53,282.39,0,0
MVP_PB,D,20180104,000000,285.25,285.25,281.57,283.21,0,0
MVP_PB,D,20180105,000000,283.21,284.43,279.53,281.17,0,0
MVP_PB,D,20180108,000000,280.36,281.17,255.05,268.92,0,0
MVP_PB,D,20180109,000000,269.34,269.34,257.5,257.5,0,0
MVP_PB,D,20180110,000000,262.8,265.25,255.05,265.25,0,0
MVP_PB,D,20180111,000000,265.25,268.52,263.21,268.52,0,0
MVP_PB,D,20180112,000000,268.92,270.15,263.21,265.25,0,0
MVP_PB,D,20180115,000000,261.17,263.63,256.27,263.21,0,0
MVP_PB,D,20180116,000000,255.46,261.17,255.46,261.17,0,0
MVP_PB,D,20180117,000000,261.17,261.17,244.85,254.64,0,0
MVP_PB,D,20180118,000000,249.34,255.05,238.32,253.01,0,0
MVP_PB,D,20180119,000000,253.01,257.5,244.03,253.83,0,0
MVP_PB,D,20180122,000000,253.83,264.44,253.41,264.44,0,0
MVP_PB,D,20180123,000000,273.41,273.41,265.25,271.38,0,0
MVP_PB,D,20180124,000000,271.38,271.38,268.11,271.38,0,0
MVP_PB,D,20180125,000000,271.38,271.38,268.92,268.92,0,0
MVP_PB,D,20180126,000000,266.07,266.88,261.99,266.88,0,0
MVP_PB,D,20180129,000000,268.92,269.34,261.99,269.34,0,0
MVP_PB,D,20180130,000000,269.34,281.57,269.34,280.75,0,0
MVP_PB,D,20180131,000000,282.39,283.62,279.13,283.21,0,0
MVP_PB,D,20180201,000000,284.02,289.75,284.02,285.66,0,0
MVP_PB,D,20180202,000000,281.57,281.57,280.36,281.57,0,0
MVP_PB,D,20180205,000000,277.5,285.66,269.75,281.57,0,0
MVP_PB,D,20180206,000000,269.75,276.68,269.75,275.46,0,0
MVP_PB,D,20180207,000000,271.38,279.53,271.38,279.53,0,0
MVP_PB,D,20180208,000000,281.57,281.57,273.41,281.57,0,0
MVP_PB,D,20180209,000000,269.34,281.57,265.25,268.52,0,0
MVP_PB,D,20180212,000000,277.5,277.5,277.09,277.5,0,0
MVP_PB,D,20180213,000000,279.95,279.95,277.5,277.5,0,0
MVP_PB,D,20180214,000000,279.95,279.95,275.46,277.5,0,0
MVP_PB,D,20180215,000000,279.95,279.95,277.5,277.5,0,0
MVP_PB,D,20180216,000000,279.13,279.13,275.86,277.91,0,0
MVP_PB,D,20180219,000000,277.5,279.95,277.5,277.5,0,0
MVP_PB,D,20180220,000000,279.95,279.95,277.5,277.5,0,0
MVP_PB,D,20180221,000000,277.09,277.5,271.38,276.68,0,0
MVP_PB,D,20180222,000000,274.63,279.53,271.38,279.53,0,0
MVP_PB,D,20180223,000000,279.95,279.95,277.5,277.5,0,0
MVP_PB,D,20180226,000000,273.41,275.05,267.3,275.05,0,0
MVP_PB,D,20180227,000000,273.41,275.05,267.3,267.3,0,0
MVP_PB,D,20180228,000000,267.3,275.46,267.3,272.6,0,0
MVP_PB,D,20180301,000000,267.7,270.56,265.25,265.25,0,0
MVP_PB,D,20180302,000000,265.25,265.25,240.76,253.01,0,0
MVP_PB,D,20180305,000000,241.58,257.09,241.58,248.93,0,0
MVP_PB,D,20180306,000000,248.93,256.69,245.66,255.05,0,0
MVP_PB,D,20180307,000000,256.69,256.69,255.05,256.69,0,0
MVP_PB,D,20180308,000000,256.69,256.69,255.05,255.05,0,0
MVP_PB,D,20180309,000000,257.09,257.09,248.93,257.09,0,0
MVP_PB,D,20180312,000000,250.98,250.98,250.15,250.98,0,0
MVP_PB,D,20180313,000000,251.38,253.01,242.8,243.63,0,0
MVP_PB,D,20180314,000000,253.01,253.01,250.98,250.98,0,0
MVP_PB,D,20180315,000000,257.09,257.09,246.48,246.89,0,0
MVP_PB,D,20180316,000000,247.3,251.38,245.66,251.38,0,0
MVP_PB,D,20180319,000000,245.66,255.05,245.66,255.05,0,0
MVP_PB,D,20180320,000000,246.48,257.09,244.85,257.09,0,0
MVP_PB,D,20180321,000000,244.85,253.01,244.85,253.01,0,0
MVP_PB,D,20180323,000000,245.26,253.01,239.54,239.95,0,0
MVP_PB,D,20180326,000000,239.95,250.98,239.95,246.89,0,0
MVP_PB,D,20180327,000000,252.19,252.19,242.8,242.8,0,0
MVP_PB,D,20180328,000000,252.19,252.19,234.64,234.64,0,0
MVP_PB,D,20180329,000000,240.76,240.76,234.25,234.25,0,0
MVP_PB,D,20180403,000000,234.25,240.37,232.61,232.61,0,0
MVP_PB,D,20180404,000000,224.44,234.64,0.6305,0.6305,0,0
MVP_PB,D,20180405,000000,0.6305,0.6305,0.6014,0.6305,0,0
MVP_PB,D,20180406,000000,0.6208,0.6208,0.6208,0.6208,0,0
MVP_PB,D,20180409,000000,0.6208,0.6305,0.6208,0.6305,0,0
MVP_PB,D,20180410,000000,0.6305,0.6402,0.6305,0.6402,0,0
MVP_PB,D,20180411,000000,0.6402,0.6402,0.6305,0.6305,0,0
MVP_PB,D,20180412,000000,0.6305,0.6305,0.6305,0.6305,0,0
MVP_PB,D,20180413,000000,0.6208,0.6305,0.6111,0.6305,0,0
MVP_PB,D,20180416,000000,0.6111,0.6305,0.6111,0.6111,0,0
MVP_PB,D,20180417,000000,0.6111,0.6305,0.6111,0.6305,0,0
MVP_PB,D,20180418,000000,0.6305,0.6305,0.6208,0.6305,0,0
MVP_PB,D,20180419,000000,0.6305,0.6305,0.6305,0.6305,0,0
MVP_PB,D,20180420,000000,0.6305,0.6305,0.6111,0.6208,0,0
MVP_PB,D,20180423,000000,0.6111,0.6305,0.6111,0.6208,0,0
MVP_PB,D,20180424,000000,0.6208,0.6305,0.6208,0.6208,0,0
MVP_PB,D,20180425,000000,0.6208,0.6305,0.6111,0.6305,0,0
MVP_PB,D,20180426,000000,0.6305,0.6305,0.6305,0.6305,0,0
MVP_PB,D,20180427,000000,0.6305,0.6402,0.6208,0.6402,0,0
MVP_PB,D,20180430,000000,0.6305,0.6498,0.6208,0.6498,0,0
MVP_PB,D,20180502,000000,0.6498,0.6498,0.6208,0.6305,0,0
MVP_PB,D,20180504,000000,0.6305,0.6498,0.6208,0.6402,0,0
MVP_PB,D,20180507,000000,0.6305,0.6402,0.6305,0.6402,0,0
MVP_PB,D,20180509,000000,0.6305,0.6305,0.6305,0.6305,0,0
MVP_PB,D,20180510,000000,0.6208,0.6402,0.6208,0.6402,0,0
MVP_PB,D,20180511,000000,0.6402,0.6402,0.6208,0.6305,0,0
MVP_PB,D,20180514,000000,0.6305,0.6305,0.6208,0.6208,0,0
MVP_PB,D,20180515,000000,0.6208,0.6402,0.6111,0.6208,0,0
MVP_PB,D,20180516,000000,0.6111,0.6305,0.6111,0.6305,0,0
MVP_PB,D,20180517,000000,0.6208,0.6208,0.6111,0.6208,0,0
MVP_PB,D,20180518,000000,0.6111,0.6305,0.5723,0.6305,0,0
MVP_PB,D,20180521,000000,0.5917,0.6208,0.5917,0.6208,0,0
MVP_PB,D,20180522,000000,0.6014,0.6305,0.6014,0.6305,0,0
MVP_PB,D,20180523,000000,0.6305,0.6305,0.6208,0.6208,0,0
MVP_PB,D,20180524,000000,0.6305,0.6305,0.5917,0.5917,0,0
MVP_PB,D,20180525,000000,0.6111,0.6402,0.582,0.6402,0,0
MVP_PB,D,20180528,000000,0.5917,0.6402,0.5917,0.6014,0,0
MVP_PB,D,20180529,000000,0.6208,0.6208,0.6208,0.6208,0,0
MVP_PB,D,20180530,000000,0.582,0.6208,0.582,0.6208,0,0
MVP_PB,D,20180601,000000,0.6111,0.6111,0.6111,0.6111,0,0
MVP_PB,D,20180604,000000,0.6111,0.6111,0.6111,0.6111,0,0
MVP_PB,D,20180605,000000,0.582,0.582,0.5723,0.5723,0,0
MVP_PB,D,20180606,000000,0.6014,0.6014,0.5723,0.5723,0,0
MVP_PB,D,20180607,000000,0.5723,0.5917,0.5723,0.5917,0,0
MVP_PB,D,20180608,000000,0.5917,0.5917,0.5723,0.582,0,0
MVP_PB,D,20180611,000000,0.582,0.582,0.5432,0.5432,0,0
MVP_PB,D,20180612,000000,0.5723,0.5917,0.5723,0.5723,0,0
MVP_PB,D,20180613,000000,0.5626,0.5626,0.5626,0.5626,0,0
MVP_PB,D,20180614,000000,0.5432,0.5529,0.5432,0.5432,0,0
MVP_PB,D,20180615,000000,0.5238,0.5238,0.5238,0.5238,0,0
