<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MZN_PB,D,20110408,000000,222.58,222.58,222.58,222.58,0,0
MZN_PB,D,20110411,000000,208.92,214.42,178.83,197.08,0,0
MZN_PB,D,20110412,000000,191.58,191.58,185.25,185.25,0,0
MZN_PB,D,20110413,000000,187.92,200.75,183.42,183.42,0,0
MZN_PB,D,20110414,000000,186.08,186.08,182.5,182.5,0,0
MZN_PB,D,20110415,000000,167.92,167.92,155.08,164.25,0,0
MZN_PB,D,20110418,000000,152.33,164.25,152.33,155.08,0,0
MZN_PB,D,20110419,000000,155.08,158.75,141.42,158.75,0,0
MZN_PB,D,20110420,000000,156,156.92,147.83,147.83,0,0
MZN_PB,D,20110421,000000,147.83,147.83,144.17,144.17,0,0
MZN_PB,D,20110426,000000,157.83,172.42,154.17,172.42,0,0
MZN_PB,D,20110427,000000,157.83,182.5,157.83,177.92,0,0
MZN_PB,D,20110428,000000,180.67,180.67,177.92,177.92,0,0
MZN_PB,D,20110429,000000,173.33,199.83,173.33,197.08,0,0
MZN_PB,D,20110504,000000,184.33,191.58,182.5,182.5,0,0
MZN_PB,D,20110505,000000,187,187,184.33,184.33,0,0
MZN_PB,D,20110506,000000,188.83,188.83,6.93,6.93,0,0
MZN_PB,D,20110509,000000,6.39,6.56,6.39,6.56,0,0
MZN_PB,D,20110510,000000,6.53,6.93,6.53,6.93,0,0
MZN_PB,D,20110511,000000,6.73,7.03,5.79,7.03,0,0
MZN_PB,D,20110513,000000,6.83,6.83,5.66,5.66,0,0
MZN_PB,D,20110516,000000,5.86,6.6,5.86,6.36,0,0
MZN_PB,D,20110517,000000,6.19,6.19,6.19,6.19,0,0
MZN_PB,D,20110518,000000,6.73,6.73,6.53,6.53,0,0
MZN_PB,D,20110519,000000,6.7,6.7,6.53,6.66,0,0
MZN_PB,D,20110520,000000,6.73,6.73,6.5,6.7,0,0
MZN_PB,D,20110523,000000,6.7,6.7,6.36,6.36,0,0
MZN_PB,D,20110524,000000,6.63,6.63,6.63,6.63,0,0
MZN_PB,D,20110525,000000,6.63,6.63,6.43,6.43,0,0
