<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVT_MV,D,20070813,000000,48.215,48.215,48.215,48.215,0,0
NVT_MV,D,20070814,000000,47.462,47.462,47.462,47.462,0,0
NVT_MV,D,20070816,000000,40.137,40.137,40.137,40.137,0,0
NVT_MV,D,20070817,000000,38.632,38.632,38.632,38.632,0,0
NVT_MV,D,20070820,000000,41.391,41.391,41.391,41.391,0,0
NVT_MV,D,20070821,000000,40.137,40.137,40.137,40.137,0,0
NVT_MV,D,20070822,000000,43.262,43.262,43.262,43.262,0,0
NVT_MV,D,20070823,000000,46.398,46.398,46.398,46.398,0,0
NVT_MV,D,20070824,000000,50.046,50.046,50.046,50.046,0,0
NVT_MV,D,20070827,000000,50.798,50.798,50.798,50.798,0,0
NVT_MV,D,20070828,000000,51.139,51.139,51.139,51.139,0,0
NVT_MV,D,20070829,000000,48.932,48.932,48.932,48.932,0,0
NVT_MV,D,20070830,000000,48.917,48.917,48.917,48.917,0,0
NVT_MV,D,20070831,000000,48.917,48.917,48.917,48.917,0,0
NVT_MV,D,20070903,000000,46.674,46.674,46.674,46.674,0,0
NVT_MV,D,20070904,000000,45.093,45.093,45.093,45.093,0,0
NVT_MV,D,20070905,000000,43.162,43.162,43.162,43.162,0,0
NVT_MV,D,20070906,000000,41.03,41.03,41.03,41.03,0,0
NVT_MV,D,20070907,000000,41.08,41.08,41.08,41.08,0,0
NVT_MV,D,20070910,000000,40.764,40.764,40.764,40.764,0,0
NVT_MV,D,20070911,000000,41.692,41.692,41.692,41.692,0,0
NVT_MV,D,20070912,000000,41.993,41.993,41.993,41.993,0,0
NVT_MV,D,20070913,000000,42.796,42.796,42.796,42.796,0,0
NVT_MV,D,20070914,000000,47.034,47.034,47.034,47.034,0,0
NVT_MV,D,20070917,000000,47.913,47.913,47.913,47.913,0,0
NVT_MV,D,20070918,000000,48.917,48.917,48.917,48.917,0,0
NVT_MV,D,20070919,000000,49.533,49.533,49.533,49.533,0,0
NVT_MV,D,20070920,000000,51.676,51.676,51.676,51.676,0,0
NVT_MV,D,20070921,000000,51.928,51.928,51.928,51.928,0,0
NVT_MV,D,20070924,000000,48.917,48.917,48.917,48.917,0,0
NVT_MV,D,20070925,000000,47.412,47.412,47.412,47.412,0,0
NVT_MV,D,20070926,000000,46.473,46.473,46.473,46.473,0,0
NVT_MV,D,20070927,000000,46.433,46.433,46.433,46.433,0,0
NVT_MV,D,20070928,000000,48.666,48.666,48.666,48.666,0,0
NVT_MV,D,20071001,000000,50.738,50.738,50.738,50.738,0,0
NVT_MV,D,20071002,000000,52.806,52.806,52.806,52.806,0,0
NVT_MV,D,20071003,000000,51.425,51.425,51.425,51.425,0,0
NVT_MV,D,20071004,000000,53.447,53.447,53.447,53.447,0,0
NVT_MV,D,20071005,000000,52.428,52.428,52.428,52.428,0,0
NVT_MV,D,20071008,000000,55.816,55.816,55.816,55.816,0,0
NVT_MV,D,20071009,000000,56.694,56.694,56.694,56.694,0,0
NVT_MV,D,20071010,000000,59.076,59.076,59.076,59.076,0,0
NVT_MV,D,20071011,000000,59.578,59.578,59.578,59.578,0,0
NVT_MV,D,20071012,000000,58.951,58.951,58.951,58.951,0,0
NVT_MV,D,20071015,000000,65.223,65.223,65.223,65.223,0,0
NVT_MV,D,20071016,000000,66.477,66.477,66.477,66.477,0,0
NVT_MV,D,20071017,000000,63.717,63.717,63.717,63.717,0,0
NVT_MV,D,20071018,000000,63.467,63.467,63.467,63.467,0,0
NVT_MV,D,20071019,000000,64.409,64.409,64.409,64.409,0,0
NVT_MV,D,20071022,000000,64.72,64.72,64.72,64.72,0,0
NVT_MV,D,20071023,000000,65.036,65.036,65.036,65.036,0,0
NVT_MV,D,20071024,000000,63.341,63.341,63.341,63.341,0,0
NVT_MV,D,20071025,000000,60.205,60.205,60.205,60.205,0,0
NVT_MV,D,20071026,000000,55.187,55.187,55.187,55.187,0,0
NVT_MV,D,20071029,000000,52.303,52.303,52.303,52.303,0,0
NVT_MV,D,20071030,000000,46.409,46.409,46.409,46.409,0,0
