<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPM_PB,D,20101011,000000,2.7554,2.7554,2.7554,2.7554,0,0
OPM_PB,D,20101012,000000,2.7074,2.7315,2.6594,2.6834,0,0
OPM_PB,D,20101013,000000,2.7074,2.7074,2.5874,2.6674,0,0
OPM_PB,D,20101014,000000,2.6594,2.6594,2.5712,2.6113,0,0
OPM_PB,D,20101015,000000,2.5392,2.6594,2.5392,2.6594,0,0
OPM_PB,D,20101018,000000,2.7795,2.7795,2.6834,2.6834,0,0
OPM_PB,D,20101019,000000,2.7315,2.7315,2.6594,2.7315,0,0
OPM_PB,D,20101020,000000,2.7315,2.7315,2.6354,2.7315,0,0
OPM_PB,D,20101021,000000,2.7315,2.7315,2.5953,2.5953,0,0
OPM_PB,D,20101022,000000,2.5874,2.6834,2.395,2.6834,0,0
OPM_PB,D,20101025,000000,2.5874,2.6193,2.5874,2.6193,0,0
OPM_PB,D,20101026,000000,2.6594,2.6594,2.6594,2.6594,0,0
OPM_PB,D,20101027,000000,2.4671,2.6273,2.4671,2.6273,0,0
OPM_PB,D,20101028,000000,2.6514,2.6514,2.5874,2.6354,0,0
OPM_PB,D,20101029,000000,2.6273,2.6754,2.6273,2.6754,0,0
OPM_PB,D,20101102,000000,2.6754,2.6834,2.6754,2.6834,0,0
OPM_PB,D,20101103,000000,2.6754,2.6834,2.6754,2.6834,0,0
OPM_PB,D,20101104,000000,2.6834,2.6834,2.6354,2.6354,0,0
OPM_PB,D,20101105,000000,2.6674,2.6674,2.6354,2.6354,0,0
OPM_PB,D,20101108,000000,2.6674,2.6674,2.6033,2.6354,0,0
OPM_PB,D,20101109,000000,2.6354,2.6354,2.6033,2.6033,0,0
OPM_PB,D,20101110,000000,2.6273,2.6273,2.6273,2.6273,0,0
OPM_PB,D,20101112,000000,2.6033,2.6033,1.8744,1.8744,0,0
OPM_PB,D,20101115,000000,1.8104,1.8744,1.8104,1.8744,0,0
OPM_PB,D,20101116,000000,1.8744,1.8744,1.8104,1.8104,0,0
OPM_PB,D,20101117,000000,1.8744,1.8744,1.8744,1.8744,0,0
OPM_PB,D,20101118,000000,1.8744,1.8904,1.8744,1.8904,0,0
OPM_PB,D,20101119,000000,1.8904,1.8904,1.8423,1.8423,0,0
OPM_PB,D,20101122,000000,1.8904,1.8904,1.7782,1.8423,0,0
OPM_PB,D,20101123,000000,1.8904,1.8904,1.8423,1.8423,0,0
OPM_PB,D,20101124,000000,1.8904,1.8904,1.8263,1.8263,0,0
OPM_PB,D,20101125,000000,1.8183,1.8183,1.8183,1.8183,0,0
OPM_PB,D,20101126,000000,1.8183,1.8183,1.7301,1.7862,0,0
OPM_PB,D,20101129,000000,1.7862,1.7862,1.7382,1.7382,0,0
OPM_PB,D,20101130,000000,1.7862,1.7862,1.7222,1.7222,0,0
OPM_PB,D,20101201,000000,1.7862,1.7862,1.7222,1.7222,0,0
OPM_PB,D,20101202,000000,1.7862,1.8023,1.7542,1.8023,0,0
OPM_PB,D,20101203,000000,1.8664,1.8904,1.8104,1.8104,0,0
OPM_PB,D,20101206,000000,1.8904,1.8904,1.8904,1.8904,0,0
OPM_PB,D,20101207,000000,1.8904,1.8904,1.8263,1.8263,0,0
OPM_PB,D,20101208,000000,1.8263,1.8263,1.8263,1.8263,0,0
OPM_PB,D,20101209,000000,1.8904,1.8904,1.8423,1.8423,0,0
OPM_PB,D,20101210,000000,1.7862,1.7862,1.7862,1.7862,0,0
OPM_PB,D,20101213,000000,1.8904,1.8904,1.8423,1.8423,0,0
OPM_PB,D,20101214,000000,1.8904,1.8904,1.8904,1.8904,0,0
OPM_PB,D,20101215,000000,1.8584,1.8584,1.8584,1.8584,0,0
OPM_PB,D,20101216,000000,1.8904,1.8904,1.8904,1.8904,0,0
OPM_PB,D,20101217,000000,1.8904,1.8904,1.8343,1.8423,0,0
