<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OTM_PE,D,20100929,000000,12.8,12.8,12.8,12.8,0,0
OTM_PE,D,20100930,000000,12.8,13.2,12.6,12.7,0,0
OTM_PE,D,20101001,000000,12.7,12.8,12.7,12.7,0,0
OTM_PE,D,20101004,000000,12.7,12.7,12.6,12.7,0,0
OTM_PE,D,20101005,000000,12.7,12.7,12.7,12.7,0,0
OTM_PE,D,20101006,000000,12.7,12.8,12.6,12.7,0,0
OTM_PE,D,20101007,000000,12.7,12.7,12.7,12.7,0,0
OTM_PE,D,20101008,000000,12.9,12.9,12.7,12.9,0,0
OTM_PE,D,20101011,000000,12.9,12.9,12.8,12.8,0,0
OTM_PE,D,20101014,000000,12.8,12.8,12.6,12.6,0,0
OTM_PE,D,20101015,000000,12.6,12.6,12.6,12.6,0,0
OTM_PE,D,20101018,000000,12.6,12.6,12.6,12.6,0,0
OTM_PE,D,20101019,000000,12.6,12.7,12.6,12.7,0,0
OTM_PE,D,20101020,000000,12.7,12.7,12.6,12.6,0,0
OTM_PE,D,20101021,000000,12.6,12.7,12.6,12.7,0,0
OTM_PE,D,20101022,000000,12.7,12.7,12.7,12.7,0,0
OTM_PE,D,20101025,000000,12.7,12.7,12.6,12.6,0,0
OTM_PE,D,20101026,000000,12.6,12.7,12.6,12.7,0,0
OTM_PE,D,20101027,000000,12.7,19.8,12.7,19.8,0,0
OTM_PE,D,20101028,000000,20.1,21.1,20.1,20.7,0,0
OTM_PE,D,20101029,000000,20.7,21,20.5,21,0,0
OTM_PE,D,20101102,000000,21.1,22,21.1,21.8,0,0
OTM_PE,D,20101103,000000,22.3,22.3,21.5,21.8,0,0
OTM_PE,D,20101104,000000,21.8,22,21.3,21.8,0,0
OTM_PE,D,20101105,000000,21.9,21.9,21.1,21.1,0,0
OTM_PE,D,20101108,000000,21.7,21.7,20.4,20.5,0,0
OTM_PE,D,20101109,000000,20.5,21.1,19.9,20.8,0,0
OTM_PE,D,20101110,000000,20.9,20.9,20.6,20.6,0,0
OTM_PE,D,20101112,000000,20.5,20.6,20.4,20.6,0,0
OTM_PE,D,20101115,000000,20.9,20.9,16.8,16.8,0,0
OTM_PE,D,20101116,000000,17,17,16.8,16.8,0,0
OTM_PE,D,20101117,000000,16.8,16.8,16.7,16.7,0,0
OTM_PE,D,20101118,000000,16.8,17.1,16.7,17.1,0,0
