<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEM_PB,D,20150409,000000,5.1969,5.1969,5.1969,5.1969,0,0
PEM_PB,D,20150410,000000,5.2316,5.3978,5.1554,5.3911,0,0
PEM_PB,D,20150413,000000,5.3841,5.3841,5.2732,5.2732,0,0
PEM_PB,D,20150414,000000,5.2939,5.4118,5.2732,5.4118,0,0
PEM_PB,D,20150415,000000,5.3911,5.4118,5.3355,5.3911,0,0
PEM_PB,D,20150416,000000,5.3701,5.3701,5.2732,5.2939,0,0
PEM_PB,D,20150417,000000,5.2802,5.2871,5.2385,5.2662,0,0
PEM_PB,D,20150420,000000,5.2385,5.3425,5.1208,5.3425,0,0
PEM_PB,D,20150421,000000,5.1831,5.3563,5.1831,5.2385,0,0
PEM_PB,D,20150422,000000,5.1969,5.2385,5.1969,5.2385,0,0
PEM_PB,D,20150423,000000,5.2385,5.3148,5.2385,5.2455,0,0
PEM_PB,D,20150424,000000,5.2524,5.2524,5.1484,5.2385,0,0
PEM_PB,D,20150427,000000,5.1416,5.3148,5.1416,5.3148,0,0
PEM_PB,D,20150428,000000,5.3148,5.3911,5.2108,5.2385,0,0
PEM_PB,D,20150429,000000,5.2455,5.3563,5.2455,5.3425,0,0
PEM_PB,D,20150430,000000,5.3494,5.4256,5.3494,5.4256,0,0
PEM_PB,D,20150504,000000,5.4326,5.5849,5.4326,5.5504,0,0
PEM_PB,D,20150505,000000,5.5227,5.6681,4.2685,4.2685,0,0
PEM_PB,D,20150506,000000,4.2685,4.2962,4.213,4.2962,0,0
PEM_PB,D,20150507,000000,4.2061,4.22,4.2061,4.2061,0,0
PEM_PB,D,20150508,000000,4.2061,4.2962,4.2061,4.2962,0,0
PEM_PB,D,20150511,000000,4.2754,4.2754,4.2754,4.2754,0,0
PEM_PB,D,20150512,000000,4.2962,4.3308,4.2962,4.3031,0,0
PEM_PB,D,20150513,000000,4.317,4.3446,4.31,4.3308,0,0
PEM_PB,D,20150514,000000,4.3654,4.3654,4.3516,4.3654,0,0
PEM_PB,D,20150515,000000,4.4555,4.608,4.3654,4.3654,0,0
PEM_PB,D,20150518,000000,4.3031,4.3654,4.3031,4.3585,0,0
PEM_PB,D,20150519,000000,4.3585,4.4486,4.31,4.3931,0,0
PEM_PB,D,20150520,000000,4.3308,4.3931,4.3308,4.3446,0,0
PEM_PB,D,20150521,000000,4.3446,4.3446,4.31,4.3308,0,0
PEM_PB,D,20150522,000000,4.3308,4.3931,4.3031,4.3931,0,0
PEM_PB,D,20150525,000000,4.3794,4.5388,3.5131,3.5131,0,0
PEM_PB,D,20150526,000000,3.5408,3.6378,3.5408,3.6378,0,0
PEM_PB,D,20150527,000000,3.6378,3.6378,3.6101,3.631,0,0
PEM_PB,D,20150528,000000,3.5616,3.6101,3.5408,3.5894,0,0
PEM_PB,D,20150529,000000,3.5547,3.6101,3.5547,3.5894,0,0
PEM_PB,D,20150601,000000,3.5894,3.6033,3.5894,3.6033,0,0
PEM_PB,D,20150602,000000,3.6033,3.617,3.5894,3.5894,0,0
PEM_PB,D,20150603,000000,3.5894,3.5894,3.5894,3.5894,0,0
PEM_PB,D,20150605,000000,3.5825,3.5825,3.4023,3.4716,0,0
PEM_PB,D,20150608,000000,3.4716,3.5408,3.4716,3.5408,0,0
PEM_PB,D,20150609,000000,3.5339,3.5339,3.5339,3.5339,0,0
PEM_PB,D,20150610,000000,3.4231,3.5201,3.4231,3.4924,0,0
PEM_PB,D,20150611,000000,3.5201,3.5201,3.3884,3.5201,0,0
PEM_PB,D,20150615,000000,3.4716,3.5616,3.4716,3.5616,0,0
PEM_PB,D,20150616,000000,3.5408,3.5616,3.4924,3.5616,0,0
PEM_PB,D,20150617,000000,3.4784,3.5616,3.4716,3.5408,0,0
PEM_PB,D,20150618,000000,3.5408,3.5408,3.5408,3.5408,0,0
PEM_PB,D,20150619,000000,3.5408,3.5408,3.4716,3.4784,0,0
PEM_PB,D,20150622,000000,3.5062,3.5062,3.5062,3.5062,0,0
PEM_PB,D,20150623,000000,3.5062,3.5062,3.4091,3.4924,0,0
PEM_PB,D,20150624,000000,3.4924,3.5062,3.4023,3.4993,0,0
PEM_PB,D,20150625,000000,3.4924,3.4924,3.4924,3.4924,0,0
PEM_PB,D,20150626,000000,3.4023,3.4716,3.4023,3.4716,0,0
PEM_PB,D,20150629,000000,3.3954,3.4716,3.3884,3.4716,0,0
PEM_PB,D,20150630,000000,3.2845,3.4647,3.2845,3.4439,0,0
PEM_PB,D,20150701,000000,3.4716,3.4716,3.4716,3.4716,0,0
PEM_PB,D,20150702,000000,3.4716,3.4716,3.3745,3.4716,0,0
PEM_PB,D,20150703,000000,3.4716,3.4716,3.4439,3.4439,0,0
PEM_PB,D,20150706,000000,3.4439,3.4716,3.4369,3.4369,0,0
PEM_PB,D,20150707,000000,3.4716,3.4716,3.4508,3.4647,0,0
PEM_PB,D,20150708,000000,3.4647,3.4716,3.4439,3.4439,0,0
PEM_PB,D,20150709,000000,3.5217,3.5217,3.4234,3.4763,0,0
PEM_PB,D,20150710,000000,3.4763,3.4763,3.4386,3.4763,0,0
PEM_PB,D,20150713,000000,3.4234,3.4234,3.3781,3.4159,0,0
PEM_PB,D,20150714,000000,3.3781,3.3932,3.2648,3.3856,0,0
PEM_PB,D,20150715,000000,3.295,3.3781,3.2421,3.295,0,0
PEM_PB,D,20150716,000000,3.2799,3.3856,3.2799,3.3856,0,0
PEM_PB,D,20150717,000000,3.3252,3.431,3.3177,3.431,0,0
PEM_PB,D,20150720,000000,3.431,3.4763,3.431,3.4763,0,0
PEM_PB,D,20150721,000000,3.4234,3.4461,3.4234,3.4461,0,0
PEM_PB,D,20150722,000000,3.4461,3.4461,3.4461,3.4461,0,0
PEM_PB,D,20150723,000000,3.4461,3.4688,3.4234,3.4688,0,0
PEM_PB,D,20150724,000000,3.4763,3.4763,3.4009,3.4613,0,0
