<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRF_MV,D,20070903,000000,50.016,50.016,50.016,50.016,0,0
PRF_MV,D,20070904,000000,47.841,47.841,47.841,47.841,0,0
PRF_MV,D,20070905,000000,46.101,46.101,46.101,46.101,0,0
PRF_MV,D,20070906,000000,44.797,44.797,44.797,44.797,0,0
PRF_MV,D,20070907,000000,46.732,46.732,46.732,46.732,0,0
PRF_MV,D,20070910,000000,44.905,44.905,44.905,44.905,0,0
PRF_MV,D,20070911,000000,45.232,45.232,45.232,45.232,0,0
PRF_MV,D,20070912,000000,46.537,46.537,46.537,46.537,0,0
PRF_MV,D,20070913,000000,45.666,45.666,45.666,45.666,0,0
PRF_MV,D,20070914,000000,45.014,45.014,45.014,45.014,0,0
PRF_MV,D,20070917,000000,45.014,45.014,45.014,45.014,0,0
PRF_MV,D,20070918,000000,44.797,44.797,44.797,44.797,0,0
PRF_MV,D,20070919,000000,45.993,45.993,45.993,45.993,0,0
PRF_MV,D,20070920,000000,45.014,45.014,45.014,45.014,0,0
PRF_MV,D,20070921,000000,45.666,45.666,45.666,45.666,0,0
PRF_MV,D,20070924,000000,45.666,45.666,45.666,45.666,0,0
PRF_MV,D,20070925,000000,45.666,45.666,45.666,45.666,0,0
PRF_MV,D,20070926,000000,46.754,46.754,46.754,46.754,0,0
PRF_MV,D,20070927,000000,45.666,45.666,45.666,45.666,0,0
PRF_MV,D,20070928,000000,45.666,45.666,45.666,45.666,0,0
PRF_MV,D,20071001,000000,45.623,45.623,45.623,45.623,0,0
PRF_MV,D,20071002,000000,44.319,44.319,44.319,44.319,0,0
PRF_MV,D,20071003,000000,46.101,46.101,46.101,46.101,0,0
PRF_MV,D,20071004,000000,45.884,45.884,45.884,45.884,0,0
PRF_MV,D,20071005,000000,46.754,46.754,46.754,46.754,0,0
PRF_MV,D,20071008,000000,46.32,46.32,46.32,46.32,0,0
PRF_MV,D,20071009,000000,49.363,49.363,49.363,49.363,0,0
PRF_MV,D,20071010,000000,50.016,50.016,50.016,50.016,0,0
PRF_MV,D,20071011,000000,49.363,49.363,49.363,49.363,0,0
PRF_MV,D,20071012,000000,49.56,49.56,49.56,49.56,0,0
PRF_MV,D,20071015,000000,49.58,49.58,49.58,49.58,0,0
PRF_MV,D,20071016,000000,49.363,49.363,49.363,49.363,0,0
PRF_MV,D,20071017,000000,49.124,49.124,49.124,49.124,0,0
PRF_MV,D,20071018,000000,48.146,48.146,48.146,48.146,0,0
PRF_MV,D,20071019,000000,48.493,48.493,48.493,48.493,0,0
PRF_MV,D,20071022,000000,47.624,47.624,47.624,47.624,0,0
PRF_MV,D,20071023,000000,47.624,47.624,47.624,47.624,0,0
PRF_MV,D,20071024,000000,49.146,49.146,49.146,49.146,0,0
PRF_MV,D,20071025,000000,48.928,48.928,48.928,48.928,0,0
PRF_MV,D,20071026,000000,48.276,48.276,48.276,48.276,0,0
PRF_MV,D,20071029,000000,47.95,47.95,47.95,47.95,0,0
PRF_MV,D,20071030,000000,47.841,47.841,47.841,47.841,0,0
PRF_MV,D,20071031,000000,48.167,48.167,48.167,48.167,0,0
PRF_MV,D,20071102,000000,47.624,47.624,47.624,47.624,0,0
PRF_MV,D,20071105,000000,46.645,46.645,46.645,46.645,0,0
PRF_MV,D,20071106,000000,46.406,46.406,46.406,46.406,0,0
PRF_MV,D,20071107,000000,44.579,44.579,44.579,44.579,0,0
PRF_MV,D,20071108,000000,44.145,44.145,44.145,44.145,0,0
PRF_MV,D,20071109,000000,42.84,45.666,42.622,45.449,0,0
PRF_MV,D,20071112,000000,43.492,45.449,41.752,43.492,0,0
PRF_MV,D,20071113,000000,42.73,43.492,41.534,42.036,0,0
PRF_MV,D,20071114,000000,41.578,42.818,41.339,42.818,0,0
PRF_MV,D,20071115,000000,41.339,42.818,39.599,41.318,0,0
PRF_MV,D,20071116,000000,41.318,42.274,37.207,41.296,0,0
PRF_MV,D,20071119,000000,41.296,41.752,40.23,41.731,0,0
PRF_MV,D,20071120,000000,39.991,41.1,39.382,39.404,0,0
PRF_MV,D,20071121,000000,39.143,39.143,38.034,38.925,0,0
PRF_MV,D,20071122,000000,38.055,39.143,35.36,39.143,0,0
PRF_MV,D,20071123,000000,39.143,39.143,37.447,38.925,0,0
PRF_MV,D,20071126,000000,40.883,40.883,37.404,38.382,0,0
PRF_MV,D,20071127,000000,38.382,38.382,36.968,38.382,0,0
PRF_MV,D,20071128,000000,38.382,38.382,37.207,37.621,0,0
PRF_MV,D,20071129,000000,38.382,38.491,38.382,38.382,0,0
PRF_MV,D,20071130,000000,38.512,39.578,38.512,39.251,0,0
PRF_MV,D,20071203,000000,38.491,39.251,38.273,39.251,0,0
PRF_MV,D,20071204,000000,38.708,38.708,37.621,37.686,0,0
PRF_MV,D,20071205,000000,37.947,40.86,37.947,40.86,0,0
PRF_MV,D,20071206,000000,39.861,41.731,39.861,41.731,0,0
PRF_MV,D,20071207,000000,40.883,42.405,40.665,42.405,0,0
PRF_MV,D,20071210,000000,42.622,43.709,42.622,43.274,0,0
PRF_MV,D,20071211,000000,41.318,41.97,41.318,41.97,0,0
PRF_MV,D,20071212,000000,42.535,42.535,39.208,39.795,0,0
PRF_MV,D,20071213,000000,39.904,39.904,39.36,39.36,0,0
PRF_MV,D,20071214,000000,39.23,39.23,37.837,37.837,0,0
PRF_MV,D,20071217,000000,36.316,36.968,36.12,36.751,0,0
PRF_MV,D,20071218,000000,37.621,37.621,35.88,36.73,0,0
PRF_MV,D,20071219,000000,37.186,37.186,34.793,36.903,0,0
PRF_MV,D,20071220,000000,36.73,36.73,34.793,35.88,0,0
PRF_MV,D,20071221,000000,36.228,36.533,35.36,35.468,0,0
PRF_MV,D,20071227,000000,35.511,36.816,35.489,36.816,0,0
PRF_MV,D,20071228,000000,36.816,36.816,35.794,36.794,0,0
PRF_MV,D,20080102,000000,36.859,38.034,35.924,38.034,0,0
PRF_MV,D,20080103,000000,36.816,37.837,36.751,37.837,0,0
PRF_MV,D,20080104,000000,38.055,38.208,36.99,37.621,0,0
PRF_MV,D,20080107,000000,36.99,37.077,36.751,36.751,0,0
PRF_MV,D,20080108,000000,37.404,37.404,37.404,37.404,0,0
PRF_MV,D,20080109,000000,35.903,36.751,35.88,36.751,0,0
PRF_MV,D,20080110,000000,35.011,36.077,35.011,36.077,0,0
PRF_MV,D,20080111,000000,36.208,36.208,36.208,36.208,0,0
PRF_MV,D,20080114,000000,35.229,35.229,35.229,35.229,0,0
PRF_MV,D,20080115,000000,33.054,33.707,33.054,33.707,0,0
PRF_MV,D,20080116,000000,30.466,33.38,30.466,32.619,0,0
PRF_MV,D,20080117,000000,34.576,34.576,32.837,32.837,0,0
PRF_MV,D,20080118,000000,32.401,35.011,32.401,35.011,0,0
PRF_MV,D,20080121,000000,34.772,35.88,33.707,35.88,0,0
PRF_MV,D,20080122,000000,31.662,34.576,31.662,34.576,0,0
PRF_MV,D,20080123,000000,35.859,35.859,35.859,35.859,0,0
PRF_MV,D,20080124,000000,35.88,36.533,35.011,36.316,0,0
PRF_MV,D,20080125,000000,35.88,36.751,35.88,36.751,0,0
PRF_MV,D,20080128,000000,35.88,36.098,35.88,35.88,0,0
PRF_MV,D,20080129,000000,36.751,38.034,36.751,37.881,0,0
PRF_MV,D,20080130,000000,38.142,38.903,38.142,38.903,0,0
PRF_MV,D,20080131,000000,38.686,38.686,37.316,37.729,0,0
PRF_MV,D,20080201,000000,38.055,38.469,38.055,38.469,0,0
PRF_MV,D,20080204,000000,38.469,38.686,38.164,38.686,0,0
PRF_MV,D,20080205,000000,38.055,38.86,38.055,38.86,0,0
PRF_MV,D,20080206,000000,37.947,38.86,36.968,38.86,0,0
PRF_MV,D,20080208,000000,37.338,38.708,37.338,38.708,0,0
PRF_MV,D,20080211,000000,38.665,38.665,37.338,38.491,0,0
PRF_MV,D,20080212,000000,38.491,38.491,38.491,38.491,0,0
PRF_MV,D,20080213,000000,38.665,40.012,38.665,39.904,0,0
PRF_MV,D,20080214,000000,40.643,40.643,40.012,40.012,0,0
PRF_MV,D,20080215,000000,37.729,38.491,37.729,37.837,0,0
PRF_MV,D,20080218,000000,39.143,39.143,37.837,39.143,0,0
PRF_MV,D,20080219,000000,37.947,39.121,37.947,39.121,0,0
PRF_MV,D,20080220,000000,37.968,39.295,37.424,39.143,0,0
PRF_MV,D,20080221,000000,37.968,39.143,37.968,38.969,0,0
PRF_MV,D,20080225,000000,37.424,38.6,37.338,38.6,0,0
PRF_MV,D,20080226,000000,37.338,38.6,37.338,38.6,0,0
PRF_MV,D,20080227,000000,37.338,38.6,37.338,38.6,0,0
PRF_MV,D,20080228,000000,38.6,38.6,38.6,38.6,0,0
PRF_MV,D,20080229,000000,37.338,38.491,37.338,38.491,0,0
PRF_MV,D,20080303,000000,36.968,38.382,36.968,38.382,0,0
PRF_MV,D,20080305,000000,38.273,39.143,38.273,39.143,0,0
PRF_MV,D,20080306,000000,39.143,39.143,39.143,39.143,0,0
PRF_MV,D,20080310,000000,37.533,38.447,36.99,38.447,0,0
PRF_MV,D,20080313,000000,37.186,38.447,37.186,37.295,0,0
PRF_MV,D,20080314,000000,38.382,38.382,38.382,38.382,0,0
PRF_MV,D,20080317,000000,38.338,38.338,36.99,37.295,0,0
PRF_MV,D,20080318,000000,37.012,38.447,37.012,38.447,0,0
PRF_MV,D,20080319,000000,37.077,38.034,37.077,38.034,0,0
PRF_MV,D,20080320,000000,37.186,38.338,37.186,38.338,0,0
PRF_MV,D,20080325,000000,38.338,38.338,38.338,38.338,0,0
PRF_MV,D,20080326,000000,37.12,38.055,37.12,38.055,0,0
PRF_MV,D,20080327,000000,37.837,38.055,37.186,37.837,0,0
PRF_MV,D,20080328,000000,37.837,37.837,37.837,37.837,0,0
PRF_MV,D,20080331,000000,37.837,37.837,37.837,37.837,0,0
PRF_MV,D,20080401,000000,37.837,37.837,37.837,37.837,0,0
PRF_MV,D,20080403,000000,37.404,37.404,37.186,37.186,0,0
PRF_MV,D,20080404,000000,37.186,37.186,37.186,37.186,0,0
PRF_MV,D,20080407,000000,37.404,37.837,37.404,37.837,0,0
PRF_MV,D,20080408,000000,37.837,37.837,37.837,37.837,0,0
PRF_MV,D,20080409,000000,38.708,38.73,38.708,38.708,0,0
PRF_MV,D,20080410,000000,38.708,38.708,37.404,38.6,0,0
PRF_MV,D,20080411,000000,37.837,38.6,37.295,38.6,0,0
PRF_MV,D,20080414,000000,37.99,38.034,37.837,38.034,0,0
PRF_MV,D,20080415,000000,38.055,39.143,38.055,39.143,0,0
PRF_MV,D,20080416,000000,38.164,39.469,38.164,39.469,0,0
PRF_MV,D,20080417,000000,39.707,39.752,38.382,39.448,0,0
PRF_MV,D,20080421,000000,38.273,39.534,38.273,39.534,0,0
PRF_MV,D,20080422,000000,38.491,39.534,38.491,39.534,0,0
PRF_MV,D,20080423,000000,39.36,39.36,38.382,38.925,0,0
PRF_MV,D,20080425,000000,38.708,38.925,38.382,38.925,0,0
PRF_MV,D,20080428,000000,38.925,38.925,38.925,38.925,0,0
PRF_MV,D,20080429,000000,38.055,39.534,38.055,39.534,0,0
PRF_MV,D,20080505,000000,38.6,39.448,38.6,39.448,0,0
PRF_MV,D,20080506,000000,39.534,41.1,38.403,41.1,0,0
PRF_MV,D,20080507,000000,41.1,41.1,39.143,39.164,0,0
PRF_MV,D,20080508,000000,39.556,39.556,39.556,39.556,0,0
PRF_MV,D,20080509,000000,40.186,40.23,39.143,39.578,0,0
PRF_MV,D,20080512,000000,40.23,40.556,39.578,40.556,0,0
PRF_MV,D,20080513,000000,40.556,40.556,39.578,40.556,0,0
PRF_MV,D,20080514,000000,40.556,40.556,39.904,40.556,0,0
PRF_MV,D,20080515,000000,40.556,40.556,39.599,39.599,0,0
PRF_MV,D,20080516,000000,39.795,44.579,39.795,42.079,0,0
PRF_MV,D,20080519,000000,42.1,43.274,41.97,42.405,0,0
PRF_MV,D,20080520,000000,43.253,43.492,41.948,41.948,0,0
PRF_MV,D,20080521,000000,42.405,43.492,42.187,43.383,0,0
PRF_MV,D,20080523,000000,42.84,43.383,42.84,42.84,0,0
PRF_MV,D,20080526,000000,42.405,42.405,42.405,42.405,0,0
PRF_MV,D,20080527,000000,41.948,41.991,41.948,41.991,0,0
PRF_MV,D,20080528,000000,41.991,42.6,40.883,42.6,0,0
