<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRI_PE,D,20080528,000000,11.378,11.378,11.378,11.378,0,0
PRI_PE,D,20080529,000000,11.378,11.378,10.82,11.219,0,0
PRI_PE,D,20080602,000000,10.901,11.378,10.661,11.378,0,0
PRI_PE,D,20080603,000000,10.741,10.741,10.741,10.741,0,0
PRI_PE,D,20080604,000000,10.741,11.219,10.422,11.219,0,0
PRI_PE,D,20080605,000000,10.581,11.219,10.581,11.219,0,0
PRI_PE,D,20080606,000000,11.219,11.219,11.219,11.219,0,0
PRI_PE,D,20080609,000000,11.219,11.219,10.581,11.139,0,0
PRI_PE,D,20080610,000000,11.219,11.219,11.139,11.139,0,0
PRI_PE,D,20080611,000000,11.139,11.139,10.661,10.82,0,0
PRI_PE,D,20080612,000000,10.741,10.741,10.263,10.741,0,0
PRI_PE,D,20080613,000000,10.741,10.741,10.263,10.741,0,0
PRI_PE,D,20080616,000000,10.741,10.741,10.741,10.741,0,0
PRI_PE,D,20080617,000000,10.741,10.741,10.741,10.741,0,0
PRI_PE,D,20080618,000000,10.263,10.82,10.263,10.82,0,0
PRI_PE,D,20080619,000000,10.422,10.901,10.422,10.901,0,0
PRI_PE,D,20080620,000000,10.422,10.901,10.422,10.901,0,0
PRI_PE,D,20080623,000000,10.901,10.901,10.502,10.901,0,0
PRI_PE,D,20080624,000000,10.901,10.901,10.422,10.741,0,0
PRI_PE,D,20080625,000000,10.82,10.82,10.82,10.82,0,0
PRI_PE,D,20080626,000000,10.263,10.263,10.263,10.263,0,0
PRI_PE,D,20080627,000000,10.263,10.263,9.628,10.263,0,0
PRI_PE,D,20080630,000000,10.184,10.741,9.787,10.741,0,0
PRI_PE,D,20080701,000000,10.343,10.343,9.787,10.263,0,0
PRI_PE,D,20080702,000000,10.263,10.263,9.628,9.946,0,0
PRI_PE,D,20080703,000000,9.946,9.946,9.946,9.946,0,0
PRI_PE,D,20080704,000000,9.946,9.946,9.4684,9.946,0,0
PRI_PE,D,20080708,000000,9.628,9.787,9.628,9.787,0,0
