<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSW_PE,D,20090416,000000,4.4158,4.4158,4.4158,4.4158,0,0
PSW_PE,D,20090417,000000,4.4158,4.4158,4.0036,4.0036,0,0
PSW_PE,D,20090420,000000,4.4158,4.4158,4.4158,4.4158,0,0
PSW_PE,D,20090421,000000,4.298,4.3566,4.298,4.3566,0,0
PSW_PE,D,20090422,000000,4.3566,4.4746,4.3566,4.4158,0,0
PSW_PE,D,20090423,000000,4.7101,4.7101,4.4158,4.6514,0,0
PSW_PE,D,20090424,000000,4.6514,4.6514,4.6514,4.6514,0,0
PSW_PE,D,20090427,000000,4.7689,4.7689,4.7101,4.7101,0,0
PSW_PE,D,20090428,000000,4.7101,4.7101,4.7101,4.7101,0,0
PSW_PE,D,20090429,000000,4.7101,4.7101,4.7101,4.7101,0,0
PSW_PE,D,20090430,000000,4.7101,4.7101,4.7101,4.7101,0,0
PSW_PE,D,20090504,000000,4.7101,4.7101,4.7101,4.7101,0,0
PSW_PE,D,20090505,000000,4.7101,4.7101,4.4158,4.7101,0,0
PSW_PE,D,20090506,000000,4.7101,4.7101,4.7101,4.7101,0,0
PSW_PE,D,20090507,000000,4.7101,4.7101,3.8858,4.0036,0,0
PSW_PE,D,20090508,000000,3.8269,4.7101,3.8269,4.7101,0,0
PSW_PE,D,20090511,000000,4.7101,4.7101,4.7101,4.7101,0,0
PSW_PE,D,20090512,000000,4.7101,4.7101,4.7101,4.7101,0,0
PSW_PE,D,20090513,000000,4.7101,4.7101,4.7101,4.7101,0,0
PSW_PE,D,20090514,000000,4.7101,4.7101,4.5922,4.6514,0,0
PSW_PE,D,20090515,000000,4.7689,4.7689,4.7101,4.7101,0,0
PSW_PE,D,20090518,000000,4.7101,4.7101,4.7101,4.7101,0,0
PSW_PE,D,20090519,000000,4.7101,4.7101,4.7101,4.7101,0,0
PSW_PE,D,20090520,000000,4.7101,4.7101,4.7101,4.7101,0,0
PSW_PE,D,20090521,000000,4.7101,4.9456,4.7101,4.9456,0,0
PSW_PE,D,20090522,000000,4.828,4.828,4.7689,4.828,0,0
PSW_PE,D,20090525,000000,4.9456,4.9456,4.7101,4.7101,0,0
PSW_PE,D,20090526,000000,4.7101,4.7101,4.5337,4.5337,0,0
PSW_PE,D,20090527,000000,4.5337,4.5337,3.5325,3.5325,0,0
PSW_PE,D,20090528,000000,3.5325,4.1213,3.5325,4.1213,0,0
PSW_PE,D,20090529,000000,4.1213,4.1213,4.1213,4.1213,0,0
PSW_PE,D,20090601,000000,3.6504,3.6504,3.6504,3.6504,0,0
PSW_PE,D,20090602,000000,3.4738,4.2391,3.4738,4.2391,0,0
PSW_PE,D,20090603,000000,4.2391,4.2391,4.2391,4.2391,0,0
PSW_PE,D,20090604,000000,4.2391,4.2391,4.2391,4.2391,0,0
PSW_PE,D,20090605,000000,4.2391,4.2391,4.2391,4.2391,0,0
PSW_PE,D,20090608,000000,4.2391,4.2391,4.2391,4.2391,0,0
PSW_PE,D,20090609,000000,4.2391,4.5337,4.2391,4.5337,0,0
PSW_PE,D,20090610,000000,4.5337,4.5337,4.5337,4.5337,0,0
PSW_PE,D,20090615,000000,4.5337,4.5337,4.5337,4.5337,0,0
PSW_PE,D,20090616,000000,4.5337,4.5337,4.5337,4.5337,0,0
PSW_PE,D,20090617,000000,4.4158,4.4158,4.4158,4.4158,0,0
PSW_PE,D,20090618,000000,4.5337,4.5337,4.5337,4.5337,0,0
PSW_PE,D,20090619,000000,4.4158,4.4158,4.4158,4.4158,0,0
PSW_PE,D,20090622,000000,4.298,4.3566,4.298,4.3566,0,0
PSW_PE,D,20090623,000000,4.5337,4.5337,4.5337,4.5337,0,0
PSW_PE,D,20090624,000000,4.5337,4.5337,4.5337,4.5337,0,0
PSW_PE,D,20090625,000000,4.5337,4.5337,4.5337,4.5337,0,0
PSW_PE,D,20090626,000000,4.4158,4.4158,4.4158,4.4158,0,0
PSW_PE,D,20090629,000000,4.4158,4.4158,4.0036,4.0036,0,0
PSW_PE,D,20090630,000000,4.4158,4.4158,4.4158,4.4158,0,0
PSW_PE,D,20090701,000000,4.4158,4.4158,4.4158,4.4158,0,0
PSW_PE,D,20090702,000000,4.2391,4.2391,4.0036,4.2391,0,0
PSW_PE,D,20090703,000000,4.2391,4.2391,4.2391,4.2391,0,0
PSW_PE,D,20090706,000000,4.2391,4.2391,4.2391,4.2391,0,0
PSW_PE,D,20090707,000000,4.2391,4.2391,3.4147,3.5325,0,0
PSW_PE,D,20090708,000000,3.6504,3.6504,3.6504,3.6504,0,0
PSW_PE,D,20090709,000000,3.6504,4.2391,3.6504,4.2391,0,0
PSW_PE,D,20090710,000000,4.2391,4.2391,4.2391,4.2391,0,0
PSW_PE,D,20090713,000000,4.2391,4.2391,4.2391,4.2391,0,0
PSW_PE,D,20090714,000000,4.2391,4.2391,4.2391,4.2391,0,0
PSW_PE,D,20090715,000000,4.2391,4.2391,3.4147,3.4147,0,0
PSW_PE,D,20090716,000000,3.9446,3.9446,3.9446,3.9446,0,0
PSW_PE,D,20090717,000000,4.2391,4.2391,4.2391,4.2391,0,0
PSW_PE,D,20090720,000000,4.2391,4.2391,4.2391,4.2391,0,0
PSW_PE,D,20090721,000000,4.2391,4.2391,4.2391,4.2391,0,0
PSW_PE,D,20090722,000000,4.2391,4.2391,4.1213,4.1213,0,0
PSW_PE,D,20090723,000000,4.2391,4.2391,4.2391,4.2391,0,0
PSW_PE,D,20090724,000000,4.2391,4.2391,4.0626,4.2391,0,0
PSW_PE,D,20090727,000000,4.2391,4.2391,4.2391,4.2391,0,0
