<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
R22_MV,D,20171229,000000,193.57,193.57,193.57,193.57,0,0
R22_MV,D,20180103,000000,190.76,190.76,186.38,187.63,0,0
R22_MV,D,20180104,000000,188.15,188.15,180.86,182.93,0,0
R22_MV,D,20180105,000000,191.8,191.8,182.93,190.66,0,0
R22_MV,D,20180108,000000,192.84,197.95,187.63,187.63,0,0
R22_MV,D,20180109,000000,185.54,185.54,183.04,183.04,0,0
R22_MV,D,20180110,000000,184.4,187.52,184.4,187.52,0,0
R22_MV,D,20180111,000000,190.23,190.23,183.47,187.63,0,0
R22_MV,D,20180112,000000,182.93,190.76,182.93,190.76,0,0
R22_MV,D,20180115,000000,197.01,197.01,191.8,194.4,0,0
R22_MV,D,20180116,000000,197.95,197.95,191.18,194.62,0,0
R22_MV,D,20180117,000000,194.62,254.65,190.34,254.65,0,0
R22_MV,D,20180118,000000,254.65,255.9,244.28,255.9,0,0
R22_MV,D,20180119,000000,255.9,255.9,253.27,254.65,0,0
R22_MV,D,20180122,000000,255.9,256.04,254.65,256.04,0,0
R22_MV,D,20180123,000000,254.65,257.7,253.27,256.04,0,0
R22_MV,D,20180124,000000,256.04,257.43,253.83,256.87,0,0
R22_MV,D,20180125,000000,256.87,276.8,254.38,274.58,0,0
R22_MV,D,20180126,000000,262.96,273.48,262.96,271.26,0,0
R22_MV,D,20180129,000000,264.06,271.26,264.06,271.26,0,0
R22_MV,D,20180130,000000,272.37,272.37,264.06,268.49,0,0
R22_MV,D,20180131,000000,265.45,274.58,265.45,268.49,0,0
R22_MV,D,20180201,000000,274.32,276.8,268.22,276.8,0,0
R22_MV,D,20180202,000000,276.8,276.8,276.8,276.8,0,0
R22_MV,D,20180205,000000,269.88,269.88,260.19,269.88,0,0
R22_MV,D,20180206,000000,262.96,267.11,249.12,267.11,0,0
R22_MV,D,20180207,000000,275.42,275.42,267.11,269.61,0,0
R22_MV,D,20180208,000000,266.84,269.88,256.04,269.88,0,0
R22_MV,D,20180209,000000,263.23,269.88,258.81,268.49,0,0
R22_MV,D,20180212,000000,269.61,269.88,269.32,269.88,0,0
R22_MV,D,20180213,000000,270.71,282.34,270.71,274.32,0,0
R22_MV,D,20180214,000000,278.19,280.95,276.8,279.58,0,0
R22_MV,D,20180215,000000,281.65,283.03,280.27,283.03,0,0
R22_MV,D,20180216,000000,283.03,283.73,279.58,282.34,0,0
R22_MV,D,20180219,000000,283.73,289.95,283.73,287.87,0,0
R22_MV,D,20180220,000000,287.87,287.87,282.34,287.87,0,0
R22_MV,D,20180221,000000,286.49,287.87,276.8,280.95,0,0
R22_MV,D,20180222,000000,283.03,283.03,272.93,280.95,0,0
R22_MV,D,20180223,000000,278.88,278.88,269.88,269.88,0,0
R22_MV,D,20180226,000000,272.65,279.58,272.65,276.8,0,0
R22_MV,D,20180227,000000,276.8,276.8,276.8,276.8,0,0
R22_MV,D,20180228,000000,270.71,276.8,263.8,275.42,0,0
R22_MV,D,20180301,000000,272.65,272.65,265.74,265.74,0,0
R22_MV,D,20180302,000000,267.11,268.49,261.02,268.49,0,0
R22_MV,D,20180305,000000,271.26,271.26,264.35,268.49,0,0
R22_MV,D,20180306,000000,268.49,276.8,268.49,276.52,0,0
R22_MV,D,20180307,000000,275.97,276.52,269.88,274.03,0,0
R22_MV,D,20180308,000000,270.16,274.03,268.49,269.88,0,0
R22_MV,D,20180309,000000,268.49,276.52,268.49,276.52,0,0
R22_MV,D,20180312,000000,276.52,276.52,265.74,270.99,0,0
R22_MV,D,20180313,000000,272.65,272.65,267.11,267.11,0,0
R22_MV,D,20180314,000000,272.65,272.65,267.11,267.11,0,0
R22_MV,D,20180315,000000,267.11,267.11,267.11,267.11,0,0
R22_MV,D,20180316,000000,265.74,265.74,264.35,264.35,0,0
R22_MV,D,20180319,000000,264.35,264.35,261.85,262.96,0,0
R22_MV,D,20180320,000000,260.19,267.11,260.19,267.11,0,0
R22_MV,D,20180321,000000,267.11,269.88,267.11,268.49,0,0
R22_MV,D,20180322,000000,268.49,268.49,267.11,267.11,0,0
R22_MV,D,20180323,000000,267.11,268.49,265.74,267.94,0,0
R22_MV,D,20180326,000000,267.94,267.94,267.94,267.94,0,0
R22_MV,D,20180327,000000,264.35,267.94,264.35,267.94,0,0
R22_MV,D,20180328,000000,267.94,268.49,262.96,268.49,0,0
R22_MV,D,20180329,000000,268.49,271.26,260.19,271.26,0,0
R22_MV,D,20180403,000000,270.71,282.34,263.23,280.27,0,0
R22_MV,D,20180404,000000,282.34,282.34,272.1,280.95,0,0
R22_MV,D,20180405,000000,280.95,280.95,276.8,280.27,0,0
R22_MV,D,20180406,000000,276.8,280.27,276.8,280.27,0,0
R22_MV,D,20180409,000000,280.27,284.41,276.8,284.41,0,0
R22_MV,D,20180410,000000,283.73,283.73,272.65,274.32,0,0
R22_MV,D,20180411,000000,283.03,283.03,272.93,280.95,0,0
R22_MV,D,20180412,000000,280.95,283.73,276.8,283.73,0,0
R22_MV,D,20180413,000000,283.73,304.48,278.19,302.4,0,0
R22_MV,D,20180416,000000,304.48,310.02,293.41,307.25,0,0
R22_MV,D,20180417,000000,304.48,304.48,297.57,299.65,0,0
R22_MV,D,20180418,000000,304.48,304.48,285.8,287.87,0,0
R22_MV,D,20180419,000000,285.1,290.64,276.8,276.8,0,0
R22_MV,D,20180420,000000,285.8,285.8,272.37,276.8,0,0
R22_MV,D,20180423,000000,284.41,284.41,276.8,284.41,0,0
R22_MV,D,20180424,000000,289.25,289.25,272.65,281.65,0,0
R22_MV,D,20180425,000000,280.95,280.95,271.26,280.95,0,0
R22_MV,D,20180426,000000,278.19,279.58,272.93,279.58,0,0
R22_MV,D,20180427,000000,279.58,286.49,274.03,276.8,0,0
R22_MV,D,20180430,000000,283.73,287.87,276.8,287.87,0,0
R22_MV,D,20180502,000000,290.64,290.64,279.58,279.58,0,0
R22_MV,D,20180504,000000,290.64,290.64,270.16,276.8,0,0
R22_MV,D,20180507,000000,276.8,276.8,275.42,276.25,0,0
R22_MV,D,20180508,000000,276.25,276.25,257.7,272.37,0,0
R22_MV,D,20180509,000000,276.25,276.25,261.3,269.88,0,0
R22_MV,D,20180510,000000,269.88,269.88,265.74,268.49,0,0
R22_MV,D,20180511,000000,268.49,268.49,259.91,268.49,0,0
R22_MV,D,20180514,000000,268.49,272.65,257.43,268.78,0,0
R22_MV,D,20180515,000000,258.81,268.49,258.81,268.49,0,0
R22_MV,D,20180516,000000,268.49,268.49,260.19,268.49,0,0
R22_MV,D,20180517,000000,268.49,268.49,257.7,265.45,0,0
R22_MV,D,20180518,000000,268.49,268.49,264.06,267.94,0,0
R22_MV,D,20180521,000000,267.94,267.94,257.98,267.67,0,0
R22_MV,D,20180522,000000,267.39,282.34,263.23,265.17,0,0
R22_MV,D,20180523,000000,276.25,276.25,265.74,265.74,0,0
R22_MV,D,20180524,000000,274.03,274.03,247.18,265.74,0,0
R22_MV,D,20180525,000000,267.11,269.88,243.59,268.49,0,0
R22_MV,D,20180528,000000,267.11,274.58,267.11,269.88,0,0
R22_MV,D,20180529,000000,267.11,274.03,263.23,274.03,0,0
R22_MV,D,20180530,000000,274.03,276.8,265.74,276.8,0,0
R22_MV,D,20180601,000000,276.8,276.8,265.45,269.88,0,0
R22_MV,D,20180604,000000,269.88,269.88,264.35,269.88,0,0
R22_MV,D,20180605,000000,280.95,280.95,264.62,268.49,0,0
R22_MV,D,20180606,000000,269.88,269.88,269.88,269.88,0,0
R22_MV,D,20180607,000000,268.49,268.49,262.96,265.74,0,0
R22_MV,D,20180608,000000,267.94,267.94,265.74,265.74,0,0
R22_MV,D,20180611,000000,269.88,269.88,256.59,265.74,0,0
R22_MV,D,20180612,000000,262.96,267.11,262.96,267.11,0,0
R22_MV,D,20180613,000000,275.42,275.42,257.98,257.98,0,0
R22_MV,D,20180614,000000,269.61,269.61,264.35,264.35,0,0
R22_MV,D,20180615,000000,265.74,267.11,262.96,262.96,0,0
R22_MV,D,20180618,000000,262.96,262.96,262.96,262.96,0,0
R22_MV,D,20180619,000000,262.96,262.96,249.12,262.96,0,0
R22_MV,D,20180620,000000,262.96,262.96,256.04,262.96,0,0
R22_MV,D,20180621,000000,265.74,265.74,258.53,262.96,0,0
R22_MV,D,20180622,000000,262.96,262.96,262.96,262.96,0,0
R22_MV,D,20180625,000000,258.53,262.96,258.53,262.96,0,0
R22_MV,D,20180626,000000,262.41,262.96,256.04,262.96,0,0
R22_MV,D,20180627,000000,267.11,267.11,262.96,262.96,0,0
R22_MV,D,20180628,000000,262.96,262.96,262.96,262.96,0,0
R22_MV,D,20180629,000000,266.84,266.84,265.74,265.74,0,0
R22_MV,D,20180702,000000,266.84,266.84,266.84,266.84,0,0
R22_MV,D,20180703,000000,266.84,266.84,257.43,264.35,0,0
R22_MV,D,20180704,000000,266.84,266.84,256.04,256.04,0,0
R22_MV,D,20180705,000000,256.04,256.04,251.89,256.04,0,0
R22_MV,D,20180706,000000,262.96,262.96,257.15,257.15,0,0
R22_MV,D,20180709,000000,256.04,256.04,249.39,249.39,0,0
R22_MV,D,20180710,000000,262.96,262.96,262.96,262.96,0,0
R22_MV,D,20180711,000000,260.19,260.19,260.19,260.19,0,0
R22_MV,D,20180712,000000,260.19,260.19,260.19,260.19,0,0
R22_MV,D,20180713,000000,260.19,260.19,259.91,259.91,0,0
R22_MV,D,20180716,000000,259.91,260.19,250.51,260.19,0,0
R22_MV,D,20180717,000000,262.96,262.96,262.96,262.96,0,0
R22_MV,D,20180718,000000,262.96,262.96,243.59,243.59,0,0
R22_MV,D,20180719,000000,251.89,251.89,243.3,251.89,0,0
R22_MV,D,20180720,000000,262.96,262.96,246.63,260.19,0,0
R22_MV,D,20180723,000000,256.04,256.04,256.04,256.04,0,0
R22_MV,D,20180724,000000,256.04,256.04,253.27,253.27,0,0
R22_MV,D,20180725,000000,253,253,247.74,252.72,0,0
R22_MV,D,20180726,000000,252.72,252.72,246.35,252.72,0,0
R22_MV,D,20180727,000000,252.72,252.72,243.59,249.12,0,0
R22_MV,D,20180730,000000,246.07,252.44,246.07,252.44,0,0
R22_MV,D,20180731,000000,252.44,266.28,252.44,266.28,0,0
R22_MV,D,20180801,000000,253.27,266.84,253.27,266.84,0,0
R22_MV,D,20180802,000000,266.84,266.84,266.84,266.84,0,0
R22_MV,D,20180803,000000,266.84,269.88,266.84,268.49,0,0
R22_MV,D,20180806,000000,268.49,268.49,262.96,262.96,0,0
R22_MV,D,20180807,000000,268.49,268.49,268.49,268.49,0,0
R22_MV,D,20180808,000000,268.49,268.49,251.89,262.96,0,0
