<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RWL_MV,D,20070813,000000,1360.89,1360.89,1360.89,1360.89,0,0
RWL_MV,D,20070814,000000,1384.84,1384.84,1384.84,1384.84,0,0
RWL_MV,D,20070816,000000,1384.84,1384.84,1384.84,1384.84,0,0
RWL_MV,D,20070817,000000,1360.89,1360.89,1360.89,1360.89,0,0
RWL_MV,D,20070820,000000,1386.09,1386.09,1386.09,1386.09,0,0
RWL_MV,D,20070821,000000,1360.89,1360.89,1360.89,1360.89,0,0
RWL_MV,D,20070822,000000,1381.06,1381.06,1381.06,1381.06,0,0
RWL_MV,D,20070823,000000,1348.28,1348.28,1348.28,1348.28,0,0
RWL_MV,D,20070824,000000,1335.69,1335.69,1335.69,1335.69,0,0
RWL_MV,D,20070827,000000,1334.42,1334.42,1334.42,1334.42,0,0
RWL_MV,D,20070828,000000,1333.17,1333.17,1333.17,1333.17,0,0
RWL_MV,D,20070829,000000,1320.56,1320.56,1320.56,1320.56,0,0
RWL_MV,D,20070830,000000,1285.27,1285.27,1285.27,1285.27,0,0
RWL_MV,D,20070831,000000,1284.03,1284.03,1284.03,1284.03,0,0
RWL_MV,D,20070903,000000,1277.72,1277.72,1277.72,1277.72,0,0
RWL_MV,D,20070904,000000,1277.72,1277.72,1277.72,1277.72,0,0
RWL_MV,D,20070905,000000,1277.72,1277.72,1277.72,1277.72,0,0
RWL_MV,D,20070906,000000,1257.57,1257.57,1257.57,1257.57,0,0
RWL_MV,D,20070907,000000,1239.91,1239.91,1239.91,1239.91,0,0
RWL_MV,D,20070910,000000,1234.38,1234.38,1234.38,1234.38,0,0
RWL_MV,D,20070911,000000,1285.27,1285.27,1285.27,1285.27,0,0
RWL_MV,D,20070912,000000,1260.07,1260.07,1260.07,1260.07,0,0
RWL_MV,D,20070913,000000,1285.27,1285.27,1285.27,1285.27,0,0
RWL_MV,D,20070914,000000,1295.36,1295.36,1295.36,1295.36,0,0
RWL_MV,D,20070917,000000,1255.03,1255.03,1255.03,1255.03,0,0
RWL_MV,D,20070918,000000,1234.87,1234.87,1234.87,1234.87,0,0
RWL_MV,D,20070919,000000,1229.84,1229.84,1229.84,1229.84,0,0
RWL_MV,D,20070920,000000,1232.12,1232.12,1232.12,1232.12,0,0
RWL_MV,D,20070921,000000,1223.54,1223.54,1223.54,1223.54,0,0
RWL_MV,D,20070924,000000,1211.96,1211.96,1211.96,1211.96,0,0
RWL_MV,D,20070925,000000,1209.68,1209.68,1209.68,1209.68,0,0
RWL_MV,D,20070926,000000,1247.49,1247.49,1247.49,1247.49,0,0
RWL_MV,D,20070927,000000,1247.49,1247.49,1247.49,1247.49,0,0
RWL_MV,D,20070928,000000,1244.96,1244.96,1244.96,1244.96,0,0
RWL_MV,D,20071001,000000,1209.68,1209.68,1209.68,1209.68,0,0
RWL_MV,D,20071002,000000,1184.48,1184.48,1184.48,1184.48,0,0
RWL_MV,D,20071003,000000,1209.68,1209.68,1209.68,1209.68,0,0
RWL_MV,D,20071004,000000,1214.73,1214.73,1214.73,1214.73,0,0
RWL_MV,D,20071005,000000,1260.07,1260.07,1260.07,1260.07,0,0
RWL_MV,D,20071008,000000,1310.49,1310.49,1310.49,1310.49,0,0
RWL_MV,D,20071009,000000,1307.97,1307.97,1307.97,1307.97,0,0
RWL_MV,D,20071010,000000,1310.49,1310.49,1310.49,1310.49,0,0
RWL_MV,D,20071011,000000,1307.97,1307.97,1307.97,1307.97,0,0
RWL_MV,D,20071012,000000,1306.72,1306.72,1306.72,1306.72,0,0
RWL_MV,D,20071015,000000,1281.52,1281.52,1281.52,1281.52,0,0
RWL_MV,D,20071016,000000,1302.93,1302.93,1302.93,1302.93,0,0
RWL_MV,D,20071017,000000,1309.21,1309.21,1309.21,1309.21,0,0
RWL_MV,D,20071018,000000,1350.81,1350.81,1350.81,1350.81,0,0
RWL_MV,D,20071019,000000,1384.84,1384.84,1384.84,1384.84,0,0
RWL_MV,D,20071022,000000,1378.52,1378.52,1378.52,1378.52,0,0
RWL_MV,D,20071023,000000,1359.63,1359.63,1359.63,1359.63,0,0
RWL_MV,D,20071024,000000,1353.34,1353.34,1353.34,1353.34,0,0
RWL_MV,D,20071025,000000,1297.88,1297.88,1297.88,1297.88,0,0
RWL_MV,D,20071026,000000,1292.84,1292.84,1292.84,1292.84,0,0
RWL_MV,D,20071029,000000,1260.07,1260.07,1260.07,1260.07,0,0
RWL_MV,D,20071030,000000,1285.27,1285.27,1285.27,1285.27,0,0
RWL_MV,D,20071031,000000,1247.49,1247.49,1247.49,1247.49,0,0
RWL_MV,D,20071102,000000,1260.07,1260.07,1260.07,1260.07,0,0
RWL_MV,D,20071105,000000,1197.07,1197.07,1197.07,1197.07,0,0
