<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCO_PB,D,20110506,000000,6.63,6.63,6.63,6.63,0,0
SCO_PB,D,20110509,000000,6.43,6.43,6.43,6.43,0,0
SCO_PB,D,20110510,000000,6.8,7.04,6.8,7.04,0,0
SCO_PB,D,20110511,000000,7.29,7.29,7.29,7.29,0,0
SCO_PB,D,20110512,000000,6.9,7.16,6.63,7.16,0,0
SCO_PB,D,20110517,000000,6.82,6.99,6.82,6.99,0,0
SCO_PB,D,20110519,000000,6.9,6.99,6.9,6.99,0,0
SCO_PB,D,20110523,000000,7.67,7.74,7.67,7.74,0,0
SCO_PB,D,20110524,000000,9.85,9.85,9.85,9.85,0,0
SCO_PB,D,20110525,000000,10.55,10.55,10.03,10.03,0,0
SCO_PB,D,20110526,000000,9.76,9.76,9.76,9.76,0,0
SCO_PB,D,20110527,000000,9.32,10.4,8.9,10.4,0,0
SCO_PB,D,20110530,000000,9.85,9.85,9.43,9.43,0,0
SCO_PB,D,20110531,000000,9.5,9.5,9.5,9.5,0,0
SCO_PB,D,20110603,000000,9.59,9.59,9.59,9.59,0,0
SCO_PB,D,20110606,000000,9.5,9.5,9.5,9.5,0,0
SCO_PB,D,20110608,000000,8.79,8.79,8.79,8.79,0,0
SCO_PB,D,20110609,000000,8.44,10.2,8.44,10.2,0,0
SCO_PB,D,20110610,000000,9.67,9.67,9.67,9.67,0,0
SCO_PB,D,20110613,000000,9.32,10.2,8.55,10.2,0,0
SCO_PB,D,20110614,000000,9.97,9.97,9.5,9.5,0,0
SCO_PB,D,20110615,000000,9.81,11.08,9.81,9.85,0,0
SCO_PB,D,20110620,000000,9.85,9.85,9.85,9.85,0,0
SCO_PB,D,20110621,000000,9.85,9.85,9.85,9.85,0,0
SCO_PB,D,20110622,000000,9.85,9.85,9.85,9.85,0,0
SCO_PB,D,20110627,000000,9.85,9.85,9.85,9.85,0,0
SCO_PB,D,20110628,000000,9.85,9.85,9.85,9.85,0,0
SCO_PB,D,20110629,000000,9.85,9.85,9.85,9.85,0,0
SCO_PB,D,20110630,000000,9.85,9.85,9.85,9.85,0,0
SCO_PB,D,20110701,000000,9.67,10.22,9.3,9.3,0,0
SCO_PB,D,20110704,000000,9.3,9.3,9.3,9.3,0,0
SCO_PB,D,20110706,000000,8.97,8.97,8.97,8.97,0,0
SCO_PB,D,20110712,000000,8.88,8.88,8.88,8.88,0,0
SCO_PB,D,20110718,000000,8.44,8.44,8.44,8.44,0,0
SCO_PB,D,20110801,000000,7.72,8.44,7.72,8.44,0,0
SCO_PB,D,20110804,000000,7.92,7.92,7.92,7.92,0,0
SCO_PB,D,20110808,000000,7.92,7.93,7.92,7.93,0,0
SCO_PB,D,20110829,000000,5.39,5.39,5.18,5.18,0,0
SCO_PB,D,20110927,000000,4.33,4.34,4.33,4.34,0,0
SCO_PB,D,20110928,000000,4.54,5.21,4.54,5.21,0,0
SCO_PB,D,20110929,000000,5.03,5.21,5.03,5.21,0,0
SCO_PB,D,20110930,000000,5.4,6.04,5.4,6.04,0,0
SCO_PB,D,20111004,000000,5.75,5.75,5.51,5.51,0,0
SCO_PB,D,20111005,000000,5.27,5.27,5.27,5.27,0,0
SCO_PB,D,20111025,000000,5.04,5.04,5.04,5.04,0,0
SCO_PB,D,20111026,000000,4.85,4.85,4.85,4.85,0,0
SCO_PB,D,20111028,000000,4.96,5.75,4.96,5.75,0,0
SCO_PB,D,20111031,000000,5.04,5.63,5.04,5.63,0,0
SCO_PB,D,20111102,000000,5.64,5.64,5.64,5.64,0,0
SCO_PB,D,20111103,000000,5.63,5.75,5.63,5.75,0,0
SCO_PB,D,20111107,000000,5.12,5.51,5.12,5.51,0,0
SCO_PB,D,20111118,000000,5.15,5.15,5.15,5.15,0,0
SCO_PB,D,20111121,000000,4.98,4.98,4.98,4.98,0,0
SCO_PB,D,20111123,000000,4.96,4.96,4.96,4.96,0,0
SCO_PB,D,20111125,000000,4.71,4.71,4.71,4.71,0,0
SCO_PB,D,20111208,000000,4.53,4.53,4.53,4.53,0,0
SCO_PB,D,20111229,000000,3.93,5.13,3.93,5.13,0,0
SCO_PB,D,20111230,000000,4.79,5.54,4.79,5.54,0,0
SCO_PB,D,20120103,000000,5.25,5.25,5.25,5.25,0,0
SCO_PB,D,20120104,000000,4.98,4.98,4.98,4.98,0,0
SCO_PB,D,20120109,000000,4.39,5.66,4.39,5.66,0,0
SCO_PB,D,20120111,000000,5.66,5.66,5.66,5.66,0,0
SCO_PB,D,20120112,000000,5.66,5.66,5.66,5.66,0,0
SCO_PB,D,20120117,000000,5.64,5.64,5.64,5.64,0,0
SCO_PB,D,20120123,000000,5.6,5.6,5.6,5.6,0,0
SCO_PB,D,20120124,000000,5.6,5.6,5.6,5.6,0,0
SCO_PB,D,20120127,000000,4.72,4.77,4.51,4.51,0,0
SCO_PB,D,20120130,000000,3.76,4.83,3.76,4.83,0,0
SCO_PB,D,20120201,000000,4.83,4.83,4.83,4.83,0,0
SCO_PB,D,20120203,000000,4.6,4.83,4.6,4.83,0,0
SCO_PB,D,20120206,000000,4.83,4.83,4.83,4.83,0,0
SCO_PB,D,20120207,000000,4.83,4.83,4.83,4.83,0,0
SCO_PB,D,20120210,000000,4.45,4.45,4.45,4.45,0,0
SCO_PB,D,20120221,000000,4.15,4.93,4.15,4.93,0,0
SCO_PB,D,20120224,000000,4.15,4.15,4.15,4.15,0,0
SCO_PB,D,20120228,000000,4.29,4.93,4.29,4.93,0,0
SCO_PB,D,20120229,000000,4.7,4.89,4.7,4.89,0,0
SCO_PB,D,20120306,000000,4.64,4.64,4.64,4.64,0,0
SCO_PB,D,20120312,000000,4.89,4.89,4.89,4.89,0,0
SCO_PB,D,20120321,000000,4.89,4.89,4.89,4.89,0,0
SCO_PB,D,20120430,000000,5.54,5.54,5.54,5.54,0,0
SCO_PB,D,20120529,000000,5.15,5.15,5.15,5.15,0,0
SCO_PB,D,20120530,000000,5.15,5.15,5.15,5.15,0,0
SCO_PB,D,20120531,000000,5.13,5.13,5.13,5.13,0,0
SCO_PB,D,20120626,000000,5.08,5.08,5.08,5.08,0,0
SCO_PB,D,20120628,000000,5.05,5.33,5.05,5.33,0,0
SCO_PB,D,20120629,000000,5.33,5.33,5.33,5.33,0,0
SCO_PB,D,20120702,000000,5.5,5.5,5.5,5.5,0,0
SCO_PB,D,20120709,000000,4.3,4.3,4.3,4.3,0,0
SCO_PB,D,20120710,000000,4.84,4.84,4.84,4.84,0,0
SCO_PB,D,20120713,000000,4.14,4.14,4.14,4.14,0,0
SCO_PB,D,20120716,000000,4.84,4.84,4.84,4.84,0,0
SCO_PB,D,20120820,000000,3.87,3.88,3.87,3.88,0,0
SCO_PB,D,20120822,000000,3.88,3.88,3.88,3.88,0,0
SCO_PB,D,20120823,000000,3.61,4.12,3.61,4.12,0,0
SCO_PB,D,20120827,000000,4.36,4.36,4.36,4.36,0,0
SCO_PB,D,20120906,000000,3.48,3.48,3.48,3.48,0,0
SCO_PB,D,20120925,000000,3.48,3.48,3.48,3.48,0,0
SCO_PB,D,20120926,000000,2.76,2.97,2.76,2.97,0,0
SCO_PB,D,20120927,000000,2.76,2.76,2.76,2.76,0,0
SCO_PB,D,20121002,000000,2.79,2.79,2.79,2.79,0,0
SCO_PB,D,20121003,000000,2.82,3.02,2.82,3.02,0,0
SCO_PB,D,20121004,000000,3.39,3.39,3.39,3.39,0,0
SCO_PB,D,20121005,000000,3.15,3.39,3.15,3.39,0,0
SCO_PB,D,20121008,000000,3.15,3.15,3.15,3.15,0,0
SCO_PB,D,20121031,000000,3.15,3.15,3.15,3.15,0,0
SCO_PB,D,20121106,000000,3.15,3.15,3.15,3.15,0,0
SCO_PB,D,20121108,000000,3.15,3.15,3.15,3.15,0,0
SCO_PB,D,20121120,000000,2.69,2.69,2.69,2.69,0,0
SCO_PB,D,20121122,000000,2.59,2.69,2.59,2.69,0,0
SCO_PB,D,20121123,000000,2.48,2.48,2.48,2.48,0,0
SCO_PB,D,20121203,000000,2.48,2.48,2.43,2.43,0,0
SCO_PB,D,20121206,000000,2.32,2.48,2.32,2.4,0,0
SCO_PB,D,20121218,000000,2.34,2.34,2.34,2.34,0,0
SCO_PB,D,20121220,000000,2.35,2.66,2.2,2.66,0,0
SCO_PB,D,20121227,000000,2.27,2.44,2.27,2.44,0,0
SCO_PB,D,20121228,000000,2.48,2.48,2.46,2.46,0,0
SCO_PB,D,20130102,000000,2.4,2.4,2.4,2.4,0,0
SCO_PB,D,20130103,000000,2.4,2.4,2.4,2.4,0,0
SCO_PB,D,20130104,000000,2.4,2.4,2.4,2.4,0,0
SCO_PB,D,20130111,000000,2.41,2.41,2.41,2.41,0,0
SCO_PB,D,20130115,000000,2.41,2.41,2.41,2.41,0,0
SCO_PB,D,20130125,000000,2.41,2.41,2.41,2.41,0,0
SCO_PB,D,20130128,000000,2.41,2.41,2.41,2.41,0,0
SCO_PB,D,20130222,000000,2.41,2.41,2.41,2.41,0,0
SCO_PB,D,20130226,000000,2.37,2.41,2.37,2.41,0,0
SCO_PB,D,20130227,000000,2.37,2.37,2.37,2.37,0,0
SCO_PB,D,20130315,000000,2.42,2.66,2.42,2.66,0,0
SCO_PB,D,20130412,000000,2.37,2.37,2.37,2.37,0,0
SCO_PB,D,20130415,000000,2.42,2.42,2.42,2.42,0,0
SCO_PB,D,20130417,000000,2.42,2.42,2.42,2.42,0,0
SCO_PB,D,20130515,000000,2.54,2.54,2.54,2.54,0,0
SCO_PB,D,20130520,000000,2.37,2.37,2.37,2.37,0,0
SCO_PB,D,20130524,000000,2.42,2.66,2.42,2.66,0,0
SCO_PB,D,20130527,000000,2.54,2.54,2.54,2.54,0,0
SCO_PB,D,20130612,000000,2.62,2.62,2.62,2.62,0,0
SCO_PB,D,20130617,000000,2.26,2.5,2.26,2.5,0,0
SCO_PB,D,20130618,000000,2.26,2.26,2.26,2.26,0,0
SCO_PB,D,20130619,000000,2.24,2.24,2.24,2.24,0,0
SCO_PB,D,20130624,000000,2.12,2.12,2.12,2.12,0,0
SCO_PB,D,20130627,000000,2.12,2.12,1.93,1.93,0,0
SCO_PB,D,20130628,000000,2.12,2.12,2.11,2.12,0,0
SCO_PB,D,20130701,000000,1.92,1.92,1.92,1.92,0,0
SCO_PB,D,20130702,000000,1.74,1.74,1.74,1.74,0,0
SCO_PB,D,20130715,000000,1.78,1.78,1.78,1.78,0,0
SCO_PB,D,20130719,000000,1.78,1.78,1.64,1.64,0,0
SCO_PB,D,20130722,000000,1.64,1.8,1.64,1.8,0,0
SCO_PB,D,20130726,000000,1.76,1.76,1.64,1.64,0,0
SCO_PB,D,20130729,000000,1.63,1.63,1.5,1.5,0,0
SCO_PB,D,20130802,000000,1.37,1.37,1.37,1.37,0,0
SCO_PB,D,20130805,000000,1.37,1.37,1.25,1.25,0,0
SCO_PB,D,20130812,000000,1.37,1.37,1.37,1.37,0,0
SCO_PB,D,20130819,000000,1.49,1.49,1.49,1.49,0,0
SCO_PB,D,20130820,000000,1.61,1.61,1.61,1.61,0,0
SCO_PB,D,20130821,000000,1.75,1.78,1.64,1.78,0,0
SCO_PB,D,20130822,000000,1.9,1.95,1.78,1.78,0,0
SCO_PB,D,20130823,000000,1.78,1.78,1.78,1.78,0,0
SCO_PB,D,20130826,000000,1.9,1.9,1.83,1.83,0,0
SCO_PB,D,20130829,000000,1.83,1.83,1.83,1.83,0,0
SCO_PB,D,20130830,000000,1.89,1.89,1.74,1.89,0,0
SCO_PB,D,20130905,000000,1.78,1.92,1.78,1.92,0,0
SCO_PB,D,20130906,000000,1.86,1.86,1.86,1.86,0,0
SCO_PB,D,20130909,000000,1.79,1.79,1.79,1.79,0,0
SCO_PB,D,20130910,000000,1.73,1.73,1.73,1.73,0,0
SCO_PB,D,20130911,000000,1.79,1.79,1.79,1.79,0,0
SCO_PB,D,20130917,000000,1.67,1.79,1.67,1.78,0,0
SCO_PB,D,20130919,000000,1.67,1.67,1.67,1.67,0,0
SCO_PB,D,20130924,000000,1.78,1.78,1.78,1.78,0,0
SCO_PB,D,20130925,000000,1.67,1.67,1.67,1.67,0,0
SCO_PB,D,20130926,000000,1.78,1.78,1.78,1.78,0,0
SCO_PB,D,20131004,000000,1.78,1.78,1.78,1.78,0,0
SCO_PB,D,20131007,000000,1.78,1.78,1.78,1.78,0,0
SCO_PB,D,20131010,000000,1.67,1.67,1.67,1.67,0,0
SCO_PB,D,20131011,000000,1.67,1.67,1.67,1.67,0,0
SCO_PB,D,20131015,000000,1.78,1.78,1.78,1.78,0,0
SCO_PB,D,20131016,000000,1.78,1.78,1.78,1.78,0,0
SCO_PB,D,20131017,000000,1.78,1.78,1.78,1.78,0,0
SCO_PB,D,20131018,000000,1.54,1.54,1.54,1.54,0,0
SCO_PB,D,20131021,000000,1.78,1.78,1.78,1.78,0,0
SCO_PB,D,20131022,000000,1.93,1.93,1.93,1.93,0,0
SCO_PB,D,20131024,000000,1.93,1.93,1.93,1.93,0,0
SCO_PB,D,20131025,000000,1.93,1.93,1.93,1.93,0,0
SCO_PB,D,20131028,000000,1.93,1.93,1.93,1.93,0,0
SCO_PB,D,20131031,000000,1.91,1.91,1.91,1.91,0,0
SCO_PB,D,20131108,000000,1.73,1.91,1.73,1.9,0,0
SCO_PB,D,20131114,000000,1.73,1.73,1.73,1.73,0,0
SCO_PB,D,20131115,000000,1.79,1.79,1.79,1.79,0,0
SCO_PB,D,20131118,000000,1.79,1.79,1.79,1.79,0,0
SCO_PB,D,20131121,000000,1.67,1.67,1.67,1.67,0,0
SCO_PB,D,20131122,000000,1.67,1.67,1.67,1.67,0,0
SCO_PB,D,20131205,000000,1.99,1.99,1.99,1.99,0,0
SCO_PB,D,20131212,000000,1.99,1.99,1.99,1.99,0,0
SCO_PB,D,20131213,000000,2.14,2.14,2.14,2.14,0,0
SCO_PB,D,20131217,000000,1.91,2.14,1.91,1.91,0,0
SCO_PB,D,20131219,000000,1.76,1.91,1.76,1.76,0,0
SCO_PB,D,20131220,000000,1.68,1.68,1.68,1.68,0,0
SCO_PB,D,20131223,000000,1.68,1.68,1.68,1.68,0,0
SCO_PB,D,20131230,000000,1.96,1.96,1.96,1.96,0,0
SCO_PB,D,20140103,000000,2.12,2.12,2.12,2.12,0,0
SCO_PB,D,20140110,000000,1.76,1.76,1.59,1.59,0,0
SCO_PB,D,20140113,000000,1.68,1.68,1.68,1.68,0,0
SCO_PB,D,20140114,000000,1.68,1.68,1.68,1.68,0,0
SCO_PB,D,20140115,000000,1.68,1.68,1.68,1.68,0,0
SCO_PB,D,20140116,000000,1.6,1.6,1.6,1.6,0,0
SCO_PB,D,20140117,000000,1.6,1.6,1.54,1.54,0,0
SCO_PB,D,20140121,000000,1.53,1.53,1.53,1.53,0,0
SCO_PB,D,20140127,000000,1.53,1.53,1.53,1.53,0,0
SCO_PB,D,20140128,000000,1.41,1.41,1.41,1.41,0,0
SCO_PB,D,20140131,000000,1.45,1.45,1.37,1.37,0,0
SCO_PB,D,20140203,000000,1.25,1.25,1.25,1.25,0,0
SCO_PB,D,20140204,000000,1.25,1.25,1.25,1.25,0,0
SCO_PB,D,20140205,000000,1.21,1.21,1.21,1.21,0,0
SCO_PB,D,20140207,000000,1.53,1.53,1.51,1.51,0,0
SCO_PB,D,20140210,000000,1.53,1.53,1.51,1.51,0,0
SCO_PB,D,20140211,000000,1.39,1.51,1.39,1.39,0,0
SCO_PB,D,20140212,000000,1.48,1.48,1.48,1.48,0,0
SCO_PB,D,20140213,000000,1.48,1.48,1.48,1.48,0,0
SCO_PB,D,20140214,000000,1.19,1.19,1.19,1.19,0,0
SCO_PB,D,20140217,000000,1.27,1.27,1.27,1.27,0,0
SCO_PB,D,20140218,000000,1.27,1.27,1.27,1.27,0,0
SCO_PB,D,20140219,000000,1.36,1.36,1.27,1.27,0,0
SCO_PB,D,20140220,000000,1.28,1.28,1.25,1.25,0,0
SCO_PB,D,20140221,000000,1.13,1.13,1.13,1.13,0,0
SCO_PB,D,20140224,000000,1.24,1.24,1.22,1.22,0,0
SCO_PB,D,20140225,000000,1.34,1.34,1.33,1.33,0,0
SCO_PB,D,20140226,000000,1.22,1.22,1.22,1.22,0,0
SCO_PB,D,20140227,000000,1.34,1.34,1.33,1.33,0,0
SCO_PB,D,20140304,000000,1.07,1.33,1.07,1.07,0,0
SCO_PB,D,20140305,000000,1.07,1.29,1.07,1.29,0,0
SCO_PB,D,20140306,000000,1.31,1.31,1.25,1.25,0,0
SCO_PB,D,20140307,000000,1.25,1.25,1.25,1.25,0,0
SCO_PB,D,20140310,000000,1.31,1.31,1.25,1.31,0,0
SCO_PB,D,20140311,000000,1.31,1.31,1.31,1.31,0,0
SCO_PB,D,20140313,000000,1.38,1.38,1.38,1.38,0,0
SCO_PB,D,20140314,000000,1.36,1.36,1.36,1.36,0,0
SCO_PB,D,20140317,000000,1.38,1.38,1.38,1.38,0,0
SCO_PB,D,20140318,000000,1.27,1.27,1.27,1.27,0,0
