<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNK_MV,D,20070813,000000,391.66,391.66,391.66,391.66,0,0
SNK_MV,D,20070814,000000,387.83,387.83,387.83,387.83,0,0
SNK_MV,D,20070816,000000,379.67,379.67,379.67,379.67,0,0
SNK_MV,D,20070817,000000,370.18,370.18,370.18,370.18,0,0
SNK_MV,D,20070820,000000,377.17,377.17,377.17,377.17,0,0
SNK_MV,D,20070821,000000,377.17,377.17,377.17,377.17,0,0
SNK_MV,D,20070822,000000,378.01,378.01,378.01,378.01,0,0
SNK_MV,D,20070823,000000,379.67,379.67,379.67,379.67,0,0
SNK_MV,D,20070824,000000,378.01,378.01,378.01,378.01,0,0
SNK_MV,D,20070827,000000,374.68,374.68,374.68,374.68,0,0
SNK_MV,D,20070828,000000,359.69,359.69,359.69,359.69,0,0
SNK_MV,D,20070829,000000,359.51,359.51,359.51,359.51,0,0
SNK_MV,D,20070830,000000,358.85,358.85,358.85,358.85,0,0
SNK_MV,D,20070831,000000,358.69,358.69,358.69,358.69,0,0
SNK_MV,D,20070903,000000,368.03,368.03,368.03,368.03,0,0
SNK_MV,D,20070904,000000,366.19,366.19,366.19,366.19,0,0
SNK_MV,D,20070905,000000,358.01,358.01,358.01,358.01,0,0
SNK_MV,D,20070906,000000,361.19,361.19,361.19,361.19,0,0
SNK_MV,D,20070907,000000,349.7,349.7,349.7,349.7,0,0
SNK_MV,D,20070910,000000,349.7,349.7,349.7,349.7,0,0
SNK_MV,D,20070911,000000,349.7,349.7,349.7,349.7,0,0
SNK_MV,D,20070912,000000,349.7,349.7,349.7,349.7,0,0
SNK_MV,D,20070913,000000,341.37,341.37,341.37,341.37,0,0
SNK_MV,D,20070914,000000,336.37,336.37,336.37,336.37,0,0
SNK_MV,D,20070917,000000,336.37,336.37,336.37,336.37,0,0
SNK_MV,D,20070918,000000,354.69,354.69,354.69,354.69,0,0
SNK_MV,D,20070919,000000,358.01,358.01,358.01,358.01,0,0
SNK_MV,D,20070920,000000,356.19,356.19,356.19,356.19,0,0
SNK_MV,D,20070921,000000,356.04,356.04,356.04,356.04,0,0
SNK_MV,D,20070924,000000,346.37,346.37,346.37,346.37,0,0
SNK_MV,D,20070925,000000,346.37,346.37,346.37,346.37,0,0
SNK_MV,D,20070926,000000,348.85,348.85,348.85,348.85,0,0
SNK_MV,D,20070927,000000,349.7,349.7,349.7,349.7,0,0
SNK_MV,D,20070928,000000,348.7,348.7,348.7,348.7,0,0
SNK_MV,D,20071001,000000,339.7,339.7,339.7,339.7,0,0
SNK_MV,D,20071002,000000,343.04,343.04,343.04,343.04,0,0
SNK_MV,D,20071003,000000,347.87,347.87,347.87,347.87,0,0
SNK_MV,D,20071004,000000,343.2,343.2,343.2,343.2,0,0
SNK_MV,D,20071005,000000,346.37,346.37,346.37,346.37,0,0
SNK_MV,D,20071008,000000,344.71,344.71,344.71,344.71,0,0
SNK_MV,D,20071009,000000,350.35,350.35,350.35,350.35,0,0
SNK_MV,D,20071010,000000,349.54,349.54,349.54,349.54,0,0
SNK_MV,D,20071011,000000,349.54,349.54,349.54,349.54,0,0
SNK_MV,D,20071012,000000,349.54,349.54,349.54,349.54,0,0
SNK_MV,D,20071015,000000,344.71,344.71,344.71,344.71,0,0
