<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNT_MV,D,20110809,000000,45.638,45.638,45.638,45.638,0,0
SNT_MV,D,20110810,000000,54.236,54.236,44.916,45.081,0,0
SNT_MV,D,20110811,000000,49.913,49.913,49.913,49.913,0,0
SNT_MV,D,20110812,000000,53.797,53.797,49.913,53.241,0,0
SNT_MV,D,20110816,000000,53.797,61,53.797,61,0,0
SNT_MV,D,20110818,000000,60.444,61,60.444,60.444,0,0
SNT_MV,D,20110902,000000,59.839,64.884,59.839,64.884,0,0
SNT_MV,D,20110905,000000,64.884,64.884,64.884,64.884,0,0
SNT_MV,D,20110906,000000,64.884,64.884,64.884,64.884,0,0
SNT_MV,D,20110907,000000,62.669,72.097,62.669,72.097,0,0
SNT_MV,D,20110908,000000,69.325,69.325,67.656,67.656,0,0
SNT_MV,D,20110909,000000,68.213,70.984,60.727,60.727,0,0
SNT_MV,D,20110912,000000,64.611,64.611,56.569,64.611,0,0
SNT_MV,D,20110913,000000,61.117,64.104,61.117,64.104,0,0
SNT_MV,D,20110915,000000,61.117,66.27,61.117,66.27,0,0
SNT_MV,D,20110919,000000,63.996,64.055,63.996,64.055,0,0
SNT_MV,D,20110920,000000,63.772,64.055,63.772,64.055,0,0
SNT_MV,D,20110921,000000,63.216,63.216,58.228,60.004,0,0
SNT_MV,D,20110922,000000,59.341,59.341,59.341,59.341,0,0
SNT_MV,D,20110923,000000,61.556,62.113,61.556,62.113,0,0
SNT_MV,D,20110926,000000,62.113,69.325,61.556,69.325,0,0
SNT_MV,D,20110927,000000,69.325,69.54,67.656,67.656,0,0
SNT_MV,D,20110928,000000,64.328,66.544,62.113,66.544,0,0
SNT_MV,D,20110929,000000,61.556,66.544,58.784,66.544,0,0
SNT_MV,D,20110930,000000,66.544,66.544,66.544,66.544,0,0
SNT_MV,D,20111003,000000,66.544,66.544,66.544,66.544,0,0
SNT_MV,D,20111004,000000,62.835,66.544,61,66.544,0,0
SNT_MV,D,20111005,000000,66.378,66.544,66.378,66.544,0,0
SNT_MV,D,20111006,000000,67.656,67.656,66.544,66.544,0,0
SNT_MV,D,20111007,000000,67.656,67.656,67.656,67.656,0,0
SNT_MV,D,20111010,000000,67.1,74.869,67.1,74.869,0,0
SNT_MV,D,20111011,000000,74.313,74.313,72.097,74.313,0,0
SNT_MV,D,20111012,000000,74.869,74.869,72.097,72.097,0,0
SNT_MV,D,20111013,000000,72.097,72.097,72.097,72.097,0,0
SNT_MV,D,20111014,000000,73.2,73.2,72.927,72.927,0,0
SNT_MV,D,20111017,000000,72.644,72.644,72.644,72.644,0,0
SNT_MV,D,20111018,000000,72.644,72.644,72.644,72.644,0,0
SNT_MV,D,20111019,000000,72.644,72.644,72.644,72.644,0,0
SNT_MV,D,20111020,000000,72.644,72.644,72.644,72.644,0,0
SNT_MV,D,20111021,000000,72.644,72.644,72.644,72.644,0,0
SNT_MV,D,20111024,000000,72.097,72.595,72.097,72.595,0,0
SNT_MV,D,20111025,000000,72.097,72.097,72.097,72.097,0,0
SNT_MV,D,20111026,000000,72.097,72.097,72.097,72.097,0,0
SNT_MV,D,20111027,000000,72.097,72.097,72.097,72.097,0,0
SNT_MV,D,20111028,000000,72.097,72.097,72.097,72.097,0,0
SNT_MV,D,20111031,000000,72.097,72.097,72.097,72.097,0,0
SNT_MV,D,20111103,000000,72.097,77.084,72.097,77.084,0,0
SNT_MV,D,20111104,000000,77.084,77.084,77.084,77.084,0,0
SNT_MV,D,20111107,000000,77.084,77.084,73.756,74.313,0,0
SNT_MV,D,20111108,000000,74.313,74.869,74.313,74.869,0,0
SNT_MV,D,20111109,000000,74.869,75.425,74.869,75.425,0,0
SNT_MV,D,20111110,000000,75.425,75.972,75.425,75.972,0,0
SNT_MV,D,20111114,000000,75.972,75.972,75.972,75.972,0,0
SNT_MV,D,20111115,000000,75.972,75.972,75.806,75.972,0,0
SNT_MV,D,20111116,000000,75.972,75.972,75.923,75.923,0,0
SNT_MV,D,20111117,000000,75.757,75.806,75.757,75.806,0,0
SNT_MV,D,20111118,000000,75.806,75.806,75.806,75.806,0,0
SNT_MV,D,20111121,000000,77.084,77.084,76.811,76.811,0,0
SNT_MV,D,20111122,000000,77.084,79.027,77.084,78.968,0,0
SNT_MV,D,20111123,000000,79.3,79.3,79.251,79.3,0,0
SNT_MV,D,20111124,000000,79.251,79.3,79.251,79.3,0,0
SNT_MV,D,20111125,000000,79.3,79.3,79.3,79.3,0,0
SNT_MV,D,20111128,000000,79.193,79.193,79.193,79.193,0,0
SNT_MV,D,20111129,000000,79.193,79.193,79.193,79.193,0,0
SNT_MV,D,20111130,000000,79.3,79.3,79.3,79.3,0,0
SNT_MV,D,20111201,000000,79.3,79.3,75.972,75.972,0,0
SNT_MV,D,20111202,000000,75.972,75.972,75.972,75.972,0,0
SNT_MV,D,20111205,000000,75.757,75.757,75.757,75.757,0,0
SNT_MV,D,20111206,000000,75.64,75.64,75.64,75.64,0,0
SNT_MV,D,20111207,000000,75.64,75.64,75.64,75.64,0,0
SNT_MV,D,20111209,000000,75.425,75.425,75.425,75.425,0,0
SNT_MV,D,20111212,000000,74.869,75.64,74.869,75.64,0,0
SNT_MV,D,20111213,000000,75.972,75.972,75.972,75.972,0,0
SNT_MV,D,20111214,000000,75.972,77.416,75.972,77.416,0,0
SNT_MV,D,20111215,000000,77.641,77.641,77.641,77.641,0,0
SNT_MV,D,20111216,000000,77.641,77.641,77.641,77.641,0,0
SNT_MV,D,20111219,000000,77.084,81.35,77.084,81.35,0,0
SNT_MV,D,20111220,000000,79.027,79.466,77.641,79.466,0,0
SNT_MV,D,20111221,000000,82.96,82.96,79.027,79.027,0,0
SNT_MV,D,20111223,000000,78.802,78.802,78.802,78.802,0,0
SNT_MV,D,20120103,000000,78.802,92.603,78.744,92.603,0,0
SNT_MV,D,20120104,000000,92.671,92.671,91.305,91.305,0,0
SNT_MV,D,20120105,000000,91.305,91.305,91.305,91.305,0,0
SNT_MV,D,20120110,000000,91.305,91.305,91.305,91.305,0,0
SNT_MV,D,20120111,000000,91.305,91.305,91.305,91.305,0,0
SNT_MV,D,20120112,000000,91.305,91.305,91.305,91.305,0,0
SNT_MV,D,20120113,000000,91.305,92.866,91.305,92.866,0,0
SNT_MV,D,20120116,000000,97.824,101.08,97.824,101.08,0,0
SNT_MV,D,20120118,000000,99.259,101.28,97.824,97.824,0,0
SNT_MV,D,20120119,000000,101.74,101.74,101.74,101.74,0,0
SNT_MV,D,20120120,000000,100.43,100.43,97.824,97.824,0,0
SNT_MV,D,20120123,000000,99.132,99.132,97.171,97.171,0,0
SNT_MV,D,20120124,000000,97.171,97.171,97.171,97.171,0,0
SNT_MV,D,20120125,000000,97.171,97.171,97.171,97.171,0,0
SNT_MV,D,20120126,000000,94.565,97.171,94.565,97.102,0,0
SNT_MV,D,20120127,000000,97.102,97.102,97.102,97.102,0,0
SNT_MV,D,20120130,000000,97.102,97.102,97.102,97.102,0,0
SNT_MV,D,20120131,000000,97.102,97.102,97.102,97.102,0,0
SNT_MV,D,20120201,000000,96.975,96.975,96.975,96.975,0,0
SNT_MV,D,20120202,000000,96.975,96.975,96.975,96.975,0,0
SNT_MV,D,20120203,000000,96.517,96.517,96.517,96.517,0,0
SNT_MV,D,20120206,000000,96.848,97.044,93.003,96.458,0,0
SNT_MV,D,20120207,000000,95.872,95.872,95.804,95.804,0,0
SNT_MV,D,20120208,000000,96.517,96.517,93.842,93.842,0,0
SNT_MV,D,20120209,000000,93.257,93.257,91.695,91.695,0,0
SNT_MV,D,20120210,000000,93.842,93.842,93.842,93.842,0,0
SNT_MV,D,20120213,000000,92.154,92.154,92.154,92.154,0,0
SNT_MV,D,20120214,000000,92.154,92.154,92.154,92.154,0,0
SNT_MV,D,20120215,000000,92.154,93.842,92.154,93.842,0,0
SNT_MV,D,20120216,000000,93.842,97.824,93.842,94.565,0,0
SNT_MV,D,20120217,000000,97.824,97.824,94.565,94.565,0,0
SNT_MV,D,20120220,000000,97.824,97.824,97.824,97.824,0,0
SNT_MV,D,20120221,000000,97.824,97.824,93.257,93.257,0,0
SNT_MV,D,20120222,000000,95.414,95.414,93.257,93.257,0,0
SNT_MV,D,20120223,000000,92.935,95.472,92.935,95.472,0,0
SNT_MV,D,20120224,000000,97.824,97.824,90.065,93.911,0,0
SNT_MV,D,20120227,000000,93.257,94.174,93.257,94.174,0,0
SNT_MV,D,20120228,000000,97.824,97.824,93.257,94.233,0,0
SNT_MV,D,20120229,000000,94.233,94.233,91.305,93.911,0,0
SNT_MV,D,20120301,000000,94.233,94.233,93.911,93.911,0,0
SNT_MV,D,20120302,000000,93.911,93.911,91.305,93.911,0,0
SNT_MV,D,20120306,000000,94.233,94.233,91.305,91.305,0,0
SNT_MV,D,20120307,000000,91.305,91.305,91.305,91.305,0,0
SNT_MV,D,20120308,000000,91.305,91.305,91.305,91.305,0,0
SNT_MV,D,20120309,000000,91.305,91.305,91.305,91.305,0,0
SNT_MV,D,20120312,000000,91.305,91.305,90.065,91.305,0,0
SNT_MV,D,20120313,000000,91.305,91.305,84.785,88.045,0,0
SNT_MV,D,20120314,000000,86.083,88.045,81.525,84.785,0,0
SNT_MV,D,20120315,000000,84.522,84.785,84.522,84.785,0,0
SNT_MV,D,20120316,000000,84.785,84.785,81.847,84.785,0,0
SNT_MV,D,20120319,000000,97.502,97.502,92.671,94.496,0,0
SNT_MV,D,20120320,000000,94.496,94.496,94.496,94.496,0,0
SNT_MV,D,20120321,000000,92.544,92.544,92.017,92.017,0,0
SNT_MV,D,20120322,000000,92.212,92.212,92.017,92.017,0,0
SNT_MV,D,20120323,000000,94.438,94.438,94.369,94.369,0,0
SNT_MV,D,20120326,000000,97.824,97.824,95.872,95.872,0,0
SNT_MV,D,20120327,000000,95.872,95.872,94.565,95.872,0,0
SNT_MV,D,20120328,000000,95.872,95.872,93.13,95.872,0,0
SNT_MV,D,20120329,000000,97.824,97.824,93.257,96.126,0,0
SNT_MV,D,20120330,000000,97.307,97.307,97.307,97.307,0,0
SNT_MV,D,20120402,000000,97.171,97.171,93.911,97.171,0,0
SNT_MV,D,20120403,000000,97.171,97.171,97.171,97.171,0,0
SNT_MV,D,20120404,000000,96.78,96.78,93.003,96.126,0,0
SNT_MV,D,20120405,000000,96.458,96.458,96.458,96.458,0,0
SNT_MV,D,20120410,000000,96.712,97.893,96.712,97.824,0,0
SNT_MV,D,20120411,000000,100.11,101.08,97.824,98.478,0,0
SNT_MV,D,20120412,000000,97.171,97.171,96.517,96.517,0,0
SNT_MV,D,20120413,000000,96.585,106.31,96.585,99.132,0,0
SNT_MV,D,20120416,000000,101.08,110.22,101.08,105.32,0,0
SNT_MV,D,20120417,000000,107.74,107.74,101.81,104.73,0,0
SNT_MV,D,20120418,000000,103.69,103.69,101.08,101.81,0,0
SNT_MV,D,20120419,000000,103.05,103.56,101.08,102.26,0,0
SNT_MV,D,20120420,000000,103.37,103.37,97.824,97.824,0,0
SNT_MV,D,20120423,000000,97.893,97.893,88.045,97.502,0,0
SNT_MV,D,20120424,000000,97.171,97.171,91.432,96.39,0,0
SNT_MV,D,20120425,000000,96.848,96.848,96.517,96.585,0,0
SNT_MV,D,20120426,000000,98.478,99.78,97.171,97.824,0,0
SNT_MV,D,20120427,000000,96.848,98.478,94.565,98.478,0,0
SNT_MV,D,20120430,000000,98.478,100.43,94.887,100.43,0,0
SNT_MV,D,20120502,000000,101.08,101.08,97.824,99.132,0,0
SNT_MV,D,20120504,000000,101.61,101.61,97.171,100.11,0,0
SNT_MV,D,20120507,000000,100.11,100.11,97.824,100.11,0,0
SNT_MV,D,20120508,000000,100.37,100.37,95.277,99.84,0,0
SNT_MV,D,20120509,000000,99.91,99.91,97.824,97.824,0,0
SNT_MV,D,20120510,000000,97.824,99.78,96.848,99.78,0,0
SNT_MV,D,20120511,000000,100.37,100.37,96.195,100.37,0,0
SNT_MV,D,20120514,000000,100.37,100.37,94.565,100.37,0,0
SNT_MV,D,20120515,000000,97.824,97.824,97.824,97.824,0,0
SNT_MV,D,20120516,000000,97.171,101.02,91.363,101.02,0,0
SNT_MV,D,20120517,000000,97.756,97.824,94.692,97.756,0,0
SNT_MV,D,20120518,000000,93.257,97.698,91.959,97.698,0,0
SNT_MV,D,20120521,000000,97.171,97.171,91.959,95.15,0,0
SNT_MV,D,20120522,000000,94.565,97.102,93.911,96.263,0,0
SNT_MV,D,20120523,000000,94.565,94.565,91.959,94.233,0,0
SNT_MV,D,20120524,000000,94.565,94.565,88.045,93.911,0,0
SNT_MV,D,20120525,000000,89.997,92.281,87.655,92.281,0,0
SNT_MV,D,20120528,000000,92.281,92.281,88.045,91.305,0,0
SNT_MV,D,20120529,000000,94.233,94.233,91.305,93.911,0,0
SNT_MV,D,20120530,000000,94.233,94.496,91.305,94.496,0,0
SNT_MV,D,20120531,000000,93.911,93.911,91.305,91.305,0,0
SNT_MV,D,20120601,000000,91.822,91.822,88.045,90.973,0,0
SNT_MV,D,20120604,000000,89.021,89.021,84.785,84.785,0,0
SNT_MV,D,20120605,000000,78.256,81.525,78.256,81.525,0,0
SNT_MV,D,20120606,000000,84.785,84.785,84.785,84.785,0,0
SNT_MV,D,20120608,000000,84.131,88.045,84.131,88.045,0,0
SNT_MV,D,20120611,000000,88.045,88.045,88.045,88.045,0,0
SNT_MV,D,20120612,000000,87.586,87.586,84.131,87.586,0,0
SNT_MV,D,20120613,000000,87.518,87.518,86.61,86.61,0,0
SNT_MV,D,20120614,000000,86.415,88.045,84.131,88.045,0,0
SNT_MV,D,20120615,000000,88.045,88.045,81.652,81.652,0,0
SNT_MV,D,20120618,000000,85.498,87.655,84.131,87.655,0,0
SNT_MV,D,20120619,000000,84.131,87.391,81.72,87.391,0,0
SNT_MV,D,20120620,000000,88.045,88.045,82.169,84.785,0,0
SNT_MV,D,20120621,000000,84.785,84.785,84.785,84.785,0,0
SNT_MV,D,20120622,000000,84.785,84.785,84.785,84.785,0,0
SNT_MV,D,20120626,000000,87.977,87.977,84.785,84.785,0,0
SNT_MV,D,20120627,000000,84.785,84.785,84.785,84.785,0,0
SNT_MV,D,20120628,000000,87.977,87.977,82.169,85.566,0,0
SNT_MV,D,20120629,000000,87.977,87.977,82.238,84.785,0,0
SNT_MV,D,20120702,000000,85.429,85.429,85.429,85.429,0,0
SNT_MV,D,20120703,000000,85.429,85.429,85.429,85.429,0,0
SNT_MV,D,20120704,000000,82.823,82.823,82.823,82.823,0,0
SNT_MV,D,20120705,000000,85.429,85.429,84.785,85.429,0,0
SNT_MV,D,20120706,000000,85.429,85.429,85.429,85.429,0,0
SNT_MV,D,20120709,000000,85.429,85.429,85.429,85.429,0,0
SNT_MV,D,20120710,000000,85.107,85.107,83.799,84.717,0,0
SNT_MV,D,20120711,000000,85.429,85.429,85.429,85.429,0,0
SNT_MV,D,20120712,000000,84.717,84.717,82.169,82.169,0,0
SNT_MV,D,20120713,000000,84.59,84.785,84.59,84.717,0,0
