<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNT_PB,D,20110809,000000,18.632,18.632,18.632,18.632,0,0
SNT_PB,D,20110810,000000,22.136,22.136,18.329,18.398,0,0
SNT_PB,D,20110811,000000,20.369,20.369,20.369,20.369,0,0
SNT_PB,D,20110812,000000,21.96,21.96,20.369,21.736,0,0
SNT_PB,D,20110816,000000,21.96,24.898,21.96,24.898,0,0
SNT_PB,D,20110818,000000,8.6962,8.7742,8.6962,8.6962,0,0
SNT_PB,D,20110902,000000,8.6083,9.3403,8.6083,9.3403,0,0
SNT_PB,D,20110905,000000,9.3403,9.3403,9.3403,9.3403,0,0
SNT_PB,D,20110906,000000,9.3403,9.3403,9.3403,9.3403,0,0
SNT_PB,D,20110907,000000,9.0182,10.375,9.0182,10.375,0,0
SNT_PB,D,20110908,000000,9.975,9.975,9.731,9.731,0,0
SNT_PB,D,20110909,000000,9.819,10.209,8.7352,8.7352,0,0
SNT_PB,D,20110912,000000,9.3013,9.3013,8.1398,9.3013,0,0
SNT_PB,D,20110913,000000,8.7938,9.2232,8.7938,9.2232,0,0
SNT_PB,D,20110915,000000,8.7938,9.536,8.7938,9.536,0,0
SNT_PB,D,20110919,000000,9.2037,9.2134,9.2037,9.2134,0,0
SNT_PB,D,20110920,000000,9.1744,9.2134,9.1744,9.2134,0,0
SNT_PB,D,20110921,000000,9.0963,9.0963,8.3741,8.6376,0,0
SNT_PB,D,20110922,000000,8.54,8.54,8.54,8.54,0,0
SNT_PB,D,20110923,000000,8.8523,8.9402,8.8523,8.9402,0,0
SNT_PB,D,20110926,000000,8.9402,9.975,8.8523,9.975,0,0
SNT_PB,D,20110927,000000,9.975,10.004,9.731,9.731,0,0
SNT_PB,D,20110928,000000,9.2525,9.575,8.9402,9.575,0,0
SNT_PB,D,20110929,000000,8.8523,9.575,8.4619,9.575,0,0
SNT_PB,D,20110930,000000,9.575,9.575,9.575,9.575,0,0
SNT_PB,D,20111003,000000,9.575,9.575,9.575,9.575,0,0
SNT_PB,D,20111004,000000,9.0378,9.575,8.7742,9.575,0,0
SNT_PB,D,20111005,000000,9.555,9.575,9.555,9.575,0,0
SNT_PB,D,20111006,000000,9.731,9.731,9.575,9.575,0,0
SNT_PB,D,20111007,000000,9.731,9.731,9.731,9.731,0,0
SNT_PB,D,20111010,000000,9.653,10.775,9.653,10.775,0,0
SNT_PB,D,20111011,000000,10.697,10.697,10.375,10.697,0,0
SNT_PB,D,20111012,000000,10.775,10.775,10.375,10.375,0,0
SNT_PB,D,20111013,000000,10.375,10.375,10.375,10.375,0,0
SNT_PB,D,20111014,000000,10.531,10.531,10.492,10.492,0,0
SNT_PB,D,20111017,000000,10.453,10.453,10.453,10.453,0,0
SNT_PB,D,20111018,000000,10.453,10.453,10.453,10.453,0,0
SNT_PB,D,20111019,000000,10.453,10.453,10.453,10.453,0,0
SNT_PB,D,20111020,000000,10.453,10.453,10.453,10.453,0,0
SNT_PB,D,20111021,000000,10.453,10.453,10.453,10.453,0,0
SNT_PB,D,20111024,000000,10.375,10.443,10.375,10.443,0,0
SNT_PB,D,20111025,000000,10.375,10.375,10.375,10.375,0,0
SNT_PB,D,20111026,000000,10.375,10.375,10.375,10.375,0,0
SNT_PB,D,20111027,000000,10.375,10.375,10.375,10.375,0,0
SNT_PB,D,20111028,000000,10.375,10.375,10.375,10.375,0,0
SNT_PB,D,20111031,000000,10.375,10.375,10.375,10.375,0,0
SNT_PB,D,20111103,000000,10.375,11.087,10.375,11.087,0,0
SNT_PB,D,20111104,000000,11.087,11.087,11.087,11.087,0,0
SNT_PB,D,20111107,000000,11.087,11.087,10.609,10.697,0,0
SNT_PB,D,20111108,000000,10.697,10.775,10.697,10.775,0,0
SNT_PB,D,20111109,000000,10.775,10.853,10.775,10.853,0,0
SNT_PB,D,20111110,000000,10.853,10.931,10.853,10.931,0,0
SNT_PB,D,20111114,000000,10.931,10.931,10.931,10.931,0,0
SNT_PB,D,20111115,000000,10.931,10.931,10.912,10.931,0,0
SNT_PB,D,20111116,000000,10.931,10.931,10.921,10.921,0,0
SNT_PB,D,20111117,000000,10.902,10.912,10.902,10.912,0,0
SNT_PB,D,20111118,000000,10.912,10.912,10.912,10.912,0,0
SNT_PB,D,20111121,000000,11.087,11.087,11.048,11.048,0,0
SNT_PB,D,20111122,000000,11.087,11.37,11.087,11.136,0,0
SNT_PB,D,20111123,000000,11.185,11.185,11.175,11.185,0,0
