<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SUW_PE,D,20070813,000000,26.3,26.3,26.3,26.3,0,0
SUW_PE,D,20070814,000000,26.3,26.3,26.3,26.3,0,0
SUW_PE,D,20070816,000000,24.7,24.7,24.7,24.7,0,0
SUW_PE,D,20070817,000000,24.1,24.1,24.1,24.1,0,0
SUW_PE,D,20070820,000000,24.8,24.8,24.8,24.8,0,0
SUW_PE,D,20070821,000000,24.7,24.7,24.7,24.7,0,0
SUW_PE,D,20070822,000000,26.1,26.1,26.1,26.1,0,0
SUW_PE,D,20070823,000000,25.2,25.2,25.2,25.2,0,0
SUW_PE,D,20070824,000000,27.4,27.4,27.4,27.4,0,0
SUW_PE,D,20070827,000000,27.8,27.8,27.8,27.8,0,0
SUW_PE,D,20070828,000000,24.9,24.9,24.9,24.9,0,0
SUW_PE,D,20070829,000000,25.5,25.5,25.5,25.5,0,0
SUW_PE,D,20070830,000000,25.1,25.1,25.1,25.1,0,0
SUW_PE,D,20070831,000000,25.9,25.9,25.9,25.9,0,0
SUW_PE,D,20070903,000000,26.5,26.5,26.5,26.5,0,0
SUW_PE,D,20070904,000000,26.3,26.3,26.3,26.3,0,0
SUW_PE,D,20070905,000000,25.5,25.5,25.5,25.5,0,0
SUW_PE,D,20070906,000000,25.5,25.5,25.5,25.5,0,0
SUW_PE,D,20070907,000000,24.7,24.7,24.7,24.7,0,0
SUW_PE,D,20070910,000000,25,25,25,25,0,0
SUW_PE,D,20070911,000000,25.2,25.2,25.2,25.2,0,0
SUW_PE,D,20070912,000000,25.2,25.2,25.2,25.2,0,0
SUW_PE,D,20070913,000000,25.1,25.1,25.1,25.1,0,0
SUW_PE,D,20070914,000000,25.3,25.3,25.3,25.3,0,0
SUW_PE,D,20070917,000000,25.4,25.4,25.4,25.4,0,0
SUW_PE,D,20070918,000000,25.4,25.4,25.4,25.4,0,0
SUW_PE,D,20070919,000000,25.3,25.3,25.3,25.3,0,0
SUW_PE,D,20070920,000000,25,25,25,25,0,0
SUW_PE,D,20070921,000000,24.5,24.5,24.5,24.5,0,0
SUW_PE,D,20070924,000000,25.5,25.5,25.5,25.5,0,0
SUW_PE,D,20070925,000000,25.1,25.1,25.1,25.1,0,0
SUW_PE,D,20070926,000000,25.4,25.4,25.4,25.4,0,0
SUW_PE,D,20070927,000000,25.6,25.6,25.6,25.6,0,0
SUW_PE,D,20070928,000000,25.4,25.4,25.4,25.4,0,0
SUW_PE,D,20071001,000000,24.8,24.8,24.8,24.8,0,0
SUW_PE,D,20071002,000000,24.8,24.8,24.8,24.8,0,0
SUW_PE,D,20071003,000000,25,25,25,25,0,0
SUW_PE,D,20071004,000000,24.8,24.8,24.8,24.8,0,0
SUW_PE,D,20071005,000000,25.3,25.3,25.3,25.3,0,0
SUW_PE,D,20071008,000000,24.7,24.7,24.7,24.7,0,0
SUW_PE,D,20071009,000000,24.7,24.7,24.7,24.7,0,0
SUW_PE,D,20071010,000000,24.7,24.7,24.7,24.7,0,0
SUW_PE,D,20071011,000000,24.9,24.9,24.9,24.9,0,0
SUW_PE,D,20071012,000000,25.1,25.1,25.1,25.1,0,0
SUW_PE,D,20071015,000000,25,25,25,25,0,0
SUW_PE,D,20071016,000000,25.2,25.2,25.2,25.2,0,0
SUW_PE,D,20071017,000000,25.1,25.1,25.1,25.1,0,0
SUW_PE,D,20071018,000000,25.2,25.2,25.2,25.2,0,0
SUW_PE,D,20071019,000000,24.8,24.8,24.8,24.8,0,0
SUW_PE,D,20071022,000000,24.4,24.4,24.4,24.4,0,0
SUW_PE,D,20071023,000000,24.4,24.4,24.4,24.4,0,0
SUW_PE,D,20071024,000000,25.6,25.6,25.6,25.6,0,0
SUW_PE,D,20071025,000000,24.8,24.8,24.8,24.8,0,0
SUW_PE,D,20071026,000000,25,25,25,25,0,0
SUW_PE,D,20071029,000000,25,25,25,25,0,0
SUW_PE,D,20071030,000000,23.9,23.9,23.9,23.9,0,0
SUW_PE,D,20071031,000000,23.9,23.9,23.9,23.9,0,0
SUW_PE,D,20071102,000000,23.1,23.1,23.1,23.1,0,0
SUW_PE,D,20071105,000000,24.1,24.1,24.1,24.1,0,0
SUW_PE,D,20071106,000000,24,24,24,24,0,0
SUW_PE,D,20071107,000000,24.6,24.6,24.6,24.6,0,0
SUW_PE,D,20071108,000000,24.6,24.6,24.6,24.6,0,0
SUW_PE,D,20071109,000000,24.6,24.9,24.6,24.9,0,0
SUW_PE,D,20071112,000000,23.9,25,23.9,24.1,0,0
SUW_PE,D,20071113,000000,23.9,24.2,23.7,24.2,0,0
SUW_PE,D,20071114,000000,23.9,24.5,23.7,24.5,0,0
SUW_PE,D,20071115,000000,23.8,24.5,23.7,23.8,0,0
SUW_PE,D,20071116,000000,23.1,24.4,22.3,24.4,0,0
SUW_PE,D,20071119,000000,23.1,24.4,22.3,22.7,0,0
SUW_PE,D,20071120,000000,22.3,22.9,21.5,22.9,0,0
SUW_PE,D,20071121,000000,21.8,21.8,21.8,21.8,0,0
SUW_PE,D,20071122,000000,20.6,21.8,20.6,21.8,0,0
SUW_PE,D,20071123,000000,21.8,21.8,21.8,21.8,0,0
SUW_PE,D,20071126,000000,21.8,24.8,20.8,21.8,0,0
SUW_PE,D,20071127,000000,21.8,21.8,20.8,20.8,0,0
SUW_PE,D,20071128,000000,20.8,21.2,20.2,21.1,0,0
SUW_PE,D,20071129,000000,21.1,21.7,20.2,21.7,0,0
SUW_PE,D,20071130,000000,21.6,22.7,21.6,21.8,0,0
SUW_PE,D,20071204,000000,21.2,21.2,21.2,21.2,0,0
SUW_PE,D,20071205,000000,21.6,21.8,21,21.8,0,0
SUW_PE,D,20071206,000000,21.8,21.8,21.2,21.2,0,0
SUW_PE,D,20071207,000000,21.2,21.9,20.4,21.8,0,0
SUW_PE,D,20071210,000000,22.1,22.2,21.5,22.2,0,0
SUW_PE,D,20071211,000000,20.5,22.2,20.5,22,0,0
SUW_PE,D,20071212,000000,21.8,24.2,21.8,24.2,0,0
SUW_PE,D,20071213,000000,24.8,25.3,23.4,23.4,0,0
SUW_PE,D,20071214,000000,23.4,24.2,22.7,24.2,0,0
SUW_PE,D,20071217,000000,21.8,22.8,21.7,21.7,0,0
SUW_PE,D,20071218,000000,21.8,21.8,20.8,20.8,0,0
SUW_PE,D,20071219,000000,20.8,21.4,20.6,21.4,0,0
SUW_PE,D,20071220,000000,20.5,21.4,20.5,21.4,0,0
SUW_PE,D,20071221,000000,21,21.4,20.2,21.4,0,0
SUW_PE,D,20071227,000000,20.6,21.4,20.5,21.4,0,0
SUW_PE,D,20071228,000000,20.9,21.8,20.9,21.8,0,0
SUW_PE,D,20080102,000000,21.2,22.2,21.2,21.8,0,0
SUW_PE,D,20080103,000000,20.6,21.8,20.6,21.5,0,0
SUW_PE,D,20080104,000000,20.9,21,20.9,21,0,0
SUW_PE,D,20080107,000000,21,21.8,21,21.7,0,0
SUW_PE,D,20080109,000000,20.8,21.4,20.8,21.4,0,0
SUW_PE,D,20080110,000000,20.3,20.5,19.9,20.1,0,0
SUW_PE,D,20080111,000000,20.1,20.5,19.8,20.5,0,0
SUW_PE,D,20080114,000000,20.5,20.5,20.5,20.5,0,0
SUW_PE,D,20080115,000000,20.3,20.3,19.7,19.7,0,0
SUW_PE,D,20080116,000000,18.7,19.7,17.9,17.9,0,0
SUW_PE,D,20080117,000000,18.6,18.6,17.9,17.9,0,0
SUW_PE,D,20080118,000000,17.5,18.3,17.5,18.3,0,0
SUW_PE,D,20080121,000000,18.2,18.2,18.1,18.1,0,0
SUW_PE,D,20080122,000000,17.9,18.3,17.9,18.3,0,0
SUW_PE,D,20080123,000000,18.1,18.1,18.1,18.1,0,0
SUW_PE,D,20080124,000000,18.1,18.5,18.1,18.3,0,0
SUW_PE,D,20080125,000000,18.5,19,18.5,19,0,0
