<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TNX_MV,D,20140423,000000,30310.44,30310.44,30310.44,30310.44,0,0
TNX_MV,D,20140424,000000,31296.35,31296.35,28957.97,28983.25,0,0
TNX_MV,D,20140425,000000,28818.93,29071.73,28288.06,28983.25,0,0
TNX_MV,D,20140428,000000,28818.93,28818.93,28313.34,28313.34,0,0
TNX_MV,D,20140429,000000,28325.97,28338.61,28325.97,28338.61,0,0
TNX_MV,D,20140430,000000,28085.82,28338.61,28085.82,28085.82,0,0
TNX_MV,D,20140502,000000,28085.82,29198.13,28085.82,29172.85,0,0
TNX_MV,D,20140505,000000,29324.53,29324.53,29324.53,29324.53,0,0
TNX_MV,D,20140506,000000,29097.01,29324.53,28818.93,28818.93,0,0
TNX_MV,D,20140507,000000,28692.53,28692.53,28692.53,28692.53,0,0
TNX_MV,D,20140508,000000,28692.53,28692.53,28692.53,28692.53,0,0
TNX_MV,D,20140512,000000,28313.34,28313.34,28313.34,28313.34,0,0
TNX_MV,D,20140513,000000,28186.94,28186.94,28085.82,28085.82,0,0
TNX_MV,D,20140514,000000,28679.89,28679.89,28679.89,28679.89,0,0
TNX_MV,D,20140515,000000,28654.61,28654.61,28060.54,28060.54,0,0
TNX_MV,D,20140516,000000,27668.7,28654.61,27668.7,28654.61,0,0
TNX_MV,D,20140519,000000,28174.3,28566.13,27807.74,28566.13,0,0
TNX_MV,D,20140520,000000,28566.13,28566.13,27719.26,27719.26,0,0
TNX_MV,D,20140521,000000,28262.78,28313.34,27681.34,28313.34,0,0
TNX_MV,D,20140523,000000,28275.42,28275.42,27554.94,27554.94,0,0
TNX_MV,D,20140526,000000,28313.34,28566.13,28035.26,28035.26,0,0
TNX_MV,D,20140527,000000,28035.26,28035.26,28035.26,28035.26,0,0
TNX_MV,D,20140528,000000,27896.22,27896.22,27896.22,27896.22,0,0
TNX_MV,D,20140530,000000,28149.02,28528.21,28098.46,28528.21,0,0
TNX_MV,D,20140602,000000,28313.34,28313.34,28262.78,28262.78,0,0
TNX_MV,D,20140603,000000,27706.62,28313.34,27580.22,28313.34,0,0
TNX_MV,D,20140604,000000,29046.45,29046.45,29046.45,29046.45,0,0
TNX_MV,D,20140605,000000,28490.29,28490.29,27289.5,27807.74,0,0
TNX_MV,D,20140609,000000,27554.94,27554.94,27302.14,27302.14,0,0
TNX_MV,D,20140610,000000,27276.86,27276.86,27276.86,27276.86,0,0
TNX_MV,D,20140611,000000,27238.95,28313.34,27238.95,28313.34,0,0
TNX_MV,D,20140612,000000,27327.42,27327.42,27251.58,27251.58,0,0
TNX_MV,D,20140613,000000,27302.14,28540.85,27049.35,28540.85,0,0
TNX_MV,D,20140617,000000,27302.14,28540.85,27302.14,27302.14,0,0
TNX_MV,D,20140618,000000,27302.14,27302.14,27302.14,27302.14,0,0
TNX_MV,D,20140623,000000,27302.14,27807.74,27302.14,27302.14,0,0
TNX_MV,D,20140624,000000,27302.14,27302.14,26670.15,26670.15,0,0
TNX_MV,D,20140625,000000,26670.15,26670.15,26670.15,26670.15,0,0
TNX_MV,D,20140626,000000,26670.15,26796.55,26670.15,26796.55,0,0
TNX_MV,D,20140627,000000,26796.55,26796.55,26796.55,26796.55,0,0
TNX_MV,D,20140630,000000,28288.06,28288.06,28288.06,28288.06,0,0
TNX_MV,D,20140702,000000,26872.39,26872.39,26543.75,26543.75,0,0
TNX_MV,D,20140703,000000,26543.75,27934.14,26480.55,27934.14,0,0
TNX_MV,D,20140708,000000,27934.14,27934.14,27934.14,27934.14,0,0
TNX_MV,D,20140710,000000,26063.44,26063.44,26063.44,26063.44,0,0
TNX_MV,D,20140714,000000,27807.74,27807.74,27807.74,27807.74,0,0
TNX_MV,D,20140723,000000,27681.34,27681.34,27681.34,27681.34,0,0
TNX_MV,D,20140724,000000,27403.26,27934.14,27403.26,27428.54,0,0
TNX_MV,D,20140728,000000,27302.14,27302.14,27302.14,27302.14,0,0
TNX_MV,D,20140729,000000,27049.35,27049.35,27049.35,27049.35,0,0
TNX_MV,D,20140801,000000,26543.75,26543.75,26543.75,26543.75,0,0
TNX_MV,D,20140804,000000,26543.75,26543.75,26543.75,26543.75,0,0
TNX_MV,D,20140807,000000,26543.75,26543.75,26543.75,26543.75,0,0
TNX_MV,D,20140814,000000,26088.72,26088.72,26076.08,26076.08,0,0
TNX_MV,D,20140819,000000,26076.08,26076.08,26076.08,26076.08,0,0
TNX_MV,D,20140826,000000,26796.55,26796.55,26796.55,26796.55,0,0
TNX_MV,D,20140827,000000,26796.55,26796.55,26796.55,26796.55,0,0
TNX_MV,D,20140828,000000,25785.36,25785.36,25532.56,25532.56,0,0
TNX_MV,D,20140904,000000,25911.76,25911.76,25911.76,25911.76,0,0
TNX_MV,D,20140908,000000,25671.6,25671.6,25671.6,25671.6,0,0
TNX_MV,D,20140911,000000,25785.36,25785.36,25785.36,25785.36,0,0
TNX_MV,D,20140915,000000,25835.92,25835.92,25835.92,25835.92,0,0
TNX_MV,D,20140924,000000,26543.75,26543.75,26543.75,26543.75,0,0
TNX_MV,D,20140929,000000,25810.64,26543.75,25810.64,26543.75,0,0
TNX_MV,D,20141003,000000,26543.75,26543.75,26543.75,26543.75,0,0
TNX_MV,D,20141006,000000,24597.21,24597.21,24597.21,24597.21,0,0
TNX_MV,D,20141009,000000,25279.76,25279.76,25279.76,25279.76,0,0
TNX_MV,D,20141021,000000,23257.38,25279.76,23257.38,25279.76,0,0
TNX_MV,D,20141022,000000,25279.76,25279.76,25279.76,25279.76,0,0
TNX_MV,D,20141103,000000,26543.75,26543.75,26543.75,26543.75,0,0
TNX_MV,D,20141107,000000,26290.95,26290.95,26290.95,26290.95,0,0
TNX_MV,D,20141113,000000,26543.75,26543.75,26543.75,26543.75,0,0
TNX_MV,D,20141117,000000,26038.16,26038.16,26038.16,26038.16,0,0
TNX_MV,D,20141120,000000,26038.16,26038.16,26038.16,26038.16,0,0
TNX_MV,D,20141126,000000,25279.76,25279.76,25279.76,25279.76,0,0
TNX_MV,D,20141210,000000,23762.98,23762.98,23762.98,23762.98,0,0
TNX_MV,D,20141215,000000,23762.98,23762.98,23257.38,23257.38,0,0
TNX_MV,D,20141216,000000,22792.23,22792.23,22789.71,22789.71,0,0
TNX_MV,D,20141217,000000,24015.78,24015.78,24015.78,24015.78,0,0
TNX_MV,D,20141218,000000,24015.78,24015.78,24015.78,24015.78,0,0
TNX_MV,D,20141222,000000,24142.17,24142.17,24015.78,24015.78,0,0
TNX_MV,D,20141229,000000,27302.14,27807.74,27302.14,27554.94,0,0
TNX_MV,D,20141230,000000,26670.15,27693.98,26670.15,27693.98,0,0
TNX_MV,D,20150105,000000,27554.94,27554.94,27554.94,27554.94,0,0
TNX_MV,D,20150209,000000,27049.35,27049.35,27049.35,27049.35,0,0
TNX_MV,D,20150210,000000,27049.35,27049.35,27049.35,27049.35,0,0
TNX_MV,D,20150225,000000,27554.94,27807.74,27554.94,27807.74,0,0
TNX_MV,D,20150226,000000,27681.34,29678.44,27681.34,29678.44,0,0
TNX_MV,D,20150305,000000,27592.86,27908.86,26366.79,27908.86,0,0
TNX_MV,D,20150309,000000,25431.44,26290.95,25431.44,26290.95,0,0
TNX_MV,D,20150316,000000,27554.94,32358.1,27554.94,32358.1,0,0
TNX_MV,D,20150317,000000,32358.1,32888.97,32358.1,32888.97,0,0
TNX_MV,D,20150318,000000,32383.38,32383.38,32383.38,32383.38,0,0
TNX_MV,D,20150323,000000,31132.03,31132.03,31132.03,31132.03,0,0
TNX_MV,D,20150324,000000,28186.94,28186.94,28186.94,28186.94,0,0
TNX_MV,D,20150330,000000,28199.58,28199.58,28199.58,28199.58,0,0
TNX_MV,D,20150415,000000,27377.98,27377.98,27377.98,27377.98,0,0
