<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VOT_PB,D,20110117,000000,8.9344,8.9344,8.9344,8.9344,0,0
VOT_PB,D,20110118,000000,8.9344,8.9924,8.4523,8.8681,0,0
VOT_PB,D,20110119,000000,8.6693,8.9924,8.6693,8.6693,0,0
VOT_PB,D,20110120,000000,8.6693,9.1056,8.4523,8.8212,0,0
VOT_PB,D,20110121,000000,8.8019,8.8212,8.4332,8.6898,0,0
VOT_PB,D,20110124,000000,8.4523,8.736,8.4523,8.5829,0,0
VOT_PB,D,20110125,000000,8.3468,8.6238,8.3468,8.4717,0,0
VOT_PB,D,20110126,000000,8.4523,8.5829,8.2345,8.3468,0,0
VOT_PB,D,20110127,000000,8.4122,8.8423,8.2345,8.4523,0,0
VOT_PB,D,20110128,000000,8.5642,8.5642,8.5642,8.5642,0,0
VOT_PB,D,20110131,000000,8.7558,9.1056,8.7558,8.8423,0,0
VOT_PB,D,20110201,000000,8.8423,9.0853,8.6693,8.8681,0,0
VOT_PB,D,20110202,000000,8.6693,8.8681,8.5829,8.8681,0,0
VOT_PB,D,20110203,000000,8.8681,8.9344,8.8681,8.9344,0,0
VOT_PB,D,20110204,000000,8.6898,8.6898,8.3468,8.6507,0,0
VOT_PB,D,20110207,000000,8.6898,8.6898,8.4523,8.6043,0,0
VOT_PB,D,20110208,000000,8.5642,8.6693,8.4523,8.6693,0,0
VOT_PB,D,20110209,000000,8.8883,8.8883,8.2345,8.6238,0,0
VOT_PB,D,20110210,000000,8.2345,8.6693,8.2345,8.6507,0,0
VOT_PB,D,20110211,000000,8.6238,8.8423,8.2809,8.6693,0,0
VOT_PB,D,20110214,000000,8.6507,8.6507,8.3197,8.5642,0,0
VOT_PB,D,20110215,000000,8.4984,8.5642,8.3197,8.5642,0,0
VOT_PB,D,20110216,000000,8.4523,8.5642,8.4523,8.5642,0,0
VOT_PB,D,20110217,000000,8.386,8.5642,8.3659,8.4523,0,0
VOT_PB,D,20110218,000000,8.3659,8.4523,8.3659,8.4523,0,0
VOT_PB,D,20110221,000000,8.5642,8.6693,8.4523,8.6693,0,0
VOT_PB,D,20110222,000000,8.6693,8.6693,8.386,8.6693,0,0
VOT_PB,D,20110223,000000,8.6043,8.6693,8.6043,8.6693,0,0
VOT_PB,D,20110224,000000,8.5642,8.6693,8.5642,8.6693,0,0
